Date,code,high,low,open,close,adjust,volume_match,value_match
2010-01-04,086280.KS,42853.074925763576,41342.83439974547,42664.29486001132,41720.39453125,41720.39453125,398510,16625994424.648438
2010-01-05,086280.KS,42097.95363451087,39077.47265625,42097.95363451087,39077.47265625,39077.47265625,565472,22097216617.875
2010-01-06,086280.KS,39643.80916819853,37944.78877527574,39455.02912454044,38511.12890625,38511.12890625,451732,17396709283.078125
2010-01-07,086280.KS,39832.59201816502,37944.79144858375,38888.691733374384,38322.3515625,38322.3515625,507694,19456027954.171875
2010-01-08,086280.KS,38888.68245361083,37416.19836070712,38888.68245361083,37642.734375,37642.734375,409336,15408526318.125
2010-01-11,086280.KS,38322.34057323042,37604.9765625,37756.00056475904,37604.9765625,37604.9765625,282050,10606483639.453123
2010-01-12,086280.KS,38699.906501392325,37718.25033647896,37718.25033647896,38133.56640625,38133.56640625,185198,7062260231.304688
2010-01-13,086280.KS,38322.34823161949,37567.22806942009,37567.22806942009,37680.49609375,37680.49609375,163556,6162871219.109375
2010-01-14,086280.KS,37944.79058601706,37076.40234375,37756.0105333503,37076.40234375,37076.40234375,263842,9782312147.179688
2010-01-15,086280.KS,38511.13161945813,37567.231334667485,37567.231334667485,38322.3515625,38322.3515625,283158,10851280423.734377
2010-01-18,086280.KS,38133.561256218905,37378.44123134328,37756.001243781095,37944.78125,37944.78125,165694,6287222584.4375
2010-01-19,086280.KS,38133.56786664134,37227.423679711246,38133.56786664134,37265.1796875,37265.1796875,263528,9820418272.6875
2010-01-20,086280.KS,37944.79186313085,36283.52734375,37718.25579230619,36283.52734375,36283.52734375,468496,16998687426.4375
2010-01-21,086280.KS,37340.69921875,35830.45860322927,36056.99469555738,37340.69921875,37340.69921875,221366,8265961223.257812
2010-01-22,086280.KS,37227.41574691992,36359.02775282341,36736.58775025667,36774.34375,36774.34375,141044,5186800539.875
2010-01-25,086280.KS,36547.816393979054,35981.47626390707,36547.816393979054,36056.98828125,36056.98828125,177032,6383240749.40625
2010-01-26,086280.KS,36623.330280466194,34357.96964456107,36359.03820627726,34622.26171875,34622.26171875,226270,7833979159.101562
2010-01-27,086280.KS,35339.62744565218,34169.19106657609,34622.26321331522,34735.53125,34735.53125,163796,5689541076.625
2010-01-28,086280.KS,36623.32963053385,34735.52913411458,34735.52913411458,36245.76953125,36245.76953125,162682,5896534278.8828125
2010-01-29,086280.KS,37114.15714551997,35566.16076406898,35679.42879198003,36396.79296875,36396.79296875,270562,9847589099.210938
2010-02-01,086280.KS,36887.619231085526,35264.110912828946,36887.619231085526,35868.20703125,35868.20703125,177376,6362159090.375
2010-02-02,086280.KS,36585.56915779533,34357.96484375,36585.56915779533,34357.96484375,34357.96484375,223666,7684708564.7421875
2010-02-03,086280.KS,34999.817579400165,34357.96547708107,34735.525537268775,34697.76953125,34697.76953125,103990,3608221053.554688
2010-02-04,086280.KS,36208.00492653918,34735.520888859275,34735.520888859275,35415.12890625,35415.12890625,234986,8322059481.1640625
2010-02-05,086280.KS,34433.48537234042,33602.85304976204,33980.41319638858,33716.12109375,33716.12109375,227624,7674598347.84375
2010-02-08,086280.KS,34773.28125,33640.60107899023,33980.40513029316,34773.28125,34773.28125,190044,6608453461.875
2010-02-09,086280.KS,34811.03440104167,33263.03829427083,34357.96236979167,33980.40234375,33980.40234375,247904,8423877662.625
2010-02-10,086280.KS,34244.696653451494,32885.48046875,34169.184643190296,32885.48046875,32885.48046875,272648,8966160478.84375
2010-02-11,086280.KS,33867.143963788,32885.48761701154,32885.48761701154,33527.33984375,33527.33984375,192922,6468161457.3359375
2010-02-12,086280.KS,33980.40895600559,33338.55678683659,33867.140926152235,33791.62890625,33791.62890625,109488,3699777865.6875
2010-02-16,086280.KS,36132.50456698804,33791.6317528258,33829.38776595744,35490.65234375,35490.65234375,361136,12816952224.8125
2010-02-17,086280.KS,36434.54684217437,35490.64666491597,36359.034827993695,35943.71875,35943.71875,265514,9543560540.1875
2010-02-18,086280.KS,36359.03725961538,35528.40504807692,35943.72115384616,36321.28125,36321.28125,241522,8772388490.0625
2010-02-19,086280.KS,36396.79235929319,35641.67218586388,36019.232272578534,36056.98828125,36056.98828125,192362,6935994379.7578125
2010-02-22,086280.KS,36887.61174922998,36094.73575462013,36283.51575333676,36774.34375,36774.34375,192752,7088328306.5
2010-02-23,086280.KS,37718.24900647983,36698.83687116956,36774.34888119254,36963.12890625,36963.12890625,175758,6496565610.304688
2010-02-24,086280.KS,37378.44951923077,35943.72115384616,36661.08533653846,37302.9375,37302.9375,185272,6911189836.5
2010-02-25,086280.KS,37416.204912331785,36434.54867850673,37378.44890333851,36472.3046875,36472.3046875,84000,3063673593.75
2010-02-26,086280.KS,37378.4453125,36245.76515151515,36283.52115688131,37378.4453125,37378.4453125,123018,4598221585.453125
2010-03-02,086280.KS,38322.3479296875,37680.495796875,37756.0078125,37756.0078125,37756.0078125,231548,8742328096.96875
2010-03-03,086280.KS,38133.56640625,37416.20228573639,37604.98231745049,38133.56640625,38133.56640625,193464,7377472291.21875
2010-03-04,086280.KS,38322.34329670156,37416.19921875,38133.56328046165,37416.19921875,37416.19921875,110556,4136585320.828125
2010-03-05,086280.KS,38322.3479296875,37680.495796875,37680.495796875,37756.0078125,37756.0078125,263900,9963810461.71875
2010-03-08,086280.KS,38511.12126865672,37718.24524253731,38322.34126243781,37944.78125,37944.78125,180568,6851613260.75
2010-03-09,086280.KS,38699.90127487562,37944.78125,38322.34126243781,37944.78125,37944.78125,160972,6108047327.375
2010-03-10,086280.KS,38133.56057040663,37189.66055628765,37756.00056475904,37604.9765625,37604.9765625,156134,5871415410.609375
2010-03-11,086280.KS,37944.78125,36774.34521144279,37604.97723880597,37944.78125,37944.78125,232640,8827473910.0
2010-03-12,086280.KS,37756.00869648318,37038.64453125,37604.98466169724,37038.64453125,37038.64453125,563476,20870387265.890625
2010-03-15,086280.KS,37340.693819173175,36056.98948160807,37340.693819173175,36245.76953125,36245.76953125,298628,10824001663.578123
2010-03-16,086280.KS,36774.35336538462,36321.28125,36321.28125,36321.28125,36321.28125,96290,3497376171.5625
2010-03-17,086280.KS,37114.15503578732,36434.54690695296,36698.83895705521,36925.375,36925.375,194072,7166181377.0
2010-03-18,086280.KS,37302.933541666665,36623.32544070513,36623.32544070513,36812.10546875,36812.10546875,147004,5411526752.328125
2010-03-19,086280.KS,38322.3515625,36585.57503848522,36887.62312961822,38322.3515625,38322.3515625,398490,15271073874.140623
2010-03-22,086280.KS,38322.34212728353,37604.97808746246,38133.56211680431,37718.24609375,37718.24609375,160900,6068865796.484375
2010-03-23,086280.KS,38699.906501392325,37756.006342821776,38133.56640625,38133.56640625,38133.56640625,213760,8151431155.0
2010-03-24,086280.KS,38699.91167641625,37756.011391625616,38322.3515625,38322.3515625,38322.3515625,193692,7422732918.84375
2010-03-25,086280.KS,39077.47265625,37944.792289402176,38133.57235054348,39077.47265625,39077.47265625,298474,11663609573.601562
2010-03-26,086280.KS,39832.592900815216,38888.692595108696,39077.47265625,39077.47265625,39077.47265625,334748,13081105816.734377
2010-03-29,086280.KS,39266.239684466025,38511.11969053398,38511.11969053398,38888.6796875,38888.6796875,173164,6734119329.40625
2010-03-30,086280.KS,39643.80130597015,37944.78125,39455.02129975124,37944.78125,37944.78125,243030,9221720187.1875
2010-03-31,086280.KS,38322.3463501969,37114.15414999365,38322.3463501969,37151.91015625,37151.91015625,332248,12343647845.59375
2010-04-01,086280.KS,38133.56640625,37151.91024133664,37151.91024133664,38133.56640625,38133.56640625,208648,7956492363.53125
2010-04-02,086280.KS,39643.8119612069,37756.011391625616,38511.13161945813,38322.3515625,38322.3515625,506886,19425063494.10937
2010-04-05,086280.KS,41154.05078125,38511.13008887615,38511.13008887615,41154.05078125,41154.05078125,1314944,54115272150.5
2010-04-06,086280.KS,40965.26586229557,40021.36572721963,40965.26586229557,40398.92578125,40398.92578125,568470,22965577338.867188
2010-04-07,086280.KS,41531.60843460648,39643.80805121528,40210.14816623264,40776.48828125,40776.48828125,520170,21210705909.25781
2010-04-08,086280.KS,40776.48313953488,39832.58306686046,40021.36308139535,40587.703125,40587.703125,323454,13128254926.59375
2010-04-09,086280.KS,40965.26356907895,39266.24342105263,40776.48355263158,39455.0234375,39455.0234375,443298,17490332979.796875
2010-04-12,086280.KS,40587.703536184206,39266.24342105263,39832.58347039473,39455.0234375,39455.0234375,395856,15618507757.875
2010-04-13,086280.KS,41342.828125,38888.68764269407,39455.02775399543,41342.828125,41342.828125,397748,16444027201.0625
2010-04-14,086280.KS,41909.16823630137,40965.26805079909,41342.828125,41342.828125,41342.828125,441238,18242026796.21875
2010-04-15,086280.KS,42853.07122634748,40398.9305834289,41909.1709790711,41154.05078125,41154.05078125,681918,28063688000.64844
2010-04-16,086280.KS,42664.28515625,41154.04497372788,41342.82499654314,42664.28515625,42664.28515625,362790,15478176011.835938
2010-04-19,086280.KS,42664.291176892206,40776.49068233945,41720.39092961583,41154.05078125,41154.05078125,357224,14701214636.28125
2010-04-20,086280.KS,42286.7265625,41342.826416015625,41720.386474609375,42286.7265625,42286.7265625,369828,15638815511.15625
2010-04-21,086280.KS,43419.412868449785,42097.952476801314,42664.29264465066,43230.6328125,43230.6328125,509372,22020473896.96875
2010-04-22,086280.KS,43985.750288722826,42853.07002377717,43041.85006793478,43419.41015625,43419.41015625,318180,13815187923.515623
2010-04-23,086280.KS,43985.7505850771,42286.73017621146,43796.97053964758,42853.0703125,42853.0703125,260566,11166053119.046877
2010-04-26,086280.KS,43608.19049421806,42853.0703125,43419.41044878855,42853.0703125,42853.0703125,250098,10717467179.015623
2010-04-27,086280.KS,44174.53033288043,42853.07002377717,43041.85006793478,43419.41015625,43419.41015625,468412,20338172750.10937
2010-04-28,086280.KS,44363.306146056864,42097.945832215664,42286.7258583691,43985.74609375,43985.74609375,502356,22096503464.671875
2010-04-29,086280.KS,47572.5625,44740.86235119048,44740.86235119048,47572.5625,47572.5625,1491952,70975979767.0
2010-04-30,086280.KS,48138.90822684716,46439.88793648785,47383.78809779858,46628.66796875,46628.66796875,581710,27124362444.10156
2010-05-03,086280.KS,47761.35494474086,44929.65405868903,47006.23470846037,46439.89453125,46439.89453125,411964,19131564710.671875
2010-05-04,086280.KS,47761.347412109375,44929.64697265625,47383.787353515625,45307.20703125,45307.20703125,441858,20019351884.414062
2010-05-06,086280.KS,45307.20703125,43608.186767578125,43796.966796875,45307.20703125,45307.20703125,352916,15989638276.640623
2010-05-07,086280.KS,46062.3256714876,43041.84529958678,43796.96539256199,45684.765625,45684.765625,391750,17897006933.59375
2010-05-10,086280.KS,46628.66822489754,45118.4279585041,46062.328125,46062.328125,46062.328125,527054,24277334287.59375
2010-05-11,086280.KS,48327.68627450981,46817.44607843137,46817.44607843137,48138.90625,48138.90625,707152,34041523832.5
2010-05-12,086280.KS,50215.48879206731,48138.90842848558,48705.24852764423,49082.80859375,49082.80859375,455954,22379502909.554688
2010-05-13,086280.KS,50404.274955778295,49271.5946196934,50026.71484375,50026.71484375,50026.71484375,269058,13460087842.429688
2010-05-14,086280.KS,51159.38671875,49271.58647082564,49837.92654520295,51159.38671875,51159.38671875,234950,12019897909.570312
2010-05-17,086280.KS,51536.94407743566,49460.36391314338,50404.263987821694,51348.1640625,51348.1640625,253754,13029802023.515623
2010-05-18,086280.KS,52292.06274801587,45684.76240079365,52103.28273809524,47572.5625,47572.5625,737372,35078675555.75
2010-05-19,086280.KS,48705.24609375,44552.08557412791,46817.44585755815,48705.24609375,48705.24609375,360272,17547136420.6875
2010-05-20,086280.KS,49649.14611311984,45495.9856017562,48138.90592716943,45684.765625,45684.765625,452784,20685330918.75
2010-05-24,086280.KS,46439.88746044304,44740.8671875,45118.42724815401,44740.8671875,44740.8671875,185166,8284487413.640625
2010-05-25,086280.KS,45495.984375,41720.38401192946,44363.304266078834,45495.984375,45495.984375,379604,17270457652.6875
2010-05-26,086280.KS,46439.88746044304,44740.8671875,46251.10743011603,44740.8671875,44740.8671875,163998,7337412737.015625
2010-05-27,086280.KS,47383.7890625,44740.86855702192,45118.42862923307,47383.7890625,47383.7890625,297468,14095160964.84375
2010-05-28,086280.KS,48327.68897637795,47006.22873093012,48327.68897637795,47950.12890625,47950.12890625,238574,11439654053.679688
2010-05-31,086280.KS,48327.69140625,47195.011138916016,47572.571228027344,48327.69140625,48327.69140625,223096,10781714641.96875
2010-06-01,086280.KS,48327.68951612904,46251.10910723286,48327.68951612904,46817.44921875,46817.44921875,301866,14132596125.867188
2010-06-03,086280.KS,48138.90894131397,45684.76848548228,47383.78880105807,47950.12890625,47950.12890625,305186,14633708040.382812
2010-06-04,086280.KS,49271.5834640444,47383.78333132239,47950.123371138994,48894.0234375,48894.0234375,269730,13188184941.796877
