Date,code,high,low,open,close,adjust,volume_match,value_match
2018-02-21,BCM,26130,22070,26130,22070,22070.0,81200,1792084000
2018-02-22,BCM,22940,22070,22940,22070,22070.0,28900,637823000
2018-02-23,BCM,22240,19770,22240,20300,20300.0,37800,767340000
2018-02-26,BCM,21450,17650,19420,20210,20210.0,21100,426431000
2018-02-27,BCM,21880,17650,21880,21170,21170.0,34700,734599000
2018-02-28,BCM,19420,18010,18010,19420,19420.0,2300,44666000
2018-03-01,BCM,19680,18620,19500,19680,19680.0,21100,415248000
2018-03-02,BCM,19420,18180,19420,19150,19150.0,24900,476835000
2018-03-05,BCM,19340,18880,19050,19150,19150.0,35500,679825000
2018-03-06,BCM,20230,18420,20230,19500,19500.0,4200,81900000
2018-03-07,BCM,18420,17980,18420,18160,18160.0,3000,54480000
2018-03-08,BCM,18880,18880,18880,18880,18880.0,2100,39648000
2018-03-09,BCM,18880,16180,18880,18780,18780.0,36700,689226000
2018-03-12,BCM,18780,17530,17980,18420,18420.0,7000,128940000
2018-03-13,BCM,17980,17260,17980,17800,17800.0,15100,268780000
2018-03-14,BCM,17710,16900,17170,16900,16900.0,11700,197730000
2018-03-15,BCM,17530,16180,16450,17350,17350.0,29700,515295000
2018-03-16,BCM,19340,17530,18780,17980,17980.0,33500,602330000
2018-03-19,BCM,19050,18160,18160,19050,19050.0,14000,266700000
2018-03-20,BCM,18780,17170,17980,17980,17980.0,101100,1817778000
2018-03-21,BCM,18420,17170,18420,17800,17800.0,63600,1132080000
2018-03-22,BCM,20140,17800,17980,20140,20140.0,135400,2726956000
2018-03-23,BCM,21400,19780,20050,21120,21120.0,97700,2063424000
2018-03-26,BCM,21940,20410,21840,21590,21590.0,198500,4285615000
2018-03-27,BCM,24090,18710,21590,21590,21590.0,362200,7819898000
2018-03-28,BCM,23560,20230,21210,21490,21490.0,433200,9309468000
2018-03-29,BCM,22750,21120,21400,21400,21400.0,272700,5835780000
2018-03-30,BCM,22470,21650,21650,22380,22380.0,46000,1029480000
2018-04-02,BCM,23100,22470,22470,23100,23100.0,47800,1104180000
2018-04-03,BCM,24270,22920,23290,23640,23640.0,49300,1165452000
2018-04-04,BCM,23640,23010,23640,23380,23380.0,60400,1412152000
2018-04-05,BCM,23640,23010,23380,23560,23560.0,206800,4872208000
2018-04-06,BCM,23560,22920,23380,23190,23190.0,70500,1634895000
2018-04-09,BCM,24090,22750,22840,23820,23820.0,71600,1705512000
2018-04-10,BCM,23560,22750,22750,23380,23380.0,63800,1491644000
2018-04-11,BCM,23380,22470,23380,23190,23190.0,77400,1794906000
2018-04-12,BCM,23190,22470,23100,23100,23100.0,100200,2314620000
2018-04-13,BCM,23380,22660,23190,23190,23190.0,36600,848754000
2018-04-16,BCM,23100,23010,23010,23100,23100.0,55000,1270500000
2018-04-17,BCM,23100,22470,23100,23100,23100.0,58000,1339800000
2018-04-18,BCM,23100,23010,23010,23100,23100.0,10500,242550000
2018-04-19,BCM,23010,22290,22470,23010,23010.0,30000,690300000
2018-04-20,BCM,23100,22920,22920,23100,23100.0,20200,466620000
2018-04-23,BCM,23010,22470,22920,22470,22470.0,31600,710052000
2018-04-24,BCM,22920,22470,22920,22470,22470.0,21100,474117000
2018-04-26,BCM,22470,22380,22470,22380,22380.0,28200,631116000
2018-04-27,BCM,22470,22470,22470,22470,22470.0,33200,746004000
2018-05-02,BCM,23010,22470,22470,23010,23010.0,13900,319839000
2018-05-03,BCM,23100,22840,23100,22920,22920.0,1300,29796000
2018-05-04,BCM,23100,23100,23100,23100,23100.0,4700,108570000
2018-05-07,BCM,21590,19870,21590,20680,20680.0,11900,246092000
2018-05-08,BCM,22470,18880,22380,22380,22380.0,101600,2273808000
2018-05-09,BCM,21940,19950,21940,19950,19950.0,300,5985000
2018-05-10,BCM,22380,20140,20140,20680,20680.0,1400,28952000
2018-05-11,BCM,21490,21490,21490,21490,21490.0,100,2149000
2018-05-14,BCM,21490,21490,21490,21490,21490.0,0,0
