Date,code,high,low,open,close,adjust,volume_match,value_match
2021-01-04,BVH,58420,56770,57980,57390,57390,1192300,68426097000
2021-01-05,BVH,57390,56600,56690,57110,57110,1018200,58149402000
2021-01-06,BVH,58670,57110,57540,57540,57540,1472400,84721896000
2021-01-07,BVH,58330,57540,57540,57980,57980,898000,52066040000
2021-01-08,BVH,59710,58510,58670,59110,59110,1639800,96928578000
2021-01-11,BVH,59980,57900,59980,58940,58940,1106000,65187640000
2021-01-12,BVH,59190,58070,58670,59030,59030,641100,37844133000
2021-01-13,BVH,61630,59280,59710,60930,60930,1738600,105932898000
2021-01-14,BVH,61280,59030,60930,60590,60590,710400,43043136000
2021-01-15,BVH,60750,59630,60750,60060,60060,1399200,84035952000
2021-01-18,BVH,60320,59030,60060,59370,59370,1008300,59862771000
2021-01-19,BVH,59710,55210,59370,56260,56260,1798900,101206114000
2021-01-20,BVH,56430,52450,55400,55650,55650,1133400,63073710000
2021-01-21,BVH,57110,55470,55650,56860,56860,638500,36305110000
2021-01-22,BVH,57290,55400,57110,55990,55990,685900,38403541000
2021-01-25,BVH,55990,55400,55900,55400,55400,695400,38525160000
2021-01-26,BVH,55400,51930,55210,52350,52350,1166900,61087215000
2021-01-27,BVH,52620,49510,51240,50200,50200,931000,46736200000
2021-01-28,BVH,49330,46730,47160,46730,46730,1256500,58716245000
2021-01-29,BVH,49510,44130,44130,48890,48890,1069500,52287855000
2021-02-01,BVH,49760,46220,49230,46300,46300,1216900,56342470000
2021-02-02,BVH,48030,45260,47000,47340,47340,573400,27144756000
2021-02-03,BVH,50630,48460,48460,50630,50630,810900,41055867000
2021-02-04,BVH,51840,50280,51840,50280,50280,922900,46403412000
2021-02-05,BVH,52100,50630,51070,51930,51930,588100,30540033000
2021-02-08,BVH,52800,48550,52800,49680,49680,914200,45417456000
2021-02-09,BVH,51840,49330,49680,51840,51840,743300,38532672000
2021-02-17,BVH,53570,51930,52350,53570,53570,872100,46718397000
2021-02-18,BVH,53750,52350,53750,53570,53570,803300,43032781000
2021-02-19,BVH,53570,52710,52800,53230,53230,424400,22590812000
2021-02-22,BVH,53390,52350,53230,52880,52880,585300,30950664000
2021-02-23,BVH,52710,51670,52350,52350,52350,954000,49941900000
2021-02-24,BVH,52960,51310,52710,51670,51670,603300,31172511000
2021-02-25,BVH,52350,51070,51930,51580,51580,676100,34873238000
2021-02-26,BVH,51580,50880,50970,51150,51150,556000,28439400000
2021-03-01,BVH,53660,51410,51670,53480,53480,941100,50330028000
2021-03-02,BVH,54520,53230,54520,53480,53480,996300,53282124000
2021-03-03,BVH,53660,52960,53570,53050,53050,489900,25989195000
2021-03-04,BVH,53570,51500,53570,51930,51930,491000,25497630000
2021-03-05,BVH,51760,50630,51760,51070,51070,744100,38001187000
2021-03-08,BVH,52010,51070,51070,51150,51150,784000,40101600000
2021-03-09,BVH,51150,50110,51070,50970,50970,570700,29088579000
2021-03-10,BVH,51930,50630,51070,51580,51580,464200,23943436000
2021-03-11,BVH,52530,52010,52350,52350,52350,561200,29378820000
2021-03-12,BVH,53130,51930,52620,52350,52350,675600,35367660000
2021-03-15,BVH,52450,51930,52350,52010,52010,393400,20460734000
2021-03-16,BVH,52280,51240,52010,51580,51580,379700,19584926000
2021-03-17,BVH,51760,51240,51760,51580,51580,391200,20178096000
2021-03-18,BVH,52620,51840,52350,52530,52530,958800,50365764000
2021-03-19,BVH,55120,52530,52530,52800,52800,3085100,162893280000
2021-03-22,BVH,54610,53750,54520,53830,53830,1133700,61027071000
2021-03-23,BVH,54000,52880,53830,53390,53390,868900,46390571000
2021-03-24,BVH,52960,50880,52190,51500,51500,1152100,59333150000
2021-03-25,BVH,51840,51070,51670,51410,51410,615600,31647996000
2021-03-26,BVH,51500,49330,51240,50540,50540,788600,39855844000
2021-03-29,BVH,51310,50630,51070,51240,51240,522800,26788272000
2021-03-30,BVH,52350,51410,51930,51930,51930,882200,45812646000
2021-03-31,BVH,52010,51150,51760,51580,51580,571200,29462496000
2021-04-01,BVH,52800,51500,51840,52710,52710,1192800,62872488000
2021-04-02,BVH,54180,52960,53230,53480,53480,1382400,73930752000
2021-04-05,BVH,54520,52530,54520,52530,52530,1021500,53659395000
2021-04-06,BVH,53660,52190,52350,53320,53320,938700,50051484000
2021-04-07,BVH,55210,53320,53320,54870,54870,2403200,131863584000
2021-04-08,BVH,55120,53660,55040,54000,54000,713300,38518200000
2021-04-09,BVH,54520,53480,53660,54000,54000,551500,29781000000
2021-04-12,BVH,54350,53230,54350,54000,54000,1036800,55987200000
2021-04-13,BVH,54090,52190,54090,52620,52620,1533800,80708556000
