Date,code,high,low,open,close,adjust,volume_match,value_match
2012-03-20,BVH,50310,48160,48160,48160,48160,94690,4560270400
2012-03-21,BVH,49960,47790,48160,49960,49960,73570,3675557200
2012-03-22,BVH,52100,48870,48870,49960,49960,67150,3354814000
2012-03-23,BVH,52100,51750,52100,52100,52100,81240,4232604000
2012-03-26,BVH,53900,51750,52100,53900,53900,63690,3432891000
2012-03-27,BVH,53180,51380,52470,51380,51380,65000,3339700000
2012-03-28,BVH,52470,49220,51750,52470,52470,172250,9037957500
2012-03-29,BVH,53180,51380,53180,51380,51380,36680,1884618400
2012-03-30,BVH,53900,52470,53900,53900,53900,108570,5851923000
2012-04-03,BVH,53900,52830,53900,53180,53180,89600,4764928000
2012-04-04,BVH,53900,51030,53900,51750,51750,66560,3444480000
2012-04-05,BVH,53180,50310,51030,52830,52830,39630,2093652900
2012-04-06,BVH,53180,51750,53180,53180,53180,22710,1207717800
2012-04-09,BVH,53180,51750,53180,53180,53180,12970,689744600
2012-04-10,BVH,53180,51750,52470,51750,51750,39830,2061202500
2012-04-11,BVH,53180,51380,53180,52100,52100,43750,2279375000
2012-04-12,BVH,52470,51380,52100,52100,52100,95740,4988054000
2012-04-13,BVH,53180,52470,53180,53180,53180,33550,1784189000
2012-04-16,BVH,53900,52100,53900,52100,52100,85690,4464449000
2012-04-17,BVH,52470,51380,52100,51750,51750,105770,5473597500
2012-04-18,BVH,52100,51030,52100,51030,51030,95710,4884081300
2012-04-19,BVH,52470,50680,51030,52470,52470,82580,4332972600
2012-04-20,BVH,52830,51750,52830,51750,51750,32480,1680840000
2012-04-23,BVH,52100,51030,52100,51030,51030,23860,1217575800
2012-04-24,BVH,51030,49580,51030,49960,49960,50540,2524978400
2012-04-25,BVH,52100,50310,51750,51750,51750,67740,3505545000
2012-04-26,BVH,51030,49580,50680,49580,49580,113200,5612456000
2012-04-27,BVH,50680,49220,50680,49960,49960,18430,920762800
2012-05-02,BVH,50680,49580,49580,49960,49960,67260,3360309600
2012-05-03,BVH,49960,48510,48870,49220,49220,54920,2703162400
2012-05-04,BVH,49960,48870,48870,49220,49220,58300,2869526000
2012-05-07,BVH,51380,48870,49580,51380,51380,76330,3921835400
2012-05-08,BVH,51030,49580,51030,49580,49580,41330,2049141400
2012-05-09,BVH,51030,49220,51030,49220,49220,73500,3617670000
2012-05-10,BVH,49580,48160,49220,48160,48160,93060,4481769600
2012-05-11,BVH,48870,47440,48870,47440,47440,93740,4447025600
2012-05-14,BVH,47440,45280,46360,45280,45280,75250,3407320000
2012-05-15,BVH,44920,43120,43120,43120,43120,198550,8561476000
2012-05-16,BVH,43480,40960,43480,40960,40960,517700,21204992000
2012-05-17,BVH,41680,39170,40960,39170,39170,436240,17087520800
2012-05-18,BVH,39170,37370,39170,38450,38450,486970,18723996500
2012-05-21,BVH,40250,39170,40250,40250,40250,996590,40112747500
2012-05-22,BVH,41320,39170,40960,39530,39530,209070,8264537100
2012-05-23,BVH,39530,38100,39530,38100,38100,108330,4127373000
2012-05-24,BVH,38450,36290,38100,36650,36650,371190,13604113500
2012-05-25,BVH,38450,37370,37730,38450,38450,210970,8111796500
2012-05-28,BVH,40070,37490,40070,37490,37490,263660,9884613400
2012-05-29,BVH,37490,35870,37490,36030,36030,382500,13781475000
2012-05-30,BVH,37490,36390,37490,36540,36540,380280,13895431200
2012-05-31,BVH,37860,36030,36470,36240,36240,237790,8617509600
2012-06-01,BVH,37490,36470,36760,36760,36760,205770,7564105200
2012-06-04,BVH,37490,35290,37490,35290,35290,344760,12166580400
2012-06-05,BVH,35740,34250,34250,35350,35350,282560,9988496000
2012-06-06,BVH,36390,35290,35290,36310,36310,117670,4272597700
2012-06-07,BVH,37860,36470,36610,37860,37860,593680,22476724800
2012-06-08,BVH,38600,37130,37860,37130,37130,253590,9415796700
2012-06-11,BVH,37860,36470,37130,36470,36470,248410,9059512700
2012-06-12,BVH,37130,35870,36390,35870,35870,103780,3722588600
2012-06-13,BVH,36180,35510,36180,35670,35670,149270,5324460900
