Date,code,high,low,open,close,adjust,volume_match,value_match
2021-01-04,CMG,16990,16230,16230,16820,16820,233400,3925788000
2021-01-05,CMG,17120,16650,16990,16740,16740,181500,3038310000
2021-01-06,CMG,16780,16230,16750,16440,16440,118100,1941564000
2021-01-07,CMG,16490,16090,16440,16230,16230,127600,2070948000
2021-01-08,CMG,16440,16170,16230,16260,16260,118300,1923558000
2021-01-11,CMG,17070,16260,16260,16440,16440,173600,2853984000
2021-01-12,CMG,16610,16230,16350,16560,16560,157600,2609856000
2021-01-13,CMG,16560,16230,16560,16260,16260,124600,2025996000
2021-01-14,CMG,16440,16230,16260,16410,16410,165300,2712573000
2021-01-15,CMG,16630,16400,16410,16480,16480,153200,2524736000
2021-01-18,CMG,16610,16350,16440,16410,16410,116800,1916688000
2021-01-19,CMG,16410,15280,16010,15280,15280,194500,2971960000
2021-01-20,CMG,15580,14520,15370,15350,15350,116700,1791345000
2021-01-21,CMG,15800,15370,15800,15800,15800,56300,889540000
2021-01-22,CMG,16230,15370,15920,15750,15750,115100,1812825000
2021-01-25,CMG,15750,15330,15750,15630,15630,62600,978438000
2021-01-26,CMG,15370,14820,15370,14940,14940,100900,1507446000
2021-01-27,CMG,15110,14090,14940,14220,14220,115300,1639566000
2021-01-28,CMG,13870,13240,13240,13240,13240,135800,1797992000
2021-01-29,CMG,13950,13190,13240,13870,13870,107100,1485477000
2021-02-01,CMG,14070,13270,14070,13270,13270,109700,1455719000
2021-02-02,CMG,13980,13270,13270,13980,13980,79300,1108614000
2021-02-03,CMG,14520,13980,14430,14010,14010,82100,1150221000
2021-02-04,CMG,14730,14010,14010,14430,14430,77200,1113996000
2021-02-05,CMG,14730,14300,14430,14430,14430,56400,813852000
2021-02-08,CMG,14430,13530,14430,13850,13850,110300,1527655000
2021-02-09,CMG,14300,13490,13850,13980,13980,56100,784278000
2021-02-17,CMG,14600,14050,14050,14410,14410,94600,1363186000
2021-02-18,CMG,14520,14250,14520,14300,14300,101400,1450020000
