Date,code,high,low,open,close,adjust,volume_match,value_match
2012-03-20,CTD,14100,13600,14100,13780,13780,42110,580275800
2012-03-21,CTD,13970,13100,13970,13100,13100,22400,293440000
2012-03-22,CTD,13390,12520,12520,13390,13390,40710,545106900
2012-03-23,CTD,13780,13220,13780,13600,13600,21290,289544000
2012-03-26,CTD,13780,13430,13430,13740,13740,73990,1016622600
2012-03-27,CTD,13780,13600,13780,13780,13780,22750,313495000
2012-03-28,CTD,14080,13430,14080,13430,13430,3890,52242700
2012-03-29,CTD,13780,13430,13430,13460,13460,19470,262066200
2012-03-30,CTD,13600,13430,13430,13520,13520,29450,398164000
2012-04-03,CTD,13600,13490,13520,13560,13560,11910,161499600
2012-04-04,CTD,13460,13430,13460,13430,13430,3840,51571200
2012-04-05,CTD,13560,13460,13460,13560,13560,11000,149160000
2012-04-06,CTD,13970,13460,13970,13460,13460,14310,192612600
2012-04-09,CTD,13780,13490,13740,13780,13780,21220,292411600
2012-04-10,CTD,13780,13600,13600,13680,13680,12180,166622400
2012-04-11,CTD,14210,13820,14210,13820,13820,7570,104617400
2012-04-12,CTD,14500,13820,14210,14390,14390,72930,1049462700
2012-04-13,CTD,15030,14390,14390,15030,15030,21530,323595900
2012-04-16,CTD,15030,14860,15030,15030,15030,8150,122494500
2012-04-17,CTD,15390,14310,15030,15030,15030,16340,245590200
2012-04-18,CTD,15030,14280,15030,14310,14310,3900,55809000
2012-04-19,CTD,14510,13750,13750,14430,14430,12410,179076300
2012-04-20,CTD,14430,14310,14310,14430,14430,3620,52236600
2012-04-23,CTD,14430,14120,14310,14120,14120,7090,100110800
2012-04-24,CTD,14310,13680,14280,14310,14310,6170,88292700
2012-04-25,CTD,14310,14120,14120,14120,14120,15530,219283600
2012-04-26,CTD,14810,14310,14310,14810,14810,69640,1031368400
2012-04-27,CTD,14890,14770,14850,14770,14770,20600,304262000
2012-05-02,CTD,15370,14700,15030,15080,15080,21240,320299200
2012-05-03,CTD,15330,14700,15080,15230,15230,11800,179714000
2012-05-04,CTD,15750,15080,15080,15750,15750,46850,737887500
2012-05-07,CTD,16120,16010,16010,16010,16010,16620,266086200
2012-05-08,CTD,15790,15450,15450,15690,15690,11450,179650500
2012-05-09,CTD,15790,15450,15450,15790,15790,8030,126793700
2012-05-10,CTD,15790,15030,15790,15230,15230,28570,435121100
2012-05-11,CTD,14890,14810,14810,14810,14810,8400,124404000
2012-05-14,CTD,14550,14160,14550,14200,14200,16510,234442000
2012-05-15,CTD,14700,14200,14700,14200,14200,16760,237992000
2012-05-16,CTD,14770,14160,14280,14770,14770,63750,941587500
2012-05-17,CTD,14770,14310,14770,14310,14310,1140,16313400
2012-05-18,CTD,14430,14240,14430,14430,14430,17330,250071900
2012-05-21,CTD,15080,14700,15030,15080,15080,14130,213080400
2012-05-22,CTD,15080,14700,15080,14700,14700,4700,69090000
2012-05-23,CTD,15030,15030,15030,15030,15030,10,150300
2012-05-24,CTD,15030,15030,15030,15030,15030,0,0
2012-05-25,CTD,14430,14430,14430,14430,14430,170,2453100
2012-05-28,CTD,14510,14070,14430,14510,14510,3020,43820200
2012-05-29,CTD,14510,14510,14510,14510,14510,10,145100
2012-05-30,CTD,14990,14950,14990,14950,14950,10010,149649500
2012-05-31,CTD,14950,14950,14950,14950,14950,0,0
2012-06-01,CTD,14240,14240,14240,14240,14240,400,5696000
2012-06-04,CTD,14850,14700,14850,14850,14850,9700,144045000
2012-06-05,CTD,14850,14850,14850,14850,14850,0,0
2012-06-06,CTD,14850,14850,14850,14850,14850,1000,14850000
2012-06-07,CTD,14700,14310,14700,14670,14670,4510,66161700
2012-06-08,CTD,14590,14310,14590,14310,14310,6460,92442600
2012-06-11,CTD,14160,14120,14160,14120,14120,3470,48996400
2012-06-12,CTD,14120,14030,14070,14070,14070,15790,222165300
2012-06-13,CTD,14120,13870,14120,14090,14090,6600,92994000
2012-06-14,CTD,14070,14070,14070,14070,14070,200,2814000
2012-06-15,CTD,13990,13830,13950,13830,13830,5280,73022400
2012-06-18,CTD,13870,13380,13870,13380,13380,4200,56196000
2012-06-19,CTD,13680,13640,13680,13640,13640,200,2728000
2012-06-20,CTD,13640,13600,13600,13640,13640,1310,17868400
2012-06-21,CTD,13600,13420,13420,13560,13560,1230,16678800
2012-06-22,CTD,13420,13380,13380,13420,13420,1800,24156000
2012-06-25,CTD,13420,13000,13420,13080,13080,5200,68016000
2012-06-26,CTD,12480,12480,12480,12480,12480,30,374400
2012-06-27,CTD,13000,12060,13000,12920,12920,670,8656400
2012-06-28,CTD,13000,12360,12820,12360,12360,5030,62170800
2012-06-29,CTD,12780,12440,12780,12440,12440,520,6468800
2012-07-02,CTD,12740,12580,12620,12740,12740,8480,108035200
2012-07-03,CTD,12740,12180,12180,12740,12740,3520,44844800
2012-07-04,CTD,12740,12620,12620,12620,12620,2210,27890200
2012-07-05,CTD,12820,12540,12620,12820,12820,14680,188197600
2012-07-06,CTD,12820,12440,12820,12440,12440,13120,163212800
2012-07-09,CTD,12960,11870,12440,12960,12960,2880,37324800
2012-07-10,CTD,13460,12960,12960,13190,13190,320,4220800
2012-07-11,CTD,13230,13230,13230,13230,13230,100,1323000
2012-07-12,CTD,13380,12580,12580,13230,13230,4020,53184600
2012-07-13,CTD,13230,12580,12580,13230,13230,6630,87714900
2012-07-16,CTD,13150,12620,12740,13150,13150,4690,61673500
2012-07-17,CTD,12620,12500,12500,12620,12620,6510,82156200
2012-07-18,CTD,12620,12620,12620,12620,12620,1000,12620000
2012-07-19,CTD,13150,13150,13150,13150,13150,20,263000
2012-07-20,CTD,13560,13150,13150,13560,13560,3300,44748000
2012-07-23,CTD,13190,12890,13080,12890,12890,5610,72312900
2012-07-24,CTD,13270,13270,13270,13270,13270,10,132700
2012-07-25,CTD,12700,12700,12700,12700,12700,500,6350000
2012-07-26,CTD,13190,12140,13190,12250,12250,4530,55492500
2012-07-27,CTD,12850,12850,12850,12850,12850,30,385500
2012-07-30,CTD,12740,12440,12440,12740,12740,2010,25607400
2012-07-31,CTD,13150,13150,13150,13150,13150,10,131500
2012-08-01,CTD,12540,12500,12540,12500,12500,3170,39625000
2012-08-02,CTD,12500,12500,12500,12500,12500,0,0
2012-08-03,CTD,12440,11940,11940,12440,12440,7130,88697200
2012-08-06,CTD,12400,11900,12060,12250,12250,11840,145040000
2012-08-07,CTD,12820,12250,12820,12250,12250,300,3675000
2012-08-08,CTD,12740,11870,11870,12740,12740,20,254800
2012-08-09,CTD,13000,13000,12740,13000,13000,10,130000
2012-08-10,CTD,12480,12360,12360,12400,12400,690,8556000
2012-08-13,CTD,12440,11870,11870,12440,12440,1560,19406400
2012-08-14,CTD,12440,12060,12440,12250,12250,11530,141242500
2012-08-15,CTD,12290,12250,12250,12290,12290,2980,36624200
2012-08-16,CTD,12290,12060,12290,12290,12290,2120,26054800
2012-08-17,CTD,12290,12060,12290,12250,12250,2740,33565000
2012-08-20,CTD,12100,12100,12100,12100,12100,3650,44165000
2012-08-21,CTD,12100,11500,12100,11500,11500,22580,259670000
2012-08-22,CTD,11610,11500,11610,11500,11500,2760,31740000
2012-08-23,CTD,11300,10930,10960,10930,10930,15170,165808100
2012-08-24,CTD,11420,10440,10440,11420,11420,2520,28778400
2012-08-27,CTD,11420,11420,11420,11420,11420,110,1256200
2012-08-28,CTD,11870,11420,11870,11420,11420,240,2740800
2012-08-29,CTD,11420,11340,11420,11420,11420,2000,22840000
2012-08-30,CTD,11680,11580,11680,11610,11610,4850,56308500
2012-08-31,CTD,11680,11680,11680,11680,11680,210,2452800
2012-09-04,CTD,12060,12060,12060,12060,12060,10,120600
2012-09-05,CTD,12060,11500,12060,11500,11500,11120,127880000
2012-09-06,CTD,11790,10930,10930,11500,11500,10140,116610000
2012-09-07,CTD,11500,11500,11500,11500,11500,320,3680000
2012-09-10,CTD,10930,10930,10930,10930,10930,700,7651000
2012-09-11,CTD,11270,10960,10960,11040,11040,2670,29476800
2012-09-12,CTD,11300,11080,11080,11300,11300,2700,30510000
2012-09-13,CTD,11300,10930,11300,11300,11300,13030,147239000
2012-09-14,CTD,11300,11230,11300,11300,11300,3000,33900000
2012-09-17,CTD,11610,11610,11610,11610,11610,10,116100
2012-09-18,CTD,11150,11110,11110,11110,11110,2550,28330500
2012-09-19,CTD,11300,10930,10930,11300,11300,3430,38759000
2012-09-20,CTD,11500,11110,11110,11500,11500,610,7015000
2012-09-21,CTD,11380,11150,11380,11150,11150,5050,56307500
2012-09-24,CTD,11300,11150,11190,11300,11300,8490,95937000
2012-09-25,CTD,11300,11300,11300,11300,11300,0,0
2012-09-26,CTD,11300,11300,11300,11300,11300,0,0
2012-09-27,CTD,11420,11230,11420,11420,11420,28300,323186000
2012-09-28,CTD,11420,11300,11420,11300,11300,2900,32770000
2012-10-01,CTD,11300,11300,11300,11300,11300,300,3390000
2012-10-02,CTD,11300,11300,11300,11300,11300,0,0
2012-10-03,CTD,11150,11150,11150,11150,11150,200,2230000
2012-10-04,CTD,11110,11110,11110,11110,11110,100,1111000
2012-10-05,CTD,11110,11110,11110,11110,11110,4000,44440000
2012-10-08,CTD,11340,11300,11340,11300,11300,39160,442508000
2012-10-09,CTD,11300,10930,10930,11300,11300,110,1243000
2012-10-10,CTD,11300,10930,11300,10930,10930,30830,336971900
2012-10-11,CTD,11300,11300,11300,11300,11300,700,7910000
2012-10-12,CTD,11300,11300,11300,11300,11300,0,0
2012-10-15,CTD,11300,11300,11300,11300,11300,0,0
2012-10-16,CTD,11230,11230,11230,11230,11230,3000,33690000
2012-10-17,CTD,11230,11230,11230,11230,11230,1500,16845000
2012-10-18,CTD,11230,11230,11230,11230,11230,0,0
2012-10-19,CTD,11190,10740,10740,11190,11190,510,5706900
2012-10-22,CTD,11270,11190,11190,11270,11270,7260,81820200
2012-10-23,CTD,11270,11270,11270,11270,11270,0,0
2012-10-24,CTD,10780,10780,10780,10780,10780,80,862400
2012-10-25,CTD,11230,11230,11230,11230,11230,10,112300
2012-10-26,CTD,11190,11190,11190,11190,11190,2100,23499000
2012-10-29,CTD,11230,11150,11150,11230,11230,7390,82989700
2012-10-30,CTD,11150,10930,10930,11110,11110,8010,88991100
2012-10-31,CTD,10930,10930,10930,10930,10930,1000,10930000
2012-11-01,CTD,11110,10930,11110,10930,10930,3210,35085300
2012-11-02,CTD,10400,10400,10400,10400,10400,550,5720000
2012-11-05,CTD,10630,10630,10630,10630,10630,590,6271700
2012-11-06,CTD,10740,10100,10210,10740,10740,6260,67232400
2012-11-07,CTD,11000,11000,10740,11000,11000,10,110000
2012-11-08,CTD,11000,11000,11000,11000,11000,0,0
2012-11-09,CTD,11000,10960,11000,11000,11000,3000,33000000
2012-11-12,CTD,10960,10960,10960,10960,10960,1840,20166400
2012-11-13,CTD,10960,10960,10960,10960,10960,0,0
2012-11-14,CTD,10960,10960,10960,10960,10960,0,0
2012-11-15,CTD,10960,10960,10960,10960,10960,0,0
2012-11-16,CTD,10960,10480,10960,10930,10930,2570,28090100
2012-11-19,CTD,10930,10930,10930,10930,10930,1000,10930000
2012-11-20,CTD,10930,10930,10930,10930,10930,500,5465000
2012-11-21,CTD,10930,10930,10930,10930,10930,0,0
2012-11-22,CTD,10930,10930,10930,10930,10930,0,0
2012-11-23,CTD,10820,10670,10670,10820,10820,4600,49772000
2012-11-26,CTD,10890,10890,10890,10890,10890,560,6098400
2012-11-27,CTD,10890,10890,10890,10890,10890,0,0
2012-11-28,CTD,10890,10890,10890,10890,10890,0,0
2012-11-29,CTD,11230,11230,11230,11230,11230,10,112300
2012-11-30,CTD,11230,11230,11230,11230,11230,0,0
2012-12-03,CTD,11230,11230,11230,11230,11230,0,0
2012-12-04,CTD,11230,10740,10740,11230,11230,3020,33914600
2012-12-05,CTD,11230,11230,11230,11230,11230,0,0
2012-12-06,CTD,10820,10780,10780,10780,10780,2000,21560000
2012-12-07,CTD,11230,11230,11230,11230,11230,10,112300
2012-12-10,CTD,11270,11270,11270,11270,11270,1500,16905000
2012-12-11,CTD,11000,10930,11000,10930,10930,2550,27871500
2012-12-12,CTD,11000,10930,10930,11000,11000,3070,33770000
2012-12-13,CTD,11000,11000,11000,11000,11000,200,2200000
2012-12-14,CTD,11040,11000,11000,11040,11040,1410,15566400
2012-12-17,CTD,11080,11080,11080,11080,11080,1590,17617200
2012-12-18,CTD,11110,10740,10740,11110,11110,2010,22331100
2012-12-19,CTD,10930,10740,10740,10930,10930,920,10055600
2012-12-20,CTD,11230,11230,11230,11230,11230,3000,33690000
2012-12-21,CTD,11230,10930,10930,11230,11230,4960,55700800
2012-12-24,CTD,11040,11040,11040,11040,11040,2000,22080000
2012-12-25,CTD,11040,11040,11040,11040,11040,0,0
