Date,code,high,low,open,close,adjust,volume_match,value_match
2012-03-20,CTG,6540,6400,6400,6510,6510,539210,3510257100
2012-03-21,CTG,6690,6540,6570,6540,6540,727310,4756607400
2012-03-22,CTG,6640,6490,6490,6540,6540,635250,4154535000
2012-03-23,CTG,6690,6570,6620,6620,6620,1275730,8445332600
2012-03-26,CTG,6950,6930,6950,6950,6950,3953870,27479396500
2012-03-27,CTG,7200,6870,7200,6950,6950,1253900,8714605000
2012-03-28,CTG,7110,6900,6950,7020,7020,640640,4497292800
2012-03-29,CTG,7130,6820,7130,6930,6930,869890,6028337700
2012-03-30,CTG,7250,7120,7250,7250,7250,1888480,13691480000
2012-04-03,CTG,7480,7250,7350,7480,7480,644120,4818017600
2012-04-04,CTG,7580,7310,7580,7310,7310,442910,3237672100
2012-04-05,CTG,7350,7160,7250,7250,7250,736690,5341002500
2012-04-06,CTG,7350,7230,7250,7230,7230,850080,6146078400
2012-04-09,CTG,7350,7250,7350,7280,7280,394750,2873780000
2012-04-10,CTG,7280,7230,7280,7250,7250,578750,4195937500
2012-04-11,CTG,7350,7230,7280,7280,7280,730470,5317821600
2012-04-12,CTG,7580,7280,7310,7550,7550,1786450,13487697500
2012-04-13,CTG,7550,7380,7520,7380,7380,962420,7102659600
2012-04-16,CTG,7580,7350,7420,7520,7520,827910,6225883200
2012-04-17,CTG,7650,7450,7550,7520,7520,1823830,13715201600
2012-04-18,CTG,7580,7450,7520,7450,7450,974900,7263005000
2012-04-19,CTG,7520,7350,7520,7380,7380,707910,5224375800
2012-04-20,CTG,7520,7380,7520,7450,7450,437840,3261908000
2012-04-23,CTG,7480,7380,7480,7380,7380,289090,2133484200
2012-04-24,CTG,7380,7280,7380,7310,7310,612460,4477082600
2012-04-25,CTG,7420,7350,7380,7350,7350,440310,3236278500
2012-04-26,CTG,7380,7250,7350,7250,7250,534860,3877735000
2012-04-27,CTG,7310,7190,7190,7280,7280,701600,5107648000
2012-05-02,CTG,7280,7190,7280,7250,7250,538310,3902747500
2012-05-03,CTG,7250,7160,7250,7160,7160,290160,2077545600
2012-05-04,CTG,7310,7160,7190,7230,7230,708910,5125419300
2012-05-07,CTG,7310,7230,7250,7280,7280,575380,4188766400
2012-05-08,CTG,7620,7250,7250,7420,7420,1055940,7835074800
2012-05-09,CTG,7480,7380,7480,7380,7380,280840,2072599200
2012-05-10,CTG,7580,7310,7380,7420,7420,812360,6027711200
2012-05-11,CTG,7580,7380,7480,7420,7420,1286970,9549317400
2012-05-14,CTG,7790,7480,7520,7680,7680,2665900,20474112000
2012-05-15,CTG,7720,7310,7680,7310,7310,878750,6423662500
2012-05-16,CTG,7420,7250,7310,7310,7310,585780,4282051800
2012-05-17,CTG,7420,7190,7350,7250,7250,795510,5767447500
2012-05-18,CTG,7160,6890,7120,7090,7090,1973860,13994667400
2012-05-21,CTG,7280,7060,7190,7250,7250,754880,5472880000
2012-05-22,CTG,7250,7020,7250,7060,7060,315560,2227853600
2012-05-23,CTG,7160,6860,6930,6860,6860,823090,5646397400
2012-05-24,CTG,6860,6620,6730,6660,6660,439160,2924805600
2012-05-25,CTG,6990,6660,6660,6990,6990,661680,4625143200
2012-05-28,CTG,7120,6890,7120,6890,6890,193680,1334455200
2012-05-29,CTG,6860,6730,6760,6760,6760,617310,4173015600
2012-05-30,CTG,6930,6760,6790,6820,6820,319040,2175852800
2012-05-31,CTG,6890,6690,6790,6730,6730,289030,1945171900
2012-06-01,CTG,6930,6730,6930,6760,6760,251160,1697841600
2012-06-04,CTG,6730,6530,6730,6560,6560,876750,5751480000
2012-06-05,CTG,6660,6560,6600,6560,6560,452550,2968728000
2012-06-06,CTG,6730,6600,6600,6730,6730,178690,1202583700
2012-06-07,CTG,6930,6760,6820,6760,6760,548180,3705696800
2012-06-08,CTG,6930,6760,6860,6760,6760,449680,3039836800
2012-06-11,CTG,7090,6760,6790,7090,7090,1645920,11669572800
2012-06-12,CTG,7250,7020,7230,7120,7120,395170,2813610400
2012-06-13,CTG,7190,7020,7160,7190,7190,546000,3925740000
2012-06-14,CTG,7190,7090,7190,7090,7090,459940,3260974600
2012-06-15,CTG,7160,7020,7090,7020,7020,860980,6044079600
2012-06-18,CTG,7090,6930,7060,6990,6990,487750,3409372500
2012-06-19,CTG,7020,6860,6960,6860,6860,221170,1517226200
2012-06-20,CTG,6930,6860,6860,6860,6860,275890,1892605400
2012-06-21,CTG,6930,6860,6860,6930,6930,221100,1532223000
2012-06-22,CTG,6960,6890,6930,6890,6890,331940,2287066600
2012-06-25,CTG,6930,6760,6930,6760,6760,215760,1458537600
2012-06-26,CTG,6760,6660,6690,6660,6660,456890,3042887400
