Date,code,high,low,open,close,adjust,volume_match,value_match
2017-10-31,CTR,12340,9710,12340,9710,9710,174200,1691482000
2017-11-01,CTR,9880,9070,9880,9110,9110,45175,411544250
2017-11-02,CTR,9170,8140,9070,8140,8140,9391,76442740
2017-11-03,CTR,7700,7310,7660,7490,7490,59994,449355060
2017-11-06,CTR,8580,7460,7490,8580,8580,36843,316112940
2017-11-07,CTR,9440,8490,8490,9440,9440,53412,504209280
2017-11-08,CTR,10640,9360,10380,9530,9530,68856,656197680
2017-11-09,CTR,10040,9140,9530,9290,9290,21640,201035600
2017-11-10,CTR,9360,9170,9170,9360,9360,12410,116157600
2017-11-13,CTR,8910,8530,8840,8660,8660,15901,137702660
2017-11-14,CTR,9020,8660,9020,8740,8740,10819,94558060
2017-11-15,CTR,8760,8700,8760,8760,8760,27000,236520000
2017-11-16,CTR,9020,8760,8800,8800,8800,22200,195360000
2017-11-17,CTR,9020,8910,8910,8910,8910,22210,197891100
2017-11-20,CTR,8760,8660,8740,8660,8660,13900,120374000
2017-11-21,CTR,8840,8350,8840,8580,8580,40610,348433800
2017-11-22,CTR,8580,8250,8580,8250,8250,46510,383707500
2017-11-23,CTR,8320,8140,8250,8320,8320,16586,137995520
2017-11-24,CTR,8490,8250,8320,8320,8320,47916,398661120
2017-11-27,CTR,8350,8250,8320,8350,8350,22606,188760100
2017-11-28,CTR,8450,8290,8320,8320,8320,40850,339872000
2017-11-29,CTR,8840,8290,8320,8380,8380,80331,673173780
2017-11-30,CTR,8740,8420,8490,8490,8490,42700,362523000
2017-12-01,CTR,8990,8350,8990,8660,8660,26320,227931200
2017-12-04,CTR,8840,8450,8660,8840,8840,68529,605796360
2017-12-05,CTR,9360,8700,8840,9360,9360,38913,364225680
2017-12-06,CTR,9970,9320,9320,9630,9630,134624,1296429120
2017-12-07,CTR,9770,9400,9710,9560,9560,94611,904481160
2017-12-08,CTR,9880,9070,9710,9070,9070,26070,236454900
2017-12-11,CTR,9360,8660,9360,9140,9140,10236,93557040
2017-12-12,CTR,9630,8660,9360,9320,9320,22924,213651680
2017-12-13,CTR,9670,8840,9670,8840,8840,28068,248121120
2017-12-14,CTR,9140,8800,8840,9140,9140,21900,200166000
2017-12-15,CTR,9170,8800,9020,9170,9170,27966,256448220
2017-12-18,CTR,9630,8950,8950,9360,9360,25100,234936000
2017-12-19,CTR,9770,9250,9360,9360,9360,77143,722058480
2017-12-20,CTR,9810,9020,9590,9020,9020,44400,400488000
2017-12-21,CTR,9530,9040,9040,9360,9360,4450,41652000
2017-12-22,CTR,9460,9320,9320,9320,9320,13823,128830360
2017-12-25,CTR,9490,9110,9460,9110,9110,2556,23285160
2017-12-26,CTR,8990,8800,8840,8990,8990,11255,101182450
2017-12-27,CTR,8840,8660,8660,8760,8760,11222,98304720
2017-12-28,CTR,9020,8700,9020,8950,8950,23800,213010000
2017-12-29,CTR,9110,8660,8660,9110,9110,9000,81990000
2018-01-02,CTR,9360,8910,9070,8950,8950,16660,149107000
2018-01-03,CTR,9170,8950,9070,9020,9020,20836,187940720
2018-01-04,CTR,9170,9020,9020,9140,9140,6600,60324000
2018-01-05,CTR,9360,8840,9170,9070,9070,4235,38411450
2018-01-08,CTR,9020,8740,8880,9020,9020,7600,68552000
2018-01-09,CTR,8950,8660,8950,8880,8880,10143,90069840
2018-01-10,CTR,9710,8700,9140,8760,8760,44600,390696000
2018-01-11,CTR,9460,8740,9360,9360,9360,8300,77688000
2018-01-12,CTR,9070,8700,8760,8740,8740,13400,117116000
2018-01-15,CTR,8910,8530,8660,8910,8910,10700,95337000
2018-01-16,CTR,9070,8880,9070,8880,8880,350,3108000
2018-01-17,CTR,8990,8560,8990,8880,8880,5733,50909040
2018-01-18,CTR,8840,8320,8840,8660,8660,22510,194936600
2018-01-19,CTR,8740,8450,8620,8740,8740,26300,229862000
2018-01-22,CTR,9070,8560,8990,8950,8950,38150,341442500
2018-01-23,CTR,9020,8740,8740,8840,8840,13600,120224000
2018-01-24,CTR,8910,8660,8910,8840,8840,16600,146744000
2018-01-25,CTR,8840,8560,8760,8760,8760,53700,470412000
2018-01-26,CTR,8990,8760,8840,8990,8990,68410,615005900
2018-01-29,CTR,8990,8660,8990,8950,8950,10281,92014950
2018-01-30,CTR,8910,8530,8580,8840,8840,13436,118774240
2018-01-31,CTR,8800,8580,8580,8800,8800,54100,476080000
2018-02-01,CTR,8660,8490,8580,8660,8660,19100,165406000
2018-02-02,CTR,8620,8109,8490,8620,8620,25100,216362000
2018-02-05,CTR,8660,8140,8140,8660,8660,1800,15588000
2018-02-06,CTR,8620,8620,8620,8620,8620,105,905100
2018-02-07,CTR,8620,8620,8620,8620,8620,120,1034400
2018-02-08,CTR,8560,7660,7660,8560,8560,2788,23865280
2018-02-09,CTR,8580,7870,8580,8560,8560,4266,36516960
2018-02-12,CTR,8380,8380,8380,8380,8380,5200,43576000
2018-02-13,CTR,8990,8490,8490,8990,8990,8608,77385920
2018-02-21,CTR,8800,8660,8660,8800,8800,14050,123640000
2018-02-22,CTR,8740,8140,8140,8660,8660,4255,36848300
2018-02-23,CTR,8740,8140,8140,8740,8740,6600,57684000
2018-02-26,CTR,8760,8560,8560,8760,8760,36600,320616000
2018-02-27,CTR,8760,8490,8740,8760,8760,22300,195348000
2018-02-28,CTR,8950,8740,8740,8950,8950,2243,20074850
2018-03-01,CTR,8950,8800,8840,8950,8950,8455,75672250
2018-03-02,CTR,8840,8580,8840,8840,8840,47100,416364000
2018-03-05,CTR,8660,8580,8660,8580,8580,6905,59244900
2018-03-06,CTR,8660,8660,8660,8660,8660,300,2598000
2018-03-07,CTR,8660,8490,8580,8660,8660,2040,17666400
2018-03-08,CTR,8740,8320,8740,8620,8620,6610,56978200
2018-03-09,CTR,8620,8320,8490,8620,8620,4800,41376000
2018-03-12,CTR,8620,8560,8560,8620,8620,905,7801100
2018-03-13,CTR,8580,8320,8580,8560,8560,8700,74472000
2018-03-14,CTR,8660,8580,8660,8580,8580,339,2908620
2018-03-15,CTR,8620,8620,8620,8620,8620,5,43100
2018-03-16,CTR,8660,8140,8620,8560,8560,7286,62368160
2018-03-19,CTR,8490,8490,8490,8490,8490,100,849000
2018-03-20,CTR,8490,8320,8320,8490,8490,2100,17829000
2018-03-21,CTR,8530,8420,8490,8530,8530,10300,87859000
2018-03-22,CTR,8530,8320,8320,8490,8490,4200,35658000
2018-03-23,CTR,8490,8490,8490,8490,8490,100,849000
2018-03-26,CTR,8530,8380,8530,8380,8380,1700,14246000
2018-03-27,CTR,8380,8380,8380,8380,8380,2304,19307520
2018-03-28,CTR,8380,8320,8380,8380,8380,1000,8380000
2018-03-29,CTR,8530,8320,8320,8530,8530,50421,430091130
2018-03-30,CTR,8840,8350,8530,8350,8350,759,6337650
2018-04-02,CTR,8760,8760,8760,8760,8760,4050,35478000
2018-04-03,CTR,8490,8320,8490,8320,8320,3620,30118400
2018-04-04,CTR,8420,8320,8320,8320,8320,875,7280000
2018-04-05,CTR,8380,8320,8320,8320,8320,4900,40768000
2018-04-06,CTR,8320,8140,8170,8290,8290,2254,18685660
2018-04-09,CTR,8450,7970,8450,8320,8320,8294,69006080
2018-04-10,CTR,8320,8140,8320,8140,8140,5050,41107000
2018-04-11,CTR,8350,8070,8170,8320,8320,9242,76893440
2018-04-12,CTR,8320,7970,8320,8290,8290,8300,68807000
2018-04-13,CTR,8290,8140,8170,8170,8170,5300,43301000
2018-04-16,CTR,8320,8140,8320,8140,8140,4150,33781000
2018-04-17,CTR,8320,8320,8320,8320,8320,5600,46592000
2018-04-18,CTR,8420,8290,8380,8420,8420,12956,109089520
2018-04-19,CTR,8380,8039,8320,8320,8320,14500,120640000
2018-04-20,CTR,8660,7620,7970,8350,8350,14306,119455100
2018-04-23,CTR,8660,8320,8660,8320,8320,2800,23296000
2018-04-24,CTR,8490,7970,7970,8320,8320,6520,54246400
2018-04-26,CTR,8580,7970,7970,8490,8490,5590,47459100
