Date,code,high,low,open,close,adjust,volume_match,value_match
2012-03-20,DBC,2480,2430,2450,2470,2470,220300,544141000
2012-03-21,DBC,2520,2470,2480,2480,2480,358900,890072000
2012-03-22,DBC,2520,2430,2470,2490,2490,145600,362544000
2012-03-23,DBC,2620,2490,2490,2570,2570,295100,758407000
2012-03-26,DBC,2690,2560,2560,2640,2640,298200,787248000
2012-03-27,DBC,2670,2480,2650,2500,2500,474700,1186750000
2012-03-28,DBC,2560,2490,2520,2550,2550,392500,1000875000
2012-03-29,DBC,2700,2540,2540,2700,2700,863900,2332530000
2012-03-30,DBC,2820,2630,2820,2630,2630,149700,393711000
2012-04-03,DBC,2690,2570,2630,2690,2690,142700,383863000
2012-04-04,DBC,2690,2620,2690,2620,2620,169600,444352000
2012-04-05,DBC,2640,2560,2590,2590,2590,183900,476301000
2012-04-06,DBC,2600,2560,2570,2570,2570,158800,408116000
2012-04-09,DBC,2760,2570,2570,2760,2760,349800,965448000
2012-04-10,DBC,2920,2770,2900,2830,2830,158200,447706000
2012-04-11,DBC,2990,2920,2920,2990,2990,329800,986102000
2012-04-12,DBC,3160,3030,3050,3050,3050,129300,394365000
2012-04-13,DBC,3110,2840,3110,2920,2920,428700,1251804000
2012-04-16,DBC,3050,2870,2920,3030,3030,417100,1263813000
2012-04-17,DBC,3170,3140,3170,3170,3170,3188600,10107862000
2012-04-18,DBC,3390,3320,3390,3390,3390,1495700,5070423000
2012-04-19,DBC,3610,3350,3610,3390,3390,919200,3116088000
2012-04-20,DBC,3390,3180,3390,3240,3240,498100,1613844000
2012-04-23,DBC,3240,3090,3220,3130,3130,901800,2822634000
2012-04-24,DBC,3140,2970,3110,3090,3090,531200,1641408000
2012-04-25,DBC,3230,3090,3090,3180,3180,482900,1535622000
2012-04-26,DBC,3240,3090,3240,3100,3100,378700,1173970000
2012-04-27,DBC,3160,3050,3080,3100,3100,312300,968130000
2012-05-02,DBC,3140,3050,3100,3090,3090,742000,2292780000
2012-05-03,DBC,3110,2990,3050,3110,3110,745400,2318194000
2012-05-04,DBC,3300,3110,3110,3300,3300,1020000,3366000000
2012-05-07,DBC,3490,3300,3320,3430,3430,652200,2237046000
2012-05-08,DBC,3450,3280,3450,3300,3300,752900,2484570000
2012-05-09,DBC,3470,3240,3260,3370,3370,621100,2093107000
2012-05-10,DBC,3450,3260,3390,3350,3350,714400,2393240000
2012-05-11,DBC,3350,3180,3350,3230,3230,839400,2711262000
2012-05-14,DBC,3240,3010,3230,3010,3010,526400,1584464000
2012-05-15,DBC,3080,2890,2890,2990,2990,428700,1281813000
2012-05-16,DBC,3100,2970,3010,3100,3100,362200,1122820000
2012-05-17,DBC,3160,2970,3140,3030,3030,237500,719625000
2012-05-18,DBC,2990,2830,2990,2920,2920,342600,1000392000
2012-05-21,DBC,3080,2840,2840,3080,3080,270000,831600000
2012-05-22,DBC,3160,3030,3100,3080,3080,274400,845152000
2012-05-23,DBC,3260,3050,3050,3110,3110,1200700,3734177000
2012-05-24,DBC,3180,3050,3140,3130,3130,404900,1267337000
2012-05-25,DBC,3240,3110,3110,3230,3230,629000,2031670000
2012-05-28,DBC,3370,3160,3240,3170,3170,631400,2001538000
2012-05-29,DBC,3170,3090,3160,3110,3110,300800,935488000
2012-05-30,DBC,3180,3110,3160,3110,3110,94200,292962000
2012-05-31,DBC,3100,3030,3090,3050,3050,443600,1352980000
2012-06-01,DBC,3130,3070,3090,3100,3100,193800,600780000
2012-06-04,DBC,3320,3080,3100,3100,3100,396200,1228220000
2012-06-05,DBC,3170,3090,3100,3160,3160,139900,442084000
2012-06-06,DBC,3170,3090,3130,3130,3130,132600,415038000
2012-06-07,DBC,3300,3110,3140,3230,3230,406500,1312995000
2012-06-08,DBC,3320,3170,3320,3170,3170,187100,593107000
2012-06-11,DBC,3240,3130,3240,3130,3130,183500,574355000
2012-06-12,DBC,3140,3080,3140,3100,3100,180900,560790000
2012-06-13,DBC,3180,3090,3100,3090,3090,125900,389031000
2012-06-14,DBC,3160,3090,3090,3100,3100,160700,498170000
2012-06-15,DBC,3140,3100,3100,3140,3140,67700,212578000
2012-06-18,DBC,3200,3140,3200,3160,3160,123900,391524000
2012-06-19,DBC,3140,3110,3140,3110,3110,142300,442553000
2012-06-20,DBC,3130,3100,3130,3130,3130,87100,272623000
2012-06-21,DBC,3140,3110,3140,3110,3110,120500,374755000
2012-06-22,DBC,3140,3110,3130,3130,3130,142400,445712000
2012-06-25,DBC,3130,3050,3130,3070,3070,231200,709784000
2012-06-26,DBC,3070,3030,3070,3070,3070,237300,728511000
2012-06-27,DBC,3100,3070,3080,3070,3070,101100,310377000
2012-06-28,DBC,3090,3050,3080,3080,3080,28800,88704000
2012-06-29,DBC,3130,3080,3080,3100,3100,99500,308450000
2012-07-02,DBC,3170,3090,3160,3090,3090,31700,97953000
2012-07-03,DBC,3100,3010,3090,3030,3030,117700,356631000
2012-07-04,DBC,3050,2960,3050,2960,2960,53500,158360000
2012-07-05,DBC,3010,2840,2970,2960,2960,102700,303992000
2012-07-06,DBC,3050,2940,2990,2970,2970,65800,195426000
2012-07-09,DBC,2920,2810,2920,2810,2810,88400,248404000
2012-07-10,DBC,2810,2700,2810,2700,2700,133000,359100000
2012-07-11,DBC,2790,2720,2720,2770,2770,80800,223816000
2012-07-12,DBC,2830,2770,2790,2810,2810,45400,127574000
2012-07-13,DBC,2990,2820,2830,2990,2990,152900,457171000
2012-07-16,DBC,3050,2860,3050,2860,2860,50100,143286000
2012-07-17,DBC,2970,2920,2960,2960,2960,78400,232064000
2012-07-18,DBC,2970,2900,2940,2960,2960,78100,231176000
2012-07-19,DBC,3090,2920,2960,3090,3090,129100,398919000
2012-07-20,DBC,3110,2970,3110,2970,2970,111200,330264000
2012-07-23,DBC,3110,3030,3050,3050,3050,65900,200995000
2012-07-24,DBC,3010,2890,2970,2940,2940,53600,157584000
2012-07-25,DBC,2990,2920,2970,2970,2970,52500,155925000
2012-07-26,DBC,3010,2970,2990,3010,3010,33700,101437000
2012-07-27,DBC,2990,2940,2970,2990,2990,50500,150995000
2012-07-30,DBC,3010,2920,2990,2970,2970,8700,25839000
2012-07-31,DBC,3030,2920,3030,2940,2940,30600,89964000
2012-08-01,DBC,2960,2890,2920,2900,2900,68100,197490000
2012-08-02,DBC,2920,2890,2900,2900,2900,11600,33640000
2012-08-03,DBC,2920,2900,2900,2920,2920,12300,35916000
2012-08-06,DBC,3050,2920,2940,3030,3030,79800,241794000
2012-08-07,DBC,3070,2990,3030,3030,3030,123700,374811000
2012-08-08,DBC,3050,2990,3030,3030,3030,77400,234522000
2012-08-09,DBC,3080,3030,3050,3050,3050,44300,135115000
2012-08-10,DBC,3050,3010,3030,3010,3010,18400,55384000
2012-08-13,DBC,3030,2970,3030,3010,3010,20300,61103000
2012-08-14,DBC,3030,2830,3010,3010,3010,35600,107156000
2012-08-15,DBC,2970,2970,2970,2970,2970,5400,16038000
2012-08-16,DBC,2970,2920,2970,2960,2960,216200,639952000
2012-08-17,DBC,2970,2900,2900,2960,2960,24900,73704000
2012-08-20,DBC,3050,2970,2990,3030,3030,68900,208767000
2012-08-21,DBC,3010,2820,3010,2820,2820,396800,1118976000
2012-08-22,DBC,2970,2700,2700,2820,2820,141700,399594000
2012-08-23,DBC,2900,2630,2840,2630,2630,346700,911821000
2012-08-24,DBC,2810,2490,2630,2810,2810,209300,588133000
2012-08-27,DBC,2970,2740,2840,2740,2740,438400,1201216000
2012-08-28,DBC,2960,2690,2760,2920,2920,197200,575824000
2012-08-29,DBC,2970,2840,2840,2940,2940,236900,696486000
2012-08-30,DBC,2920,2870,2920,2890,2890,22200,64158000
2012-08-31,DBC,2920,2830,2840,2890,2890,23000,66470000
2012-09-04,DBC,2900,2860,2890,2900,2900,39500,114550000
2012-09-05,DBC,2890,2820,2890,2830,2830,54800,155084000
2012-09-06,DBC,2840,2790,2840,2820,2820,51800,146076000
2012-09-07,DBC,2820,2790,2810,2810,2810,64200,180402000
2012-09-10,DBC,2770,2700,2770,2720,2720,55000,149600000
2012-09-11,DBC,2770,2700,2700,2770,2770,80200,222154000
2012-09-12,DBC,2770,2740,2770,2740,2740,22900,62746000
2012-09-13,DBC,2770,2740,2770,2770,2770,16900,46813000
2012-09-14,DBC,2840,2790,2790,2840,2840,103200,293088000
2012-09-17,DBC,2870,2810,2840,2840,2840,83200,236288000
2012-09-18,DBC,2840,2770,2840,2790,2790,132800,370512000
2012-09-19,DBC,2840,2770,2770,2790,2790,116600,325314000
2012-09-20,DBC,2840,2770,2840,2790,2790,22000,61380000
2012-09-21,DBC,2830,2770,2820,2810,2810,53400,150054000
2012-09-24,DBC,2810,2760,2810,2770,2770,26500,73405000
2012-09-25,DBC,2770,2770,2770,2770,2770,22400,62048000
2012-09-26,DBC,2830,2770,2770,2830,2830,38300,108389000
2012-09-27,DBC,2770,2700,2700,2770,2770,26800,74236000
2012-09-28,DBC,2770,2770,2770,2770,2770,19700,54569000
2012-10-01,DBC,2790,2760,2770,2770,2770,50300,139331000
2012-10-02,DBC,2770,2760,2760,2760,2760,47500,131100000
2012-10-03,DBC,2790,2740,2740,2770,2770,15400,42658000
2012-10-04,DBC,2830,2760,2760,2810,2810,82800,232668000
2012-10-05,DBC,2810,2770,2770,2810,2810,23900,67159000
2012-10-08,DBC,2840,2790,2790,2820,2820,28600,80652000
2012-10-09,DBC,2820,2820,2820,2820,2820,11900,33558000
2012-10-10,DBC,2830,2810,2820,2830,2830,26700,75561000
2012-10-11,DBC,2890,2820,2830,2840,2840,30300,86052000
2012-10-12,DBC,2830,2820,2820,2830,2830,5100,14433000
2012-10-15,DBC,2830,2790,2820,2790,2790,13000,36270000
2012-10-16,DBC,2860,2790,2810,2860,2860,35100,100386000
2012-10-17,DBC,2870,2840,2860,2860,2860,14900,42614000
2012-10-18,DBC,2870,2810,2860,2820,2820,144100,406362000
2012-10-19,DBC,2820,2760,2790,2760,2760,45900,126684000
2012-10-22,DBC,2770,2740,2760,2740,2740,57700,158098000
2012-10-23,DBC,2770,2740,2770,2770,2770,3200,8864000
2012-10-24,DBC,2770,2760,2770,2770,2770,11900,32963000
2012-10-25,DBC,2770,2760,2760,2760,2760,44700,123372000
2012-10-26,DBC,2770,2760,2760,2770,2770,173400,480318000
2012-10-29,DBC,2790,2770,2770,2770,2770,15300,42381000
2012-10-30,DBC,2770,2760,2770,2760,2760,24600,67896000
2012-10-31,DBC,2940,2760,2760,2920,2920,122400,357408000
2012-11-01,DBC,2840,2810,2830,2820,2820,5300,14946000
2012-11-02,DBC,2770,2760,2760,2770,2770,63400,175618000
2012-11-05,DBC,2770,2770,2770,2770,2770,16300,45151000
2012-11-06,DBC,2770,2770,2770,2770,2770,14100,39057000
2012-11-07,DBC,2860,2820,2820,2840,2840,61400,174376000
2012-11-08,DBC,2840,2810,2840,2840,2840,34100,96844000
2012-11-09,DBC,2840,2830,2840,2840,2840,20000,56800000
2012-11-12,DBC,2920,2840,2920,2840,2840,25800,73272000
2012-11-13,DBC,2900,2840,2860,2840,2840,104800,297632000
2012-11-14,DBC,2890,2840,2840,2840,2840,104500,296780000
2012-11-15,DBC,2920,2830,2840,2920,2920,71700,209364000
2012-11-16,DBC,2940,2840,2840,2920,2920,19400,56648000
2012-11-19,DBC,2970,2900,2900,2920,2920,129300,377556000
2012-11-20,DBC,2970,2920,2920,2970,2970,119400,354618000
2012-11-21,DBC,3100,2970,2970,3090,3090,92500,285825000
2012-11-22,DBC,3100,3090,3100,3100,3100,69400,215140000
2012-11-23,DBC,3180,3110,3110,3160,3160,69000,218040000
2012-11-26,DBC,3170,2970,3170,2990,2990,62600,187174000
2012-11-27,DBC,3090,2970,3090,3030,3030,37300,113019000
2012-11-28,DBC,3080,2970,3080,3030,3030,54500,165135000
2012-11-29,DBC,3070,3010,3030,3030,3030,32300,97869000
2012-11-30,DBC,3080,3030,3080,3030,3030,21800,66054000
2012-12-03,DBC,3070,2970,3030,3070,3070,69000,211830000
2012-12-04,DBC,3200,3050,3050,3070,3070,143100,439317000
2012-12-05,DBC,3050,2970,3050,3050,3050,22800,69540000
2012-12-06,DBC,3050,2970,3030,2970,2970,15900,47223000
2012-12-07,DBC,3010,2970,2970,2990,2990,50600,151294000
2012-12-10,DBC,3030,2950,2970,3030,3030,26600,80598000
2012-12-11,DBC,3050,2970,3030,3030,3030,17700,53631000
2012-12-12,DBC,3030,2970,2970,3030,3030,76000,230280000
2012-12-13,DBC,3030,2970,3010,3010,3010,67200,202272000
2012-12-14,DBC,3010,2970,2990,2990,2990,21700,64883000
2012-12-17,DBC,2990,2970,2990,2970,2970,15400,45738000
2012-12-18,DBC,2970,2930,2950,2950,2950,112000,330400000
2012-12-19,DBC,3050,2930,3050,2970,2970,8400,24948000
2012-12-20,DBC,2990,2930,2990,2950,2950,51400,151630000
2012-12-21,DBC,2970,2950,2950,2950,2950,57300,169035000
2012-12-24,DBC,2970,2970,2970,2970,2970,26500,78705000
2012-12-25,DBC,2970,2950,2970,2950,2950,8900,26255000
2012-12-26,DBC,2970,2930,2950,2970,2970,26300,78111000
2012-12-27,DBC,3010,2950,3010,2970,2970,58600,174042000
2012-12-28,DBC,2990,2970,2990,2970,2970,38600,114642000
2013-01-02,DBC,3050,2990,3010,3030,3030,235800,714474000
2013-01-03,DBC,3030,2930,3030,2950,2950,87500,258125000
2013-01-04,DBC,3030,2950,2950,2970,2970,85800,254826000
2013-01-07,DBC,3010,2950,2970,2970,2970,49400,146718000
2013-01-08,DBC,3050,2830,2970,3010,3010,236800,712768000
2013-01-09,DBC,3090,3010,3050,3030,3030,325500,986265000
2013-01-10,DBC,3030,2970,3010,3030,3030,58600,177558000
2013-01-11,DBC,3120,3010,3030,3030,3030,225100,682053000
2013-01-14,DBC,3030,2970,2990,2970,2970,64800,192456000
2013-01-15,DBC,3080,2990,2990,3050,3050,219400,669170000
2013-01-16,DBC,3190,3070,3100,3130,3130,380600,1191278000
2013-01-17,DBC,3240,3030,3080,3030,3030,177400,537522000
2013-01-18,DBC,3090,2970,3030,3050,3050,219300,668865000
2013-01-21,DBC,3030,2970,3030,2970,2970,60600,179982000
2013-01-22,DBC,2970,2950,2970,2970,2970,119500,354915000
2013-01-23,DBC,2990,2930,2990,2970,2970,112500,334125000
2013-01-24,DBC,3050,2970,3030,3030,3030,142500,431775000
2013-01-25,DBC,3130,3030,3050,3080,3080,254200,782936000
2013-01-28,DBC,3210,3050,3050,3210,3210,414900,1331829000
2013-01-29,DBC,3210,3150,3190,3170,3170,193300,612761000
2013-01-30,DBC,3300,3190,3210,3300,3300,311800,1028940000
2013-01-31,DBC,3310,3240,3300,3310,3310,218700,723897000
2013-02-01,DBC,3380,3270,3380,3370,3370,268200,903834000
2013-02-04,DBC,3350,3210,3350,3210,3210,24400,78324000
2013-02-05,DBC,3300,3210,3300,3290,3290,10900,35861000
2013-02-06,DBC,3580,3220,3580,3270,3270,48800,159576000
2013-02-07,DBC,3330,3190,3240,3300,3300,170700,563310000
2013-02-08,DBC,3330,3270,3290,3310,3310,22000,72820000
2013-02-18,DBC,3330,3270,3330,3290,3290,60700,199703000
2013-02-19,DBC,3300,3190,3220,3270,3270,101300,331251000
2013-02-20,DBC,3240,3220,3220,3220,3220,50900,163898000
2013-02-21,DBC,3230,2970,3230,3030,3030,113300,343299000
2013-02-22,DBC,3150,3030,3090,3080,3080,26800,82544000
2013-02-25,DBC,3190,3070,3070,3120,3120,64200,200304000
2013-02-26,DBC,3190,3090,3120,3120,3120,130500,407160000
2013-02-27,DBC,3130,3090,3130,3130,3130,49500,154935000
2013-02-28,DBC,3270,3150,3210,3270,3270,295500,966285000
2013-03-01,DBC,3270,3220,3270,3240,3240,94400,305856000
2013-03-04,DBC,3180,3090,3170,3090,3090,39000,120510000
2013-03-05,DBC,3170,3050,3050,3120,3120,91900,286728000
2013-03-06,DBC,3180,3090,3180,3120,3120,13700,42744000
2013-03-07,DBC,3120,3070,3070,3120,3120,14900,46488000
2013-03-08,DBC,3150,3070,3080,3090,3090,64800,200232000
2013-03-11,DBC,3150,3080,3150,3100,3100,42300,131130000
2013-03-12,DBC,3120,3090,3120,3120,3120,24800,77376000
2013-03-13,DBC,3150,3120,3120,3120,3120,71400,222768000
2013-03-14,DBC,3150,3100,3120,3120,3120,58100,181272000
2013-03-15,DBC,3150,3090,3130,3150,3150,47000,148050000
2013-03-18,DBC,3150,3100,3150,3100,3100,19600,60760000
2013-03-19,DBC,3170,3080,3170,3080,3080,21800,67144000
2013-03-20,DBC,3090,3070,3090,3090,3090,4700,14523000
2013-03-21,DBC,3090,3070,3090,3090,3090,64700,199923000
2013-03-22,DBC,3090,3050,3090,3080,3080,43100,132748000
2013-03-25,DBC,3080,3050,3080,3080,3080,3100,9548000
2013-03-26,DBC,3120,3070,3070,3120,3120,30800,96096000
2013-03-27,DBC,3430,3120,3130,3350,3350,306600,1027110000
2013-03-28,DBC,3360,3270,3360,3270,3270,117000,382590000
2013-03-29,DBC,3290,3240,3270,3240,3240,68300,221292000
2013-04-01,DBC,3270,3210,3230,3240,3240,61800,200232000
2013-04-02,DBC,3350,3270,3300,3270,3270,286200,935874000
2013-04-03,DBC,3290,3270,3270,3290,3290,24100,79289000
2013-04-04,DBC,3270,3190,3270,3230,3230,24100,77843000
2013-04-05,DBC,3310,3220,3230,3270,3270,62200,203394000
2013-04-08,DBC,3290,3220,3240,3290,3290,66300,218127000
2013-04-09,DBC,3300,3270,3290,3300,3300,79000,260700000
2013-04-10,DBC,3300,3230,3300,3230,3230,32300,104329000
2013-04-11,DBC,3220,3100,3220,3120,3120,47300,147576000
2013-04-12,DBC,3120,2970,3120,3030,3030,236600,716898000
2013-04-15,DBC,2970,2930,2970,2970,2970,89400,265518000
2013-04-16,DBC,2970,2930,2970,2970,2970,100400,298188000
2013-04-17,DBC,3030,2930,3030,2970,2970,120900,359073000
2013-04-18,DBC,2930,2880,2930,2910,2910,82200,239202000
2013-04-22,DBC,2930,2760,2930,2770,2770,37800,104706000
2013-04-23,DBC,2780,2710,2780,2750,2750,94400,259600000
2013-04-24,DBC,2730,2690,2730,2710,2710,64700,175337000
2013-04-25,DBC,2710,2690,2700,2710,2710,48700,131977000
2013-04-26,DBC,2690,2640,2690,2690,2690,82900,223001000
2013-05-02,DBC,2670,2640,2650,2650,2650,22400,59360000
2013-05-03,DBC,2670,2640,2650,2670,2670,18900,50463000
2013-05-06,DBC,2750,2670,2670,2730,2730,77500,211575000
2013-05-07,DBC,2750,2670,2750,2710,2710,92600,250946000
2013-05-08,DBC,2810,2730,2730,2750,2750,190600,524150000
2013-05-09,DBC,2830,2750,2750,2830,2830,225300,637599000
2013-05-10,DBC,2840,2780,2840,2780,2780,14500,40310000
2013-05-13,DBC,2800,2760,2780,2760,2760,123200,340032000
2013-05-14,DBC,2730,2690,2730,2710,2710,91600,248236000
2013-05-15,DBC,2710,2670,2710,2700,2700,26400,71280000
2013-05-16,DBC,2700,2650,2650,2690,2690,165000,443850000
2013-05-17,DBC,2690,2640,2650,2650,2650,71200,188680000
2013-05-20,DBC,2690,2650,2650,2690,2690,4800,12912000
2013-05-21,DBC,2700,2620,2700,2690,2690,48600,130734000
2013-05-22,DBC,2700,2640,2700,2700,2700,46600,125820000
2013-05-23,DBC,2770,2670,2670,2750,2750,166700,458425000
2013-05-24,DBC,2760,2700,2730,2760,2760,72400,199824000
2013-05-27,DBC,2800,2700,2780,2760,2760,103000,284280000
2013-05-28,DBC,2770,2750,2770,2760,2760,84200,232392000
2013-05-29,DBC,2770,2730,2770,2750,2750,94300,259325000
2013-05-30,DBC,2770,2730,2730,2760,2760,59200,163392000
2013-05-31,DBC,2810,2760,2760,2800,2800,115700,323960000
2013-06-03,DBC,2840,2800,2810,2800,2800,22400,62720000
2013-06-04,DBC,2800,2780,2780,2780,2780,63800,177364000
2013-06-05,DBC,2800,2770,2770,2800,2800,46200,129360000
2013-06-06,DBC,2800,2780,2800,2800,2800,71200,199360000
