Date,code,high,low,open,close,adjust,volume_match,value_match
2015-03-31,DCM,7050,6550,6840,6840,6873.45458984375,3855500,26371620000
2015-04-01,DCM,6790,6390,6640,6390,6418.5947265625,2209490,14118641100
2015-04-02,DCM,6640,6390,6390,6640,6671.294921875,935310,6210458400
2015-04-03,DCM,6740,6590,6640,6740,6772.375,569350,3837419000
2015-04-06,DCM,7000,6640,6700,6950,6974.53564453125,2636480,18323536000
2015-04-07,DCM,7050,6900,7000,6950,6974.53564453125,1453580,10102381000
2015-04-08,DCM,7050,6900,7000,6950,6974.53564453125,1311780,9116871000
2015-04-09,DCM,7000,6840,6950,7000,7025.07421875,1637810,11464670000
2015-04-10,DCM,7050,6950,7000,6950,6974.53564453125,1644610,11430039500
2015-04-13,DCM,7000,6900,6950,6900,6923.99462890625,682090,4706421000
2015-04-14,DCM,6900,6790,6900,6790,6822.91552734375,865310,5875454900
2015-04-15,DCM,6900,6740,6790,6840,6873.45458984375,641430,4387381200
2015-04-16,DCM,6900,6790,6900,6790,6822.91552734375,910930,6185214700
2015-04-17,DCM,6840,6790,6840,6840,6873.45458984375,539770,3692026800
2015-04-20,DCM,6900,6790,6840,6840,6873.45458984375,683100,4672404000
2015-04-21,DCM,6900,6740,6740,6790,6822.91552734375,659760,4479770400
2015-04-22,DCM,6840,6740,6740,6790,6822.91552734375,681400,4626706000
2015-04-23,DCM,6840,6740,6790,6790,6822.91552734375,238820,1621587800
2015-04-24,DCM,6790,6700,6740,6740,6772.375,265140,1787043600
2015-04-27,DCM,6790,6640,6790,6740,6772.375,215330,1451324200
2015-05-04,DCM,6700,6490,6700,6490,6519.67529296875,678920,4406190800
2015-05-05,DCM,6590,6350,6440,6490,6519.67529296875,244100,1584209000
2015-05-06,DCM,6550,6440,6490,6490,6519.67529296875,356100,2311089000
2015-05-07,DCM,6550,6440,6490,6490,6519.67529296875,463020,3004999800
2015-05-08,DCM,6550,6440,6440,6550,6570.2138671875,273760,1793128000
2015-05-11,DCM,6550,6490,6550,6490,6519.67529296875,162530,1054819700
