Date,code,high,low,open,close,adjust,volume_match,value_match
2021-01-04,DGC,17390,17140,17390,17210,17210,838900,14437469000
2021-01-05,DGC,17750,17040,17140,17410,17410,473300,8240153000
2021-01-06,DGC,17560,17280,17490,17320,17320,473000,8192360000
2021-01-07,DGC,17780,17110,17390,17650,17650,818700,14450055000
2021-01-08,DGC,17900,17250,17690,17650,17650,1069100,18869615000
2021-01-11,DGC,17720,17520,17720,17690,17690,553300,9787877000
2021-01-12,DGC,18220,17560,17690,17960,17960,716800,12873728000
2021-01-13,DGC,18070,17620,17990,17720,17720,625100,11076772000
2021-01-14,DGC,17900,17600,17900,17780,17780,535900,9528302000
2021-01-15,DGC,18190,17690,17900,17820,17820,653800,11650716000
2021-01-18,DGC,18560,17720,17900,18170,18170,1671900,30378423000
2021-01-19,DGC,18170,16910,18170,17140,17140,956100,16387554000
2021-01-20,DGC,17520,16710,17490,17210,17210,580000,9981800000
2021-01-21,DGC,17900,17390,17390,17900,17900,527300,9438670000
2021-01-22,DGC,18750,17720,17900,18470,18470,1635900,30215073000
2021-01-25,DGC,18750,18410,18410,18470,18470,502900,9288563000
2021-01-26,DGC,18470,17560,18470,17690,17690,685900,12133571000
2021-01-27,DGC,18220,17210,17690,17650,17650,1147700,20256905000
2021-01-28,DGC,17320,16430,16550,16430,16430,1570700,25806601000
2021-01-29,DGC,17210,15720,16430,16780,16780,872900,14647262000
2021-02-01,DGC,16910,16390,16710,16410,16410,735900,12076119000
2021-02-02,DGC,16870,16270,16410,16710,16710,381700,6378207000
2021-02-03,DGC,17210,16650,16870,17210,17210,597000,10274370000
2021-02-04,DGC,17450,17110,17110,17450,17450,536600,9363670000
2021-02-05,DGC,18470,17410,17450,18260,18260,1628300,29732758000
2021-02-08,DGC,19080,18130,18260,18410,18410,1012600,18641966000
2021-02-09,DGC,18640,18130,18410,18470,18470,451700,8342899000
2021-02-17,DGC,19750,18500,18500,19750,19750,1718300,33936425000
2021-02-18,DGC,20470,19890,20250,20160,20160,1201700,24226272000
2021-02-19,DGC,20520,19890,20090,20050,20050,681300,13660065000
2021-02-22,DGC,20050,19780,19980,19850,19850,1131100,22452335000
2021-02-23,DGC,20430,19570,19610,20090,20090,819100,16455719000
2021-02-24,DGC,21270,20250,20320,20870,20870,1090400,22756648000
2021-02-25,DGC,22110,21140,21270,22110,22110,1116400,24683604000
2021-02-26,DGC,22180,21610,21610,21940,21940,776200,17029828000
2021-03-01,DGC,22210,21710,22210,22010,22010,683000,15032830000
2021-03-02,DGC,22040,21610,22010,21790,21790,856900,18671851000
2021-03-03,DGC,23290,21830,21840,23290,23290,1607700,37443333000
2021-03-04,DGC,24320,23260,23640,23900,23900,991500,23696850000
2021-03-05,DGC,24200,22970,23640,24120,24120,780900,18835308000
2021-03-08,DGC,24480,23500,24240,23670,23670,864600,20465082000
2021-03-09,DGC,24120,23460,23670,23900,23900,600800,14359120000
2021-03-10,DGC,24130,23870,23970,24010,24010,605400,14535654000
2021-03-11,DGC,24510,23760,24050,24320,24320,666000,16197120000
2021-03-12,DGC,24650,24170,24240,24580,24580,566500,13924570000
2021-03-15,DGC,25490,24770,24810,25470,25470,718300,18295101000
2021-03-16,DGC,25520,24990,25490,25180,25180,502200,12645396000
2021-03-17,DGC,25490,24990,25180,25310,25310,446000,11288260000
2021-03-18,DGC,25390,24650,25310,24990,24990,832500,20804175000
2021-03-19,DGC,24810,23800,24810,24200,24200,1326900,32110980000
2021-03-22,DGC,24130,23360,24130,23430,23430,1385700,32466951000
2021-03-23,DGC,24120,23390,23390,23640,23640,487500,11524500000
2021-03-24,DGC,23540,22290,23430,22660,22660,860300,19494398000
2021-03-25,DGC,22970,22520,22690,22720,22720,675400,15345088000
2021-03-26,DGC,22810,21940,22720,22590,22590,656000,14819040000
2021-03-29,DGC,23930,22660,23130,23760,23760,901200,21412512000
2021-03-30,DGC,23930,22970,23900,23090,23090,714700,16502423000
2021-03-31,DGC,23130,22690,23090,22770,22770,587400,13375098000
2021-04-01,DGC,23800,22660,22770,23330,23330,515100,12017283000
2021-04-02,DGC,23760,23130,23640,23230,23230,233400,5421882000
2021-04-05,DGC,23290,22890,23290,23230,23230,476500,11069095000
2021-04-06,DGC,23640,23130,23290,23540,23540,683900,16099006000
2021-04-07,DGC,24380,23640,23640,23930,23930,908800,21747584000
2021-04-08,DGC,24280,23640,24280,23730,23730,275900,6547107000
2021-04-09,DGC,24050,23600,23600,23710,23710,251300,5958323000
2021-04-12,DGC,23760,23330,23710,23430,23430,578000,13542540000
2021-04-13,DGC,23330,22970,23290,22990,22990,759700,17465503000
2021-04-14,DGC,23290,22770,22970,23260,23260,515000,11978900000
2021-04-15,DGC,23290,22990,23290,23290,23290,282500,6579425000
2021-04-16,DGC,23360,22770,23290,23230,23230,464200,10783366000
2021-04-19,DGC,24650,22930,23290,24200,24200,1143400,27670280000
2021-04-20,DGC,24580,23600,24320,23600,23600,823300,19429880000
2021-04-22,DGC,23640,22970,23460,22970,22970,895000,20558150000
2021-04-23,DGC,23290,22620,22690,23290,23290,610200,14211558000
2021-04-26,DGC,23460,22850,23290,23130,23130,394700,9129411000
2021-04-27,DGC,23430,22890,23230,23200,23200,378800,8788160000
2021-04-28,DGC,24280,23130,23170,23640,23640,781800,18481752000
2021-04-29,DGC,24130,23500,23640,23570,23570,398600,9395002000
2021-05-04,DGC,25180,23290,23290,25180,25180,2530400,63715472000
2021-05-05,DGC,25820,25310,25390,25310,25310,874500,22133595000
2021-05-06,DGC,25620,25140,25310,25550,25550,1097600,28043680000
2021-05-07,DGC,26610,25800,26210,26520,26520,1859700,49319244000
2021-05-10,DGC,27190,26520,26520,27070,27070,967600,26192932000
2021-05-11,DGC,27020,26380,26710,26490,26490,631900,16739031000
2021-05-12,DGC,27100,26180,26380,27100,27100,956500,25921150000
2021-05-13,DGC,26950,26340,26670,26340,26340,1454000,38298360000
2021-05-14,DGC,26760,25900,26760,25900,25900,1385900,35894810000
2021-05-17,DGC,26760,25520,25900,25980,25980,1794700,46626306000
2021-05-18,DGC,25950,25590,25670,25820,25820,733500,18938970000
2021-05-19,DGC,26380,25210,25630,26180,26180,1119400,29305892000
2021-05-20,DGC,26140,25630,26140,25950,25950,562100,14586495000
2021-05-21,DGC,27740,26030,26060,27300,27300,2644500,72194850000
2021-05-24,DGC,27540,27150,27540,27470,27470,744700,20456909000
2021-05-25,DGC,27930,27300,27470,27800,27800,1091500,30343700000
2021-05-26,DGC,28110,27470,27690,27890,27890,1097100,30598119000
2021-05-27,DGC,27890,27150,27890,27740,27740,795600,22069944000
2021-05-28,DGC,27740,27300,27740,27600,27600,695600,19198560000
2021-05-31,DGC,28200,27380,27890,27800,27800,1040900,28937020000
2021-06-01,DGC,28110,27470,27800,27540,27540,782500,21550050000
2021-06-02,DGC,27930,27230,27230,27800,27800,1046100,29081580000
2021-06-03,DGC,29090,27740,27930,29000,29000,1936100,56146900000
2021-06-04,DGC,29090,28500,29090,28860,28860,698000,20144280000
2021-06-07,DGC,28930,27150,28900,28310,28310,1520300,43039693000
2021-06-08,DGC,28280,27230,27930,27540,27540,1523900,41968206000
2021-06-09,DGC,27840,26760,27300,27540,27540,1236700,34058718000
2021-06-10,DGC,28540,27150,27380,28240,28240,992300,28022552000
2021-06-11,DGC,28700,27740,28200,28160,28160,1217500,34284800000
2021-06-14,DGC,29090,28080,28160,28900,28900,1631400,47147460000
2021-06-15,DGC,30910,28900,29000,30870,30870,3219300,99379791000
2021-06-16,DGC,31790,30720,31210,31430,31430,1213000,38124590000
2021-06-17,DGC,32080,30830,30910,31720,31720,816000,25883520000
2021-06-18,DGC,31790,31240,31690,31650,31650,512800,16230120000
2021-06-21,DGC,31650,31060,31210,31520,31520,928800,29275776000
2021-06-22,DGC,32000,31480,31790,31480,31480,579500,18242660000
2021-06-23,DGC,31620,30640,31210,30830,30830,1173700,36185171000
2021-06-24,DGC,31520,30640,30830,30780,30780,783100,24103818000
2021-06-25,DGC,31570,30520,30780,31430,31430,695000,21843850000
2021-06-28,DGC,32380,31440,31620,32180,32180,867400,27912932000
2021-06-29,DGC,32220,31880,32180,31960,31960,461900,14762324000
2021-06-30,DGC,32000,31520,31790,31650,31650,491800,15565470000
2021-07-01,DGC,32540,31790,31790,32259,32259,970300,31300907700
2021-07-02,DGC,32590,32150,32259,32259,32259,463200,14942368800
2021-07-05,DGC,32840,32000,32350,32460,32460,611500,19849290000
2021-07-06,DGC,33230,30260,32970,30260,30260,1169400,35386044000
2021-07-07,DGC,32350,30440,30830,32350,32350,1612100,52151435000
2021-07-08,DGC,32970,32180,32729,32380,32380,992700,32143626000
2021-07-09,DGC,34560,32180,32350,34090,34090,2137600,72870784000
2021-07-12,DGC,33900,31720,33900,31880,31880,3418700,108988156000
2021-07-13,DGC,32540,30680,32180,31430,31430,1549500,48700785000
2021-07-14,DGC,31790,29850,31380,30260,30260,1646500,49823090000
2021-07-15,DGC,31440,29630,29700,31330,31330,1018100,31897073000
2021-07-16,DGC,32340,31330,31430,31830,31830,863200,27475656000
2021-07-19,DGC,31620,30640,31030,30750,30750,1042800,32066100000
2021-07-20,DGC,31620,30520,31210,31570,31570,756100,23870077000
2021-07-21,DGC,32150,31620,32150,31790,31790,724600,23035034000
2021-07-22,DGC,33660,32040,32040,33510,33510,2429900,81425949000
2021-07-23,DGC,35840,33350,33550,35840,35840,5339000,191349760000
2021-07-26,DGC,38200,35710,35760,37410,37410,1693900,63368799000
2021-07-27,DGC,37800,35670,37800,36050,36050,1685000,60744250000
2021-07-28,DGC,36920,35370,35670,36340,36340,1364900,49600466000
2021-07-29,DGC,37500,36100,36490,37230,37230,994700,37032681000
2021-07-30,DGC,37230,36620,37230,37040,37040,942000,34891680000
2021-08-02,DGC,38390,36840,37040,37660,37660,1859600,70032536000
2021-08-03,DGC,37890,37040,37890,37580,37580,1222000,45922760000
2021-08-04,DGC,38780,37660,37660,38580,38580,1361200,52515096000
2021-08-05,DGC,38850,38080,38080,38620,38620,645400,24925348000
2021-08-06,DGC,38470,37930,38390,37930,37930,1145200,43437436000
2021-08-09,DGC,38390,37410,37620,38200,38200,876400,33478480000
2021-08-10,DGC,39550,38000,38310,39450,39450,1671300,65932785000
2021-08-11,DGC,39940,38620,39450,38620,38620,820500,31687710000
2021-08-12,DGC,38740,38120,38390,38200,38200,1081700,41320940000
2021-08-13,DGC,38050,36650,37930,38000,38000,2648300,100635400000
2021-08-16,DGC,38720,38000,38540,38670,38670,894000,34570980000
2021-08-17,DGC,39940,38390,38580,39520,39520,1367400,54039648000
2021-08-18,DGC,40950,39520,39520,40720,40720,1523000,62016560000
2021-08-19,DGC,42620,40760,40760,42190,42190,1525200,64348188000
2021-08-20,DGC,42420,40330,42320,41690,41690,1977400,82437806000
2021-08-23,DGC,42620,40720,40720,42320,42320,1042400,44114368000
2021-08-24,DGC,41990,40720,41890,41690,41690,1289300,53750917000
2021-08-25,DGC,42270,41090,41690,41840,41840,504700,21116648000
2021-08-26,DGC,43420,41690,41840,42940,42940,1046200,44923828000
2021-08-27,DGC,43790,42270,43040,43350,43350,708900,30730815000
2021-08-30,DGC,44600,43350,43350,44600,44600,791900,35318740000
2021-08-31,DGC,46160,44900,44980,45770,45770,1037700,47495529000
2021-09-01,DGC,46160,45270,45730,45460,45460,711700,32353882000
2021-09-06,DGC,45460,44640,45460,44980,44980,827400,37216452000
2021-09-07,DGC,44830,43890,44600,44480,44480,1241300,55213024000
2021-09-08,DGC,45300,44090,44090,44980,44980,432200,19440356000
2021-09-09,DGC,45070,44720,44980,44830,44830,304500,13650735000
2021-09-10,DGC,45770,44900,45150,45490,45490,429300,19528857000
2021-09-13,DGC,48660,45770,45770,48660,48660,1947000,94741020000
2021-09-14,DGC,50140,49050,49500,49550,49550,938800,46517540000
2021-09-15,DGC,49960,49450,49640,49880,49880,1070800,53411504000
2021-09-16,DGC,52000,50140,50420,51460,51460,1055100,54295446000
2021-09-17,DGC,55030,52320,53100,55030,55030,2013900,110824917000
2021-09-20,DGC,58870,56610,58170,57190,57190,1596400,91298116000
2021-09-21,DGC,61080,56030,56030,60770,60770,1402800,85248156000
2021-09-22,DGC,65010,62430,62430,65010,65010,968800,62981688000
2021-09-23,DGC,69230,60460,67870,60460,60460,3515200,212528992000
2021-09-24,DGC,59340,57010,58170,57400,57400,2304600,132284040000
2021-09-27,DGC,59850,57050,57050,57470,57470,1074900,61774503000
2021-09-28,DGC,58930,57050,57470,58930,58930,649300,38263249000
2021-09-29,DGC,58560,55490,58560,55490,55490,1677600,93090024000
2021-09-30,DGC,58930,55530,55530,58520,58520,828200,48466264000
