Date,code,high,low,open,close,adjust,volume_match,value_match
2015-08-03,DGW,6140,5640,6140,5690,6767.7841796875,313220,1782221800
2015-08-04,DGW,5750,5300,5690,5300,6296.98193359375,9220,48866000
2015-08-05,DGW,5450,5250,5300,5450,6473.533203125,19420,105839000
2015-08-06,DGW,5300,5100,5300,5100,6061.58056640625,23650,120615000
2015-08-07,DGW,5100,4740,4740,4740,5637.85791015625,23890,113238600
2015-08-10,DGW,5050,4740,4740,5050,6002.73046875,11530,58226500
2015-08-11,DGW,5300,4800,5100,4800,5708.478515625,22830,109584000
2015-08-12,DGW,4900,4660,4750,4750,5649.62841796875,25000,118750000
2015-08-13,DGW,4860,4550,4860,4850,5755.55859375,14720,71392000
2015-08-14,DGW,4850,4690,4710,4840,5743.7890625,3570,17278800
2015-08-17,DGW,4820,4620,4620,4800,5696.708984375,49820,239136000
2015-08-18,DGW,4770,4710,4710,4750,5649.62841796875,47070,223582500
2015-08-19,DGW,4850,4740,4750,4800,5696.708984375,25460,122208000
2015-08-20,DGW,4860,4680,4820,4860,5767.3291015625,102480,498052800
2015-08-21,DGW,4940,4770,4860,4920,5849.71923828125,104370,513500400
2015-08-24,DGW,4830,4740,4830,4830,5732.0185546875,48760,235510800
2015-08-25,DGW,4880,4560,4880,4710,5602.5478515625,75340,354851400
2015-08-26,DGW,4790,4560,4790,4720,5614.318359375,105380,497393600
2015-08-27,DGW,4740,4640,4720,4640,5508.38818359375,20510,95166400
2015-08-28,DGW,4740,4590,4740,4600,5461.3076171875,49470,227562000
2015-08-31,DGW,4670,4560,4670,4610,5473.078125,63050,290660500
2015-09-01,DGW,4680,4580,4660,4610,5473.078125,64670,298128700
2015-09-03,DGW,4630,4510,4630,4590,5449.53759765625,105250,483097500
2015-09-04,DGW,4620,4510,4620,4510,5367.146484375,16340,73693400
2015-09-07,DGW,4530,4450,4530,4510,5367.146484375,82270,371037700
2015-09-08,DGW,4510,4450,4480,4480,5331.8369140625,57180,256166400
2015-09-09,DGW,4510,4450,4510,4450,5284.75634765625,59660,265487000
2015-09-10,DGW,4450,4440,4450,4450,5284.75634765625,60240,268068000
