Date,code,high,low,open,close,adjust,volume_match,value_match
2021-01-04,DIG,16329,15450,15560,16309,16309,7909000,128987881000
2021-01-05,DIG,17440,16440,16550,17380,17380,7069400,122866172000
2021-01-06,DIG,17910,16940,17880,17210,17210,4237900,72934259000
2021-01-07,DIG,17740,16830,17210,17540,17540,5114000,89699560000
2021-01-08,DIG,17850,17270,17650,17410,17410,3082700,53669807000
2021-01-11,DIG,17610,17050,17470,17350,17350,2381400,41317290000
2021-01-12,DIG,18560,17050,17380,18560,18560,5545800,102930048000
2021-01-13,DIG,18870,18320,18760,18420,18420,4217000,77677140000
2021-01-14,DIG,18710,18160,18260,18510,18510,4045000,74872950000
2021-01-15,DIG,18840,18400,18760,18600,18600,4032600,75006360000
2021-01-18,DIG,19900,18980,19900,19230,19230,6304500,121235535000
2021-01-19,DIG,19420,17910,19200,17910,17910,3821000,68434110000
2021-01-20,DIG,18160,16660,17910,17650,17650,4201900,74163535000
2021-01-21,DIG,18400,17100,18050,18400,18400,3773300,69428720000
2021-01-22,DIG,18710,18120,18380,18210,18210,3990300,72663363000
2021-01-25,DIG,18870,17940,17940,18260,18260,6015400,109841204000
2021-01-26,DIG,18320,17000,18320,17100,17100,4933000,84354300000
2021-01-27,DIG,17030,15920,16830,15920,15920,6653000,105915760000
2021-01-28,DIG,15180,14810,14810,14810,14810,2765800,40961498000
2021-01-29,DIG,15340,13790,13790,14810,14810,8174300,121061383000
2021-02-01,DIG,15290,14070,14510,14780,14780,4716600,69711348000
2021-02-02,DIG,15650,14680,15180,15290,15290,3892900,59522441000
2021-02-03,DIG,16219,15430,15620,16000,16000,4069400,65110400000
2021-02-04,DIG,16219,15560,16000,15730,15730,3422300,53832779000
2021-02-05,DIG,16329,15450,15780,16329,16329,3989500,65144545500
2021-02-08,DIG,17050,15220,16329,15890,15890,5152900,81879581000
2021-02-09,DIG,16280,15510,15890,16090,16090,2238000,36009420000
2021-02-17,DIG,16770,16219,16329,16750,16750,3014600,50494550000
2021-02-18,DIG,17050,16550,16800,17000,17000,4573000,77741000000
2021-02-19,DIG,17650,16770,16770,17350,17350,4262200,73949170000
2021-02-22,DIG,17540,16880,17380,17080,17080,3052500,52136700000
2021-02-23,DIG,17440,16830,17100,17170,17170,3087500,53012375000
2021-02-24,DIG,17610,16830,17380,17100,17100,6517300,111445830000
2021-02-25,DIG,17490,17050,17210,17240,17240,5124400,88344656000
2021-02-26,DIG,18210,17030,17100,18070,18070,6989700,126303879000
2021-03-01,DIG,18380,17940,18320,18070,18070,3684900,66586143000
2021-03-02,DIG,18160,17850,18120,17880,17880,4039900,72233412000
2021-03-03,DIG,17910,17610,17770,17770,17770,5704700,101372519000
2021-03-04,DIG,17880,16660,17770,17050,17050,5940300,101282115000
2021-03-05,DIG,16970,16280,16730,16830,16830,5172100,87046443000
2021-03-08,DIG,17100,16660,17050,16830,16830,3977100,66934593000
2021-03-09,DIG,17210,16090,16690,16830,16830,4092600,68878458000
2021-03-10,DIG,17000,16550,16880,16860,16860,2295100,38695386000
2021-03-11,DIG,17100,16830,17100,16940,16940,3437600,58232944000
2021-03-12,DIG,17880,17000,17100,17540,17540,8198600,143803444000
2021-03-15,DIG,17850,17410,17650,17490,17490,4324300,75632007000
2021-03-16,DIG,17490,17050,17440,17240,17240,3373400,58157416000
2021-03-17,DIG,17330,17080,17100,17210,17210,3387900,58305759000
2021-03-18,DIG,17940,17130,17270,17610,17610,6024700,106094967000
2021-03-19,DIG,18070,17650,17650,17910,17910,5792900,103750839000
2021-03-22,DIG,17960,17540,17940,17800,17800,3742500,66616500000
2021-03-23,DIG,17800,17050,17800,17170,17170,4698300,80669811000
2021-03-24,DIG,17170,16500,16830,16830,16830,5067300,85282659000
2021-03-25,DIG,17050,16470,16830,16750,16750,2822700,47280225000
2021-03-26,DIG,16770,15660,16550,16500,16500,3871100,63873150000
2021-03-29,DIG,16770,16420,16550,16550,16550,3139800,51963690000
2021-03-30,DIG,17070,16740,17040,16920,16920,2756700,46643364000
2021-03-31,DIG,17040,16680,16980,16740,16740,1511900,25309206000
2021-04-01,DIG,17590,16740,16950,17590,17590,2053500,36121065000
2021-04-02,DIG,18160,17590,18010,17710,17710,3454700,61182737000
2021-04-05,DIG,17950,17470,17770,17640,17640,3027200,53399808000
2021-04-06,DIG,17620,17340,17470,17470,17470,2170200,37913394000
2021-04-07,DIG,17920,17170,17310,17770,17770,3419700,60768069000
2021-04-08,DIG,18800,17850,17890,18730,18730,10477800,196249194000
2021-04-09,DIG,18800,18560,18800,18580,18580,3320600,61696748000
2021-04-12,DIG,18800,18380,18640,18710,18710,5356300,100216373000
2021-04-13,DIG,18800,17950,18800,18130,18130,5191300,94118269000
2021-04-14,DIG,18130,17710,17890,18070,18070,3294800,59537036000
2021-04-15,DIG,18130,17590,18070,17590,17590,4035000,70975650000
2021-04-16,DIG,17620,16740,17290,17220,17220,6207600,106894872000
2021-04-19,DIG,17710,16920,17220,17640,17640,3177500,56051100000
