Date,code,high,low,open,close,adjust,volume_match,value_match
2012-03-20,DPM,4480,4370,4370,4460,12693.3779296875,671390,2994399400
2012-03-21,DPM,4600,4480,4480,4550,12948.09375,935790,4257844500
2012-03-22,DPM,4540,4480,4510,4490,12778.283203125,492010,2209124900
2012-03-23,DPM,4530,4480,4510,4510,12820.7353515625,591280,2666672800
2012-03-26,DPM,4730,4510,4560,4720,13415.07421875,1187710,5605991200
2012-03-27,DPM,4750,4490,4700,4490,12778.283203125,736660,3307603400
2012-03-28,DPM,4550,4390,4480,4540,12905.6416015625,332950,1511593000
2012-03-29,DPM,4580,4480,4550,4490,12778.283203125,338400,1519416000
2012-03-30,DPM,4480,4360,4480,4360,12396.2080078125,973890,4246160400
2012-04-03,DPM,4550,4360,4360,4540,12905.6416015625,616210,2797593400
2012-04-04,DPM,4580,4460,4580,4460,12693.3779296875,305500,1362530000
2012-04-05,DPM,4480,4400,4400,4480,12735.830078125,340370,1524857600
2012-04-06,DPM,4530,4460,4530,4460,12693.3779296875,578650,2580779000
2012-04-09,DPM,4550,4460,4530,4480,12735.830078125,220990,990035200
2012-04-10,DPM,4630,4480,4480,4530,12863.189453125,407010,1843755300
2012-04-11,DPM,4670,4580,4630,4620,13117.904296875,1077170,4976525400
2012-04-12,DPM,4790,4630,4630,4700,13372.62109375,1203020,5654194000
2012-04-13,DPM,4750,4660,4700,4700,13372.62109375,1148140,5396258000
2012-04-16,DPM,4870,4720,4720,4830,13754.697265625,1498920,7239783600
2012-04-17,DPM,5070,4860,4900,5070,14433.9404296875,1624060,8233984200
2012-04-18,DPM,5250,5000,5200,5050,14349.0361328125,938560,4739728000
2012-04-19,DPM,5050,4830,5050,4860,13797.150390625,920950,4475817000
2012-04-20,DPM,4940,4830,4860,4860,13839.6025390625,1079260,5245203600
2012-04-23,DPM,4940,4860,4920,4860,13839.6025390625,804990,3912251400
2012-04-24,DPM,4900,4820,4860,4900,13924.5087890625,949080,4650492000
2012-04-25,DPM,5130,4960,4960,5120,14561.2998046875,1067770,5466982400
2012-04-26,DPM,5380,5250,5380,5250,14943.3740234375,2225390,11683297500
2012-04-27,DPM,5420,5270,5330,5380,15282.9970703125,697800,3754164000
2012-05-02,DPM,5590,5440,5490,5480,15580.1650390625,1391210,7623830800
2012-05-03,DPM,5530,5360,5490,5490,15622.6181640625,859550,4718929500
2012-05-04,DPM,5630,5490,5490,5590,15919.787109375,872420,4876827800
2012-05-07,DPM,5860,5810,5850,5860,16683.9375,1103050,6463873000
2012-05-08,DPM,6150,5860,5900,6100,17320.728515625,1543250,9413825000
2012-05-09,DPM,6150,6000,6100,6080,17278.275390625,866660,5269292800
2012-05-10,DPM,6110,5820,6060,5840,16599.033203125,1476510,8622818400
2012-05-11,DPM,5860,5760,5850,5790,16471.673828125,1369220,7927783800
2012-05-14,DPM,5810,5510,5790,5530,15707.5244140625,1612790,8918728700
2012-05-15,DPM,5570,5330,5400,5390,15325.4501953125,1281440,6906961600
2012-05-16,DPM,5570,5210,5550,5340,14136.7724609375,1580050,8437467000
2012-05-17,DPM,5500,5380,5380,5380,14221.677734375,1038010,5584493800
2012-05-18,DPM,5330,5130,5310,5230,13839.6025390625,990960,5182720800
2012-05-21,DPM,5480,5270,5270,5480,14518.845703125,614530,3367624400
2012-05-22,DPM,5740,5460,5570,5530,14646.2041015625,1007690,5572525700
2012-05-23,DPM,5550,5390,5530,5400,14306.58203125,824900,4454460000
2012-05-24,DPM,5460,5250,5380,5380,14221.677734375,604320,3251241600
2012-05-25,DPM,5630,5460,5530,5630,14900.9228515625,957110,5388529300
2012-05-28,DPM,5770,5470,5770,5550,14688.65625,556370,3087853500
2012-05-29,DPM,5570,5500,5550,5550,14688.65625,395860,2197023000
2012-05-30,DPM,5630,5570,5590,5570,14731.109375,498960,2779207200
2012-05-31,DPM,5550,5400,5530,5400,14306.58203125,700610,3783294000
2012-06-01,DPM,5480,5390,5480,5400,14306.58203125,333980,1803492000
2012-06-04,DPM,5360,5160,5360,5200,13754.697265625,853570,4438564000
2012-06-05,DPM,5360,5150,5200,5360,14179.224609375,598350,3207156000
2012-06-06,DPM,5460,5340,5360,5460,14433.9404296875,373460,2039091600
2012-06-07,DPM,5620,5470,5480,5530,14646.2041015625,905890,5009571700
2012-06-08,DPM,5620,5460,5620,5460,14433.9404296875,756460,4130271600
2012-06-11,DPM,5530,5440,5460,5460,14433.9404296875,451620,2465845200
2012-06-12,DPM,5470,5400,5440,5400,14306.58203125,250980,1355292000
2012-06-13,DPM,5480,5390,5400,5460,14433.9404296875,337550,1843023000
2012-06-14,DPM,5460,5390,5460,5390,14264.12890625,159140,857764600
2012-06-15,DPM,5620,5440,5440,5620,14858.4697265625,1026070,5766513400
2012-06-18,DPM,5690,5580,5620,5580,14773.5634765625,554150,3092157000
2012-06-19,DPM,5570,5480,5550,5530,14603.751953125,362910,2006892300
2012-06-20,DPM,5580,5530,5580,5530,14646.2041015625,188140,1040414200
2012-06-21,DPM,5580,5530,5530,5530,14603.751953125,131610,727803300
2012-06-22,DPM,5630,5480,5530,5530,14646.2041015625,530350,2932835500
2012-06-25,DPM,5620,5480,5590,5500,14561.2998046875,358480,1971640000
2012-06-26,DPM,5530,5440,5470,5460,14433.9404296875,391720,2138791200
2012-06-27,DPM,5550,5460,5530,5460,14433.9404296875,311560,1701117600
2012-06-28,DPM,5460,5340,5380,5420,14349.0361328125,167210,906278200
2012-06-29,DPM,5550,5460,5460,5500,14561.2998046875,182250,1002375000
2012-07-02,DPM,5530,5420,5500,5420,14349.0361328125,126460,685413200
2012-07-03,DPM,5470,5380,5470,5390,14264.12890625,201700,1087163000
2012-07-04,DPM,5460,5390,5460,5390,14264.12890625,114440,616831600
2012-07-05,DPM,5460,5380,5390,5440,14391.48828125,184840,1005529600
2012-07-06,DPM,5530,5460,5460,5460,14433.9404296875,108480,592300800
2012-07-09,DPM,5460,5380,5460,5380,14221.677734375,359200,1932496000
2012-07-10,DPM,5390,5330,5330,5330,14094.318359375,184620,984024600
2012-07-11,DPM,5390,5310,5330,5380,14221.677734375,73290,394300200
2012-07-12,DPM,5440,5310,5310,5340,14136.7724609375,86530,462070200
2012-07-13,DPM,5580,5400,5420,5570,14731.109375,482150,2685575500
2012-07-16,DPM,5650,5500,5570,5500,14561.2998046875,174810,961455000
2012-07-17,DPM,5660,5480,5480,5620,14858.4697265625,397370,2233219400
2012-07-18,DPM,5720,5580,5620,5670,15028.28125,460120,2608880400
2012-07-19,DPM,5960,5720,5740,5960,15749.9765625,1253170,7468893200
2012-07-20,DPM,6160,5770,6120,5770,15282.9970703125,895490,5166977300
2012-07-23,DPM,6060,5910,5940,5970,15792.427734375,700130,4179776100
2012-07-24,DPM,5970,5840,5940,5860,15537.712890625,697220,4085709200
2012-07-25,DPM,5850,5740,5840,5810,15367.9013671875,505530,2937129300
2012-07-26,DPM,5940,5760,5940,5820,15410.353515625,258590,1504993800
2012-07-27,DPM,6030,5840,5840,5890,15580.1650390625,652930,3845757700
2012-07-30,DPM,5940,5840,5850,5840,15452.80859375,228840,1336425600
2012-07-31,DPM,5920,5840,5910,5850,15495.259765625,331580,1939743000
2012-08-01,DPM,5850,5770,5840,5840,15452.80859375,144780,845515200
2012-08-02,DPM,5860,5810,5810,5820,15410.353515625,125500,730410000
2012-08-03,DPM,5970,5840,5840,5890,15580.1650390625,461890,2720532100
2012-08-06,DPM,6100,5910,5940,6010,15919.787109375,517520,3110295200
2012-08-07,DPM,6060,5940,6010,5970,15792.427734375,517630,3090251100
2012-08-08,DPM,6050,5970,5980,6010,15919.787109375,382200,2297022000
