Date,code,high,low,open,close,adjust,volume_match,value_match
2021-07-15,DXS,23710,16290,23710,18100,18100,5223200,94539920000
2021-07-16,DXS,18970,17400,18100,18720,18720,2685300,50268816000
2021-07-19,DXS,18840,17470,18720,17470,17470,1078800,18846636000
2021-07-20,DXS,18030,16660,17470,17470,17470,1366200,23867514000
2021-07-21,DXS,18350,17470,17470,18280,18280,1013700,18530436000
2021-07-22,DXS,19090,17850,18280,18780,18780,1110400,20853312000
2021-07-26,DXS,17780,17160,17590,17160,17160,478600,8212776000
2021-07-27,DXS,18100,16780,17100,16780,16780,619600,10396888000
2021-07-28,DXS,17160,15160,16850,16219,16219,926100,15020415900
2021-07-29,DXS,16780,15970,16219,16090,16090,819100,13179319000
2021-07-30,DXS,16780,16090,16090,16660,16660,846300,14099358000
2021-08-02,DXS,16780,16040,16780,16160,16160,1013900,16384624000
2021-08-03,DXS,16219,15280,16090,15970,15970,1242600,19844322000
2021-08-04,DXS,16600,15900,16040,16600,16600,968900,16083740000
2021-08-05,DXS,17030,16219,16600,16970,16970,669700,11364809000
2021-08-06,DXS,17720,16600,16970,17400,17400,1231300,21424620000
2021-08-09,DXS,18350,17160,17470,18220,18220,1111500,20251530000
2021-08-10,DXS,18470,17720,18470,18220,18220,515200,9386944000
2021-08-11,DXS,18220,17720,18220,17720,17720,746800,13233296000
2021-08-12,DXS,17960,17470,17720,17720,17720,321900,5704068000
2021-08-13,DXS,17780,17400,17720,17590,17590,489600,8612064000
2021-08-16,DXS,18470,17660,17850,18150,18150,631400,11459910000
2021-08-17,DXS,18350,17720,18220,17720,17720,472800,8378016000
2021-08-18,DXS,18220,17470,17720,17470,17470,245000,4280150000
2021-08-19,DXS,17590,17280,17470,17470,17470,416400,7274508000
2021-08-20,DXS,17720,16600,17590,16850,16850,955300,16096805000
2021-08-23,DXS,16910,15670,16660,16040,16040,665700,10677828000
2021-08-24,DXS,17160,16090,16090,16720,16720,421700,7050824000
2021-08-25,DXS,17030,16600,16850,16970,16970,356600,6051502000
2021-08-26,DXS,17850,17160,17340,17780,17780,1064500,18926810000
2021-09-06,DXS,18100,17190,17780,17780,17780,499400,8879332000
2021-09-07,DXS,17850,17340,17850,17470,17470,231300,4040811000
2021-09-08,DXS,17750,17340,17470,17690,17690,336000,5943840000
2021-09-09,DXS,17690,17470,17660,17500,17500,160000,2800000000
2021-09-10,DXS,17660,17470,17470,17530,17530,293000,5136290000
2021-09-13,DXS,18030,17430,17530,18000,18000,527700,9498600000
2021-09-14,DXS,17960,17720,17960,17810,17810,218100,3884361000
2021-09-15,DXS,17850,17590,17720,17810,17810,224600,4000126000
2021-09-16,DXS,17810,17470,17810,17590,17590,298200,5245338000
2021-09-17,DXS,18100,17470,17590,18100,18100,925800,16756980000
2021-09-20,DXS,18280,17850,18100,17910,17910,269700,4830327000
2021-09-21,DXS,17850,17470,17500,17780,17780,236200,4199636000
2021-09-22,DXS,17780,17560,17590,17590,17590,263100,4627929000
2021-09-23,DXS,18100,17590,17590,17960,17960,1073000,19271080000
2021-09-24,DXS,18060,17850,17850,18030,18030,148400,2675652000
2021-09-27,DXS,18530,17780,18030,18100,18100,818700,14818470000
2021-09-28,DXS,18030,17720,18030,17940,17940,263200,4721808000
2021-09-29,DXS,17880,17750,17780,17750,17750,154300,2738825000
2021-09-30,DXS,17960,17690,17780,17850,17850,289700,5171145000
2021-10-01,DXS,17960,17660,17850,17660,17660,262600,4637516000
2021-10-04,DXS,17780,17500,17780,17720,17720,151200,2679264000
2021-10-05,DXS,17880,17560,17720,17880,17880,245900,4396692000
2021-10-06,DXS,18120,17780,17910,17960,17960,232600,4177496000
2021-10-07,DXS,18100,17780,18030,18030,18030,324900,5857947000
2021-10-08,DXS,18100,17780,18030,18030,18030,354300,6388029000
2021-10-11,DXS,19280,18150,18250,19280,19280,1808100,34860168000
2021-10-12,DXS,20470,19340,19720,20280,20280,1325500,26881140000
2021-10-13,DXS,20840,19910,20020,20240,20240,343100,6944344000
2021-10-14,DXS,20120,19680,19840,19680,19680,1105400,21754272000
2021-10-15,DXS,19970,18900,19840,19460,19460,1207100,23490166000
2021-10-18,DXS,20020,19280,19460,19340,19340,545800,10555772000
2021-10-19,DXS,19650,19030,19340,19650,19650,579700,11391105000
2021-10-20,DXS,19650,18440,19650,19220,19220,450700,8662454000
2021-10-21,DXS,19400,18720,19400,18900,18900,328400,6206760000
2021-10-22,DXS,19190,18750,18750,18900,18900,628400,11876760000
2021-10-25,DXS,19160,18470,18900,18470,18470,536600,9911002000
2021-10-26,DXS,18280,17690,18280,18100,18100,799200,14465520000
2021-10-27,DXS,19160,18120,18120,19090,19090,427200,8155248000
2021-10-28,DXS,19340,18720,19340,19090,19090,616000,11759440000
2021-10-29,DXS,19000,18590,19000,18970,18970,872200,16545634000
2021-11-01,DXS,19220,18780,19030,19090,19090,1538400,29368056000
2021-11-02,DXS,19650,18820,19090,19590,19590,2067400,40500366000
2021-11-03,DXS,19810,18900,19810,19220,19220,1287700,24749594000
2021-11-04,DXS,19340,18870,19190,19280,19280,1179100,22733048000
2021-11-05,DXS,19340,18840,19340,18930,18930,697700,13207461000
2021-11-08,DXS,19340,18930,18930,19310,19310,843200,16282192000
2021-11-09,DXS,19280,19030,19280,19090,19090,1069200,20411028000
2021-11-10,DXS,19590,19120,19120,19400,19400,1227800,23819320000
2021-11-11,DXS,19530,18900,19400,19030,19030,1173500,22331705000
2021-11-12,DXS,19220,18750,19090,19030,19030,470100,8946003000
2021-11-15,DXS,19750,18970,19030,19380,19380,1291100,25021518000
2021-11-16,DXS,19650,19160,19650,19160,19160,593700,11375292000
2021-11-17,DXS,19460,19090,19090,19400,19400,734300,14245420000
2021-11-18,DXS,20280,19400,19400,20060,20060,1477400,29636644000
2021-11-19,DXS,20900,20060,20400,20430,20430,2633500,53802405000
2021-11-22,DXS,20590,19840,20430,19910,19910,698200,13901162000
2021-11-23,DXS,20090,19650,19780,19840,19840,667300,13239232000
2021-11-24,DXS,20690,19650,19840,19970,19970,1248300,24928551000
2021-11-25,DXS,20840,20020,20530,20370,20370,1585900,32304783000
2021-11-26,DXS,20470,19460,20370,19460,19460,1236300,24058398000
2021-11-29,DXS,19620,18900,18970,19120,19120,1456600,27850192000
2021-11-30,DXS,20430,19160,19160,20430,20430,901100,18409473000
2021-12-01,DXS,21830,20620,21830,21220,21220,2782400,59042528000
2021-12-02,DXS,21220,20720,20720,21150,21150,689300,14578695000
2021-12-03,DXS,21220,20530,21110,20530,20530,1112700,22843731000
2021-12-06,DXS,21030,19190,20160,19970,19970,1276900,25499693000
2021-12-07,DXS,20470,19840,20090,20280,20280,473100,9594468000
2021-12-08,DXS,21110,20020,20340,21110,21110,626300,13221193000
2021-12-09,DXS,22590,20900,21110,22590,22590,2136300,48259017000
2021-12-10,DXS,23310,22590,22590,23050,23050,1389500,32027975000
2021-12-13,DXS,24030,22990,23090,24030,24030,919300,22090779000
2021-12-14,DXS,24030,23090,23210,23210,23210,991600,23015036000
2021-12-15,DXS,23240,22770,22770,22840,22840,673200,15375888000
2021-12-16,DXS,23950,22840,22840,23840,23840,795900,18974256000
2021-12-17,DXS,24300,23650,24300,23680,23680,532700,12614336000
2021-12-20,DXS,23870,22840,23870,22930,22930,547900,12563347000
2021-12-21,DXS,23400,22300,22930,22770,22770,521000,11863170000
2021-12-22,DXS,23210,22750,23150,23090,23090,308700,7127883000
2021-12-23,DXS,23710,21970,23710,22400,22400,560800,12561920000
2021-12-24,DXS,22800,21970,21970,22770,22770,264300,6018111000
2021-12-27,DXS,23090,22450,23050,22530,22530,122100,2750913000
2021-12-28,DXS,23150,22590,22680,23050,23050,430200,9916110000
2021-12-29,DXS,23370,23020,23090,23090,23090,447800,10339702000
2021-12-30,DXS,23090,22220,23090,22240,22240,273900,6091536000
2021-12-31,DXS,23270,21180,22150,23270,23270,900700,20959289000
2022-01-04,DXS,23650,22150,23090,23090,23090,368900,8517901000
2022-01-05,DXS,23210,22530,23090,22770,22770,333900,7602903000
2022-01-06,DXS,23580,22450,22770,23090,23090,1053000,24313770000
2022-01-07,DXS,23090,22650,23090,22650,22650,337600,7646640000
2022-01-10,DXS,23090,22270,22650,22710,22710,429300,9749403000
2022-01-11,DXS,23090,21830,22370,22840,22840,604100,13797644000
2022-01-12,DXS,22770,21520,21620,21620,21620,741600,16033392000
2022-01-13,DXS,22120,21220,21830,21220,21220,663900,14087958000
2022-01-14,DXS,21970,20530,20530,21970,21970,209300,4598321000
2022-01-17,DXS,22430,20590,22430,21550,21550,352500,7596375000
2022-01-18,DXS,21460,20280,21460,21220,21220,246200,5224364000
2022-01-19,DXS,21830,20370,20370,21220,21220,252200,5351684000
2022-01-20,DXS,21460,20530,21220,21220,21220,400000,8488000000
2022-01-21,DXS,21220,20780,21220,20840,20840,100500,2094420000
2022-01-24,DXS,21520,19930,21520,20210,20210,230700,4662447000
2022-01-25,DXS,21500,19340,19970,21500,21500,316200,6798300000
2022-01-26,DXS,21430,20090,20650,20180,20180,204900,4134882000
2022-01-27,DXS,21220,19970,20280,20530,20530,321800,6606554000
2022-01-28,DXS,21060,20500,20530,20590,20590,164300,3382937000
2022-02-07,DXS,20840,20240,20340,20650,20650,519300,10723545000
2022-02-08,DXS,21710,20590,20650,21710,21710,1233600,26781456000
2022-02-09,DXS,21520,21220,21520,21340,21340,330600,7055004000
2022-02-10,DXS,21710,21220,21680,21710,21710,711100,15437981000
2022-02-11,DXS,21830,21270,21270,21500,21500,131400,2825100000
2022-02-14,DXS,21520,21220,21500,21460,21460,502700,10787942000
2022-02-15,DXS,21970,21430,21590,21830,21830,890600,19441798000
2022-02-16,DXS,22150,21710,22030,21740,21740,627100,13633154000
2022-02-17,DXS,22030,21590,21740,21830,21830,556400,12146212000
2022-02-18,DXS,21870,21340,21340,21830,21830,342300,7472409000
2022-02-21,DXS,22450,21830,21970,22180,22180,1417300,31435714000
2022-02-22,DXS,22150,21220,21870,21970,21970,852900,18738213000
2022-02-23,DXS,22590,21590,21590,22430,22430,1839900,41268957000
2022-02-24,DXS,23710,22120,22430,23560,23560,2581500,60820140000
2022-02-25,DXS,25180,23560,23580,25180,25180,3829700,96431846000
2022-02-28,DXS,25860,24650,25140,24930,24930,1198900,29888577000
2022-03-01,DXS,25210,24330,24770,24810,24810,991000,24586710000
2022-03-02,DXS,24810,24030,24810,24510,24510,1124000,27549240000
2022-03-03,DXS,24960,24400,24590,24960,24960,1441800,35987328000
2022-03-04,DXS,25420,24510,25140,24510,24510,1539000,37720890000
2022-03-07,DXS,24990,23520,24400,24030,24030,1315200,31604256000
2022-03-08,DXS,23800,23020,23020,23170,23170,1369900,31740583000
2022-03-09,DXS,23650,22450,23170,23580,23580,1258600,29677788000
2022-03-10,DXS,24960,23580,23580,24930,24930,1300300,32416479000
2022-03-11,DXS,24960,24360,24430,24930,24930,1774900,44248257000
2022-03-14,DXS,25050,24030,24330,24770,24770,714400,17695688000
2022-03-15,DXS,24770,24300,24510,24400,24400,1589800,38791120000
2022-03-16,DXS,24960,24090,24330,24650,24650,1280100,31554465000
2022-03-17,DXS,24830,24210,24650,24650,24650,1459100,35966815000
2022-03-18,DXS,24770,24140,24740,24270,24270,1581200,38375724000
2022-03-21,DXS,25710,23950,24330,25450,25450,2875900,73191655000
2022-03-22,DXS,25580,24960,25270,25330,25330,2131300,53985829000
2022-03-23,DXS,25230,24650,25140,24650,24650,1882900,46413485000
2022-03-24,DXS,25080,24210,24590,24860,24860,1608500,39987310000
2022-03-25,DXS,24810,24090,24400,24590,24590,593900,14604001000
2022-03-28,DXS,24330,23090,24210,23120,23120,842200,19471664000
2022-03-29,DXS,24110,23120,23150,23170,23170,1417600,32845792000
2022-03-30,DXS,23330,21830,23090,22450,22450,755800,16967710000
2022-03-31,DXS,22770,22300,22300,22450,22450,684800,15373760000
2022-04-01,DXS,23050,22300,22450,22900,22900,619200,14179680000
2022-04-04,DXS,23950,22840,22840,22960,22960,705100,16189096000
2022-04-05,DXS,23210,22590,22710,22840,22840,305400,6975336000
2022-04-06,DXS,23050,21810,22530,22840,22840,646900,14775196000
2022-04-07,DXS,22840,22150,22840,22220,22220,433200,9625704000
2022-04-08,DXS,22430,20960,22220,20960,20960,403000,8446880000
2022-04-12,DXS,21830,20690,20690,21180,21180,618900,13108302000
2022-04-13,DXS,21650,21030,21150,21650,21650,177500,3842875000
2022-04-14,DXS,22120,21310,21780,21310,21310,215800,4598698000
2022-04-15,DXS,21370,20990,21110,21030,21030,163800,3444714000
2022-04-18,DXS,21030,19930,21030,20120,20120,523400,10530808000
2022-04-19,DXS,20590,18720,20210,19030,19030,348600,6633858000
2022-04-20,DXS,19840,18720,19030,18720,18720,345600,6469632000
2022-04-21,DXS,19030,17470,17530,19030,19030,415400,7905062000
2022-04-22,DXS,19460,18660,18720,19280,19280,224800,4334144000
2022-04-25,DXS,19680,17940,19090,17940,17940,443500,7956390000
2022-04-26,DXS,18720,17160,18630,18630,18630,155000,2887650000
2022-04-27,DXS,18720,17960,18410,18150,18150,241600,4385040000
2022-04-28,DXS,19000,18150,18150,18780,18780,82600,1551228000
2022-04-29,DXS,19190,18530,18780,19160,19160,134900,2584684000
2022-05-04,DXS,19090,17850,19090,17880,17880,153300,2741004000
2022-05-05,DXS,18350,17470,18350,17910,17910,136700,2448297000
2022-05-06,DXS,18060,17280,17470,17280,17280,95100,1643328000
2022-05-09,DXS,17280,16090,17280,16090,16090,393100,6324979000
2022-05-10,DXS,15410,14970,14970,15100,15100,633000,9558300000
2022-05-11,DXS,15670,15100,15510,15320,15320,61900,948308000
2022-05-12,DXS,15480,14250,15350,14250,14250,369700,5268225000
2022-05-13,DXS,13820,13290,13510,13290,13290,884000,11748360000
2022-05-16,DXS,13290,12380,12450,12380,12380,294800,3649624000
2022-05-17,DXS,13220,11550,11550,13220,13220,1286200,17003564000
2022-05-18,DXS,14140,13220,13220,14140,14140,443000,6264020000
2022-05-19,DXS,14480,13320,13320,14290,14290,214600,3066634000
2022-05-20,DXS,15260,13510,14190,14230,14230,418900,5960947000
2022-05-23,DXS,14410,13260,14230,13380,13380,274600,3674148000
2022-05-24,DXS,14040,12790,13610,13450,13450,203400,2735730000
2022-05-25,DXS,13940,13470,13470,13820,13820,224400,3101208000
2022-05-26,DXS,14350,13630,14350,13810,13810,246400,3402784000
2022-05-27,DXS,14350,13770,14350,13990,13990,180500,2525195000
2022-05-30,DXS,14960,13990,13990,14490,14490,192700,2792223000
2022-05-31,DXS,15250,13770,14490,14420,14420,266300,3840046000
2022-06-01,DXS,14710,13990,14420,13990,13990,111500,1559885000
2022-06-02,DXS,14350,13950,14030,14100,14100,184700,2604270000
2022-06-03,DXS,14420,14030,14100,14420,14420,433800,6255396000
2022-06-06,DXS,14490,14280,14420,14350,14350,249300,3577455000
2022-06-07,DXS,14350,13560,14280,14100,14100,128200,1807620000
2022-06-08,DXS,14350,13130,13670,14350,14350,141900,2036265000
2022-06-09,DXS,14850,14280,14350,14530,14530,114100,1657873000
2022-06-10,DXS,14490,14170,14170,14350,14350,46800,671580000
2022-06-13,DXS,13630,13350,13630,13350,13350,260600,3479010000
2022-06-14,DXS,13280,12590,13280,12910,12910,203900,2632349000
2022-06-15,DXS,12910,12020,12910,12020,12020,264100,3174482000
2022-06-16,DXS,12520,11190,12190,11190,11190,214200,2396898000
2022-06-17,DXS,11400,10440,10470,10620,10620,329000,3493980000
2022-06-20,DXS,11050,9910,11050,9910,9910,158600,1571726000
2022-06-21,DXS,10580,9400,9400,10010,10010,188000,1881880000
2022-06-22,DXS,10540,9470,10010,10260,10260,87000,892620000
2022-06-23,DXS,10980,10220,10440,10980,10980,67700,743346000
2022-06-24,DXS,11730,11190,11440,11730,11730,137800,1616394000
2022-06-27,DXS,12520,11400,11400,12520,12520,152200,1905544000
2022-06-28,DXS,13060,12190,12840,13060,13060,232100,3031226000
2022-06-29,DXS,12910,12190,12910,12420,12420,45000,558900000
2022-06-30,DXS,13200,12420,12560,13200,13200,193900,2559480000
2022-07-01,DXS,12910,12300,12840,12490,12490,158900,1984661000
2022-07-04,DXS,12630,12340,12630,12340,12340,59500,734230000
2022-07-05,DXS,12420,11840,12270,11840,11840,259500,3072480000
2022-07-06,DXS,12300,11840,11840,11840,11840,97400,1153216000
2022-07-07,DXS,12190,11480,11910,11910,11910,38000,452580000
2022-07-08,DXS,12520,11910,11910,11980,11980,63100,755938000
2022-07-11,DXS,12340,11480,11980,11840,11840,100400,1188736000
2022-07-12,DXS,12380,11840,11840,12190,12190,85400,1041026000
2022-07-13,DXS,12420,12190,12420,12190,12190,56800,692392000
2022-07-14,DXS,12560,11840,11840,12190,12190,60500,737495000
2022-07-15,DXS,12630,12190,12560,12190,12190,103500,1261665000
2022-07-18,DXS,12270,11730,12230,11730,11730,62700,735471000
2022-07-19,DXS,12190,10980,12160,11730,11730,58100,681513000
2022-07-20,DXS,12300,11950,12300,12190,12190,70900,864271000
2022-07-21,DXS,12190,11980,12190,12050,12050,39600,477180000
2022-07-22,DXS,12270,11910,12270,12050,12050,44600,537430000
2022-07-25,DXS,12090,11770,11910,11770,11770,74800,880396000
2022-07-26,DXS,11840,11260,11840,11730,11730,173800,2038674000
2022-07-27,DXS,12020,11730,11730,11910,11910,47700,568107000
2022-07-28,DXS,12190,11910,12190,11910,11910,104200,1241022000
2022-07-29,DXS,11980,11660,11950,11660,11660,85500,996930000
2022-08-01,DXS,12230,11770,12120,12190,12190,152000,1852880000
2022-08-02,DXS,12630,12230,12270,12560,12560,243800,3062128000
2022-08-03,DXS,13060,12450,13060,12840,12840,343400,4409256000
2022-08-04,DXS,13020,12630,12630,12880,12880,121500,1564920000
2022-08-05,DXS,13020,12700,12910,12910,12910,129300,1669263000
2022-08-08,DXS,12910,12560,12700,12560,12560,165500,2078680000
2022-08-09,DXS,12840,12630,12840,12670,12670,86800,1099756000
2022-08-10,DXS,13530,12560,12700,13530,13530,754500,10208385000
2022-08-11,DXS,13990,13490,13630,13490,13490,220700,2977243000
2022-08-12,DXS,13850,13060,13280,13530,13530,116900,1581657000
2022-08-15,DXS,13560,13350,13380,13460,13460,219100,2949086000
2022-08-16,DXS,13490,13380,13460,13490,13490,248600,3353614000
2022-08-17,DXS,13990,13460,13490,13460,13460,360600,4853676000
2022-08-18,DXS,13530,13060,13530,13280,13280,172200,2286816000
2022-08-19,DXS,13810,13310,13310,13420,13420,182500,2449150000
2022-08-22,DXS,13310,12770,13310,12910,12910,135200,1745432000
2022-08-23,DXS,13530,12560,12910,13530,13530,225600,3052368000
