Date,code,high,low,open,close,adjust,volume_match,value_match
2012-03-20,EIB,10040,9690,9760,10040,10040,2391920,24014876800
2012-03-21,EIB,10430,10040,10140,10140,10140,3953980,40093357200
2012-03-22,EIB,10200,9980,10040,9980,9980,1884630,18808607400
2012-03-23,EIB,10090,9920,9980,9980,9980,2184610,21802407800
2012-03-26,EIB,10090,9870,10040,9920,9920,2044330,20279753600
2012-03-27,EIB,9920,9690,9870,9690,9690,4005800,38816202000
2012-03-28,EIB,9870,9530,9690,9810,9810,1989640,19518368400
2012-03-29,EIB,10090,9810,9870,9870,9870,3258580,32162184600
2012-03-30,EIB,9920,9760,9870,9760,9760,1172540,11443990400
2012-04-03,EIB,9980,9760,9760,9870,9870,635830,6275642100
2012-04-04,EIB,9920,9760,9920,9810,9810,851280,8351056800
2012-04-05,EIB,10090,9810,9810,10090,10090,3873920,39087852800
2012-04-06,EIB,10370,10090,10140,10140,10140,3295500,33416370000
2012-04-09,EIB,10260,10140,10260,10200,10200,1504840,15349368000
2012-04-10,EIB,10260,10040,10200,10090,10090,1682610,16977534900
2012-04-11,EIB,10200,10090,10200,10200,10200,2936380,29951076000
2012-04-12,EIB,10600,10200,10200,10370,10370,4076500,42273305000
2012-04-13,EIB,10430,10260,10430,10260,10260,3315840,34020518400
2012-04-16,EIB,10430,10140,10260,10370,10370,2948440,30575322800
2012-04-17,EIB,10430,10320,10430,10370,10370,2073060,21497632200
2012-04-18,EIB,10430,10260,10320,10320,10320,4252210,43882807200
2012-04-19,EIB,10370,10260,10260,10260,10260,3146570,32283808200
2012-04-20,EIB,10370,10200,10260,10260,10260,1199810,12310050600
2012-04-23,EIB,10320,10200,10200,10260,10260,925350,9494091000
2012-04-24,EIB,10320,10140,10260,10260,10260,1201440,12326774400
2012-04-25,EIB,10430,10260,10320,10430,10430,1794690,18718616700
2012-04-26,EIB,10430,10260,10430,10320,10320,1223530,12626829600
2012-04-27,EIB,10370,10260,10320,10320,10320,1013980,10464273600
2012-05-02,EIB,10370,10260,10320,10260,10260,1540620,15806761200
2012-05-03,EIB,10320,10200,10260,10260,10260,1581310,16224240600
2012-05-04,EIB,10370,10260,10260,10320,10320,1917250,19786020000
2012-05-07,EIB,10370,10260,10320,10320,10320,1520120,15687638400
2012-05-08,EIB,10650,10320,10370,10600,10600,3197450,33892970000
2012-05-09,EIB,10650,10430,10600,10490,10490,1184010,12420264900
2012-05-10,EIB,10550,10370,10550,10370,10370,1217250,12622882500
2012-05-11,EIB,10430,10320,10370,10370,10370,1443110,14965050700
2012-05-14,EIB,10430,10200,10370,10260,10260,2552870,26192446200
2012-05-15,EIB,10260,10090,10200,10200,10200,3445150,35140530000
2012-05-16,EIB,10260,10140,10200,10200,10200,2019900,20602980000
