Date,code,high,low,open,close,adjust,volume_match,value_match
2012-03-20,FPT,5090,5050,5090,5050,7649.34228515625,94310,476265500
2012-03-21,FPT,5090,5010,5050,5050,7649.34228515625,145260,733563000
2012-03-22,FPT,5050,4970,5050,4970,7518.5849609375,90050,447548500
2012-03-23,FPT,5010,4970,5010,5010,7583.9638671875,71320,357313200
2012-03-26,FPT,5010,4970,5010,5010,7583.9638671875,112360,562923600
2012-03-27,FPT,5010,4920,4920,4970,7518.5849609375,185140,920145800
2012-03-28,FPT,5010,4870,4870,5010,7583.9638671875,227840,1141478400
2012-03-29,FPT,5050,4970,5010,5010,7583.9638671875,188180,942781800
2012-03-30,FPT,5090,4970,5050,5010,7583.9638671875,227480,1139674800
2012-04-03,FPT,5050,5010,5010,5010,7583.9638671875,77770,389627700
2012-04-04,FPT,5090,5010,5050,5010,7583.9638671875,229600,1150296000
2012-04-05,FPT,5240,5010,5050,5130,7780.10107421875,522960,2682784800
2012-04-06,FPT,5180,5130,5180,5130,7780.10107421875,46820,240186600
2012-04-09,FPT,5240,5130,5240,5180,7845.4794921875,86600,448588000
2012-04-10,FPT,5240,5130,5240,5180,7845.4794921875,97870,506966600
2012-04-11,FPT,5390,5180,5240,5390,8172.37353515625,401940,2166456600
2012-04-12,FPT,5490,5390,5440,5440,8237.75390625,181420,986924800
2012-04-13,FPT,5440,5280,5440,5280,7976.2373046875,129430,683390400
2012-04-16,FPT,5440,5310,5350,5350,8106.9951171875,128380,686833000
2012-04-17,FPT,5440,5310,5440,5390,8172.37353515625,123760,667066400
2012-04-18,FPT,5440,5350,5440,5350,8106.9951171875,113720,608402000
2012-04-19,FPT,5390,5130,5350,5130,7780.10107421875,301330,1545822900
2012-04-20,FPT,5310,5090,5180,5090,7714.7216796875,240320,1223228800
2012-04-23,FPT,5280,5050,5130,5050,7649.34228515625,139090,702404500
2012-04-24,FPT,5180,5090,5130,5180,7845.4794921875,81550,422429000
2012-04-25,FPT,5310,5180,5310,5240,7910.8583984375,79440,416265600
2012-04-26,FPT,5310,5130,5310,5130,7780.10107421875,180500,925965000
2012-04-27,FPT,5240,5130,5180,5130,7780.10107421875,108790,558092700
2012-05-02,FPT,5350,5310,5350,5350,8106.9951171875,425310,2275408500
2012-05-03,FPT,5600,5520,5600,5600,8499.2685546875,550510,3082856000
2012-05-04,FPT,5730,5600,5600,5690,8630.0263671875,388650,2211418500
2012-05-07,FPT,5770,5640,5730,5770,8760.7861328125,284350,1640699500
2012-05-08,FPT,5820,5690,5770,5730,8695.40625,311770,1786442100
2012-05-09,FPT,5730,5640,5690,5690,8630.0263671875,264470,1504834300
2012-05-10,FPT,5730,5640,5730,5640,8564.6484375,290000,1635600000
2012-05-11,FPT,5730,5560,5730,5560,8433.890625,284390,1581208400
2012-05-14,FPT,5640,5520,5600,5520,8368.5107421875,213220,1176974400
2012-05-15,FPT,5690,5420,5690,5430,8090.6494140625,350530,1903377900
2012-05-16,FPT,5490,5400,5470,5400,8057.96142578125,110580,597132000
2012-05-17,FPT,5490,5430,5430,5460,8139.68505859375,160230,874855800
2012-05-18,FPT,5460,5270,5460,5320,7927.2021484375,264100,1405012000
2012-05-21,FPT,5530,5370,5490,5530,8254.0986328125,167520,926385600
2012-05-22,FPT,5580,5450,5580,5460,8139.68505859375,89520,488779200
2012-05-23,FPT,5460,5320,5430,5340,7976.2373046875,127830,682612200
2012-05-24,FPT,5370,5330,5340,5330,7943.548828125,99980,532893400
2012-05-25,FPT,5440,5370,5440,5440,8106.9951171875,103830,564835200
2012-05-28,FPT,5490,5430,5430,5440,8106.9951171875,124200,675648000
2012-05-29,FPT,5440,5390,5430,5430,8090.6494140625,64910,352461300
2012-05-30,FPT,5490,5400,5490,5440,8106.9951171875,65430,355939200
2012-05-31,FPT,5430,5400,5400,5420,8074.30615234375,140030,758962600
2012-06-01,FPT,5430,5400,5420,5400,8057.96142578125,38050,205470000
2012-06-04,FPT,5400,5370,5400,5370,8008.92724609375,99040,531844800
2012-06-05,FPT,5380,5340,5340,5370,8008.92724609375,146830,788477100
2012-06-06,FPT,5420,5360,5420,5400,8057.96142578125,53290,287766000
2012-06-07,FPT,5440,5400,5440,5400,8057.96142578125,32200,173880000
2012-06-08,FPT,5490,5370,5430,5370,8008.92724609375,82110,440930700
2012-06-11,FPT,5420,5340,5420,5380,8025.271484375,41690,224292200
2012-06-12,FPT,5390,5360,5380,5370,8008.92724609375,85420,458705400
2012-06-13,FPT,5390,5360,5390,5370,8008.92724609375,71920,386210400
2012-06-14,FPT,5390,5340,5390,5340,7976.2373046875,70750,377805000
2012-06-15,FPT,5380,5340,5380,5360,7992.58154296875,108970,584079200
2012-06-18,FPT,5440,5360,5440,5380,8025.271484375,34490,185556200
2012-06-19,FPT,5390,5360,5370,5380,8025.271484375,103760,558228800
2012-06-20,FPT,5430,5380,5430,5400,8057.96142578125,89720,484488000
2012-06-21,FPT,5400,5370,5390,5390,8041.6162109375,50360,271440400
2012-06-22,FPT,5390,5370,5380,5370,8008.92724609375,67350,361669500
2012-06-25,FPT,5400,5360,5360,5370,8008.92724609375,42840,230050800
2012-06-26,FPT,5340,5330,5330,5330,7943.548828125,31110,165816300
2012-06-27,FPT,5370,5330,5370,5330,7943.548828125,73780,393247400
2012-06-28,FPT,5340,5170,5340,5170,7698.37646484375,36470,188549900
2012-06-29,FPT,5250,5170,5210,5170,7698.37646484375,4970,25694900
2012-07-02,FPT,5310,5160,5240,5170,7698.37646484375,131390,679286300
2012-07-03,FPT,5250,5160,5250,5160,7682.03173828125,12120,62539200
2012-07-04,FPT,5210,5160,5210,5180,7714.7216796875,18440,95519200
2012-07-05,FPT,5230,5180,5210,5210,7763.755859375,35790,186465900
2012-07-06,FPT,5250,5210,5250,5210,7763.755859375,26770,139471700
2012-07-09,FPT,5210,5100,5100,5170,7698.37646484375,14410,74499700
2012-07-10,FPT,5180,5160,5160,5160,7682.03173828125,27540,142106400
2012-07-11,FPT,5170,5130,5160,5170,7698.37646484375,40600,209902000
2012-07-12,FPT,5170,5160,5160,5170,7698.37646484375,20870,107897900
2012-07-13,FPT,5270,5160,5180,5250,7812.7900390625,30930,162382500
2012-07-16,FPT,5290,5180,5290,5180,7731.06640625,23050,119399000
2012-07-17,FPT,5180,5160,5180,5180,7731.06640625,38870,201346600
2012-07-18,FPT,5200,5160,5200,5170,7698.37646484375,54300,280731000
2012-07-19,FPT,5180,5130,5160,5180,7714.7216796875,62810,325355800
2012-07-20,FPT,5250,5170,5240,5170,7698.37646484375,83160,429937200
2012-07-23,FPT,5170,5140,5170,5170,7698.37646484375,61190,316352300
2012-07-24,FPT,5420,5170,5170,5390,8041.6162109375,297120,1601476800
2012-07-25,FPT,5370,5210,5370,5210,7763.755859375,178060,927692600
2012-07-26,FPT,5250,5180,5180,5250,7812.7900390625,88280,463470000
2012-07-27,FPT,5290,5250,5290,5270,7845.4794921875,116650,614745500
2012-07-30,FPT,5370,5270,5270,5340,7959.89208984375,188880,1008619200
2012-07-31,FPT,5270,5210,5210,5230,7780.10107421875,142000,742660000
2012-08-01,FPT,5210,5170,5180,5180,7714.7216796875,134550,696969000
2012-08-02,FPT,5230,5160,5160,5180,7714.7216796875,89910,465733800
2012-08-03,FPT,5180,5160,5160,5180,7731.06640625,159240,824863200
2012-08-06,FPT,5210,5160,5160,5180,7714.7216796875,148440,768919200
2012-08-07,FPT,5180,5160,5170,5180,7714.7216796875,144950,750841000
2012-08-08,FPT,5180,5160,5170,5170,7698.37646484375,71270,368465900
2012-08-09,FPT,5180,5120,5170,5140,7665.68701171875,324860,1669780400
2012-08-10,FPT,5170,5030,5170,5030,7485.8955078125,461230,2319986900
2012-08-13,FPT,5170,5030,5170,5100,7600.30810546875,155720,794172000
2012-08-14,FPT,5140,5030,5030,5080,7567.61865234375,223310,1134414800
2012-08-15,FPT,5080,5050,5060,5060,7534.9287109375,398780,2017826800
2012-08-16,FPT,5130,5030,5080,5030,7485.8955078125,324050,1629971500
2012-08-17,FPT,5050,4930,4930,4980,7436.8603515625,219300,1092114000
2012-08-20,FPT,5070,4980,5050,5060,7534.9287109375,87130,440877800
2012-08-21,FPT,5050,4800,5050,4820,7191.689453125,424710,2047102200
