Date,code,high,low,open,close,adjust,volume_match,value_match
2015-03-11,HAH,5940,5840,5940,5890,5890,123290,726178100
2015-03-12,HAH,5940,5480,5480,5480,5480,179720,984865600
2015-03-13,HAH,5480,5100,5480,5100,5100,19490,99399000
2015-03-16,HAH,4870,4760,4780,4760,4760,39280,186972800
2015-03-17,HAH,4480,4430,4430,4430,4430,50240,222563200
2015-03-18,HAH,4590,4350,4350,4590,4590,40090,184013100
2015-03-19,HAH,4620,4590,4590,4590,4590,340,1560600
2015-03-20,HAH,4590,4280,4460,4590,4590,14970,68712300
2015-03-23,HAH,4590,4310,4590,4310,4310,11730,50556300
2015-03-24,HAH,4350,4310,4310,4350,4350,5670,24664500
2015-03-25,HAH,4310,4220,4310,4220,4220,8350,35237000
2015-03-26,HAH,4230,4150,4220,4150,4150,18890,78393500
2015-03-27,HAH,4430,4150,4150,4430,4430,57030,252642900
2015-03-30,HAH,4450,4330,4430,4330,4330,6550,28361500
2015-03-31,HAH,4430,4330,4330,4430,4430,6190,27421700
2015-04-01,HAH,4380,4220,4380,4220,4220,16090,67899800
2015-04-02,HAH,4220,4080,4220,4220,4220,43080,181797600
2015-04-03,HAH,4330,4100,4100,4300,4300,7360,31648000
2015-04-06,HAH,4330,4220,4330,4220,4220,1050,4431000
2015-04-07,HAH,4220,4180,4210,4210,4210,5270,22186700
2015-04-08,HAH,4220,4180,4220,4220,4220,4040,17048800
2015-04-09,HAH,4270,4210,4210,4250,4250,13610,57842500
2015-04-10,HAH,4250,4220,4220,4250,4250,29320,124610000
2015-04-13,HAH,4460,4150,4170,4460,4460,1690,7537400
2015-04-14,HAH,4430,4390,4430,4390,4390,5510,24188900
2015-04-15,HAH,4360,4360,4360,4360,4360,200,872000
2015-04-16,HAH,4650,4220,4650,4270,4270,8390,35825300
2015-04-17,HAH,4430,4270,4430,4270,4270,14830,63324100
2015-04-20,HAH,4560,4150,4220,4150,4150,27600,114540000
2015-04-21,HAH,4400,4150,4330,4400,4400,9300,40920000
2015-04-22,HAH,4400,4270,4400,4400,4400,4020,17688000
2015-04-23,HAH,4590,4330,4400,4520,4520,30720,138854400
2015-04-24,HAH,4520,4400,4510,4510,4510,17710,79872100
2015-04-27,HAH,4460,4460,4460,4460,4460,1510,6734600
2015-05-04,HAH,4460,4270,4460,4330,4330,8840,38277200
2015-05-05,HAH,4330,4280,4300,4330,4330,7100,30743000
2015-05-06,HAH,4330,4220,4330,4220,4220,16940,71486800
2015-05-07,HAH,4390,4390,4390,4390,4390,10,43900
2015-05-08,HAH,4400,4400,4400,4400,4400,500,2200000
2015-05-11,HAH,4400,4100,4400,4400,4400,120,528000
2015-05-12,HAH,4280,4170,4170,4270,4270,4370,18659900
2015-05-13,HAH,4270,4220,4270,4220,4220,2710,11436200
2015-05-14,HAH,4220,4120,4220,4150,4150,20360,84494000
2015-05-15,HAH,4170,4110,4150,4170,4170,20560,85735200
2015-05-18,HAH,4450,4220,4220,4450,4450,35580,158331000
2015-05-19,HAH,4580,4460,4510,4480,4480,17040,76339200
2015-05-20,HAH,4640,4460,4640,4560,4560,13300,60648000
2015-05-21,HAH,4590,4460,4480,4520,4520,16410,74173200
2015-05-22,HAH,4550,4460,4480,4550,4550,22910,104240500
2015-05-25,HAH,4550,4520,4520,4520,4520,12320,55686400
2015-05-26,HAH,4550,4460,4520,4460,4460,15530,69263800
2015-05-27,HAH,4510,4350,4460,4400,4400,34010,149644000
2015-05-28,HAH,4560,4330,4330,4490,4490,17510,78619900
2015-05-29,HAH,4460,4400,4460,4400,4400,8200,36080000
2015-06-01,HAH,4450,4360,4360,4380,4380,11630,50939400
2015-06-02,HAH,4560,4330,4450,4370,4370,22510,98368700
2015-06-03,HAH,4520,4350,4520,4490,4490,30550,137169500
2015-06-04,HAH,4520,4460,4520,4490,4490,45440,204025600
2015-06-05,HAH,4510,4450,4450,4490,4490,19710,88497900
2015-06-08,HAH,4560,4510,4510,4510,4510,52510,236820100
2015-06-09,HAH,4750,4510,4510,4650,4650,99870,464395500
2015-06-10,HAH,4780,4710,4780,4740,4740,44050,208797000
2015-06-11,HAH,4770,4720,4720,4750,4750,47930,227667500
2015-06-12,HAH,4750,4690,4730,4720,4720,17250,81420000
2015-06-15,HAH,4720,4600,4600,4640,4640,28920,134188800
2015-06-16,HAH,4750,4640,4640,4730,4730,43000,203390000
2015-06-17,HAH,4730,4720,4720,4720,4720,20070,94730400
2015-06-18,HAH,4790,4720,4720,4790,4790,55720,266898800
2015-06-19,HAH,5120,4790,4840,5120,5120,84160,430899200
2015-06-22,HAH,5340,5080,5230,5160,5160,57500,296700000
2015-06-23,HAH,5100,4970,5100,4990,4990,28510,142264900
2015-06-24,HAH,5100,4920,5100,4920,4920,18730,92151600
2015-06-25,HAH,4970,4880,4920,4890,4890,18540,90660600
2015-06-26,HAH,4960,4860,4860,4940,4940,10640,52561600
2015-06-29,HAH,4930,4840,4900,4900,4900,23280,114072000
2015-06-30,HAH,4900,4780,4860,4900,4900,7230,35427000
2015-07-01,HAH,4900,4840,4840,4900,4900,6120,29988000
2015-07-02,HAH,4900,4820,4900,4890,4890,9600,46944000
2015-07-03,HAH,4840,4770,4840,4840,4840,29550,143022000
2015-07-06,HAH,4840,4730,4730,4840,4840,21350,103334000
2015-07-07,HAH,4880,4780,4880,4840,4840,20430,98881200
2015-07-08,HAH,4780,4690,4780,4770,4770,24050,114718500
2015-07-09,HAH,4770,4710,4770,4730,4730,5600,26488000
2015-07-10,HAH,4720,4720,4720,4720,4720,640,3020800
2015-07-13,HAH,4790,4720,4720,4790,4790,2090,10011100
2015-07-14,HAH,4770,4720,4770,4770,4770,5010,23897700
2015-07-15,HAH,4770,4770,4770,4770,4770,5100,24327000
2015-07-16,HAH,4770,4770,4770,4770,4770,70,333900
2015-07-17,HAH,4770,4640,4770,4650,4650,22210,103276500
2015-07-20,HAH,4840,4720,4840,4740,4740,20500,97170000
2015-07-21,HAH,4780,4720,4730,4720,4720,13480,63625600
2015-07-22,HAH,4780,4720,4720,4770,4770,2780,13260600
2015-07-23,HAH,4750,4720,4750,4750,4750,9560,45410000
2015-07-24,HAH,4970,4780,4780,4900,4900,26920,131908000
2015-07-27,HAH,4930,4840,4900,4840,4840,20030,96945200
2015-07-28,HAH,4860,4820,4840,4820,4820,22180,106907600
2015-07-29,HAH,4840,4820,4840,4820,4820,38600,186052000
2015-07-30,HAH,4820,4780,4820,4780,4780,6000,28680000
2015-07-31,HAH,4810,4750,4810,4750,4750,19770,93907500
2015-08-03,HAH,4840,4740,4740,4810,4810,32780,157671800
2015-08-04,HAH,4840,4840,4840,4840,4840,1200,5808000
2015-08-05,HAH,4860,4780,4840,4840,4840,12760,61758400
2015-08-06,HAH,4840,4810,4840,4840,4840,23200,112288000
2015-08-07,HAH,4840,4790,4820,4840,4840,9390,45447600
2015-08-10,HAH,4880,4840,4840,4880,4880,14380,70174400
2015-08-11,HAH,4900,4870,4880,4880,4880,18400,89792000
2015-08-12,HAH,4940,4820,4840,4880,4880,48210,235264800
2015-08-13,HAH,4920,4820,4880,4870,4870,29890,145564300
2015-08-14,HAH,4840,4820,4820,4840,4840,20440,98929600
2015-08-17,HAH,4880,4820,4840,4840,4840,77970,377374800
2015-08-18,HAH,4860,4840,4860,4860,4860,15050,73143000
2015-08-19,HAH,4860,4840,4840,4840,4840,18290,88523600
2015-08-20,HAH,5150,4860,4860,5150,5150,66320,341548000
2015-08-21,HAH,5100,4960,5030,5030,5030,78910,396917300
2015-08-24,HAH,4940,4680,4900,4720,4720,57830,272957600
2015-08-25,HAH,4840,4720,4720,4770,4770,31320,149396400
2015-08-26,HAH,4900,4770,4780,4900,4900,14040,68796000
2015-08-27,HAH,4920,4860,4920,4890,4890,10090,49340100
2015-08-28,HAH,4920,4860,4860,4920,4920,24860,122311200
2015-08-31,HAH,5030,4840,5030,4880,4880,29800,145424000
2015-09-01,HAH,4920,4840,4880,4880,4880,18010,87888800
2015-09-03,HAH,4890,4840,4840,4840,4840,29850,144474000
2015-09-04,HAH,4840,4790,4840,4790,4790,20690,99105100
2015-09-07,HAH,4790,4790,4790,4790,4790,2720,13028800
2015-09-08,HAH,4900,4820,4820,4900,4900,4530,22197000
2015-09-09,HAH,4970,4840,4900,4960,4960,29660,147113600
2015-09-10,HAH,5030,4930,4970,4960,4960,5590,27726400
2015-09-11,HAH,4900,4840,4840,4840,4840,29300,141812000
2015-09-14,HAH,4840,4790,4840,4790,4790,8420,40331800
2015-09-15,HAH,4900,4780,4900,4840,4840,1580,7647200
2015-09-16,HAH,4890,4890,4890,4890,4890,1450,7090500
2015-09-17,HAH,4970,4840,4960,4970,4970,2340,11629800
2015-09-18,HAH,5030,4940,4960,5030,5030,11420,57442600
2015-09-21,HAH,5080,4990,5080,5080,5080,7590,38557200
2015-09-22,HAH,5030,4990,5030,5010,5010,10500,52605000
2015-09-23,HAH,5010,4990,4990,4990,4990,5900,29441000
2015-09-24,HAH,5090,4940,5090,4940,4940,10570,52215800
2015-09-25,HAH,5030,4920,4940,5030,5030,37010,186160300
2015-09-28,HAH,5210,4990,5210,5170,5170,920,4756400
2015-09-29,HAH,5100,4970,4970,5030,5030,13140,66094200
2015-09-30,HAH,5150,5090,5090,5120,5120,35970,184166400
2015-10-01,HAH,5370,5130,5130,5370,5370,72770,390774900
2015-10-02,HAH,5520,5250,5430,5250,5250,139370,731692500
2015-10-05,HAH,5430,5250,5260,5300,5300,16060,85118000
2015-10-06,HAH,5640,5370,5490,5500,5500,79090,434995000
2015-10-07,HAH,5480,5410,5480,5440,5440,21490,116905600
2015-10-08,HAH,5430,5370,5430,5370,5370,31010,166523700
2015-10-09,HAH,5480,5370,5480,5430,5430,20910,113541300
2015-10-12,HAH,5470,5430,5430,5430,5430,17200,93396000
2015-10-13,HAH,5440,5400,5400,5440,5440,35860,195078400
2015-10-14,HAH,5450,5400,5440,5440,5440,27680,150579200
2015-10-15,HAH,5640,5440,5440,5640,5640,91360,515270400
2015-10-16,HAH,5790,5660,5690,5660,5660,64100,362806000
2015-10-19,HAH,5670,5640,5640,5670,5670,12970,73539900
