Date,code,high,low,open,close,adjust,volume_match,value_match
2012-03-20,HDC,1960,1940,1960,1960,2460.978759765625,11000,21560000
2012-03-21,HDC,2029,1960,2029,1960,2475.122314453125,530,1038800
2012-03-22,HDC,2000,2000,2000,2000,2517.552978515625,10,20000
2012-03-23,HDC,2020,1960,2000,2000,2517.552978515625,9690,19380000
2012-03-26,HDC,2020,1940,1940,2000,2517.552978515625,16360,32720000
2012-03-27,HDC,2020,1960,2000,1990,2503.409423828125,11020,21929800
2012-03-28,HDC,1990,1930,1930,1990,2503.409423828125,3990,7940100
2012-03-29,HDC,1990,1930,1930,1990,2503.409423828125,2010,3999900
2012-03-30,HDC,1990,1920,1930,1990,2503.409423828125,5010,9969900
2012-04-03,HDC,1930,1920,1920,1930,2432.691650390625,410,791300
2012-04-04,HDC,2000,2000,2000,2000,2517.552978515625,10,20000
2012-04-05,HDC,1960,1930,1960,1960,2475.122314453125,11790,23108400
2012-04-06,HDC,1960,1890,1890,1960,2460.978759765625,6550,12838000
2012-04-09,HDC,2029,1930,1930,1960,2475.122314453125,16470,32281200
2012-04-10,HDC,1990,1920,1920,1990,2503.409423828125,9000,17910000
2012-04-11,HDC,2029,2020,2020,2029,2545.840087890625,3250,6594250
2012-04-12,HDC,2120,2040,2040,2120,2673.132080078125,50260,106551200
2012-04-13,HDC,2110,2080,2110,2080,2616.557861328125,1580,3286400
2012-04-16,HDC,2120,2080,2110,2080,2616.557861328125,13000,27040000
2012-04-17,HDC,2160,2080,2080,2140,2701.419189453125,36810,78773400
2012-04-18,HDC,2210,2130,2210,2130,2687.275634765625,12810,27285300
2012-04-19,HDC,2130,2040,2130,2040,2559.983642578125,14380,29335200
2012-04-20,HDC,2040,2040,2040,2040,2559.983642578125,5260,10730400
2012-04-23,HDC,2050,1960,1960,2050,2588.270751953125,9530,19536500
2012-04-24,HDC,2050,2020,2029,2050,2588.270751953125,9280,19024000
2012-04-25,HDC,2080,2029,2050,2080,2616.557861328125,1000,2080000
2012-04-26,HDC,2080,2029,2070,2029,2545.840087890625,11340,23008860
2012-04-27,HDC,2040,2029,2029,2040,2559.983642578125,9080,18523200
2012-05-02,HDC,2100,1960,1960,2080,2616.557861328125,17160,35692800
2012-05-03,HDC,2120,2029,2120,2029,2545.840087890625,25000,50725000
2012-05-04,HDC,2120,2100,2100,2120,2673.132080078125,18230,38647600
2012-05-07,HDC,2230,2170,2230,2230,2800.424072265625,118010,263162300
2012-05-08,HDC,2330,2240,2300,2310,2913.572509765625,225010,519773100
2012-05-09,HDC,2420,2260,2260,2420,3040.864501953125,62410,151032200
2012-05-10,HDC,2520,2430,2470,2510,3154.012939453125,69280,173892800
2012-05-11,HDC,2530,2470,2510,2530,3182.300048828125,28890,73091700
2012-05-14,HDC,2470,2410,2460,2410,3026.720947265625,17710,42681100
2012-05-15,HDC,2350,2290,2290,2290,2885.285400390625,57490,131652100
2012-05-16,HDC,2290,2180,2290,2240,2828.711181640625,19070,42716800
2012-05-17,HDC,2330,2240,2330,2240,2828.711181640625,10160,22758400
2012-05-18,HDC,2240,2140,2140,2220,2786.280517578125,20140,44710800
2012-05-21,HDC,2240,2190,2240,2240,2814.567626953125,13780,30867200
2012-05-22,HDC,2230,2170,2190,2220,2786.280517578125,26690,59251800
2012-05-23,HDC,2240,2140,2210,2170,2729.706298828125,20930,45418100
2012-05-24,HDC,2210,2080,2210,2080,2616.557861328125,3210,6676800
2012-05-25,HDC,2180,2080,2180,2180,2743.849853515625,650,1417000
2012-05-28,HDC,2290,2190,2290,2210,2772.136962890625,7990,17657900
2012-05-29,HDC,2240,2220,2220,2240,2814.567626953125,400,896000
2012-05-30,HDC,2240,2160,2160,2240,2814.567626953125,70,156800
2012-05-31,HDC,2190,2180,2190,2180,2743.849853515625,120,261600
2012-06-01,HDC,2240,2180,2180,2180,2743.849853515625,5890,12840200
2012-06-04,HDC,2120,2080,2080,2080,2616.557861328125,21360,44428800
2012-06-05,HDC,2140,2080,2080,2130,2687.275634765625,19210,40917300
2012-06-06,HDC,2190,2070,2070,2170,2732.534912109375,6370,13822900
2012-06-07,HDC,2280,2170,2170,2280,2862.65576171875,13850,31578000
2012-06-08,HDC,2240,2210,2210,2210,2765.065185546875,4370,9657700
2012-06-11,HDC,2270,2270,2270,2270,2846.390625,10,22700
2012-06-12,HDC,2240,2160,2240,2240,2830.12548828125,1530,3427200
2012-06-13,HDC,2210,2150,2210,2210,2765.065185546875,1670,3690700
2012-06-14,HDC,2210,2210,2210,2210,2765.065185546875,10,22100
2012-06-15,HDC,2230,2130,2210,2230,2797.595458984375,5940,13246200
2012-06-18,HDC,2230,2130,2130,2230,2797.595458984375,910,2029300
2012-06-19,HDC,2210,2130,2210,2130,2683.73974609375,3020,6432600
2012-06-20,HDC,2230,2130,2230,2230,2797.595458984375,520,1159600
2012-06-21,HDC,2300,2130,2300,2210,2765.065185546875,450,994500
2012-06-22,HDC,2270,2270,2270,2270,2846.390625,60,136200
2012-06-25,HDC,2210,2160,2170,2160,2716.27001953125,2810,6069600
2012-06-26,HDC,2160,2150,2160,2150,2700.0048828125,60,129000
2012-06-27,HDC,2240,2070,2240,2070,2602.414306640625,1030,2132100
2012-06-28,HDC,2120,2070,2070,2070,2602.414306640625,1520,3146400
2012-06-29,HDC,2120,2009,2009,2120,2667.474609375,1030,2183600
2012-07-02,HDC,2130,2110,2130,2110,2634.9443359375,9140,19285400
2012-07-03,HDC,2040,2020,2040,2020,2537.35400390625,7430,15008600
2012-07-04,HDC,2110,2050,2110,2050,2586.149169921875,2210,4530500
2012-07-05,HDC,2070,2009,2020,2070,2602.414306640625,3310,6851700
2012-07-06,HDC,2130,2009,2130,2009,2521.0888671875,20,40180
2012-07-09,HDC,2009,1960,2009,1960,2472.29345703125,17400,34104000
2012-07-10,HDC,2040,1930,1960,2040,2569.884033203125,8060,16442400
2012-07-11,HDC,2120,2120,2120,2120,2667.474609375,5000,10600000
2012-07-12,HDC,2190,2190,2190,2190,2748.800048828125,130,284700
2012-07-13,HDC,2160,2130,2160,2130,2683.73974609375,310,660300
2012-07-16,HDC,2210,2040,2050,2210,2765.065185546875,2070,4574700
2012-07-17,HDC,2190,2170,2190,2170,2732.534912109375,20,43400
2012-07-18,HDC,2170,2170,2170,2170,2732.534912109375,0,0
2012-07-19,HDC,2130,2070,2110,2130,2683.73974609375,13030,27753900
2012-07-20,HDC,2170,2070,2170,2070,2602.414306640625,4520,9356400
2012-07-23,HDC,2070,2009,2009,2070,2602.414306640625,810,1676700
2012-07-24,HDC,2070,1990,1990,2070,2602.414306640625,1480,3063600
2012-07-25,HDC,2080,2020,2080,2020,2537.35400390625,1140,2302800
2012-07-26,HDC,2070,1960,1960,2070,2602.414306640625,2300,4761000
2012-07-27,HDC,2070,1960,2020,2070,2602.414306640625,3120,6458400
2012-07-30,HDC,2070,1960,1960,2070,2602.414306640625,1110,2297700
2012-07-31,HDC,2080,2009,2070,2009,2521.0888671875,3540,7111860
2012-08-01,HDC,2070,2020,2070,2040,2569.884033203125,1410,2876400
2012-08-02,HDC,2070,1990,1990,2070,2602.414306640625,3890,8052300
2012-08-03,HDC,2070,2009,2009,2070,2602.414306640625,140,289800
2012-08-06,HDC,2110,2070,2070,2070,2602.414306640625,9750,20182500
2012-08-07,HDC,2020,2020,2020,2020,2537.35400390625,1230,2484600
2012-08-08,HDC,2070,2009,2009,2040,2553.618896484375,5440,11097600
2012-08-09,HDC,2120,2050,2120,2120,2651.20947265625,17040,36124800
2012-08-10,HDC,2120,2040,2120,2080,2618.679443359375,15460,32156800
2012-08-13,HDC,2170,2040,2070,2170,2732.534912109375,11490,24933300
2012-08-14,HDC,2170,2130,2150,2150,2700.0048828125,12630,27154500
2012-08-15,HDC,2170,2110,2170,2160,2716.27001953125,11650,25164000
2012-08-16,HDC,2270,2270,2270,2270,2846.390625,18300,41541000
2012-08-17,HDC,2170,2170,2170,2170,2732.534912109375,880,1909600
2012-08-20,HDC,2170,2070,2170,2080,2618.679443359375,5850,12168000
2012-08-21,HDC,2170,1990,2170,2170,2732.534912109375,4720,10242400
2012-08-22,HDC,2150,2070,2070,2150,2700.0048828125,8060,17329000
2012-08-23,HDC,2040,2040,2040,2040,2569.884033203125,12490,25479600
2012-08-24,HDC,2040,1960,1960,2040,2553.618896484375,14990,30579600
2012-08-27,HDC,2020,1940,1940,2020,2537.35400390625,1840,3716800
2012-08-28,HDC,2009,1930,1930,1930,2423.498291015625,15790,30474700
2012-08-29,HDC,2020,1990,1990,2020,2537.35400390625,1260,2545200
2012-08-30,HDC,2040,1930,1930,2040,2569.884033203125,20,40800
2012-08-31,HDC,2040,2040,2040,2040,2553.618896484375,100,204000
2012-09-04,HDC,2040,1940,1940,1960,2472.29345703125,630,1234800
2012-09-05,HDC,2040,1940,2020,2040,2553.618896484375,1620,3304800
2012-09-06,HDC,2040,1960,2040,2040,2553.618896484375,1070,2182800
2012-09-07,HDC,2120,1960,2120,1960,2472.29345703125,10600,20776000
2012-09-10,HDC,2040,1960,1960,2040,2553.618896484375,2970,6058800
2012-09-11,HDC,2040,2040,2040,2040,2553.618896484375,100,204000
2012-09-12,HDC,2040,1960,2040,2009,2521.0888671875,6780,13621020
2012-09-13,HDC,2009,1930,1930,2009,2521.0888671875,2120,4259080
2012-09-14,HDC,2040,1990,2040,2020,2537.35400390625,1690,3413800
2012-09-17,HDC,2020,1930,1940,1930,2423.498291015625,2220,4284600
2012-09-18,HDC,1960,1960,1960,1960,2472.29345703125,10,19600
2012-09-19,HDC,1960,1870,1870,1960,2472.29345703125,10210,20011600
2012-09-20,HDC,2040,1960,2040,1960,2472.29345703125,910,1783600
2012-09-21,HDC,1960,1960,1960,1960,2472.29345703125,300,588000
2012-09-24,HDC,1960,1960,1960,1960,2472.29345703125,270,529200
2012-09-25,HDC,1960,1960,1960,1960,2472.29345703125,500,980000
2012-09-26,HDC,1870,1870,1870,1870,2358.43798828125,650,1215500
2012-09-27,HDC,1960,1870,1960,1930,2423.498291015625,140,270200
2012-09-28,HDC,1990,1990,1990,1990,2488.55859375,10,19900
2012-10-01,HDC,1940,1890,1940,1890,2374.703125,1110,2097900
2012-10-02,HDC,1930,1930,1930,1930,2423.498291015625,30,57900
2012-10-03,HDC,1940,1940,1940,1940,2439.763427734375,10,19400
2012-10-04,HDC,1940,1940,1940,1940,2439.763427734375,100,194000
2012-10-05,HDC,1940,1930,1930,1940,2439.763427734375,9290,18022600
2012-10-08,HDC,1940,1930,1940,1940,2439.763427734375,20390,39556600
2012-10-09,HDC,1990,1890,1990,1990,2488.55859375,30,59700
2012-10-10,HDC,1990,1990,1990,1990,2488.55859375,10,19900
2012-10-11,HDC,1990,1990,1990,1990,2488.55859375,0,0
2012-10-12,HDC,1990,1990,1990,1990,2488.55859375,0,0
2012-10-15,HDC,2070,2070,2070,2070,2602.414306640625,10,20700
2012-10-16,HDC,2040,1960,1960,2040,2569.884033203125,150,306000
2012-10-17,HDC,2009,2009,2009,2009,2521.0888671875,20,40180
2012-10-18,HDC,1990,1990,1990,1990,2504.82373046875,4860,9671400
2012-10-19,HDC,1990,1990,1990,1990,2504.82373046875,0,0
2012-10-22,HDC,1990,1990,1990,1990,2504.82373046875,0,0
2012-10-23,HDC,1940,1930,1930,1940,2439.763427734375,100,194000
2012-10-24,HDC,1850,1850,1850,1850,2325.90771484375,19500,36075000
2012-10-25,HDC,1840,1760,1760,1840,2309.642578125,6060,11150400
2012-10-26,HDC,1870,1780,1780,1870,2358.43798828125,1080,2019600
2012-10-29,HDC,1870,1850,1850,1870,2358.43798828125,40,74800
2012-10-30,HDC,1810,1790,1790,1810,2277.112548828125,3650,6606500
2012-10-31,HDC,1900,1900,1900,1900,2390.968017578125,10,19000
2012-11-01,HDC,1870,1810,1870,1810,2277.112548828125,3050,5520500
2012-11-02,HDC,1810,1720,1720,1720,2163.2568359375,3940,6776800
2012-11-05,HDC,1720,1640,1640,1720,2163.2568359375,350,602000
2012-11-06,HDC,1720,1640,1660,1690,2114.461669921875,6070,10258300
2012-11-07,HDC,1750,1630,1690,1690,2114.461669921875,3350,5661500
2012-11-08,HDC,1730,1690,1730,1690,2114.461669921875,220,371800
2012-11-09,HDC,1730,1610,1730,1710,2146.99169921875,1860,3180600
2012-11-12,HDC,1780,1720,1780,1780,2228.317138671875,2920,5197600
2012-11-13,HDC,1780,1700,1780,1700,2130.726806640625,1350,2295000
2012-11-14,HDC,1750,1700,1750,1750,2195.787109375,1690,2957500
2012-11-15,HDC,1820,1790,1820,1810,2277.112548828125,220,398200
2012-11-16,HDC,1790,1790,1790,1790,2244.582275390625,150,268500
2012-11-19,HDC,1850,1790,1850,1810,2277.112548828125,2260,4090600
2012-11-20,HDC,1810,1720,1720,1780,2228.317138671875,2670,4752600
2012-11-21,HDC,1820,1800,1810,1800,2260.847412109375,230,414000
2012-11-22,HDC,1810,1790,1810,1790,2244.582275390625,350,626500
2012-11-23,HDC,1790,1790,1790,1790,2244.582275390625,0,0
2012-11-26,HDC,1870,1710,1870,1870,2342.1728515625,60,112200
2012-11-27,HDC,1870,1870,1870,1870,2342.1728515625,0,0
2012-11-28,HDC,1810,1780,1780,1810,2277.112548828125,2020,3656200
2012-11-29,HDC,1810,1720,1720,1810,2277.112548828125,100,181000
2012-11-30,HDC,1780,1720,1720,1750,2195.787109375,1640,2870000
2012-12-03,HDC,1750,1750,1750,1750,2195.787109375,260,455000
2012-12-04,HDC,1790,1710,1790,1750,2195.787109375,4840,8470000
2012-12-05,HDC,1760,1750,1750,1760,2212.05224609375,6020,10595200
2012-12-06,HDC,1760,1760,1760,1760,2212.05224609375,10,17600
2012-12-07,HDC,1750,1750,1750,1750,2195.787109375,100,175000
2012-12-10,HDC,1760,1750,1750,1750,2195.787109375,8890,15557500
2012-12-11,HDC,1790,1750,1750,1760,2212.05224609375,15630,27508800
2012-12-12,HDC,1780,1780,1780,1780,2228.317138671875,50,89000
2012-12-13,HDC,1780,1780,1780,1780,2228.317138671875,0,0
2012-12-14,HDC,1760,1710,1710,1760,2212.05224609375,350,616000
2012-12-17,HDC,1760,1730,1760,1760,2212.05224609375,260,457600
2012-12-18,HDC,1790,1690,1790,1790,2244.582275390625,30,53700
2012-12-19,HDC,1800,1710,1710,1800,2260.847412109375,15610,28098000
2012-12-20,HDC,1810,1780,1810,1790,2244.582275390625,7640,13675600
2012-12-21,HDC,1790,1790,1790,1790,2244.582275390625,3000,5370000
2012-12-24,HDC,1780,1780,1780,1780,2228.317138671875,100,178000
2012-12-25,HDC,1750,1750,1750,1750,2195.787109375,30,52500
2012-12-26,HDC,1790,1750,1750,1780,2228.317138671875,10450,18601000
2012-12-27,HDC,1780,1750,1750,1780,2228.317138671875,16280,28978400
2012-12-28,HDC,1850,1720,1720,1850,2325.90771484375,510,943500
2013-01-02,HDC,1850,1850,1850,1850,2325.90771484375,1930,3570500
2013-01-03,HDC,1780,1760,1780,1760,2212.05224609375,21640,38086400
2013-01-04,HDC,1810,1750,1760,1810,2277.112548828125,560,1013600
2013-01-07,HDC,1780,1720,1730,1780,2228.317138671875,12870,22908600
2013-01-08,HDC,1810,1760,1800,1800,2260.847412109375,11770,21186000
2013-01-09,HDC,1810,1750,1750,1810,2277.112548828125,8640,15638400
2013-01-10,HDC,1760,1730,1730,1750,2195.787109375,6450,11287500
2013-01-11,HDC,1790,1750,1790,1760,2212.05224609375,29510,51937600
2013-01-14,HDC,1840,1760,1760,1840,2309.642578125,12550,23092000
2013-01-15,HDC,1960,1870,1870,1960,2456.028564453125,14880,29164800
2013-01-16,HDC,2080,1960,1960,2080,2618.679443359375,12500,26000000
2013-01-17,HDC,2210,2120,2210,2120,2667.474609375,4600,9752000
2013-01-18,HDC,2120,1990,2120,1990,2488.55859375,2310,4596900
2013-01-21,HDC,2070,1990,1990,2009,2521.0888671875,19880,39938920
2013-01-22,HDC,2020,1940,2009,2020,2537.35400390625,17610,35572200
2013-01-23,HDC,2150,1920,1920,2150,2700.0048828125,6340,13631000
2013-01-24,HDC,2170,2020,2020,2170,2732.534912109375,14380,31204600
2013-01-25,HDC,2170,2070,2070,2170,2732.534912109375,530,1150100
2013-01-28,HDC,2210,2070,2070,2210,2765.065185546875,10010,22122100
2013-01-29,HDC,2220,2220,2220,2220,2781.330322265625,20000,44400000
2013-01-30,HDC,2170,2170,2170,2170,2732.534912109375,4760,10329200
2013-01-31,HDC,2190,2170,2170,2190,2748.800048828125,20800,45552000
2013-02-01,HDC,2190,2070,2070,2190,2748.800048828125,10030,21965700
2013-02-04,HDC,2270,2270,2270,2270,2846.390625,10,22700
2013-02-05,HDC,2240,2150,2150,2240,2813.8603515625,6010,13462400
2013-02-06,HDC,2240,2240,2240,2240,2813.8603515625,30,67200
2013-02-07,HDC,2210,2170,2210,2170,2732.534912109375,13000,28210000
2013-02-08,HDC,2210,2210,2210,2210,2765.065185546875,5000,11050000
2013-02-18,HDC,2190,2170,2170,2190,2748.800048828125,10080,22075200
2013-02-19,HDC,2210,2170,2170,2190,2748.800048828125,21730,47588700
2013-02-20,HDC,2190,2190,2190,2190,2748.800048828125,0,0
