Date,code,high,low,open,close,adjust,volume_match,value_match
2012-03-20,HDG,1500,1450,1450,1500,1975.533935546875,140030,210045000
2012-03-21,HDG,1560,1450,1490,1520,2001.0247802734375,315220,479134400
2012-03-22,HDG,1560,1490,1500,1540,2026.5155029296875,102950,158543000
2012-03-23,HDG,1600,1520,1520,1580,2090.242431640625,268250,423835000
2012-03-26,HDG,1640,1550,1640,1560,2052.006103515625,136060,212253600
2012-03-27,HDG,1560,1490,1550,1490,1950.0433349609375,121450,180960500
2012-03-28,HDG,1490,1420,1450,1450,1911.8070068359375,65360,94772000
2012-03-29,HDG,1450,1410,1450,1410,1860.8255615234375,157600,222216000
2012-03-30,HDG,1450,1410,1410,1450,1911.8070068359375,89490,129760500
2012-04-03,HDG,1490,1410,1410,1470,1937.2978515625,49060,72118200
2012-04-04,HDG,1510,1410,1510,1410,1860.8255615234375,63390,89379900
2012-04-05,HDG,1440,1390,1410,1420,1886.31640625,62210,88338200
2012-04-06,HDG,1500,1450,1470,1490,1950.0433349609375,139690,208138100
2012-04-09,HDG,1550,1470,1470,1540,2026.5155029296875,265060,408192400
2012-04-10,HDG,1610,1560,1580,1610,2115.733154296875,607040,977334400
2012-04-11,HDG,1690,1690,1690,1690,2217.696044921875,176360,298048400
2012-04-12,HDG,1770,1770,1770,1770,2319.6591796875,114390,202470300
2012-04-13,HDG,1850,1780,1850,1810,2383.38623046875,758690,1373228900
2012-04-16,HDG,1910,1810,1810,1910,2498.0947265625,484460,925318600
2012-04-17,HDG,1980,1930,1970,1980,2612.80322265625,217790,431224200
2012-04-18,HDG,2090,1980,2090,2090,2740.257080078125,756420,1580917800
2012-04-19,HDG,2090,1980,2020,1980,2612.80322265625,405720,803325600
2012-04-20,HDG,1970,1890,1910,1930,2549.076416015625,333130,642940900
2012-04-23,HDG,2020,1870,1870,2020,2676.5302734375,188380,380527600
2012-04-24,HDG,2120,1980,2050,2120,2803.98388671875,548920,1163710400
2012-04-25,HDG,2240,2120,2190,2240,2944.18310546875,492320,1102796800
2012-04-26,HDG,2330,2220,2320,2220,2918.6923828125,440340,977554800
2012-04-27,HDG,2330,2190,2260,2320,3046.146240234375,495770,1150186400
2012-05-02,HDG,2390,2210,2390,2210,2905.94677734375,408310,902365100
2012-05-03,HDG,2200,2100,2120,2120,2791.238525390625,559470,1186076400
