Date,code,high,low,open,close,adjust,volume_match,value_match
2021-01-04,HHV,14360,13630,13630,14360,14360,1302,18696720
2021-01-05,HHV,15760,14360,15480,15480,15480,1800,27864000
2021-01-06,HHV,17540,16940,16940,17540,17540,7800,136812000
2021-01-07,HHV,17470,17470,17470,17470,17470,0,0
2021-01-08,HHV,17470,14880,17470,14880,14880,400,5952000
2021-01-11,HHV,14740,14290,14290,14520,14520,2700,39204000
2021-01-12,HHV,15480,15480,15480,15480,15480,500,7740000
2021-01-13,HHV,15480,15480,15480,15480,15480,160,2476800
2021-01-14,HHV,13180,13180,13180,13180,13180,200,2636000
2021-01-15,HHV,14000,14000,14000,14000,14000,100,1400000
2021-01-18,HHV,14000,14000,14000,14000,14000,0,0
2021-01-19,HHV,14000,14000,14000,14000,14000,0,0
2021-01-20,HHV,14000,14000,14000,14000,14000,0,0
2021-01-21,HHV,14740,14740,14740,14740,14740,200,2948000
2021-01-22,HHV,14740,14740,14740,14740,14740,3,44220
2021-01-25,HHV,13260,13260,13260,13260,13260,100,1326000
2021-01-26,HHV,12530,12530,12530,12530,12530,100,1253000
2021-01-27,HHV,12530,12530,12530,12530,12530,500,6265000
2021-01-28,HHV,12530,12530,12530,12530,12530,200,2506000
2021-01-29,HHV,12530,12530,12530,12530,12530,100,1253000
2021-02-01,HHV,12530,12530,12530,12530,12530,0,0
2021-02-02,HHV,12530,12530,12530,12530,12530,0,0
2021-02-03,HHV,14360,14360,14360,14360,14360,100,1436000
2021-02-04,HHV,14360,14360,14360,14360,14360,0,0
2021-02-05,HHV,14360,14360,14360,14360,14360,0,0
2021-02-08,HHV,12890,12890,12890,12890,12890,100,1289000
2021-02-09,HHV,14360,14360,14360,14360,14360,200,2872000
2021-02-17,HHV,14360,14360,14360,14360,14360,0,0
2021-02-18,HHV,14360,14360,14360,14360,14360,0,0
2021-02-19,HHV,14360,14360,14360,14360,14360,400,5744000
2021-02-22,HHV,14740,14360,14740,14360,14360,500,7180000
2021-02-23,HHV,14800,14520,14520,14800,14800,1100,16280000
2021-02-24,HHV,14590,14590,14590,14590,14590,800,11672000
2021-02-25,HHV,14590,14590,14590,14590,14590,0,0
2021-02-26,HHV,14590,14590,14590,14590,14590,0,0
2021-03-01,HHV,14740,14000,14740,14000,14000,1700,23800000
2021-03-02,HHV,14160,14160,14160,14160,14160,600,8496000
2021-03-03,HHV,14160,14160,14160,14160,14160,0,0
2021-03-04,HHV,12890,12160,12890,12530,12530,947,11865910
2021-03-05,HHV,12600,12600,12600,12600,12600,0,0
2021-03-08,HHV,12600,12600,12600,12600,12600,800,10080000
2021-03-09,HHV,12600,12600,12600,12600,12600,600,7560000
2021-03-10,HHV,12600,12600,12600,12600,12600,1020,12852000
2021-03-11,HHV,12600,12600,12600,12600,12600,0,0
2021-03-12,HHV,12600,12600,12600,12600,12600,0,0
2021-03-15,HHV,13560,12600,13560,12600,12600,2200,27720000
2021-03-16,HHV,13480,13480,13480,13480,13480,200,2696000
2021-03-17,HHV,13260,13260,13260,13260,13260,107,1418820
2021-03-18,HHV,13260,13260,13260,13260,13260,0,0
2021-03-19,HHV,13260,13260,13260,13260,13260,0,0
2021-03-22,HHV,13260,13260,13260,13260,13260,0,0
2021-03-23,HHV,12530,12530,12530,12530,12530,100,1253000
2021-03-24,HHV,14360,13260,13260,14360,14360,1300,18668000
2021-03-25,HHV,16059,15840,15840,16059,16059,1400,22482600
2021-03-26,HHV,18350,15480,15480,17310,17310,1400,24234000
2021-03-29,HHV,16210,16210,16210,16210,16210,500,8105000
2021-03-30,HHV,16210,16210,16210,16210,16210,500,8105000
2021-03-31,HHV,16210,16210,16210,16210,16210,0,0
2021-04-01,HHV,16210,16210,16210,16210,16210,0,0
2021-04-02,HHV,16210,15840,15840,16210,16210,300,4863000
2021-04-05,HHV,15980,15980,15980,15980,15980,0,0
2021-04-06,HHV,13630,13630,13630,13630,13630,100,1363000
2021-04-07,HHV,13630,13260,13630,13260,13260,1000,13260000
2021-04-08,HHV,13560,13560,13560,13560,13560,0,0
2021-04-09,HHV,13560,13560,13560,13560,13560,0,0
2021-04-12,HHV,13780,13700,13780,13700,13700,300,4110000
2021-04-13,HHV,15700,14360,14360,14740,14740,2400,35376000
2021-04-14,HHV,15170,14740,14740,15170,15170,1000,15170000
2021-04-15,HHV,14740,14430,14740,14430,14430,1300,18759000
