Date,code,high,low,open,close,adjust,volume_match,value_match
2021-01-04,HPG,18120,17540,17690,17820,17820,15832600,282136932000
2021-01-05,HPG,18030,17570,17610,17840,17840,18634100,332432344000
2021-01-06,HPG,18240,17820,17900,18030,18030,17948600,323613258000
2021-01-07,HPG,18200,17790,18170,18030,18030,21780700,392706021000
2021-01-08,HPG,18240,17950,18070,18010,18010,19978500,359812785000
2021-01-11,HPG,18240,17950,18160,18130,18130,16645100,301775663000
2021-01-12,HPG,18920,18070,18200,18920,18920,22738800,430218096000
2021-01-13,HPG,19140,18710,19040,18830,18830,16131800,303761794000
2021-01-14,HPG,18830,18470,18830,18720,18720,17527000,328105440000
2021-01-15,HPG,18970,18660,18660,18740,18740,14788300,277132742000
2021-01-18,HPG,18890,18640,18740,18790,18790,18112900,340341391000
2021-01-19,HPG,18790,17480,18790,17520,17520,25778200,451634064000
2021-01-20,HPG,18090,16850,17690,17570,17570,37915600,666177092000
2021-01-21,HPG,18620,17610,18050,18620,18620,20829700,387849014000
2021-01-22,HPG,18830,18350,18660,18380,18380,14798600,271998268000
2021-01-25,HPG,19140,18160,18220,18410,18410,33091200,609208992000
2021-01-26,HPG,18370,17520,18370,17820,17820,24099500,429453090000
2021-01-27,HPG,17870,16630,17440,16970,16970,28056100,476112017000
2021-01-28,HPG,16450,15790,15840,15790,15790,49934800,788470492000
2021-01-29,HPG,16820,15580,15580,16490,16490,40248000,663689520000
2021-02-01,HPG,16790,16090,16430,16149,16149,21323900,344359661100
2021-02-02,HPG,17060,16120,16219,17060,17060,28541100,486911166000
2021-02-03,HPG,17840,17270,17360,17690,17690,34839600,616312524000
2021-02-04,HPG,17780,17500,17690,17610,17610,22252900,391873569000
2021-02-05,HPG,17980,17570,17670,17900,17900,23371200,418344480000
2021-02-08,HPG,17950,16850,17900,17220,17220,32918400,566854848000
2021-02-09,HPG,17650,17040,17220,17610,17610,26164800,460762128000
2021-02-17,HPG,18300,17820,17870,18300,18300,24253200,443833560000
2021-02-18,HPG,18540,18090,18280,18470,18470,21343800,394219986000
2021-02-19,HPG,18490,18160,18240,18300,18300,17007500,311237250000
2021-02-22,HPG,18710,18120,18300,18280,18280,21362500,390506500000
2021-02-23,HPG,18430,18090,18200,18240,18240,17921700,326891808000
2021-02-24,HPG,18710,18240,18380,18370,18370,27282600,501181362000
2021-02-25,HPG,18710,18380,18540,18600,18600,21931700,407929620000
2021-02-26,HPG,19250,18370,18410,19210,19210,40928500,786236485000
