Date,code,high,low,open,close,adjust,volume_match,value_match
2012-03-20,HSG,1360,1300,1310,1350,1440.2158203125,471570,636619500
2012-03-21,HSG,1390,1340,1360,1350,1440.2158203125,662090,893821500
2012-03-22,HSG,1370,1340,1340,1360,1451.64599609375,305900,416024000
2012-03-23,HSG,1380,1340,1360,1360,1451.64599609375,700300,952408000
2012-03-26,HSG,1380,1350,1380,1350,1440.2158203125,499190,673906500
2012-03-27,HSG,1350,1290,1350,1310,1405.9249267578125,852730,1117076300
2012-03-28,HSG,1320,1290,1290,1300,1394.4947509765625,306990,399087000
2012-03-29,HSG,1310,1290,1300,1290,1383.064453125,426850,550636500
2012-03-30,HSG,1290,1260,1290,1280,1360.203857421875,385830,493862400
2012-04-03,HSG,1310,1280,1300,1310,1405.9249267578125,244930,320858300
2012-04-04,HSG,1310,1280,1310,1290,1383.064453125,269400,347526000
2012-04-05,HSG,1350,1280,1300,1320,1417.3551025390625,318660,420631200
2012-04-06,HSG,1390,1340,1340,1390,1485.93701171875,1280440,1779811600
2012-04-09,HSG,1450,1420,1420,1450,1554.5186767578125,1176320,1705664000
2012-04-10,HSG,1530,1500,1530,1510,1554.5186767578125,768920,1161069200
2012-04-11,HSG,1580,1540,1580,1580,1623.100341796875,518920,819893600
2012-04-12,HSG,1660,1620,1650,1660,1703.1123046875,555880,922760800
2012-04-13,HSG,1730,1660,1710,1710,1760.2637939453125,2471910,4226966100
2012-04-16,HSG,1790,1750,1770,1790,1840.2757568359375,522240,934809600
2012-04-17,HSG,1880,1880,1880,1880,1931.7181396484375,200220,376413600
2012-04-18,HSG,1970,1930,1970,1970,2023.1602783203125,989070,1948467900
2012-04-19,HSG,2050,1880,2050,1880,1931.7181396484375,2779810,5226042800
2012-04-20,HSG,1920,1790,1820,1800,1851.7060546875,1285570,2314026000
2012-04-23,HSG,1880,1880,1880,1880,1943.1483154296875,167060,314072800
2012-04-24,HSG,1980,1980,1980,1980,2034.5906982421875,149020,295059600
2012-04-25,HSG,2060,2060,2060,2060,2126.032958984375,131920,271755200
2012-04-26,HSG,2170,2120,2160,2170,2228.905517578125,2270300,4926551000
2012-04-27,HSG,2250,2130,2240,2250,2320.34765625,626720,1410120000
2012-05-02,HSG,2270,2140,2270,2140,2206.044677734375,863600,1848104000
2012-05-03,HSG,2240,2040,2050,2220,2286.05712890625,1913500,4247970000
2012-05-04,HSG,2280,2180,2220,2190,2251.76611328125,797480,1746481200
2012-05-07,HSG,2240,2170,2220,2200,2263.1962890625,798700,1757140000
2012-05-08,HSG,2200,2090,2200,2120,2183.184326171875,914450,1938634000
2012-05-09,HSG,2120,2060,2070,2110,2171.754150390625,518450,1093929500
2012-05-10,HSG,2220,2110,2110,2220,2274.62646484375,1627660,3613405200
2012-05-11,HSG,2310,2220,2310,2290,2354.638671875,1267550,2902689500
2012-05-14,HSG,2240,2180,2220,2180,2240.335693359375,791790,1726102200
2012-05-15,HSG,2180,2070,2090,2070,2137.463134765625,1028850,2129719500
2012-05-16,HSG,2070,1980,2070,1980,2034.5906982421875,828700,1640826000
2012-05-17,HSG,2020,1880,1910,1880,1943.1483154296875,1032720,1941513600
2012-05-18,HSG,1880,1800,1850,1810,1863.1363525390625,750420,1358260200
2012-05-21,HSG,1900,1880,1880,1900,1954.5784912109375,350710,666349000
2012-05-22,HSG,1990,1990,1990,1990,2046.02099609375,362350,721076500
2012-05-23,HSG,2070,1990,2070,2029,2080.311767578125,1948420,3953344180
2012-05-24,HSG,2050,1920,2050,1920,1977.4393310546875,868170,1666886400
2012-05-25,HSG,2020,2009,2020,2020,2068.88134765625,262940,531138800
2012-05-28,HSG,2110,2060,2110,2110,2171.754150390625,1144340,2414557400
2012-05-29,HSG,2170,2029,2050,2090,2160.323974609375,527280,1102015200
2012-05-30,HSG,2200,2160,2200,2200,2263.1962890625,534910,1176802000
2012-05-31,HSG,2300,2160,2200,2230,2297.487060546875,960190,2141223700
2012-06-01,HSG,2270,2120,2230,2130,2194.61474609375,1547590,3296366700
2012-06-04,HSG,2130,2029,2130,2050,2114.6025390625,875040,1793832000
2012-06-05,HSG,2160,2029,2080,2160,2217.47509765625,667550,1441908000
