Date,code,high,low,open,close,adjust,volume_match,value_match
2012-03-20,KBC,10140,9860,10140,10000,10000,215560,2155600000
2012-03-21,KBC,10490,10000,10000,10350,10350,521530,5397835500
2012-03-22,KBC,10490,10070,10140,10140,10140,276460,2803304400
2012-03-23,KBC,10630,10210,10210,10630,10630,577540,6139250200
2012-03-26,KBC,11120,10630,10980,10980,10980,785320,8622813600
2012-03-27,KBC,10980,10490,10910,10490,10490,459450,4819630500
2012-03-28,KBC,10280,10000,10140,10140,10140,354090,3590472600
2012-03-29,KBC,10490,9650,10490,9720,9720,410340,3988504800
2012-03-30,KBC,9720,9370,9580,9440,9440,353030,3332603200
2012-04-03,KBC,9860,9580,9720,9860,9860,209890,2069515400
2012-04-04,KBC,10000,9510,10000,9580,9580,140390,1344936200
2012-04-05,KBC,9930,9440,9440,9930,9930,184440,1831489200
2012-04-06,KBC,10140,9860,9930,9930,9930,167480,1663076400
2012-04-09,KBC,10420,9860,9930,10420,10420,354240,3691180800
2012-04-10,KBC,10560,10140,10560,10140,10140,347810,3526793400
2012-04-11,KBC,10630,10210,10490,10630,10630,628110,6676809300
2012-04-12,KBC,11120,10840,10980,11050,11050,648160,7162168000
2012-04-13,KBC,11120,10630,11050,10770,10770,344180,3706818600
2012-04-16,KBC,11260,10770,10770,11260,11260,762120,8581471200
2012-04-17,KBC,11820,11190,11540,11820,11820,720010,8510518200
2012-04-18,KBC,12380,11960,12380,12310,12310,1476050,18170175500
2012-04-19,KBC,12590,11750,12590,11750,11750,608070,7144822500
2012-04-20,KBC,11610,11190,11400,11190,11190,366280,4098673200
2012-04-23,KBC,11330,10770,10770,10910,10910,392820,4285666200
2012-04-24,KBC,11260,10490,10630,11120,11120,518200,5762384000
2012-04-25,KBC,11610,10910,10910,11610,11610,656560,7622661600
2012-04-26,KBC,11680,11190,11330,11190,11190,226920,2539234800
2012-04-27,KBC,11540,11120,11540,11330,11330,387510,4390488300
2012-05-02,KBC,11400,10770,11330,10770,10770,528020,5686775400
2012-05-03,KBC,10840,10280,10630,10490,10490,428250,4492342500
2012-05-04,KBC,10980,10490,10560,10840,10840,1001570,10857018800
2012-05-07,KBC,10980,10770,10840,10980,10980,930670,10218756600
2012-05-08,KBC,11190,10840,10980,10910,10910,483600,5276076000
2012-05-09,KBC,10910,10700,10910,10700,10700,418440,4477308000
2012-05-10,KBC,11050,10630,10840,10700,10700,837170,8957719000
2012-05-11,KBC,10770,10350,10770,10350,10350,494440,5117454000
2012-05-14,KBC,10210,9860,10140,9860,9860,608640,6001190400
2012-05-15,KBC,9860,9370,9580,9370,9370,505390,4735504300
2012-05-16,KBC,9440,9020,9370,9090,9090,519710,4724163900
2012-05-17,KBC,9300,8670,9090,8670,8670,547850,4749859500
2012-05-18,KBC,8530,8250,8460,8250,8250,672700,5549775000
2012-05-21,KBC,8600,8109,8250,8600,8600,380950,3276170000
2012-05-22,KBC,8950,8320,8600,8600,8600,229450,1973270000
2012-05-23,KBC,8530,8180,8390,8180,8180,362040,2961487200
2012-05-24,KBC,8250,7830,8250,7830,7830,445820,3490770600
2012-05-25,KBC,8180,8180,8180,8180,8180,304460,2490482800
2012-05-28,KBC,8530,8390,8530,8530,8530,461360,3935400800
2012-05-29,KBC,8740,8320,8460,8670,8670,485060,4205470200
2012-05-30,KBC,9020,8740,8740,8810,8810,342660,3018834600
2012-05-31,KBC,8810,8390,8740,8460,8460,303700,2569302000
2012-06-01,KBC,8670,8320,8600,8320,8320,178390,1484204800
2012-06-04,KBC,8109,7970,8109,7970,7970,596080,4750757600
