Date,code,high,low,open,close,adjust,volume_match,value_match
2012-03-20,KDC,10070,9990,10050,10050,10050,90410,908620500
2012-03-21,KDC,10220,9890,10220,10070,10070,264590,2664421300
2012-03-22,KDC,10130,9840,9840,10070,10070,93570,942249900
2012-03-23,KDC,10100,9910,10100,10050,10050,188960,1899048000
2012-03-26,KDC,10050,9870,9870,10050,10050,171610,1724680500
2012-03-27,KDC,10050,9870,9870,9990,9990,68930,688610700
2012-03-28,KDC,9990,9820,9990,9990,9990,72450,723775500
2012-03-29,KDC,9990,9540,9990,9540,9540,91370,871669800
2012-03-30,KDC,9910,9590,9910,9890,9890,94820,937769800
2012-04-03,KDC,9990,9770,9770,9990,9990,84570,844854300
2012-04-04,KDC,10050,9910,10050,9990,9990,91560,914684400
2012-04-05,KDC,10130,9870,9990,10130,10130,102030,1033563900
2012-04-06,KDC,10480,10130,10480,10240,10240,90990,931737600
2012-04-09,KDC,10360,10140,10240,10360,10360,90630,938926800
2012-04-10,KDC,10390,10200,10200,10390,10390,112050,1164199500
2012-04-11,KDC,10840,10360,10840,10440,10440,155250,1620810000
2012-04-12,KDC,10480,10410,10440,10480,10480,218090,2285583200
2012-04-13,KDC,10690,10390,10690,10480,10480,132830,1392058400
2012-04-16,KDC,10510,10360,10480,10510,10510,116170,1220946700
2012-04-17,KDC,11000,10440,10510,11000,11000,477560,5253160000
2012-04-18,KDC,11060,10710,11000,10840,10840,130180,1411151200
2012-04-19,KDC,10740,10480,10590,10620,10620,161700,1717254000
2012-04-20,KDC,10710,10130,10710,10480,10480,127980,1341230400
2012-04-23,KDC,10620,10360,10620,10480,10480,121160,1269756800
2012-04-24,KDC,10590,10050,10480,10590,10590,181870,1926003300
2012-04-25,KDC,10840,10620,10740,10740,10740,66620,715498800
2012-04-26,KDC,10740,10480,10480,10710,10710,71240,762980400
2012-04-27,KDC,11120,10510,10740,11120,11120,115150,1280468000
2012-05-02,KDC,11230,11120,11200,11230,11230,79940,897726200
2012-05-03,KDC,11790,11000,11230,11740,11740,113340,1330611600
2012-05-04,KDC,11990,11640,11640,11870,11870,102500,1216675000
2012-05-07,KDC,12270,11870,12270,11960,11960,111500,1333540000
2012-05-08,KDC,11740,11620,11740,11710,11710,112910,1322176100
2012-05-09,KDC,11740,11190,11710,11710,11710,169530,1985196300
2012-05-10,KDC,11670,11470,11470,11670,11670,72910,850859700
2012-05-11,KDC,11690,11480,11690,11670,11670,77590,905475300
2012-05-14,KDC,11670,11260,11670,11480,11480,57650,661822000
2012-05-15,KDC,11000,10920,10950,10920,10920,40060,437455200
2012-05-16,KDC,10920,10390,10920,10900,10900,284830,3104647000
2012-05-17,KDC,10900,10360,10900,10870,10870,124920,1357880400
2012-05-18,KDC,10640,10330,10330,10330,10330,66390,685808700
2012-05-21,KDC,10100,9840,9870,9840,9840,329060,3237950400
2012-05-22,KDC,9870,9690,9840,9870,9870,87160,860269200
2012-05-23,KDC,9990,9480,9480,9800,9800,34450,337610000
2012-05-24,KDC,9800,9480,9750,9770,9770,55590,543114300
2012-05-25,KDC,9870,9480,9480,9870,9870,85240,841318800
2012-05-28,KDC,9990,9750,9990,9820,9820,64290,631327800
2012-05-29,KDC,9820,9610,9610,9820,9820,68120,668938400
2012-05-30,KDC,9910,9750,9910,9870,9870,76800,758016000
2012-05-31,KDC,9840,9670,9690,9750,9750,58290,568327500
2012-06-01,KDC,9750,9270,9750,9270,9270,110660,1025818200
2012-06-04,KDC,9540,8820,8820,9250,9250,81270,751747500
2012-06-05,KDC,9470,8900,9250,9250,9250,93450,864412500
2012-06-06,KDC,9390,9020,9250,9390,9390,109820,1031209800
2012-06-07,KDC,9820,9440,9820,9750,9750,88110,859072500
2012-06-08,KDC,9870,9610,9750,9820,9820,56620,556008400
2012-06-11,KDC,9990,9750,9820,9970,9970,68460,682546200
2012-06-12,KDC,9910,9610,9750,9840,9840,60000,590400000
2012-06-13,KDC,9870,9640,9870,9820,9820,79410,779806200
2012-06-14,KDC,9820,9640,9820,9820,9820,61750,606385000
2012-06-15,KDC,10240,9770,9870,10240,10240,377560,3866214400
2012-06-18,KDC,10440,10140,10140,10220,10220,85630,875138600
2012-06-19,KDC,10220,9720,10220,10200,10200,141390,1442178000
2012-06-20,KDC,10200,9870,10200,10170,10170,61020,620573400
2012-06-21,KDC,10130,9750,9750,10100,10100,110580,1116858000
2012-06-22,KDC,10130,9690,10100,10020,10020,64790,649195800
2012-06-25,KDC,9970,9750,9750,9870,9870,87980,868362600
2012-06-26,KDC,9910,9870,9870,9910,9910,72000,713520000
2012-06-27,KDC,9940,9890,9940,9940,9940,125610,1248563400
2012-06-28,KDC,10050,9800,9800,10050,10050,192890,1938544500
2012-06-29,KDC,10470,10050,10470,10240,10240,151650,1552896000
2012-07-02,KDC,10440,10240,10440,10410,10410,52850,550168500
2012-07-03,KDC,10410,10240,10410,10330,10330,63100,651823000
2012-07-04,KDC,10470,9990,10330,10330,10330,65990,681676700
2012-07-05,KDC,10330,10020,10330,10240,10240,59220,606412800
2012-07-06,KDC,10360,10130,10360,10360,10360,68000,704480000
2012-07-09,KDC,10220,9870,10130,9990,9990,96070,959739300
2012-07-10,KDC,9990,9690,9690,9990,9990,86550,864634500
2012-07-11,KDC,10360,9750,9750,10050,10050,45670,458983500
2012-07-12,KDC,10050,9820,10050,10050,10050,62650,629632500
2012-07-13,KDC,10050,9940,10050,10020,10020,61060,611821200
2012-07-16,KDC,10020,9940,10020,9990,9990,65340,652746600
2012-07-17,KDC,9990,9800,9800,9990,9990,88070,879819300
2012-07-18,KDC,9990,9890,9990,9970,9970,81440,811956800
2012-07-19,KDC,9970,9870,9970,9970,9970,125610,1252331700
2012-07-20,KDC,10410,9990,10240,9990,9990,124120,1239958800
2012-07-23,KDC,9990,9750,9990,9990,9990,57320,572626800
2012-07-24,KDC,9970,9720,9870,9970,9970,68560,683543200
2012-07-25,KDC,10250,9790,10050,9910,9910,63990,634140900
2012-07-26,KDC,10020,9660,10020,9910,9910,54830,543365300
2012-07-27,KDC,9970,9810,9940,9970,9970,36350,362409500
2012-07-30,KDC,9880,9470,9470,9870,9870,112180,1107216600
2012-07-31,KDC,9910,9710,9710,9910,9910,55120,546239200
2012-08-01,KDC,9910,9770,9910,9810,9810,41550,407605500
