Date,code,high,low,open,close,adjust,volume_match,value_match
2017-12-08,KOS,11332,11332,11332,11332,11332.0,36200,410218400
2017-12-11,KOS,12982,12982,12982,12982,12982.0,13600,176555200
2017-12-12,KOS,14919,14919,14919,14919,14919.0,200,2983800
2017-12-13,KOS,17142,15062,17142,15134,15134.0,8600,130152400
2017-12-14,KOS,15780,15277,15780,15277,15277.0,14700,224571900
2017-12-15,KOS,15708,13197,13197,15564,15564.0,56300,876253200
2017-12-18,KOS,16497,15851,15923,16066,16066.0,42900,689231400
2017-12-19,KOS,16353,16138,16138,16210,16210.0,35500,575455000
2017-12-20,KOS,16353,15780,16353,15923,15923.0,36200,576412600
2017-12-21,KOS,16425,15851,15995,15995,15995.0,35300,564623500
2017-12-22,KOS,16497,15062,15780,16497,16497.0,21800,359634600
2017-12-25,KOS,16640,16282,16353,16497,16497.0,33500,552649500
2017-12-26,KOS,17214,15780,15780,16855,16855.0,21800,367439000
2017-12-27,KOS,18792,16927,16927,17358,17358.0,41900,727300200
2017-12-28,KOS,18003,17573,17573,17931,17931.0,36500,654481500
2017-12-29,KOS,18290,18003,18003,18075,18075.0,30300,547672500
2018-01-02,KOS,18075,17358,18075,17358,17358.0,35100,609265800
2018-01-03,KOS,17860,17358,17501,17644,17644.0,36000,635184000
2018-01-04,KOS,18075,17644,17716,17931,17931.0,31900,571998900
2018-01-05,KOS,18075,17286,18075,17358,17358.0,34200,593643600
2018-01-08,KOS,17931,16640,16855,16712,16712.0,42000,701904000
2018-01-09,KOS,16927,16497,16640,16497,16497.0,41900,691224300
2018-01-10,KOS,17142,16497,16497,16569,16569.0,40300,667730700
2018-01-11,KOS,16640,16138,16640,16210,16210.0,35000,567350000
2018-01-12,KOS,16855,16138,16282,16425,16425.0,33100,543667500
2018-01-15,KOS,16353,15780,16353,15780,15780.0,47400,747972000
2018-01-16,KOS,16855,15708,16855,15708,15708.0,58700,922059600
2018-01-17,KOS,15923,15564,15851,15564,15564.0,63600,989870400
2018-01-18,KOS,16497,14417,16497,14417,14417.0,63900,921246300
2018-01-19,KOS,16282,14345,14560,14345,14345.0,58900,844920500
2018-01-22,KOS,16138,14345,16138,14417,14417.0,74100,1068299700
2018-01-23,KOS,15995,14488,15995,14488,14488.0,69500,1006916000
2018-01-24,KOS,14632,14345,14560,14560,14560.0,75400,1097824000
2018-01-25,KOS,14775,14345,14560,14632,14632.0,82300,1204213600
2018-01-26,KOS,14632,14345,14632,14345,14345.0,62100,890824500
2018-01-29,KOS,14345,14202,14345,14202,14202.0,68900,978517800
2018-01-30,KOS,14202,13986,14202,13986,13986.0,66300,927271800
2018-01-31,KOS,14488,14058,14058,14058,14058.0,69800,981248400
