Date,code,high,low,open,close,adjust,volume_match,value_match
2017-10-05,LPB,3330,2850,3130,2990,2990.0,7293500,21807565000
2017-10-06,LPB,2990,2870,2990,2920,2920.0,1196846,3494790320
2017-10-09,LPB,2970,2920,2920,2960,2960.0,1018740,3015470400
2017-10-10,LPB,2970,2890,2960,2920,2920.0,1369264,3998250880
2017-10-11,LPB,2920,2750,2920,2790,2790.0,1929895,5384407050
2017-10-12,LPB,2790,2650,2790,2700,2700.0,1503890,4060503000
2017-10-13,LPB,2720,2570,2650,2590,2590.0,1998290,5175571100
2017-10-16,LPB,2800,2540,2570,2680,2680.0,2078341,5569953880
2017-10-17,LPB,2850,2700,2700,2850,2850.0,2352646,6705041100
2017-10-18,LPB,2960,2870,2870,2870,2870.0,1921054,5513424980
2017-10-19,LPB,2870,2790,2870,2800,2800.0,1665342,4662957600
2017-10-20,LPB,2830,2760,2830,2800,2800.0,716310,2005668000
2017-10-23,LPB,2800,2720,2800,2720,2720.0,989690,2691956800
2017-10-24,LPB,2850,2700,2720,2800,2800.0,2296792,6431017600
2017-10-25,LPB,3000,2850,2850,2980,2980.0,4451160,13264456800
2017-10-26,LPB,3000,2930,2960,2980,2980.0,4783279,14254171420
2017-10-27,LPB,3000,2960,2980,2980,2980.0,917448,2733995040
2017-10-30,LPB,2980,2920,2980,2930,2930.0,1155892,3386763560
2017-10-31,LPB,2920,2870,2920,2870,2870.0,998097,2864538390
2017-11-01,LPB,2900,2850,2900,2900,2900.0,1832620,5314598000
2017-11-02,LPB,2920,2870,2920,2900,2900.0,1436565,4166038500
2017-11-03,LPB,2900,2820,2900,2850,2850.0,1311510,3737803500
2017-11-06,LPB,2870,2790,2800,2820,2820.0,1721340,4854178800
2017-11-07,LPB,2850,2760,2850,2790,2790.0,3472406,9688012740
2017-11-08,LPB,2900,2790,2800,2870,2870.0,3419190,9813075300
2017-11-09,LPB,3030,2920,2920,2980,2980.0,2027331,6041446380
2017-11-10,LPB,3030,2960,2980,2960,2960.0,2162571,6401210160
2017-11-13,LPB,3010,2930,3010,2980,2980.0,1658710,4942955800
2017-11-14,LPB,3130,2980,3070,3060,3060.0,1417790,4338437400
2017-11-15,LPB,3100,2980,2980,3100,3100.0,1199023,3716971300
2017-11-16,LPB,3300,3100,3100,3240,3240.0,3654576,11840826240
2017-11-17,LPB,3330,3200,3300,3230,3230.0,1427771,4611700330
2017-11-20,LPB,3240,3190,3240,3200,3200.0,1377090,4406688000
2017-11-21,LPB,3240,3190,3230,3230,3230.0,1436020,4638344600
2017-11-22,LPB,3280,3150,3150,3240,3240.0,2574539,8341506360
2017-11-23,LPB,3350,3280,3330,3300,3300.0,2175399,7178816700
2017-11-24,LPB,3330,3240,3300,3330,3330.0,2075370,6910982100
2017-11-27,LPB,3530,3330,3350,3500,3500.0,5381683,18835890500
2017-11-28,LPB,3580,3460,3500,3460,3460.0,7626825,26388814500
2017-11-29,LPB,3470,3370,3470,3370,3370.0,1841038,6204298060
2017-11-30,LPB,3460,3370,3400,3400,3400.0,1149710,3909014000
2017-12-01,LPB,3400,3280,3400,3300,3300.0,2499176,8247280800
2017-12-04,LPB,3370,3300,3300,3330,3330.0,1390615,4630747950
2017-12-05,LPB,3350,3300,3350,3300,3300.0,897567,2961971100
2017-12-06,LPB,3330,3280,3300,3280,3280.0,1710500,5610440000
2017-12-07,LPB,3300,3240,3300,3280,3280.0,1185503,3888449840
2017-12-08,LPB,3350,3280,3300,3330,3330.0,1693255,5638539150
2017-12-11,LPB,3480,3350,3370,3430,3430.0,2580503,8851125290
2017-12-12,LPB,3460,3300,3460,3400,3400.0,1312330,4461922000
2017-12-13,LPB,3430,3350,3430,3370,3370.0,988680,3331851600
2017-12-14,LPB,3400,3350,3350,3400,3400.0,658072,2237444800
2017-12-15,LPB,3400,3350,3400,3370,3370.0,1906195,6423877150
2017-12-18,LPB,3400,3370,3370,3400,3400.0,1339219,4553344600
2017-12-19,LPB,3460,3400,3430,3430,3430.0,1979610,6790062300
2017-12-20,LPB,3510,3430,3460,3480,3480.0,2450673,8528342040
2017-12-21,LPB,3510,3430,3480,3460,3460.0,2301950,7964747000
2017-12-22,LPB,3480,3430,3460,3460,3460.0,1060600,3669676000
2017-12-25,LPB,3460,3430,3460,3430,3430.0,1010390,3465637700
2017-12-26,LPB,3460,3430,3460,3460,3460.0,1016770,3518024200
2017-12-27,LPB,3480,3400,3460,3430,3430.0,1719140,5896650200
2017-12-28,LPB,3480,3370,3430,3460,3460.0,1262498,4368243080
2017-12-29,LPB,3530,3480,3530,3510,3510.0,878068,3082018680
2018-01-02,LPB,3570,3480,3530,3530,3530.0,1559161,5503838330
2018-01-03,LPB,3740,3590,3620,3700,3700.0,4890664,18095456800
2018-01-04,LPB,3750,3700,3740,3750,3750.0,3527807,13229276250
2018-01-05,LPB,3810,3740,3810,3750,3750.0,2182052,8182695000
2018-01-08,LPB,3950,3700,3740,3920,3920.0,6398502,25082127840
2018-01-09,LPB,4290,4010,4070,4200,4200.0,5009071,21038098200
2018-01-10,LPB,4350,4200,4350,4240,4240.0,2912489,12348953360
2018-01-11,LPB,4790,4200,4240,4620,4620.0,7513965,34714518300
2018-01-12,LPB,5070,4580,4800,4730,4730.0,4824173,22818338290
2018-01-15,LPB,4850,4650,4850,4760,4760.0,2193796,10442468960
2018-01-16,LPB,4730,4580,4700,4620,4620.0,2940402,13584657240
2018-01-17,LPB,4800,4560,4650,4580,4580.0,2504400,11470152000
2018-01-18,LPB,4730,4520,4580,4700,4700.0,1568960,7374112000
2018-01-19,LPB,4830,4690,4690,4770,4770.0,1846108,8805935160
2018-01-22,LPB,4830,4700,4770,4730,4730.0,2724530,12887026900
2018-01-23,LPB,5160,4770,4800,5160,5160.0,5634151,29072219160
2018-01-24,LPB,5570,5230,5230,5400,5400.0,2824150,15250410000
2018-01-25,LPB,5570,5320,5440,5400,5400.0,4467291,24123371400
2018-01-26,LPB,5530,5290,5400,5350,5350.0,4122527,22055519450
2018-01-29,LPB,5590,5350,5400,5470,5470.0,3551146,19424768620
2018-01-30,LPB,5570,5350,5510,5510,5510.0,3804870,20964833700
2018-01-31,LPB,5630,5440,5510,5510,5510.0,3503008,19301574080
2018-02-01,LPB,5600,5210,5600,5270,5270.0,1771451,9335546770
2018-02-02,LPB,5350,5100,5270,5210,5210.0,1503073,7831010330
2018-02-05,LPB,5770,4650,5270,4780,4780.0,2730927,13053831060
2018-02-06,LPB,4870,4220,4690,4570,4570.0,5100513,23309344410
2018-02-07,LPB,4950,4570,4620,4910,4910.0,1809793,8886083630
2018-02-08,LPB,4910,4690,4910,4710,4710.0,1016920,4789693200
2018-02-09,LPB,4840,4390,4480,4820,4820.0,2091362,10080364840
2018-02-12,LPB,5120,4980,5020,5120,5120.0,2186850,11196672000
2018-02-13,LPB,5360,5120,5260,5320,5320.0,1433291,7625108120
2018-02-21,LPB,5500,5320,5320,5360,5360.0,1978111,10602674960
2018-02-22,LPB,5390,5230,5360,5290,5290.0,2080421,11005427090
2018-02-23,LPB,5390,5260,5290,5360,5360.0,2122192,11374949120
2018-02-26,LPB,5520,5320,5360,5320,5320.0,3486519,18548281080
2018-02-27,LPB,5520,5290,5430,5320,5320.0,1419985,7554320200
2018-02-28,LPB,5360,5230,5360,5290,5290.0,2781413,14713674770
2018-03-01,LPB,5290,4980,5260,5150,5150.0,3507531,18063784650
2018-03-02,LPB,5150,5020,5150,5120,5120.0,1836772,9404272640
2018-03-05,LPB,5260,4910,5090,4970,4970.0,2252919,11197007430
2018-03-06,LPB,5150,5050,5090,5150,5150.0,1926418,9921052700
2018-03-07,LPB,5190,5020,5150,5120,5120.0,1852024,9482362880
2018-03-08,LPB,5120,5090,5120,5090,5090.0,1013065,5156500850
2018-03-09,LPB,5530,5150,5150,5430,5430.0,5709648,31003388640
2018-03-12,LPB,5700,5460,5460,5570,5570.0,3481804,19393648280
2018-03-13,LPB,5600,5460,5600,5570,5570.0,1436019,7998625830
2018-03-14,LPB,5600,5460,5570,5530,5530.0,2952316,16326307480
2018-03-15,LPB,5530,5360,5530,5510,5510.0,2257275,12437585250
2018-03-16,LPB,5600,5460,5510,5570,5570.0,2068497,11521528290
2018-03-19,LPB,5570,5430,5570,5460,5460.0,2012357,10987469220
2018-03-20,LPB,5920,5390,5430,5680,5680.0,9984775,56713522000
