Date,code,high,low,open,close,adjust,volume_match,value_match
2012-03-20,MBB,2230,2170,2180,2230,3099.702392578125,3748430,8358998900
2012-03-21,MBB,2320,2230,2240,2270,3158.187255859375,8486760,19264945200
2012-03-22,MBB,2270,2210,2240,2210,3080.20751953125,5042930,11144875300
2012-03-23,MBB,2270,2210,2230,2230,3119.197265625,6886300,15356449000
2012-03-26,MBB,2270,2170,2270,2170,3021.722412109375,4345740,9430255800
2012-03-27,MBB,2170,2070,2140,2070,2885.25732421875,6171100,12774177000
2012-03-28,MBB,2110,2009,2029,2110,2943.742431640625,3287320,6936245200
2012-03-29,MBB,2120,2029,2120,2060,2865.762451171875,2667660,5495379600
2012-03-30,MBB,2070,2009,2029,2029,2826.7724609375,2563210,5200753090
2012-04-03,MBB,2120,2029,2029,2120,2963.237548828125,4560310,9667857200
2012-04-04,MBB,2140,2070,2120,2080,2904.75244140625,2466650,5130632000
2012-04-05,MBB,2150,2060,2080,2140,2982.732421875,3033670,6492053800
2012-04-06,MBB,2170,2110,2140,2110,2943.742431640625,2553500,5387885000
2012-04-09,MBB,2150,2090,2120,2140,2982.732421875,1622410,3471957400
2012-04-10,MBB,2150,2070,2140,2080,2904.75244140625,3968660,8254812800
2012-04-11,MBB,2140,2080,2140,2140,2982.732421875,3865700,8272598000
2012-04-12,MBB,2230,2140,2150,2210,3080.20751953125,10227410,22602576100
2012-04-13,MBB,2230,2170,2230,2170,3021.722412109375,2991900,6492423000
2012-04-16,MBB,2230,2170,2190,2210,3080.20751953125,2489500,5501795000
2012-04-17,MBB,2270,2190,2230,2230,3099.702392578125,5193950,11582508500
2012-04-18,MBB,2270,2190,2230,2190,3060.71240234375,5574540,12208242600
2012-04-19,MBB,2210,2150,2190,2150,3002.227294921875,2800080,6020172000
2012-04-20,MBB,2210,2120,2150,2150,3002.227294921875,2357050,5067657500
2012-04-23,MBB,2180,2140,2140,2150,3002.227294921875,3371380,7248467000
2012-04-24,MBB,2170,2120,2150,2170,3021.722412109375,2730600,5925402000
2012-04-25,MBB,2210,2170,2190,2180,3041.21728515625,2559560,5579840800
2012-04-26,MBB,2190,2140,2190,2140,2982.732421875,2627460,5622764400
2012-04-27,MBB,2150,2110,2140,2140,2982.732421875,2734350,5851509000
2012-05-02,MBB,2170,2110,2150,2120,2963.237548828125,2289580,4853909600
2012-05-03,MBB,2120,2090,2120,2110,2943.742431640625,1401710,2957608100
2012-05-04,MBB,2140,2110,2110,2120,2963.237548828125,2052660,4351639200
2012-05-07,MBB,2140,2090,2120,2090,2924.247314453125,2862670,5982980300
2012-05-08,MBB,2190,2090,2090,2190,3060.71240234375,7551530,16537850700
2012-05-09,MBB,2230,2170,2190,2180,3041.21728515625,2460860,5364674800
2012-05-10,MBB,2210,2150,2180,2190,3060.71240234375,2364650,5178583500
2012-05-11,MBB,2190,2150,2190,2170,3021.722412109375,1958130,4249142100
2012-05-14,MBB,2170,2090,2150,2090,2924.247314453125,3790900,7922981000
2012-05-15,MBB,2110,2070,2090,2070,2885.25732421875,2627100,5438097000
2012-05-16,MBB,2090,2060,2070,2080,2904.75244140625,1931580,4017686400
2012-05-17,MBB,2140,2080,2110,2080,2865.762451171875,1635510,3401860800
2012-05-18,MBB,2080,2009,2070,2029,2787.782470703125,2633250,5342864250
2012-05-21,MBB,2120,2060,2060,2120,2924.247314453125,1287600,2729712000
2012-05-22,MBB,2120,2070,2120,2080,2865.762451171875,750510,1561060800
2012-05-23,MBB,2080,2029,2060,2029,2787.782470703125,1315030,2668195870
2012-05-24,MBB,2060,2000,2029,2000,2748.792724609375,1236660,2473320000
2012-05-25,MBB,2090,2029,2060,2090,2885.25732421875,1856780,3880670200
2012-05-28,MBB,2120,2070,2110,2090,2885.25732421875,1263630,2640986700
2012-05-29,MBB,2090,2070,2070,2080,2865.762451171875,957050,1990664000
2012-05-30,MBB,2120,2070,2080,2110,2904.75244140625,2073200,4374452000
2012-05-31,MBB,2090,2070,2090,2080,2865.762451171875,1058710,2202116800
2012-06-01,MBB,2120,2080,2090,2090,2885.25732421875,1352760,2827268400
2012-06-04,MBB,2080,2029,2070,2029,2807.277587890625,2608460,5292565340
2012-06-05,MBB,2070,2029,2029,2070,2846.267578125,667870,1382490900
2012-06-06,MBB,2080,2060,2060,2070,2846.267578125,784940,1624825800
2012-06-07,MBB,2110,2070,2080,2090,2885.25732421875,1587310,3317477900
2012-06-08,MBB,2120,2070,2120,2070,2846.267578125,740140,1532089800
2012-06-11,MBB,2090,2060,2070,2070,2846.267578125,1233020,2552351400
2012-06-12,MBB,2070,2029,2070,2029,2787.782470703125,1167320,2368492280
2012-06-13,MBB,2060,2029,2029,2029,2787.782470703125,606570,1230730530
2012-06-14,MBB,2060,2029,2029,2029,2787.782470703125,869930,1765087970
2012-06-15,MBB,2070,2029,2029,2029,2807.277587890625,688370,1396702730
2012-06-18,MBB,2080,2060,2070,2070,2846.267578125,1348410,2791208700
2012-06-19,MBB,2070,2029,2060,2029,2807.277587890625,632180,1282693220
2012-06-20,MBB,2060,2029,2029,2029,2807.277587890625,245320,497754280
2012-06-21,MBB,2070,2029,2029,2029,2807.277587890625,897460,1820946340
2012-06-22,MBB,2029,2009,2029,2029,2787.782470703125,1033550,2097072950
2012-06-25,MBB,2029,2000,2029,2000,2748.792724609375,1396050,2792100000
2012-06-26,MBB,2009,1970,2000,2000,2748.792724609375,1113560,2227120000
2012-06-27,MBB,2009,1970,1970,1970,2729.2978515625,935260,1842462200
2012-06-28,MBB,2000,1970,1970,1970,2709.802734375,587950,1158261500
2012-06-29,MBB,1970,1970,1970,1970,2729.2978515625,527300,1038781000
2012-07-02,MBB,1970,1950,1970,1950,2690.307861328125,411320,802074000
2012-07-03,MBB,1950,1910,1930,1930,2670.812744140625,684000,1320120000
2012-07-04,MBB,1950,1910,1930,1910,2631.82275390625,469580,896897800
2012-07-05,MBB,1910,1880,1910,1910,2631.82275390625,659740,1260103400
2012-07-06,MBB,1930,1900,1900,1930,2651.317626953125,547100,1055903000
2012-07-09,MBB,1930,1850,1910,1850,2553.8427734375,495120,915972000
2012-07-10,MBB,1880,1850,1850,1850,2534.347900390625,311900,577015000
2012-07-11,MBB,1850,1850,1850,1850,2534.347900390625,266880,493728000
2012-07-12,MBB,1880,1850,1850,1880,2573.337890625,174340,327759200
2012-07-13,MBB,1950,1880,1880,1950,2690.307861328125,1836480,3581136000
2012-07-16,MBB,2000,1950,1970,1970,2729.2978515625,2039960,4018721200
2012-07-17,MBB,2029,1970,1970,2029,2787.782470703125,1214720,2464666880
2012-07-18,MBB,2029,2000,2029,2009,2768.287353515625,746460,1499638140
2012-07-19,MBB,2060,1970,2009,2060,2826.7724609375,1036800,2135808000
2012-07-20,MBB,2080,2029,2060,2029,2787.782470703125,1167570,2368999530
2012-07-23,MBB,2029,2000,2029,2000,2748.792724609375,757940,1515880000
2012-07-24,MBB,2000,1930,1970,1950,2690.307861328125,977000,1905150000
2012-07-25,MBB,1970,1930,1930,1950,2690.307861328125,991480,1933386000
2012-07-26,MBB,1970,1950,1950,1970,2709.802734375,386960,762311200
2012-07-27,MBB,2000,1970,1970,2000,2748.792724609375,1181950,2363900000
2012-07-30,MBB,2000,1970,1970,2000,2748.792724609375,372670,745340000
2012-07-31,MBB,2009,1970,1970,1970,2729.2978515625,341290,672341300
2012-08-01,MBB,1970,1950,1970,1950,2690.307861328125,445630,868978500
2012-08-02,MBB,1970,1950,1950,1950,2690.307861328125,348530,679633500
2012-08-03,MBB,1970,1950,1950,1970,2709.802734375,501940,988821800
2012-08-06,MBB,2009,1970,1970,2000,2748.792724609375,1007280,2014560000
2012-08-07,MBB,2000,1970,1970,1970,2729.2978515625,494380,973928600
2012-08-08,MBB,2000,1970,1970,1970,2729.2978515625,715510,1409554700
2012-08-09,MBB,2009,1970,1970,1970,2729.2978515625,641570,1263892900
2012-08-10,MBB,2009,1970,1970,1970,2729.2978515625,604450,1190766500
2012-08-13,MBB,2029,1970,1970,2029,2787.782470703125,1031280,2092467120
2012-08-14,MBB,2120,2029,2029,2080,2865.762451171875,22578090,46962427200
2012-08-15,MBB,2120,2060,2090,2070,2846.267578125,1811600,3750012000
2012-08-16,MBB,2080,2060,2070,2070,2846.267578125,458790,949695300
