Date,code,high,low,open,close,adjust,volume_match,value_match
2020-12-23,MSB,6820,6430,6820,6450,6450,30431340,196282143000
2020-12-24,MSB,6630,6410,6630,6560,6560,7683250,50402120000
2020-12-25,MSB,7020,6560,6560,7020,7020,9311200,65364624000
2020-12-28,MSB,7210,7020,7210,7110,7110,8600300,61148133000
2020-12-29,MSB,7210,7020,7150,7210,7210,9680050,69793160500
2020-12-30,MSB,7210,7050,7210,7170,7170,6435250,46140742500
2020-12-31,MSB,7170,7030,7120,7120,7120,8721150,62094588000
2021-01-04,MSB,7170,6980,7120,7120,7120,10019300,71337416000
2021-01-05,MSB,7120,7000,7120,7120,7120,6425700,45750984000
2021-01-06,MSB,7370,7120,7150,7360,7360,13781900,101434784000
2021-01-07,MSB,7580,7320,7360,7580,7580,10025000,75989500000
2021-01-08,MSB,7850,7580,7580,7820,7820,9146300,71524066000
2021-01-11,MSB,7870,7770,7820,7850,7850,8229200,64599220000
2021-01-12,MSB,7850,7730,7850,7770,7770,5232000,40652640000
2021-01-13,MSB,7720,7480,7720,7540,7540,6368000,48014720000
2021-01-14,MSB,7540,7210,7540,7540,7540,5747400,43335396000
2021-01-15,MSB,7600,7460,7540,7600,7600,6096800,46335680000
2021-01-18,MSB,7600,7430,7600,7430,7430,3836200,28502966000
2021-01-19,MSB,7470,6920,7460,7020,7020,2760800,19380816000
2021-01-20,MSB,7050,6620,7020,7020,7020,2122300,14898546000
2021-01-21,MSB,7050,6920,7030,7020,7020,5980900,41985918000
2021-01-22,MSB,7110,6960,7030,7050,7050,6146500,43332825000
2021-01-25,MSB,7050,6940,7050,6980,6980,2317700,16177546000
2021-01-26,MSB,6980,6630,6980,6900,6900,2076500,14327850000
2021-01-27,MSB,6810,6450,6790,6600,6600,2240000,14784000000
2021-01-28,MSB,6410,6140,6140,6140,6140,1906300,11704682000
2021-01-29,MSB,6450,5720,5720,6410,6410,3033900,19447299000
2021-02-01,MSB,6370,6030,6370,6290,6290,1864400,11727076000
2021-02-02,MSB,6370,6070,6070,6270,6270,1491900,9354213000
2021-02-03,MSB,6630,6220,6220,6630,6630,3625100,24034413000
2021-02-04,MSB,6630,6480,6630,6560,6560,1112200,7296032000
2021-02-05,MSB,6600,6410,6560,6600,6600,2465500,16272300000
2021-02-08,MSB,6570,6350,6560,6450,6450,1467300,9464085000
2021-02-09,MSB,6620,6410,6450,6600,6600,1715400,11321640000
2021-02-17,MSB,6820,6600,6630,6820,6820,2077100,14165822000
2021-02-18,MSB,6820,6690,6790,6750,6750,1880300,12692025000
2021-02-19,MSB,7020,6650,6730,7020,7020,4718300,33122466000
2021-02-22,MSB,7150,7000,7000,7120,7120,5623500,40039320000
2021-02-23,MSB,7210,7000,7120,7210,7210,5946800,42876428000
2021-02-24,MSB,7240,6980,7220,7180,7180,2317700,16641086000
2021-02-25,MSB,7170,7000,7170,7090,7090,1531300,10856917000
2021-02-26,MSB,7110,6870,6980,7110,7110,2349300,16703523000
2021-03-01,MSB,7180,7070,7110,7180,7180,3239900,23262482000
2021-03-02,MSB,7220,7070,7210,7180,7180,2391700,17172406000
2021-03-03,MSB,7660,7070,7180,7660,7660,5598100,42881446000
2021-03-04,MSB,7700,7340,7700,7430,7430,3571700,26537731000
2021-03-05,MSB,7510,7300,7460,7510,7510,1846600,13867966000
2021-03-08,MSB,7540,7400,7520,7510,7510,2667300,20031423000
2021-03-09,MSB,7510,7400,7430,7510,7510,2822800,21199228000
2021-03-10,MSB,7570,7430,7510,7570,7570,2986000,22604020000
2021-03-11,MSB,7960,7540,7580,7960,7960,8762500,69749500000
2021-03-12,MSB,7980,7820,7960,7890,7890,4610100,36373689000
2021-03-15,MSB,8150,7910,7940,8150,8150,11402000,92926300000
2021-03-16,MSB,8310,7960,8150,8310,8310,6608200,54914142000
2021-03-17,MSB,8570,8230,8270,8420,8420,11731200,98776704000
2021-03-18,MSB,8530,7960,8420,8530,8530,11309900,96473447000
2021-03-19,MSB,8520,8270,8460,8520,8520,6436100,54835572000
2021-03-22,MSB,8470,8189,8470,8350,8350,5063200,42277720000
2021-03-23,MSB,8310,8060,8310,8150,8150,6249400,50932610000
2021-03-24,MSB,8530,8039,8150,8350,8350,6169500,51515325000
2021-03-25,MSB,8350,8130,8130,8250,8250,5718400,47176800000
2021-03-26,MSB,8270,7920,8250,8250,8250,4614500,38069625000
2021-03-29,MSB,8230,8070,8189,8210,8210,6127400,50305954000
2021-03-30,MSB,8230,8070,8210,8210,8210,3757300,30847433000
2021-03-31,MSB,8360,8070,8210,8290,8290,6208800,51470952000
2021-04-01,MSB,8400,8290,8290,8400,8400,5410400,45447360000
2021-04-02,MSB,8570,8270,8460,8570,8570,8235700,70579949000
2021-04-05,MSB,8650,8530,8590,8650,8650,6408700,55435255000
2021-04-06,MSB,8670,8550,8650,8620,8620,6024100,51927742000
2021-04-07,MSB,8610,8490,8610,8610,8610,4460400,38404044000
2021-04-08,MSB,8620,8350,8610,8360,8360,4592700,38394972000
2021-04-09,MSB,8360,8250,8360,8360,8360,6552600,54779736000
2021-04-12,MSB,8830,8290,8370,8830,8830,10339600,91298668000
2021-04-13,MSB,8830,8530,8830,8620,8620,5651300,48714206000
2021-04-14,MSB,8680,8460,8570,8680,8680,4611600,40028688000
2021-04-15,MSB,8680,8400,8680,8570,8570,4711500,40377555000
2021-04-16,MSB,8550,8230,8430,8400,8400,4800500,40324200000
2021-04-19,MSB,8470,8270,8400,8470,8470,4472300,37880381000
2021-04-20,MSB,8720,8320,8620,8490,8490,8192700,69556023000
2021-04-22,MSB,8520,8150,8520,8150,8150,3962500,32294375000
2021-04-23,MSB,8350,7960,8000,8310,8310,3599100,29908521000
2021-04-26,MSB,8350,8119,8320,8230,8230,2819900,23207777000
2021-04-27,MSB,8250,8060,8150,8060,8060,6336300,51070578000
2021-04-28,MSB,8230,8060,8070,8189,8189,3178800,26031193200
2021-04-29,MSB,8250,8100,8210,8230,8230,3835500,31566165000
2021-05-04,MSB,8230,7960,8039,8189,8189,2921400,23923344600
2021-05-05,MSB,8460,8230,8230,8460,8460,16356000,138371760000
2021-05-06,MSB,8620,8430,8530,8490,8490,10988100,93288969000
2021-05-07,MSB,8520,8350,8490,8420,8420,4094300,34474006000
2021-05-10,MSB,8620,8310,8350,8570,8570,8456800,72474776000
2021-05-11,MSB,8850,8610,8610,8710,8710,13380100,116540671000
2021-05-12,MSB,8800,8610,8710,8800,8800,7042000,61969600000
2021-05-13,MSB,8870,8650,8770,8820,8820,10390700,91645974000
2021-05-14,MSB,8970,8770,8830,8870,8870,11371400,100864318000
2021-05-17,MSB,8970,8670,8910,8800,8800,7568400,66601920000
2021-05-18,MSB,8850,8570,8800,8720,8720,6124600,53406512000
2021-05-19,MSB,8830,8670,8720,8820,8820,8526600,75204612000
2021-05-20,MSB,9420,8820,8820,9420,9420,22779300,214581006000
2021-05-21,MSB,9670,9380,9420,9460,9460,10045500,95030430000
2021-05-24,MSB,9620,9400,9500,9480,9480,9504400,90101712000
2021-05-25,MSB,9480,9350,9380,9440,9440,10987400,103721056000
2021-05-26,MSB,9620,9480,9480,9570,9570,10557800,101038146000
2021-05-27,MSB,10050,9600,9600,9740,9740,11178900,108882486000
2021-05-28,MSB,10170,9670,9800,10120,10120,9092700,92018124000
2021-05-31,MSB,10430,9930,10150,10410,10410,11145300,116022573000
