Date,code,high,low,open,close,adjust,volume_match,value_match
2012-03-20,NKG,2240,2230,2240,2240,2240,7220,16172800
2012-03-21,NKG,2270,2230,2230,2270,2270,12670,28760900
2012-03-22,NKG,2270,2270,2270,2270,2270,5580,12666600
2012-03-23,NKG,2270,2240,2240,2240,2240,8180,18323200
2012-03-26,NKG,2270,2170,2240,2270,2270,9690,21996300
2012-03-27,NKG,2280,2270,2270,2270,2270,12680,28783600
2012-03-28,NKG,2270,2190,2270,2270,2270,9300,21111000
2012-03-29,NKG,2240,2240,2240,2240,2240,4500,10080000
2012-03-30,NKG,2240,2230,2230,2240,2240,3210,7190400
2012-04-03,NKG,2310,2270,2270,2310,2310,14000,32340000
2012-04-04,NKG,2310,2310,2310,2310,2310,5040,11642400
2012-04-05,NKG,2310,2270,2270,2310,2310,13330,30792300
2012-04-06,NKG,2310,2280,2280,2310,2310,3650,8431500
2012-04-09,NKG,2310,2280,2280,2310,2310,7620,17602200
2012-04-10,NKG,2310,2270,2280,2310,2310,5160,11919600
2012-04-11,NKG,2340,2280,2280,2340,2340,8500,19890000
2012-04-12,NKG,2400,2360,2360,2400,2400,15510,37224000
2012-04-13,NKG,2400,2400,2400,2400,2400,3180,7632000
2012-04-16,NKG,2440,2400,2400,2440,2440,5120,12492800
2012-04-17,NKG,2480,2420,2420,2480,2480,5970,14805600
2012-04-18,NKG,2440,2360,2380,2360,2360,15300,36108000
2012-04-19,NKG,2420,2360,2360,2420,2420,12970,31387400
2012-04-20,NKG,2440,2420,2440,2440,2440,9340,22789600
2012-04-23,NKG,2440,2420,2420,2440,2440,4680,11419200
2012-04-24,NKG,2420,2420,2420,2420,2420,1710,4138200
2012-04-25,NKG,2480,2440,2440,2480,2480,6410,15896800
2012-04-26,NKG,2460,2460,2460,2460,2460,3460,8511600
2012-04-27,NKG,2540,2460,2460,2540,2540,6690,16992600
2012-05-02,NKG,2560,2520,2520,2560,2560,6050,15488000
2012-05-03,NKG,2560,2520,2520,2520,2520,6930,17463600
2012-05-04,NKG,2610,2500,2500,2610,2610,13880,36226800
2012-05-07,NKG,2610,2590,2590,2610,2610,4770,12449700
2012-05-08,NKG,2610,2590,2590,2590,2590,3610,9349900
2012-05-09,NKG,2590,2560,2590,2560,2560,1580,4044800
2012-05-10,NKG,2610,2560,2560,2610,2610,12730,33225300
2012-05-11,NKG,2610,2590,2610,2590,2590,7800,20202000
2012-05-14,NKG,2590,2580,2590,2580,2580,2510,6475800
2012-05-15,NKG,2590,2580,2590,2580,2580,840,2167200
2012-05-16,NKG,2590,2580,2590,2580,2580,870,2244600
2012-05-17,NKG,2590,2580,2590,2580,2580,990,2554200
2012-05-18,NKG,2580,2540,2580,2540,2540,1880,4775200
2012-05-21,NKG,2560,2520,2540,2560,2560,3350,8576000
2012-05-22,NKG,2560,2440,2560,2440,2440,22820,55680800
2012-05-23,NKG,2460,2320,2460,2320,2320,39880,92521600
2012-05-24,NKG,2440,2340,2340,2440,2440,155050,378322000
2012-05-25,NKG,2560,2480,2480,2560,2560,168150,430464000
