Date,code,high,low,open,close,adjust,volume_match,value_match
2012-03-20,PHR,6380,6280,6340,6380,6380.0,20080,128110400
2012-03-21,PHR,6450,6350,6380,6380,6380.0,40470,258198600
2012-03-22,PHR,6380,6270,6380,6270,6270.0,69940,438523800
2012-03-23,PHR,6380,6230,6270,6230,6230.0,171720,1069815600
2012-03-26,PHR,6310,6230,6230,6270,6270.0,63190,396201300
2012-03-27,PHR,6380,6150,6380,6200,6200.0,65680,407216000
2012-03-28,PHR,6230,6120,6120,6200,6200.0,39810,246822000
2012-03-29,PHR,6170,6030,6170,6030,6030.0,108280,652928400
2012-03-30,PHR,6050,5920,6030,5920,5920.0,43480,257401600
2012-04-03,PHR,6080,5960,6030,5990,5990.0,7590,45464100
2012-04-04,PHR,6120,5920,6120,5920,5920.0,29940,177244800
2012-04-05,PHR,6000,5900,5900,5940,5940.0,60660,360320400
2012-04-06,PHR,6230,6080,6100,6230,6230.0,53500,333305000
2012-04-09,PHR,6490,6380,6450,6490,6490.0,86150,559113500
2012-04-10,PHR,6490,6380,6490,6380,6380.0,84600,539748000
2012-04-11,PHR,6520,6410,6470,6520,6520.0,91340,595536800
2012-04-12,PHR,6730,6490,6520,6660,6660.0,197810,1317414600
2012-04-13,PHR,6840,6620,6690,6710,6710.0,111490,748097900
2012-04-16,PHR,6840,6620,6710,6840,6840.0,148700,1017108000
2012-04-17,PHR,6940,6840,6920,6870,6870.0,78430,538814100
2012-04-18,PHR,6940,6730,6940,6730,6730.0,56590,380850700
2012-04-19,PHR,7050,6490,6640,6490,6490.0,331550,2151759500
2012-04-20,PHR,6810,6540,6540,6810,6810.0,173490,1181466900
2012-04-23,PHR,7050,6840,6840,6890,6890.0,131410,905414900
2012-04-24,PHR,7030,6770,6960,7030,7030.0,78430,551362900
2012-04-25,PHR,7380,6990,6990,7380,7380.0,304090,2244184200
2012-04-26,PHR,7720,7650,7720,7720,7720.0,519260,4008687200
2012-04-27,PHR,8100,7720,7910,8100,8100.0,390080,3159648000
2012-05-02,PHR,8490,8119,8420,8440,8440.0,360770,3044898800
2012-05-03,PHR,8440,8029,8440,8140,8140.0,400820,3262674800
2012-05-04,PHR,8540,8189,8220,8540,8540.0,841900,7189826000
2012-05-07,PHR,8960,8810,8960,8960,8960.0,912500,8176000000
2012-05-08,PHR,9390,8960,9280,9050,9050.0,500490,4529434500
2012-05-09,PHR,9030,8610,9030,8810,8810.0,435120,3833407200
2012-05-10,PHR,8830,8380,8810,8440,8440.0,955960,8068302400
2012-05-11,PHR,8510,8160,8420,8240,8240.0,357490,2945717600
2012-05-14,PHR,8240,7850,8140,7850,7850.0,490780,3852623000
2012-05-15,PHR,7890,7520,7700,7520,7520.0,309230,2325409600
2012-05-16,PHR,7650,7230,7520,7380,7380.0,200910,1482715800
2012-05-17,PHR,7610,7260,7260,7350,7350.0,108360,796446000
2012-05-18,PHR,7310,7000,7310,7050,7050.0,354060,2496123000
2012-05-21,PHR,7400,7050,7050,7400,7400.0,167560,1239944000
2012-05-22,PHR,7750,7350,7570,7650,7650.0,429380,3284757000
2012-05-23,PHR,7570,7280,7540,7280,7280.0,224980,1637854400
2012-05-24,PHR,7280,6940,7210,7030,7030.0,264480,1859294400
2012-05-25,PHR,7380,7230,7280,7380,7380.0,206640,1525003200
2012-05-28,PHR,7650,7180,7630,7400,7400.0,219280,1622672000
2012-05-29,PHR,7400,7130,7400,7350,7350.0,186290,1369231500
2012-05-30,PHR,7610,7280,7280,7350,7350.0,182810,1343653500
2012-05-31,PHR,7350,7050,7350,7110,7110.0,180190,1281150900
2012-06-01,PHR,7210,7030,7110,7050,7050.0,73630,519091500
2012-06-04,PHR,7050,6710,7050,6710,6710.0,313880,2106134800
2012-06-05,PHR,6870,6710,6770,6870,6870.0,158160,1086559200
2012-06-06,PHR,7160,6810,6810,7160,7160.0,179740,1286938400
2012-06-07,PHR,7500,7180,7310,7500,7500.0,300390,2252925000
2012-06-08,PHR,7800,7500,7610,7500,7500.0,314330,2357475000
2012-06-11,PHR,7630,7350,7350,7500,7500.0,83920,629400000
2012-06-12,PHR,7500,7180,7500,7180,7180.0,190270,1366138600
2012-06-13,PHR,7350,7000,7350,7310,7310.0,110430,807243300
2012-06-14,PHR,7180,7030,7180,7080,7080.0,89800,635784000
2012-06-15,PHR,7420,7050,7080,7340,7340.0,161140,1182767600
2012-06-18,PHR,7520,7310,7500,7340,7340.0,88370,648635800
2012-06-19,PHR,7340,7170,7340,7210,7210.0,37630,271312300
2012-06-20,PHR,7340,7180,7230,7280,7280.0,50110,364800800
2012-06-21,PHR,7310,7180,7210,7310,7310.0,57880,423102800
2012-06-22,PHR,7230,7110,7130,7180,7180.0,106500,764670000
2012-06-25,PHR,7210,6920,7170,6920,6920.0,108430,750335600
2012-06-26,PHR,6990,6690,6990,6690,6690.0,146200,978078000
2012-06-27,PHR,7000,6690,6760,6730,6730.0,153050,1030026500
2012-06-28,PHR,6800,6640,6730,6800,6800.0,25750,175100000
2012-06-29,PHR,7000,6770,6890,6990,6990.0,61410,429255900
2012-07-02,PHR,6990,6800,6990,6800,6800.0,34300,233240000
2012-07-03,PHR,7000,6640,6870,6710,6710.0,61730,414208300
