Date,code,high,low,open,close,adjust,volume_match,value_match
2017-04-21,PLX,36450,32369,36450,34410,34410,4820970,165889577700
2017-04-24,PLX,34820,33770,34410,34060,34060,1757390,59856703400
2017-04-25,PLX,34060,31700,33850,31770,31770,2533550,80490883500
2017-04-26,PLX,31310,30320,30320,31030,31030,1743790,54109803700
2017-04-27,PLX,32290,31030,31030,32290,32290,825430,26653134700
2017-04-28,PLX,33060,32439,32439,32820,32820,781910,25662286200
2017-05-03,PLX,32940,32369,32820,32900,32900,521490,17157021000
2017-05-04,PLX,33420,32860,32900,33420,33420,2947740,98513470800
2017-05-05,PLX,33420,33060,33140,33140,33140,1274310,42230633400
2017-05-08,PLX,33420,32780,33060,33420,33420,1414880,47285289600
2017-05-09,PLX,33420,33000,33420,33000,33000,864620,28532460000
2017-05-10,PLX,33350,33000,33000,33140,33140,2706150,89681811000
2017-05-11,PLX,34980,33140,33140,34190,34190,3351200,114577528000
2017-05-12,PLX,34410,34060,34190,34190,34190,1272460,43505407400
2017-05-15,PLX,34610,33770,33950,34260,34260,2429190,83224049400
2017-05-16,PLX,36580,34260,34540,35950,35950,3627190,130397480500
2017-05-17,PLX,36580,35530,35890,35890,35890,1642560,58951478400
2017-05-18,PLX,37280,35740,35740,37280,37280,3077950,114745976000
2017-05-19,PLX,39890,37490,37850,39890,39890,4369030,174280606700
2017-05-22,PLX,42640,41510,42070,42640,42640,3062670,130592248800
2017-05-23,PLX,45390,42640,42920,42640,42640,2839240,121065193600
2017-05-24,PLX,42700,40440,42640,41510,41510,1789900,74298749000
2017-05-25,PLX,42280,41230,41510,41510,41510,684100,28396991000
2017-05-26,PLX,41440,40520,40940,40880,40880,1237030,50569786400
2017-05-29,PLX,42560,40810,40810,42280,42280,967250,40895330000
2017-05-30,PLX,43690,42280,42280,42920,42920,1067000,45795640000
2017-05-31,PLX,43410,42500,43270,43060,43060,714650,30772829000
2017-06-01,PLX,43480,43060,43060,43060,43060,522880,22515212800
2017-06-02,PLX,43060,42000,42700,42000,42000,1244790,52281180000
2017-06-05,PLX,43480,41650,42000,42990,42990,665100,28592649000
2017-06-06,PLX,43270,42780,42990,43270,43270,554760,24004465200
2017-06-07,PLX,43480,42920,43190,42990,42990,626820,26946991800
2017-06-08,PLX,43130,42780,42990,42990,42990,325680,14000983200
2017-06-09,PLX,44610,42920,42920,44050,44050,1104760,48664678000
2017-06-12,PLX,45390,43830,44050,44320,44320,830860,36823715200
2017-06-13,PLX,44820,44110,44470,44320,44320,422580,18728745600
2017-06-14,PLX,44320,43560,44180,44320,44320,848170,37590894400
2017-06-15,PLX,44540,43690,43980,44180,44180,546160,24129348800
2017-06-16,PLX,44320,43830,43910,43910,43910,369590,16228696900
2017-06-19,PLX,44900,43830,43830,44900,44900,797760,35819424000
2017-06-20,PLX,46020,44950,45030,46020,46020,1506260,69318085200
2017-06-21,PLX,47140,45310,46090,47070,47070,980190,46137543300
2017-06-22,PLX,49100,47490,47570,48890,48890,1121960,54852624400
2017-06-23,PLX,50650,48970,49040,50240,50240,1825360,91706086400
2017-06-26,PLX,51570,50090,50650,50520,50520,1137940,57488728800
2017-06-27,PLX,50380,48400,50160,48400,48400,1547410,74894644000
2017-06-28,PLX,49040,47350,48120,48270,48270,1212630,58533650100
2017-06-29,PLX,49380,47780,48400,48890,48890,980940,47958156600
2017-06-30,PLX,49330,48550,49180,48550,48550,846590,41101944500
2017-07-03,PLX,48970,48190,48770,48480,48480,1235890,59915947200
2017-07-04,PLX,48270,47280,48120,47630,47630,983220,46830768600
