Date,code,high,low,open,close,adjust,volume_match,value_match
2012-03-20,PNJ,6180,6110,6110,6160,5611.5087890625,73680,453868800
2012-03-21,PNJ,6300,6150,6150,6170,5626.0849609375,152860,943146200
2012-03-22,PNJ,6180,6150,6170,6170,5626.0849609375,63060,389080200
2012-03-23,PNJ,6210,6150,6160,6160,5611.5087890625,135850,836836000
2012-03-26,PNJ,6180,6110,6110,6170,5626.0849609375,38840,239642800
2012-03-27,PNJ,6230,6130,6230,6160,5611.5087890625,70420,433787200
2012-03-28,PNJ,6170,6060,6110,6170,5626.0849609375,121840,751752800
2012-03-29,PNJ,6250,6150,6150,6170,5626.0849609375,104900,647233000
2012-03-30,PNJ,6280,6170,6170,6230,5684.38623046875,133260,830209800
2012-04-03,PNJ,6260,6180,6210,6260,5713.53662109375,47820,299353200
2012-04-04,PNJ,6230,6180,6180,6210,5669.81103515625,95950,595849500
2012-04-05,PNJ,6230,6210,6210,6210,5669.81103515625,27690,171954900
2012-04-06,PNJ,6260,6170,6210,6230,5684.38623046875,75840,472483200
2012-04-09,PNJ,6360,6250,6280,6360,5800.98876953125,48110,305979600
2012-04-10,PNJ,6420,6360,6370,6420,5859.29052734375,41110,263926200
2012-04-11,PNJ,6650,6400,6420,6650,6048.77001953125,141760,942704000
2012-04-12,PNJ,6880,6650,6650,6880,6267.400390625,357790,2461595200
2012-04-13,PNJ,7090,6900,7050,6900,6281.9755859375,240320,1658208000
2012-04-16,PNJ,7120,6850,6880,7100,6471.455078125,159660,1133586000
2012-04-17,PNJ,7090,6820,7050,7050,6413.15380859375,141590,998209500
2012-04-18,PNJ,7050,6900,6940,6960,6340.27685546875,121680,846892800
2012-04-19,PNJ,7020,6880,6900,6880,6267.400390625,83940,577507200
2012-04-20,PNJ,6920,6650,6920,6880,6267.400390625,43470,299073600
2012-04-23,PNJ,7120,6880,7120,6880,6267.400390625,26380,181494400
2012-04-24,PNJ,6900,6850,6880,6900,6281.9755859375,14260,98394000
2012-04-25,PNJ,6900,6880,6900,6900,6296.55126953125,14490,99981000
2012-04-26,PNJ,7120,6850,6900,7120,6486.03076171875,55340,394020800
2012-04-27,PNJ,7120,6880,7120,7020,6398.57861328125,3270,22955400
2012-05-02,PNJ,7010,6900,6900,6990,6369.42822265625,38400,268416000
2012-05-03,PNJ,6880,6700,6880,6700,6121.646484375,59780,400526000
2012-05-04,PNJ,6960,6650,6960,6650,6048.77001953125,112860,750519000
2012-05-07,PNJ,6760,6600,6600,6650,6048.77001953125,53570,356240500
2012-05-08,PNJ,6790,6650,6650,6790,6194.5244140625,24530,166558700
2012-05-09,PNJ,6880,6760,6790,6790,6194.5244140625,51360,348734400
2012-05-10,PNJ,6860,6720,6720,6790,6194.5244140625,45720,310438800
2012-05-11,PNJ,6860,6690,6860,6760,6165.373046875,94390,638076400
2012-05-14,PNJ,6720,6660,6660,6690,6092.49609375,46790,313025100
2012-05-15,PNJ,6700,6630,6680,6690,6092.49609375,179260,1199249400
2012-05-16,PNJ,6700,6660,6700,6680,6077.92041015625,33220,221909600
2012-05-17,PNJ,6700,6680,6680,6680,6077.92041015625,63510,424246800
2012-05-18,PNJ,6740,6650,6740,6650,6048.77001953125,24120,160398000
2012-05-21,PNJ,6700,6560,6650,6660,6063.3447265625,101140,673592400
2012-05-22,PNJ,6690,6630,6660,6690,6092.49609375,21920,146644800
2012-05-23,PNJ,6700,6630,6650,6700,6107.072265625,16080,107736000
2012-05-24,PNJ,6700,6630,6690,6650,6048.77001953125,16140,107331000
2012-05-25,PNJ,6770,6650,6650,6660,6063.3447265625,40530,269929800
2012-05-28,PNJ,6700,6650,6660,6680,6077.92041015625,18610,124314800
2012-05-29,PNJ,6700,6690,6700,6700,6048.77001953125,127870,856729000
2012-05-30,PNJ,6700,6700,6700,6700,6034.19482421875,4220,28274000
2012-05-31,PNJ,6700,6680,6700,6700,6034.19482421875,31350,210045000
2012-06-01,PNJ,6700,6700,6700,6700,6034.19482421875,0,0
2012-06-04,PNJ,6790,6370,6790,6370,5742.68798828125,5270,33569900
2012-06-05,PNJ,6380,6370,6370,6370,5742.68798828125,3330,21212100
2012-06-06,PNJ,6380,6380,6380,6380,5757.263671875,110,701800
2012-06-07,PNJ,6470,6380,6380,6470,5830.1396484375,14930,96597100
2012-06-08,PNJ,6790,6640,6790,6790,6121.646484375,1600,10864000
2012-06-11,PNJ,6700,6640,6640,6700,6034.19482421875,18240,122208000
2012-06-12,PNJ,6700,6480,6660,6480,5844.7158203125,7400,47952000
2012-06-13,PNJ,6760,6520,6760,6520,5873.86572265625,4220,27514400
2012-06-14,PNJ,6700,6470,6470,6640,5975.8935546875,19440,129081600
2012-06-15,PNJ,6960,6630,6630,6960,6267.400390625,191010,1329429600
2012-06-18,PNJ,6760,6760,6760,6760,6092.49609375,790,5340400
2012-06-19,PNJ,6690,6640,6690,6640,5975.8935546875,4820,32004800
