Date,code,high,low,open,close,adjust,volume_match,value_match
2018-03-06,POW,14430,13250,13800,14030,14030,14922100,209357063000
2018-03-07,POW,15770,11750,14350,13250,13250,7174392,95060694000
2018-03-08,POW,13800,11590,13560,13560,13560,6824944,92546240640
2018-03-09,POW,13880,11510,13480,13800,13800,5309486,73270906800
2018-03-12,POW,13960,11670,13960,13640,13640,4343745,59248681800
2018-03-13,POW,13720,11670,13640,13560,13560,4454169,60398531640
2018-03-14,POW,13640,11590,13560,13400,13400,4455422,59702654800
2018-03-15,POW,13480,11510,13480,13170,13170,3704865,48793072050
2018-03-16,POW,13560,13170,13170,13480,13480,3923430,52887836400
2018-03-19,POW,13640,11430,13560,13400,13400,2652660,35545644000
2018-03-20,POW,13400,11350,13400,13170,13170,2469883,32528359110
2018-03-21,POW,13400,13170,13400,13170,13170,1929052,25405614840
2018-03-22,POW,13250,11280,13250,12850,12850,3131060,40234121000
2018-03-23,POW,12770,10960,12620,12690,12690,3356387,42592551030
2018-03-26,POW,12620,12300,12620,12380,12380,1932826,23928385880
2018-03-27,POW,12460,12300,12380,12300,12300,1055477,12982367100
2018-03-28,POW,13420,10570,12300,12300,12300,1694196,20838610800
2018-03-29,POW,13090,12300,12380,12770,12770,2103906,26866879620
2018-03-30,POW,13170,12770,12850,13090,13090,2016564,26396822760
2018-04-02,POW,13250,12930,13090,13090,13090,2577643,33741346870
2018-04-03,POW,13090,12620,13090,12770,12770,2257070,28822783900
2018-04-04,POW,13330,12770,13010,12930,12930,2402101,31059165930
2018-04-05,POW,13090,12690,13010,12770,12770,1725227,22031148790
2018-04-06,POW,12850,12540,12770,12690,12690,1731257,21969651330
2018-04-09,POW,14510,12380,12690,12620,12620,1733995,21883016900
2018-04-10,POW,12690,12380,12540,12540,12540,1485078,18622878120
2018-04-11,POW,12620,12060,12540,12300,12300,2053300,25255590000
2018-04-12,POW,12380,12220,12300,12380,12380,977010,12095383800
2018-04-13,POW,12380,12060,12300,12300,12300,1503780,18496494000
2018-04-16,POW,12540,12060,12380,12220,12220,1698800,20759336000
2018-04-17,POW,14030,12060,12220,12300,12300,742496,9132700800
2018-04-18,POW,12300,11830,12300,11910,11910,1683810,20054177100
2018-04-19,POW,11980,11430,11980,11510,11510,2236680,25744186800
2018-04-20,POW,11590,9860,11430,11510,11510,1461117,16817456670
2018-04-23,POW,11670,10570,11590,11200,11200,859630,9627856000
