Date,code,high,low,open,close,adjust,volume_match,value_match
2012-03-20,PTB,1230,1220,1230,1220,854.274169921875,10010,12212200
2012-03-21,PTB,1220,1170,1220,1170,813.5943603515625,22540,26371800
2012-03-22,PTB,1220,1170,1170,1220,854.274169921875,7780,9491600
2012-03-23,PTB,1220,1220,1220,1220,854.274169921875,79030,96416600
2012-03-26,PTB,1220,1220,1220,1220,854.274169921875,109670,133797400
2012-03-27,PTB,1280,1220,1220,1280,894.95361328125,125330,160422400
2012-03-28,PTB,1350,1350,1350,1350,935.6334228515625,60750,82012500
2012-03-29,PTB,1400,1380,1400,1400,976.3131713867188,156440,219016000
2012-03-30,PTB,1460,1400,1460,1400,976.3131713867188,66780,93492000
2012-04-03,PTB,1400,1340,1370,1400,976.3131713867188,63300,88620000
2012-04-04,PTB,1400,1360,1400,1360,942.4136962890625,37290,50714400
2012-04-05,PTB,1380,1350,1350,1370,949.1932983398438,14140,19371800
2012-04-06,PTB,1400,1370,1370,1370,949.1932983398438,25410,34811700
2012-04-09,PTB,1400,1370,1400,1380,962.753173828125,20100,27738000
2012-04-10,PTB,1400,1340,1400,1370,946.9705200195312,16890,23139300
2012-04-11,PTB,1380,1310,1380,1370,946.9705200195312,36810,50429700
2012-04-12,PTB,1380,1320,1320,1380,954.8619995117188,69270,95592600
2012-04-13,PTB,1380,1360,1380,1360,939.0789184570312,14710,20005600
2012-04-16,PTB,1380,1340,1370,1370,946.9705200195312,47060,64472200
2012-04-17,PTB,1370,1340,1370,1340,931.1878051757812,25630,34344200
2012-04-18,PTB,1370,1340,1340,1370,946.9705200195312,22670,31057900
2012-04-19,PTB,1370,1340,1370,1370,946.9705200195312,6350,8699500
2012-04-20,PTB,1370,1340,1370,1340,923.2964477539062,15520,20796800
2012-04-23,PTB,1360,1340,1340,1340,931.1878051757812,25810,34585400
2012-04-24,PTB,1360,1320,1320,1340,931.1878051757812,45190,60554600
2012-04-25,PTB,1400,1360,1360,1400,970.6448974609375,41390,57946000
2012-04-26,PTB,1440,1370,1370,1440,1010.1017456054688,3570,5140800
2012-04-27,PTB,1440,1410,1440,1410,994.3190307617188,16620,23434200
2012-05-02,PTB,1410,1400,1410,1410,994.3190307617188,42870,60446700
2012-05-03,PTB,1410,1400,1410,1410,986.427734375,30030,42342300
2012-05-04,PTB,1470,1410,1410,1470,1033.77587890625,58900,86583000
2012-05-07,PTB,1540,1540,1540,1540,1081.1246337890625,8560,13182400
2012-05-08,PTB,1610,1560,1610,1560,1096.9075927734375,38420,59935200
2012-05-09,PTB,1640,1560,1600,1640,1144.256103515625,144250,236570000
2012-05-10,PTB,1720,1720,1720,1720,1199.495849609375,81330,139887600
2012-05-11,PTB,1770,1640,1770,1730,1207.3873291015625,66320,114733600
2012-05-14,PTB,1730,1650,1730,1650,1152.1474609375,11110,18331500
2012-05-15,PTB,1720,1560,1590,1560,1096.9075927734375,88420,137935200
2012-05-16,PTB,1560,1510,1560,1560,1096.9075927734375,62790,97952400
2012-05-17,PTB,1570,1500,1510,1540,1089.0159912109375,31030,47786200
2012-05-18,PTB,1540,1500,1510,1510,1057.4500732421875,33570,50690700
2012-05-21,PTB,1570,1520,1560,1570,1104.7989501953125,14400,22608000
2012-05-22,PTB,1620,1540,1620,1540,1081.1246337890625,10010,15415400
2012-05-23,PTB,1590,1500,1590,1500,1049.5589599609375,12530,18795000
2012-05-24,PTB,1560,1470,1560,1500,1049.5589599609375,20870,31305000
2012-05-25,PTB,1540,1520,1540,1540,1081.1246337890625,20630,31770200
2012-05-28,PTB,1540,1520,1540,1520,1065.341796875,21340,32436800
2012-05-29,PTB,1530,1510,1520,1520,1065.341796875,16290,24760800
2012-05-30,PTB,1530,1500,1530,1520,1065.341796875,11190,17008800
2012-05-31,PTB,1510,1470,1510,1470,1033.77587890625,14200,20874000
2012-06-01,PTB,1530,1530,1530,1530,1073.2330322265625,10,15300
2012-06-04,PTB,1480,1470,1470,1470,1025.8846435546875,30790,45261300
2012-06-05,PTB,1520,1410,1520,1480,1041.6673583984375,19830,29348400
2012-06-06,PTB,1520,1480,1510,1520,1065.341796875,1020,1550400
2012-06-07,PTB,1570,1540,1540,1570,1104.7989501953125,9260,14538200
2012-06-08,PTB,1610,1540,1610,1540,1081.1246337890625,2950,4543000
2012-06-11,PTB,1570,1540,1540,1570,1104.7989501953125,3920,6154400
2012-06-12,PTB,1570,1500,1570,1530,1073.2330322265625,21930,33552900
2012-06-13,PTB,1560,1500,1560,1540,1081.1246337890625,5130,7900200
2012-06-14,PTB,1600,1600,1600,1600,1120.581787109375,20,32000
2012-06-15,PTB,1570,1520,1520,1570,1104.7989501953125,19430,30505100
2012-06-18,PTB,1590,1570,1590,1590,1112.6904296875,1500,2385000
2012-06-19,PTB,1510,1510,1510,1510,1057.4500732421875,10,15100
2012-06-20,PTB,1560,1560,1560,1560,1096.9075927734375,20,31200
2012-06-21,PTB,1520,1520,1520,1520,1065.341796875,20,30400
2012-06-22,PTB,1530,1480,1530,1480,1041.6673583984375,4220,6245600
2012-06-25,PTB,1510,1500,1510,1500,1049.5589599609375,560,840000
2012-06-26,PTB,1500,1440,1480,1460,1017.9932250976562,10350,15111000
2012-06-27,PTB,1470,1440,1470,1440,1010.1017456054688,15520,22348800
2012-06-28,PTB,1470,1470,1470,1470,1025.8846435546875,1050,1543500
2012-06-29,PTB,1500,1410,1500,1410,994.3190307617188,520,733200
2012-07-02,PTB,1470,1400,1470,1400,978.5362548828125,5100,7140000
2012-07-03,PTB,1370,1340,1340,1360,939.0789184570312,790,1074400
2012-07-04,PTB,1400,1340,1360,1340,923.2964477539062,34340,46015600
2012-07-05,PTB,1380,1370,1380,1370,946.9705200195312,4460,6110200
2012-07-06,PTB,1410,1410,1410,1410,994.3190307617188,3310,4667100
2012-07-09,PTB,1480,1370,1480,1370,946.9705200195312,130,178100
2012-07-10,PTB,1410,1340,1410,1340,923.2964477539062,260,348400
2012-07-11,PTB,1380,1340,1380,1340,931.1878051757812,1520,2036800
2012-07-12,PTB,1400,1320,1400,1400,970.6448974609375,12480,17472000
2012-07-13,PTB,1460,1410,1410,1410,986.427734375,1010,1424100
2012-07-16,PTB,1470,1410,1470,1410,986.427734375,350,493500
2012-07-17,PTB,1460,1440,1460,1440,1010.1017456054688,60,86400
2012-07-18,PTB,1470,1410,1470,1470,1025.8846435546875,60,88200
2012-07-19,PTB,1480,1470,1480,1480,1041.6673583984375,1970,2915600
