Date,code,high,low,open,close,adjust,volume_match,value_match
2012-03-20,PVD,15330,14970,14970,15330,15330.0,193760,2970340800
2012-03-21,PVD,16090,15330,15530,16050,16050.0,197020,3162171000
2012-03-22,PVD,15970,15530,15530,15850,15850.0,259440,4112124000
2012-03-23,PVD,15970,15730,15850,15730,15730.0,148430,2334803900
2012-03-26,PVD,15970,15610,15610,15970,15970.0,155110,2477106700
2012-03-27,PVD,15970,15500,15970,15530,15530.0,188750,2931287500
2012-03-28,PVD,15730,15050,15050,15730,15730.0,80170,1261074100
2012-03-29,PVD,15730,15330,15730,15530,15530.0,84140,1306694200
2012-03-30,PVD,15890,15530,15530,15890,15890.0,188020,2987637800
2012-04-03,PVD,15930,15770,15890,15770,9343.662109375,94650,1492630500
2012-04-04,PVD,15850,15730,15770,15730,9320.06640625,39210,616773300
2012-04-05,PVD,15930,15700,15730,15930,9438.04296875,98650,1571494500
2012-04-06,PVD,15930,15650,15730,15700,9296.470703125,21490,337393000
2012-04-09,PVD,15700,15610,15700,15610,9249.28125,93780,1463905800
2012-04-10,PVD,15730,15530,15580,15650,9272.876953125,272920,4271198000
2012-04-11,PVD,15730,15610,15700,15730,9320.06640625,212410,3341209300
2012-04-12,PVD,16129,15850,15850,16090,9532.4228515625,536040,8624883600
2012-04-13,PVD,16129,15850,16129,15890,9414.4482421875,160510,2550503900
2012-04-16,PVD,16050,15850,15930,16010,9485.232421875,396230,6343642300
2012-04-17,PVD,16800,16010,16129,16800,9957.1337890625,991100,16650480000
2012-04-18,PVD,17120,16450,16530,16580,9815.5634765625,350790,5816098200
2012-04-19,PVD,16450,16129,16410,16250,9626.8037109375,267870,4352887500
2012-04-20,PVD,16329,15970,16329,16250,9626.8037109375,177770,2888762500
2012-04-23,PVD,16329,16129,16329,16170,9579.61328125,252510,4083086700
2012-04-24,PVD,16200,16050,16170,16170,9579.61328125,196170,3172068900
2012-04-25,PVD,16530,16170,16329,16329,9673.9931640625,110890,1810722810
2012-04-26,PVD,16410,16200,16250,16280,9650.3984375,147350,2398858000
2012-04-27,PVD,16329,16170,16329,16200,9603.208984375,65230,1056726000
2012-05-02,PVD,16720,16170,16200,16450,9744.7783203125,384700,6328315000
2012-05-03,PVD,16610,16280,16610,16280,9650.3984375,177360,2887420800
2012-05-04,PVD,16800,16280,16280,16640,9862.75390625,277180,4612275200
2012-05-07,PVD,17450,16930,17120,17450,10334.6572265625,629120,10978144000
2012-05-08,PVD,18280,17680,18240,17930,10617.798828125,431070,7729085100
2012-05-09,PVD,17930,17330,17330,17760,10523.41796875,181870,3230011200
2012-05-10,PVD,17760,17050,17760,17560,10405.4404296875,208930,3668810800
2012-05-11,PVD,17560,16720,17560,16850,9980.7294921875,288840,4866954000
2012-05-14,PVD,16850,16010,16850,16010,9485.232421875,495260,7929112600
2012-05-15,PVD,15530,15210,15330,15210,9013.330078125,1033080,15713146800
