Date,code,high,low,open,close,adjust,volume_match,value_match
2012-03-20,REE,4120,4019,4019,4090,5314.75537109375,699660,2861609400
2012-03-21,REE,4280,4150,4150,4150,5394.0791015625,1667880,6921702000
2012-03-22,REE,4220,4120,4120,4190,5433.7421875,717000,3004230000
2012-03-23,REE,4280,4190,4190,4240,5513.06689453125,1022360,4334806400
2012-03-26,REE,4430,4240,4310,4430,5751.041015625,3356950,14871288500
2012-03-27,REE,4560,4310,4430,4310,5592.39208984375,2310280,9957306800
2012-03-28,REE,4410,4220,4340,4340,5632.05419921875,1194800,5185432000
2012-03-29,REE,4430,4190,4410,4240,5513.06689453125,1672540,7091569600
2012-03-30,REE,4280,4150,4240,4240,5513.06689453125,1547330,6560679200
2012-04-03,REE,4430,4240,4280,4430,5751.041015625,3205270,14199346100
2012-04-04,REE,4560,4430,4500,4500,5830.36572265625,2547650,11464425000
2012-04-05,REE,4650,4430,4460,4590,5949.3525390625,1763500,8094465000
2012-04-06,REE,4760,4520,4590,4680,6068.34033203125,2419480,11323166400
2012-04-09,REE,4890,4760,4820,4890,6345.9765625,2177130,10646165700
2012-04-10,REE,5150,4890,5100,4980,6464.962890625,5605760,27916684800
2012-04-11,REE,5230,4890,5150,5230,6782.26220703125,2958720,15474105600
2012-04-12,REE,5310,5040,5150,5150,6663.27490234375,2203500,11348025000
2012-04-13,REE,5210,5020,5100,5150,6663.27490234375,2532110,13040366500
2012-04-16,REE,5370,5040,5150,5280,6861.5869140625,2336390,12336139200
2012-04-17,REE,5540,5370,5500,5540,7178.88525390625,3617790,20042556600
2012-04-18,REE,5680,5430,5540,5430,7059.89892578125,2446640,13285255200
2012-04-19,REE,5410,5210,5340,5210,6742.60009765625,2230760,11622259600
2012-04-20,REE,5270,5040,5150,5100,6623.61328125,2202390,11232189000
2012-04-23,REE,5270,5150,5210,5150,6663.27490234375,930520,4792178000
2012-04-24,REE,5280,5090,5150,5280,6861.5869140625,1244850,6572808000
2012-04-25,REE,5470,5310,5370,5470,7099.5615234375,1265280,6921081600
2012-04-26,REE,5470,5280,5470,5340,6940.9111328125,1317530,7035610200
2012-04-27,REE,5430,5280,5310,5410,7020.236328125,1107510,5991629100
2012-05-02,REE,5470,5230,5470,5270,6821.92431640625,1072550,5652338500
2012-05-03,REE,5280,5150,5230,5210,6742.60009765625,923130,4809507300
2012-05-04,REE,5430,5270,5310,5430,7059.89892578125,1994020,10827528600
2012-05-07,REE,5680,5540,5630,5680,7377.19775390625,2121700,12051256000
2012-05-08,REE,5720,5560,5680,5560,7218.5478515625,2111300,11738828000
2012-05-09,REE,5600,5470,5540,5560,7218.5478515625,1004080,5582684800
2012-05-10,REE,5630,5410,5600,5430,7059.89892578125,1600910,8692941300
2012-05-11,REE,5540,5410,5500,5410,7020.236328125,1498980,8109481800
2012-05-14,REE,5410,5180,5410,5210,6742.60009765625,1676420,8734148200
2012-05-15,REE,5280,5040,5100,5040,6544.28759765625,1424980,7181899200
2012-05-16,REE,5150,4950,5100,5040,6544.28759765625,960320,4840012800
2012-05-17,REE,5210,5090,5100,5090,6583.95068359375,850250,4327772500
2012-05-18,REE,5020,4820,4980,4920,6385.638671875,1385060,6814495200
2012-05-21,REE,5180,4920,4950,5180,6702.9375,735160,3808128800
2012-05-22,REE,5280,5090,5180,5210,6742.60009765625,726070,3782824700
