Date,code,high,low,open,close,adjust,volume_match,value_match
2012-03-20,SBT,5590,5330,5410,5590,5590,110790,619316100
2012-03-21,SBT,5760,5590,5730,5690,5690,238950,1359625500
2012-03-22,SBT,5800,5620,5650,5730,5730,137880,790052400
2012-03-23,SBT,5760,5650,5730,5690,5690,193000,1098170000
2012-03-26,SBT,5760,5590,5760,5690,5690,87410,497362900
2012-03-27,SBT,5690,5440,5690,5550,5550,151730,842101500
2012-03-28,SBT,5590,5480,5550,5590,5590,131620,735755800
2012-03-29,SBT,5620,5440,5510,5480,5480,51170,280411600
2012-03-30,SBT,5480,5230,5480,5330,5330,128810,686557300
2012-04-03,SBT,5480,5300,5300,5440,5440,85970,467676800
2012-04-04,SBT,5480,5300,5480,5370,5370,42000,225540000
2012-04-05,SBT,5410,5230,5410,5410,5410,46960,254053600
2012-04-06,SBT,5480,5410,5410,5480,5480,70010,383654800
2012-04-09,SBT,5730,5690,5690,5730,5730,378860,2170867800
2012-04-10,SBT,6020,5800,5910,6020,6020,305420,1838628400
2012-04-11,SBT,6300,6080,6300,6150,6150,185020,1137873000
2012-04-12,SBT,6260,6080,6260,6150,6150,183720,1129878000
2012-04-13,SBT,6450,6260,6410,6450,6450,590840,3810918000
2012-04-16,SBT,6770,6550,6770,6770,6770,198610,1344589700
2012-04-17,SBT,7080,7080,7080,7080,7080,95920,679113600
2012-04-18,SBT,7410,7150,7410,7410,7410,260580,1930897800
2012-04-19,SBT,7770,7050,7770,7050,7050,1105800,7795890000
2012-04-20,SBT,7150,6800,7050,6860,6860,336760,2310173600
2012-04-23,SBT,7190,6860,6860,7190,7190,485850,3493261500
2012-04-24,SBT,7550,7050,7190,7550,7550,326940,2468397000
2012-04-25,SBT,7910,7550,7800,7690,7690,353100,2715339000
2012-04-26,SBT,7730,7340,7730,7340,7340,691570,5076123800
2012-04-27,SBT,7510,7260,7510,7450,7450,339020,2525699000
2012-05-02,SBT,7690,7080,7690,7410,7410,662400,4908384000
2012-05-03,SBT,7770,7410,7510,7770,7770,622020,4833095400
2012-05-04,SBT,8130,8130,8130,8130,8130,668680,5436368400
2012-05-07,SBT,8520,8410,8520,8520,8520,422260,3597655200
2012-05-08,SBT,8850,8130,8850,8130,8130,1050060,8536987800
2012-05-09,SBT,8240,7740,8240,7740,7740,2322270,17974369800
2012-05-10,SBT,7890,7380,7740,7380,7380,1628210,12016189800
2012-05-11,SBT,7740,7140,7380,7540,7540,951140,7171595600
2012-05-14,SBT,7650,7180,7540,7180,7180,354960,2548612800
2012-05-15,SBT,7340,6860,6980,6860,6860,646550,4435333000
2012-05-16,SBT,7180,6670,6860,7060,7060,731480,5164248800
2012-05-17,SBT,7300,6860,7060,6860,6860,343460,2356135600
2012-05-18,SBT,6830,6550,6790,6640,6640,735050,4880732000
2012-05-21,SBT,6950,6670,6670,6950,6950,352100,2447095000
2012-05-22,SBT,7260,6910,7060,7060,7060,586060,4137583600
2012-05-23,SBT,7110,6710,6980,6710,6710,455720,3057881200
2012-05-24,SBT,6860,6480,6710,6590,6590,434220,2861509800
2012-05-25,SBT,6910,6830,6830,6910,6910,438740,3031693400
2012-05-28,SBT,7230,6830,7230,7140,7140,637380,4550893200
2012-05-29,SBT,7500,6950,7140,7500,7500,1408010,10560075000
2012-05-30,SBT,7850,7650,7650,7740,7740,1455840,11268201600
2012-05-31,SBT,7740,7500,7740,7500,7500,601730,4512975000
2012-06-01,SBT,7580,7380,7500,7380,7380,341180,2517908400
2012-06-04,SBT,7110,7030,7060,7030,7030,866220,6089526600
2012-06-05,SBT,7060,6750,6910,7060,7060,411990,2908649400
2012-06-06,SBT,7230,6910,6910,7180,7180,182190,1308124200
2012-06-07,SBT,7500,7180,7260,7380,7380,528290,3898780200
2012-06-08,SBT,7450,7110,7420,7180,7180,600920,4314605600
2012-06-11,SBT,7450,7140,7180,7300,7300,617250,4505925000
2012-06-12,SBT,7340,7180,7230,7180,7180,270230,1940251400
2012-06-13,SBT,7300,7140,7260,7140,7140,220640,1575369600
2012-06-14,SBT,7500,7180,7180,7260,7260,635930,4616851800
2012-06-15,SBT,7420,7230,7380,7300,7300,381430,2784439000
2012-06-18,SBT,7420,7260,7340,7300,7300,434130,3169149000
2012-06-19,SBT,7300,7110,7300,7140,7140,611180,4363825200
2012-06-20,SBT,7230,7110,7180,7140,7140,193810,1383803400
2012-06-21,SBT,7180,6950,7140,6950,6950,357920,2487544000
2012-06-22,SBT,6980,6790,6950,6790,6790,397860,2701469400
2012-06-25,SBT,6860,6510,6750,6510,6510,462770,3012632700
2012-06-26,SBT,6510,6280,6510,6320,6320,523220,3306750400
2012-06-27,SBT,6440,6280,6350,6320,6320,346780,2191649600
2012-06-28,SBT,6440,6200,6320,6440,6440,347420,2237384800
2012-06-29,SBT,6590,6320,6350,6480,6480,184720,1196985600
2012-07-02,SBT,6550,6350,6550,6350,6350,196610,1248473500
2012-07-03,SBT,6320,6160,6320,6280,6280,429520,2697385600
2012-07-04,SBT,6400,6160,6200,6240,6240,146580,914659200
2012-07-05,SBT,6350,6160,6160,6320,6320,148120,936118400
2012-07-06,SBT,6480,6280,6320,6350,6350,177760,1128776000
2012-07-09,SBT,6400,6130,6320,6280,6280,199040,1249971200
2012-07-10,SBT,6280,6130,6130,6240,6240,123190,768705600
2012-07-11,SBT,6320,6200,6240,6280,6280,99940,627623200
2012-07-12,SBT,6590,6280,6320,6590,6590,504110,3322084900
2012-07-13,SBT,6910,6590,6590,6830,6830,423510,2892573300
2012-07-16,SBT,6860,6640,6830,6670,6670,407940,2720959800
2012-07-17,SBT,6790,6550,6710,6790,6790,437770,2972458300
2012-07-18,SBT,6790,6590,6750,6790,6790,396450,2691895500
2012-07-19,SBT,7060,6670,6670,7030,7030,472000,3318160000
2012-07-20,SBT,7230,6980,7140,6980,6980,926090,6464108200
2012-07-23,SBT,7030,6790,6910,6830,6830,308050,2103981500
2012-07-24,SBT,6830,6510,6710,6550,6550,449590,2944814500
2012-07-25,SBT,6670,6510,6510,6590,6590,244040,1608223600
2012-07-26,SBT,6670,6510,6590,6550,6550,170130,1114351500
2012-07-27,SBT,6640,6440,6640,6480,6480,289560,1876348800
2012-07-30,SBT,6510,6400,6510,6480,6480,62670,406101600
2012-07-31,SBT,6550,6440,6510,6510,6510,84530,550290300
2012-08-01,SBT,6510,6400,6400,6480,6480,134190,869551200
2012-08-02,SBT,6550,6440,6480,6480,6480,79030,512114400
2012-08-03,SBT,6510,6440,6510,6440,6440,83000,534520000
2012-08-06,SBT,6640,6480,6510,6590,6590,219000,1443210000
2012-08-07,SBT,6590,6480,6590,6510,6510,36170,235466700
2012-08-08,SBT,6550,6480,6510,6510,6510,42500,276675000
2012-08-09,SBT,6640,6510,6510,6550,6550,58140,380817000
2012-08-10,SBT,6590,6480,6550,6480,6480,65130,422042400
2012-08-13,SBT,6440,6280,6440,6350,6350,107700,683895000
2012-08-14,SBT,6480,6280,6350,6400,6400,153010,979264000
2012-08-15,SBT,6440,6320,6440,6400,6400,74940,479616000
2012-08-16,SBT,6400,6280,6320,6320,6320,87530,553189600
2012-08-17,SBT,6350,6280,6280,6320,6320,187580,1185505600
2012-08-20,SBT,6480,6400,6400,6480,6480,187030,1211954400
2012-08-21,SBT,6400,6160,6400,6160,6160,437070,2692351200
2012-08-22,SBT,6160,5880,5880,5880,5880,579690,3408577200
2012-08-23,SBT,5730,5610,5730,5610,5610,192290,1078746900
2012-08-24,SBT,5880,5340,5340,5850,5850,767680,4490928000
2012-08-27,SBT,5810,5570,5810,5570,5570,188110,1047772700
2012-08-28,SBT,5690,5380,5380,5610,5610,171660,963012600
2012-08-29,SBT,5880,5690,5770,5880,5880,170280,1001246400
2012-08-30,SBT,6080,5730,5880,6010,6010,358990,2157529900
2012-08-31,SBT,6010,5930,5960,5930,5930,153970,913042100
2012-09-04,SBT,6200,5930,5930,6200,6200,205380,1273356000
2012-09-05,SBT,6480,6350,6480,6480,6480,1277450,8277876000
2012-09-06,SBT,6750,6440,6440,6750,6750,926620,6254685000
2012-09-07,SBT,6860,6790,6830,6830,6830,797660,5448017800
2012-09-10,SBT,6790,6510,6670,6590,6590,691770,4558764300
2012-09-11,SBT,6910,6440,6440,6910,6910,1185470,8191597700
2012-09-12,SBT,7140,6910,7060,6910,6910,476560,3293029600
2012-09-13,SBT,6980,6910,6910,6980,6980,592150,4133207000
2012-09-14,SBT,7060,6910,7060,6980,6980,475070,3315988600
2012-09-17,SBT,6980,6670,6980,6750,6750,271760,1834380000
2012-09-18,SBT,6710,6440,6710,6440,6440,491550,3165582000
2012-09-19,SBT,6440,6130,6160,6400,6400,376970,2412608000
2012-09-20,SBT,6710,6240,6480,6710,6710,409990,2751032900
2012-09-21,SBT,7030,6710,6750,7030,7030,3548340,24944830200
2012-09-24,SBT,6860,6750,6830,6790,6790,372030,2526083700
2012-09-25,SBT,6790,6640,6750,6670,6670,194640,1298248800
2012-09-26,SBT,6750,6550,6670,6590,6590,105540,695508600
2012-09-27,SBT,6640,6550,6590,6590,6590,89450,589475500
2012-09-28,SBT,6790,6590,6590,6750,6750,472450,3189037500
2012-10-01,SBT,6670,6510,6670,6510,6510,276530,1800210300
2012-10-02,SBT,6670,6440,6510,6670,6670,110960,740103200
2012-10-03,SBT,6710,6590,6670,6640,6640,196030,1301639200
2012-10-04,SBT,6640,6510,6640,6510,6510,60190,391836900
2012-10-05,SBT,6710,6510,6510,6710,6710,532300,3571733000
2012-10-08,SBT,6790,6670,6750,6710,6710,338150,2268986500
2012-10-09,SBT,6750,6640,6710,6670,6670,94260,628714200
2012-10-10,SBT,6670,6550,6670,6550,6550,234440,1535582000
2012-10-11,SBT,6830,6640,6670,6670,6670,449720,2999632400
2012-10-12,SBT,6790,6590,6670,6590,6590,708000,4665720000
2012-10-15,SBT,6670,6510,6640,6590,6590,151830,1000559700
