Date,code,high,low,open,close,adjust,volume_match,value_match
2021-01-04,SCS,50120,49720,49720,49930,49930,32900,1642697000
2021-01-05,SCS,50700,49930,49930,50320,50320,13000,654160000
2021-01-06,SCS,50500,50220,50320,50340,50340,26600,1339044000
2021-01-07,SCS,50340,50260,50260,50340,50340,18600,936324000
2021-01-08,SCS,50500,50220,50340,50390,50390,36900,1859391000
2021-01-11,SCS,50700,50390,50420,50610,50610,55900,2829099000
2021-01-12,SCS,53530,50700,50700,53410,53410,50900,2718569000
2021-01-13,SCS,53680,52920,53600,52920,52920,57600,3048192000
2021-01-14,SCS,53600,52920,53600,52920,52920,20800,1100736000
2021-01-15,SCS,53020,52830,52920,52830,52830,18700,987921000
2021-01-18,SCS,53600,52830,52830,53210,53210,34100,1814461000
2021-01-19,SCS,53410,52350,53410,52410,52410,61400,3217974000
2021-01-20,SCS,52410,51200,52410,52080,52080,31300,1630104000
2021-01-21,SCS,52450,52050,52270,52410,52410,21000,1100610000
2021-01-22,SCS,52600,52120,52550,52450,52450,20100,1054245000
2021-01-25,SCS,53210,52450,52450,52640,52640,13400,705376000
2021-01-26,SCS,52640,52320,52640,52410,52410,23400,1226394000
2021-01-27,SCS,52450,50920,52410,50920,50920,46900,2388148000
2021-01-28,SCS,50180,47390,50180,47390,47390,140100,6639339000
2021-01-29,SCS,49560,47390,47390,48740,48740,71800,3499532000
2021-02-01,SCS,49370,48450,48550,49140,49140,112200,5513508000
2021-02-02,SCS,49370,48590,49140,49370,49370,4600,227102000
2021-02-03,SCS,51090,49340,49340,50900,50900,10400,529360000
2021-02-04,SCS,51710,50500,50970,50500,50500,5000,252500000
2021-02-05,SCS,50580,50260,50340,50500,50500,7700,388850000
2021-02-08,SCS,50660,47430,50500,48350,48350,25600,1237760000
2021-02-09,SCS,51280,48290,48290,51280,51280,21600,1107648000
2021-02-17,SCS,51280,50500,50900,50500,50500,17800,898900000
2021-02-18,SCS,50900,50320,50500,50500,50500,22200,1121100000
2021-02-19,SCS,50700,50420,50500,50700,50700,16700,846690000
2021-02-22,SCS,50700,50340,50700,50340,50340,23700,1193058000
2021-02-23,SCS,50580,50390,50500,50460,50460,10800,544968000
2021-02-24,SCS,52410,50390,52410,50390,50390,18100,912059000
2021-02-25,SCS,50610,50340,50390,50460,50460,33200,1675272000
2021-02-26,SCS,52450,50390,50460,50810,50810,14800,751988000
2021-03-01,SCS,52450,50900,52450,51390,51390,12900,662931000
2021-03-02,SCS,52050,51280,51390,52050,52050,24600,1280430000
2021-03-03,SCS,53260,52050,52050,53210,53210,90400,4810184000
2021-03-04,SCS,53530,53140,53410,53180,53180,19800,1052964000
2021-03-05,SCS,52830,52640,52680,52830,52830,12600,665658000
2021-03-08,SCS,53410,52830,52920,52920,52920,35300,1868076000
2021-03-09,SCS,52920,52710,52830,52710,52710,8000,421680000
2021-03-10,SCS,52830,52640,52830,52710,52710,8400,442764000
2021-03-11,SCS,52830,52520,52830,52520,52520,23300,1223716000
2021-03-12,SCS,52600,52320,52520,52320,52320,26200,1370784000
2021-03-15,SCS,52450,52280,52450,52320,52320,16700,873744000
2021-03-16,SCS,52450,52170,52320,52270,52270,7500,392025000
2021-03-17,SCS,52270,52050,52220,52120,52120,9300,484716000
2021-03-18,SCS,52170,52030,52120,52120,52120,8800,458656000
2021-03-19,SCS,52050,51940,52050,52050,52050,8400,437220000
2021-03-22,SCS,52050,51710,52050,51780,51780,25700,1330746000
2021-03-23,SCS,51780,51580,51750,51660,51660,23700,1224342000
2021-03-24,SCS,51630,51280,51630,51280,51280,21500,1102520000
2021-03-25,SCS,51280,50700,51280,50900,50900,23400,1191060000
2021-03-26,SCS,51090,50540,51090,50540,50540,11100,560994000
2021-03-29,SCS,50900,50500,50900,50500,50500,8500,429250000
2021-03-30,SCS,50850,50500,50700,50810,50810,11700,594477000
2021-03-31,SCS,50900,50460,50810,50900,50900,7100,361390000
2021-04-01,SCS,51200,50540,50920,51200,51200,10100,517120000
2021-04-02,SCS,51280,51040,51200,51280,51280,8000,410240000
2021-04-05,SCS,51280,50810,51280,50900,50900,9500,483550000
2021-04-06,SCS,51230,50770,51090,50900,50900,5800,295220000
2021-04-07,SCS,51280,50810,50920,50850,50850,19200,976320000
2021-04-08,SCS,50900,50810,50850,50850,50850,22900,1164465000
2021-04-09,SCS,50900,49720,50850,49720,49720,48200,2396504000
2021-04-12,SCS,50500,49930,50500,50120,50120,33100,1658972000
2021-04-13,SCS,51280,50120,50120,50850,50850,26600,1352610000
2021-04-14,SCS,51090,50120,51090,50320,50320,8200,412624000
2021-04-15,SCS,51200,50220,51200,50500,50500,5600,282800000
2021-04-16,SCS,50850,49720,50850,49930,49930,12600,629118000
2021-04-19,SCS,49930,49370,49720,49930,49930,48000,2396640000
2021-04-20,SCS,49930,49720,49930,49720,49720,49300,2451196000
2021-04-22,SCS,49720,48910,49720,48940,48940,27700,1355638000
2021-04-23,SCS,49340,48880,49340,48940,48940,23500,1150090000
2021-04-26,SCS,49690,48880,48940,48940,48940,9500,464930000
2021-04-27,SCS,49600,48790,48880,48910,48910,6300,308133000
2021-04-28,SCS,48940,48840,48940,48840,48840,8200,400488000
2021-04-29,SCS,48940,48840,48840,48880,48880,4800,234624000
2021-05-04,SCS,48980,48880,48880,48940,48940,4100,200654000
2021-05-05,SCS,49340,48790,48910,49340,49340,13600,671024000
2021-05-06,SCS,49460,48940,49340,49300,49300,6900,340170000
2021-05-07,SCS,49210,48940,49210,49060,49060,5800,284548000
2021-05-10,SCS,48940,48790,48940,48940,48940,11600,567704000
2021-05-11,SCS,49340,48910,49340,48910,48910,37400,1829234000
2021-05-12,SCS,49340,48840,48940,49340,49340,41000,2022940000
2021-05-13,SCS,49340,48880,48910,49300,49300,10400,512720000
2021-05-14,SCS,49760,49340,49340,49720,49720,7000,348040000
2021-05-17,SCS,49720,49170,49720,49210,49210,8900,437969000
2021-05-18,SCS,50540,49140,49140,50420,50420,18100,912602000
2021-05-19,SCS,50420,49340,49340,50420,50420,14900,751258000
2021-05-20,SCS,50420,49530,50420,49530,49530,4500,222885000
2021-05-21,SCS,50610,50160,50500,50160,50160,59500,2984520000
2021-05-24,SCS,50770,50500,50500,50580,50580,8000,404640000
2021-05-25,SCS,51000,50580,50580,50810,50810,13700,696097000
2021-05-26,SCS,51200,50810,50810,51200,51200,3100,158720000
2021-05-27,SCS,54780,50700,50900,54780,54780,55600,3045768000
2021-05-28,SCS,54780,51280,54780,53370,53370,11700,624429000
