Date,code,high,low,open,close,adjust,volume_match,value_match
2012-03-20,SHB,2510,2420,2490,2470,2668.9375,3649800,9015006000
2012-03-21,SHB,2630,2470,2470,2580,2790.2529296875,6530000,16847400000
2012-03-22,SHB,2630,2520,2600,2580,2790.2529296875,3435000,8862300000
2012-03-23,SHB,2650,2520,2580,2600,2814.51611328125,3700300,9620780000
2012-03-26,SHB,2690,2550,2600,2550,2765.989990234375,3593600,9163680000
2012-03-27,SHB,2550,2400,2550,2400,2596.1484375,4559000,10941600000
2012-03-28,SHB,2510,2270,2350,2470,2668.9375,3683200,9097504000
2012-03-29,SHB,2510,2340,2490,2350,2547.622314453125,2378500,5589475000
2012-03-30,SHB,2470,2270,2440,2280,2474.832763671875,2871300,6546564000
2012-04-03,SHB,2440,2270,2280,2440,2644.67431640625,1974600,4818024000
2012-04-04,SHB,2510,2340,2470,2370,2571.88525390625,1915800,4540446000
2012-04-05,SHB,2470,2310,2340,2420,2620.411376953125,1709100,4136022000
2012-04-06,SHB,2440,2350,2420,2370,2571.88525390625,1928500,4570545000
2012-04-09,SHB,2420,2370,2370,2370,2571.88525390625,1423300,3373221000
2012-04-10,SHB,2440,2340,2400,2350,2547.622314453125,2615500,6146425000
2012-04-11,SHB,2470,2350,2400,2420,2620.411376953125,2267200,5486624000
2012-04-12,SHB,2580,2470,2470,2580,2790.2529296875,3325700,8580306000
2012-04-13,SHB,2750,2520,2750,2580,2790.2529296875,4614500,11905410000
2012-04-16,SHB,2650,2520,2580,2630,2838.77880859375,3835900,10088417000
2012-04-17,SHB,2680,2550,2650,2550,2765.989990234375,2400800,6122040000
2012-04-18,SHB,2600,2490,2550,2510,2717.463623046875,3585000,8998350000
2012-04-19,SHB,2520,2370,2490,2420,2620.411376953125,3616900,8752898000
2012-04-20,SHB,2510,2420,2420,2440,2644.67431640625,2208100,5387764000
2012-04-23,SHB,2490,2400,2440,2440,2644.67431640625,1428400,3485296000
2012-04-24,SHB,2490,2400,2470,2440,2644.67431640625,2369900,5782556000
2012-04-25,SHB,2600,2490,2490,2580,2790.2529296875,3281600,8466528000
2012-04-26,SHB,2580,2470,2580,2490,2693.200439453125,2381000,5928690000
2012-04-27,SHB,2550,2490,2520,2520,2741.726806640625,2010900,5067468000
2012-05-02,SHB,2550,2400,2520,2440,2644.67431640625,2813900,6865916000
2012-05-03,SHB,2440,2280,2400,2340,2523.35888671875,4331600,10135944000
2012-05-04,SHB,2420,2340,2340,2400,2596.1484375,2140600,5137440000
2012-05-07,SHB,2520,2420,2440,2520,2741.726806640625,759000,1912680000
2012-05-08,SHB,2690,2510,2630,2520,2741.726806640625,3169600,7987392000
2012-05-09,SHB,2550,2490,2510,2510,2717.463623046875,1942300,4875173000
2012-05-10,SHB,2520,2440,2510,2470,2668.9375,2059200,5086224000
2012-05-11,SHB,2600,2370,2580,2400,2596.1484375,2842900,6822960000
2012-05-14,SHB,2400,2280,2400,2310,2499.095947265625,2570700,5938317000
2012-05-15,SHB,2350,2220,2310,2240,2426.306640625,1876400,4203136000
2012-05-16,SHB,2280,2190,2240,2270,2450.56982421875,1530400,3474008000
2012-05-17,SHB,2280,2190,2270,2220,2402.043701171875,812600,1803972000
2012-05-18,SHB,2190,2060,2190,2080,2256.46533203125,2720500,5658640000
2012-05-21,SHB,2190,2040,2060,2190,2377.78076171875,1136000,2487840000
2012-05-22,SHB,2310,2130,2310,2190,2353.517822265625,1026600,2248254000
2012-05-23,SHB,2190,2040,2150,2060,2232.2021484375,1733500,3571010000
2012-05-24,SHB,2080,1980,2080,2060,2232.2021484375,1517700,3126462000
2012-05-25,SHB,2190,2060,2060,2190,2353.517822265625,2309900,5058681000
2012-05-28,SHB,2310,2190,2220,2240,2426.306640625,2653900,5944736000
2012-05-29,SHB,2220,2150,2190,2220,2402.043701171875,1189400,2640468000
2012-05-30,SHB,2270,2190,2190,2240,2426.306640625,1673300,3748192000
2012-05-31,SHB,2220,2150,2190,2190,2377.78076171875,1444700,3163893000
2012-06-01,SHB,2240,2190,2220,2220,2402.043701171875,1380800,3065376000
2012-06-04,SHB,2270,2130,2240,2150,2207.939208984375,1337400,2875410000
2012-06-05,SHB,2220,2130,2130,2220,2280.728271484375,888900,1973358000
2012-06-06,SHB,2220,2150,2190,2190,2256.46533203125,961000,2104590000
2012-06-07,SHB,2310,2180,2180,2280,2353.517822265625,2155400,4914312000
2012-06-08,SHB,2360,2220,2350,2240,2304.991455078125,1502000,3364480000
2012-06-11,SHB,2270,2190,2240,2220,2280.728271484375,802600,1781772000
2012-06-12,SHB,2240,2190,2240,2190,2256.46533203125,509300,1115367000
2012-06-13,SHB,2220,2180,2220,2220,2280.728271484375,873600,1939392000
2012-06-14,SHB,2220,2180,2190,2180,2232.2021484375,572900,1248922000
2012-06-15,SHB,2240,2180,2180,2190,2256.46533203125,748500,1639215000
2012-06-18,SHB,2270,2190,2220,2220,2280.728271484375,668900,1484958000
2012-06-19,SHB,2220,2180,2220,2190,2256.46533203125,400500,877095000
