Date,code,high,low,open,close,adjust,volume_match,value_match
2012-03-20,SJS,9010,8680,8740,8890,9904.314453125,156180,1388440200
2012-03-21,SJS,9310,8920,9130,9250,10307.201171875,298970,2765472500
2012-03-22,SJS,9700,9070,9190,9700,10810.810546875,307690,2984593000
2012-03-23,SJS,10180,9940,10060,10180,11347.994140625,411290,4186932200
2012-03-26,SJS,10630,10180,10510,10330,11515.86328125,321090,3316859700
2012-03-27,SJS,10330,9820,10000,9820,10945.1064453125,333320,3273202400
2012-03-28,SJS,9850,9340,9520,9550,10642.94140625,212790,2032144500
2012-03-29,SJS,9730,9190,9640,9190,10240.0537109375,177010,1626721900
2012-03-30,SJS,9490,9040,9040,9490,10575.79296875,111420,1057375800
2012-04-03,SJS,9910,9580,9910,9790,10911.5322265625,76770,751578300
2012-04-04,SJS,9820,9340,9790,9340,10407.923828125,69730,651278200
2012-04-05,SJS,9610,9130,9130,9490,10575.79296875,52520,498414800
2012-04-06,SJS,9790,9520,9640,9580,10676.5146484375,154100,1476278000
2012-04-09,SJS,10030,9580,9580,10030,11180.1240234375,165960,1664578800
2012-04-10,SJS,10480,9940,10210,10090,11247.2724609375,301180,3038906200
2012-04-11,SJS,10570,10090,10510,10570,11784.455078125,469980,4967688600
2012-04-12,SJS,11090,10840,10930,11090,12355.2119140625,368520,4086886800
2012-04-13,SJS,11630,11090,11450,11480,12791.673828125,545120,6257977600
2012-04-16,SJS,12050,11330,11480,12050,13429.5791015625,340710,4105555500
2012-04-17,SJS,12650,11990,12020,12350,13765.318359375,351280,4338308000
2012-04-18,SJS,12320,11750,12200,11750,13093.8388671875,534950,6285662500
2012-04-19,SJS,11450,11180,11210,11180,12455.9345703125,261120,2919321600
2012-04-20,SJS,11450,10630,10780,10840,12086.62109375,698340,7570005600
2012-04-23,SJS,11300,10900,10900,10930,12187.3427734375,222240,2429083200
2012-04-24,SJS,11270,10690,10930,10900,12153.7685546875,246990,2692191000
2012-04-25,SJS,11450,10990,11300,11450,12758.099609375,455730,5218108500
2012-04-26,SJS,12020,11300,11300,11690,13026.69140625,332530,3887275700
2012-04-27,SJS,11960,11690,11690,11810,13160.9873046875,166870,1970734700
2012-05-02,SJS,11990,11450,11810,11600,12925.9697265625,309330,3588228000
2012-05-03,SJS,11600,11120,11450,11420,12724.525390625,270790,3092421800
2012-05-04,SJS,11600,11300,11600,11540,12858.8212890625,271160,3129186400
2012-05-07,SJS,11750,11300,11690,11450,12758.099609375,237370,2717886500
2012-05-08,SJS,11810,11300,11510,11450,12758.099609375,673570,7712376500
2012-05-09,SJS,11690,11420,11570,11450,12758.099609375,569900,6525355000
2012-05-10,SJS,12020,11720,11720,12020,13396.0048828125,1116640,13422012800
2012-05-11,SJS,12020,11540,11750,11630,12959.54296875,249550,2902266500
