Date,code,high,low,open,close,adjust,volume_match,value_match
2012-03-20,VCG,5860,5640,5640,5780,7781.62744140625,1965300,11359434000
2012-03-21,VCG,6190,5820,5820,6140,8264.208984375,5426200,33316868000
2012-03-22,VCG,6500,6010,6140,6450,8686.4677734375,5559200,35856840000
2012-03-23,VCG,6680,6230,6420,6640,8927.7587890625,2593700,17222168000
2012-03-26,VCG,6720,6280,6720,6310,8505.5,2540800,16032448000
2012-03-27,VCG,6360,5960,6360,5960,8022.91845703125,2877400,17149304000
2012-03-28,VCG,5920,5550,5740,5820,7841.9501953125,2507200,14591904000
2012-03-29,VCG,5920,5420,5820,5420,7299.04638671875,3320600,17997652000
2012-03-30,VCG,5510,5190,5510,5290,7118.07763671875,2157700,11414233000
2012-04-03,VCG,5640,5290,5290,5640,7600.6591796875,2247600,12676464000
2012-04-04,VCG,5780,5470,5780,5510,7419.69140625,1153900,6357989000
2012-04-05,VCG,5860,5320,5320,5860,7902.27294921875,2314600,13563556000
2012-04-06,VCG,6280,5740,6280,5780,7781.62744140625,1624600,9390188000
2012-04-09,VCG,6140,5780,5820,6090,8203.88671875,1888800,11502792000
2012-04-10,VCG,6140,5780,6090,5820,7841.9501953125,2817000,16394940000
2012-04-11,VCG,6230,5920,5960,6230,8384.8544921875,3805400,23707642000
2012-04-12,VCG,6580,6230,6500,6280,8445.1767578125,3456800,21708704000
2012-04-13,VCG,6450,6140,6280,6230,8384.8544921875,2134100,13295443000
2012-04-16,VCG,6580,6190,6230,6540,8807.11328125,2523600,16504344000
2012-04-17,VCG,6680,6230,6540,6280,8445.1767578125,4282800,26895984000
2012-04-18,VCG,6360,6050,6280,6090,8203.88671875,3524800,21466032000
2012-04-19,VCG,6010,5740,5860,5740,7721.3046875,2845200,16331448000
2012-04-20,VCG,6140,5780,5960,5960,8022.91845703125,1752500,10444900000
2012-04-23,VCG,6090,5780,6050,5860,7902.27294921875,1077100,6311806000
2012-04-24,VCG,6050,5780,5960,6010,8083.2412109375,1125800,6766058000
2012-04-25,VCG,6190,5960,6050,5960,8022.91845703125,1429400,8519224000
2012-04-26,VCG,6050,5860,6050,5920,7962.595703125,975400,5774368000
2012-04-27,VCG,6280,5860,6010,6140,8264.208984375,1912500,11742750000
2012-05-02,VCG,6360,5860,6310,6010,8083.2412109375,1881000,11304810000
2012-05-03,VCG,6090,5820,6010,6010,8083.2412109375,1060600,6374206000
2012-05-04,VCG,6140,6010,6050,6050,8143.56396484375,1264000,7647200000
2012-05-07,VCG,6010,5640,5640,5960,8022.91845703125,3115800,18570168000
2012-05-08,VCG,6050,5860,5960,5860,7902.27294921875,1596000,9352560000
2012-05-09,VCG,6230,5860,5920,6140,8264.208984375,2951400,18121596000
2012-05-10,VCG,6420,6090,6230,6190,8324.53125,2975900,18420821000
2012-05-11,VCG,6190,6010,6190,6050,8143.56396484375,1855200,11223960000
2012-05-14,VCG,6050,5640,6010,5690,7660.98193359375,1650400,9390776000
2012-05-15,VCG,5740,5320,5640,5390,7238.72314453125,1967500,10604825000
2012-05-16,VCG,5610,5290,5420,5550,7480.01416015625,1528700,8484285000
2012-05-17,VCG,5610,5250,5550,5250,7057.7548828125,1499700,7873425000
2012-05-18,VCG,5290,4890,5290,4890,6575.17333984375,3233400,15811326000
2012-05-21,VCG,5190,4890,4890,5190,6997.4326171875,1283100,6659289000
2012-05-22,VCG,5390,5110,5320,5160,6937.10986328125,1259800,6500568000
2012-05-23,VCG,5190,4890,5160,4940,6635.49609375,1089200,5380648000
2012-05-24,VCG,5110,4800,4940,5060,6816.46435546875,1121200,5673272000
2012-05-25,VCG,5290,5060,5110,5290,7118.07763671875,690100,3650629000
2012-05-28,VCG,5640,5320,5510,5320,7178.400390625,1505900,8011388000
2012-05-29,VCG,5470,5250,5420,5320,7178.400390625,774500,4120340000
2012-05-30,VCG,5470,5320,5420,5390,7238.72314453125,707400,3812886000
2012-05-31,VCG,5390,5110,5190,5160,6937.10986328125,903700,4663092000
2012-06-01,VCG,5320,5110,5290,5250,7057.7548828125,723900,3800475000
2012-06-04,VCG,5190,4940,5160,4970,6695.8193359375,1056800,5252296000
2012-06-05,VCG,5190,4940,5060,5060,6816.46435546875,854300,4322758000
