Date,code,high,low,open,close,adjust,volume_match,value_match
2021-01-04,VDS,5660,5660,5660,5660,5660,184300,1043138000
2021-01-05,VDS,6040,6040,6040,6040,6040,81700,493468000
2021-01-06,VDS,6450,6380,6450,6450,6450,2404900,15511605000
2021-01-07,VDS,6910,6810,6880,6910,6910,1470500,10161155000
2021-01-08,VDS,7380,7150,7350,7310,7310,1238900,9056359000
2021-01-11,VDS,7310,6810,7310,6850,6850,2350200,16098870000
2021-01-12,VDS,6850,6510,6680,6780,6780,1371500,9298770000
2021-01-13,VDS,7000,6710,6950,6780,6780,853300,5785374000
2021-01-14,VDS,7150,6740,6810,7150,7150,1791700,12810655000
2021-01-15,VDS,7310,7180,7210,7210,7210,1513400,10911614000
2021-01-18,VDS,7410,7210,7350,7210,7210,1380900,9956289000
2021-01-19,VDS,7210,6730,7210,6730,6730,1372500,9236925000
2021-01-20,VDS,7100,6270,7100,6800,6800,1745400,11868720000
2021-01-21,VDS,7250,6950,7250,7180,7180,1624400,11663192000
2021-01-22,VDS,7240,6980,7180,6980,6980,732600,5113548000
2021-01-25,VDS,7150,6650,6770,6950,6950,1361200,9460340000
2021-01-26,VDS,6870,6460,6850,6750,6750,762800,5148900000
2021-01-27,VDS,6570,6290,6550,6290,6290,589700,3709213000
2021-01-28,VDS,5860,5860,5860,5860,5860,125900,737774000
2021-01-29,VDS,5960,5450,5450,5680,5680,1666200,9464016000
2021-02-01,VDS,5810,5300,5530,5300,5300,486500,2578450000
2021-02-02,VDS,5300,4940,5070,5180,5180,854800,4427864000
2021-02-03,VDS,5530,5230,5330,5530,5530,560400,3099012000
2021-02-04,VDS,5910,5580,5730,5890,5890,621500,3660635000
2021-02-05,VDS,6190,5810,5980,6050,6050,553600,3349280000
2021-02-08,VDS,6320,5680,6050,5730,5730,768300,4402359000
2021-02-09,VDS,5980,5650,5730,5890,5890,485000,2856650000
2021-02-17,VDS,6240,5940,5940,6190,6190,498500,3085715000
2021-02-18,VDS,6320,6090,6190,6240,6240,581800,3630432000
2021-02-19,VDS,6240,6050,6140,6140,6140,532000,3266480000
2021-02-22,VDS,6210,6050,6090,6090,6090,769200,4684428000
2021-02-23,VDS,6320,5980,6060,6190,6190,513000,3175470000
2021-02-24,VDS,6460,6190,6350,6290,6290,691500,4349535000
2021-02-25,VDS,6390,6240,6390,6360,6360,626100,3981996000
2021-02-26,VDS,6350,6190,6190,6240,6240,281400,1755936000
2021-03-01,VDS,6420,6240,6350,6390,6390,574700,3672333000
2021-03-02,VDS,6550,6420,6550,6500,6500,514400,3343600000
2021-03-03,VDS,6920,6500,6500,6920,6920,1061000,7342120000
2021-03-04,VDS,7250,6600,7100,6900,6900,1020100,7038690000
2021-03-05,VDS,7000,6650,6750,6920,6920,515700,3568644000
2021-03-08,VDS,7250,6950,7250,7070,7070,983800,6955466000
2021-03-09,VDS,7070,6850,7000,7030,7030,519000,3648570000
2021-03-10,VDS,7030,6850,7030,7000,7000,431200,3018400000
2021-03-11,VDS,7410,7030,7100,7350,7350,1970900,14486115000
2021-03-12,VDS,7380,7250,7380,7310,7310,744100,5439371000
2021-03-15,VDS,7810,7350,7350,7810,7810,1505700,11759517000
2021-03-16,VDS,8100,7580,7860,7860,7860,1110200,8726172000
2021-03-17,VDS,7860,7710,7860,7840,7840,646400,5067776000
2021-03-18,VDS,8119,7920,8020,7990,7990,746100,5961339000
2021-03-19,VDS,8189,7920,7950,8020,8020,590000,4731800000
2021-03-22,VDS,8039,7810,8020,7860,7860,798600,6276996000
2021-03-23,VDS,7860,7540,7860,7710,7710,840000,6476400000
2021-03-24,VDS,7690,7410,7540,7460,7460,853200,6364872000
2021-03-25,VDS,7510,7150,7460,7350,7350,518400,3810240000
2021-03-26,VDS,7660,7100,7310,7580,7580,678000,5139240000
2021-03-29,VDS,7740,7510,7610,7580,7580,353200,2677256000
2021-03-30,VDS,7610,7460,7610,7550,7550,444000,3352200000
2021-03-31,VDS,7810,7550,7550,7690,7690,653600,5026184000
2021-04-01,VDS,8119,7810,7810,8119,8119,1326700,10771477300
2021-04-02,VDS,8370,8119,8370,8220,8220,783600,6441192000
2021-04-05,VDS,8350,8039,8220,8170,8170,654800,5349716000
2021-04-06,VDS,8330,8020,8119,8260,8260,965100,7971726000
2021-04-07,VDS,8370,8260,8350,8330,8330,693500,5776855000
2021-04-08,VDS,8400,8100,8400,8330,8330,679400,5659402000
2021-04-09,VDS,8250,8119,8170,8189,8189,531900,4355729100
2021-04-12,VDS,8330,8119,8170,8260,8260,997600,8240176000
2021-04-13,VDS,8400,8060,8350,8060,8060,962400,7756944000
2021-04-14,VDS,8119,7990,8060,8060,8060,585000,4715100000
2021-04-15,VDS,8150,7690,8150,7710,7710,1052000,8110920000
2021-04-16,VDS,7760,7350,7610,7510,7510,716300,5379413000
2021-04-19,VDS,7610,7310,7610,7480,7480,444800,3327104000
2021-04-20,VDS,7760,7480,7480,7660,7660,759800,5820068000
2021-04-22,VDS,7660,7250,7660,7250,7250,442000,3204500000
2021-04-23,VDS,7440,7100,7250,7440,7440,320400,2383776000
2021-04-26,VDS,7480,7180,7440,7210,7210,323400,2331714000
2021-04-27,VDS,7210,7000,7150,7050,7050,198500,1399425000
2021-04-28,VDS,7210,7030,7050,7050,7050,337000,2375850000
2021-04-29,VDS,7150,7030,7050,7030,7030,396300,2785989000
2021-05-04,VDS,6950,6850,6950,6950,6950,421300,2928035000
2021-05-05,VDS,7380,6950,6950,7310,7310,395400,2890374000
2021-05-06,VDS,7350,7180,7310,7210,7210,378700,2730427000
2021-05-07,VDS,7440,7130,7130,7350,7350,573000,4211550000
2021-05-10,VDS,7790,7210,7350,7760,7760,905400,7025904000
2021-05-11,VDS,8020,7710,7790,7710,7710,799500,6164145000
2021-05-12,VDS,7920,7610,7710,7920,7920,704500,5579640000
2021-05-13,VDS,7990,7710,7810,7740,7740,647700,5013198000
2021-05-14,VDS,7890,7710,7710,7740,7740,342400,2650176000
2021-05-17,VDS,7860,7510,7760,7550,7550,373300,2818415000
2021-05-18,VDS,7550,7350,7460,7510,7510,473500,3555985000
2021-05-19,VDS,7540,7380,7510,7480,7480,331400,2478872000
