Date,code,high,low,open,close,adjust,volume_match,value_match
2015-10-15,VGC,6800,6440,6690,6440,6440.0,10100,65044000
2015-10-16,VGC,6500,6250,6440,6440,6440.0,34900,224756000
2015-10-19,VGC,6500,6440,6440,6440,6440.0,33400,215096000
2015-10-20,VGC,6500,6440,6440,6500,6500.0,38000,247000000
2015-10-21,VGC,6440,6360,6440,6360,6360.0,14200,90312000
2015-10-22,VGC,6360,6310,6360,6310,6310.0,16500,104115000
2015-10-23,VGC,6310,6250,6310,6250,6250.0,2100,13125000
2015-10-26,VGC,6180,6180,6180,6180,6180.0,7100,43878000
2015-10-27,VGC,6130,6130,6130,6130,6130.0,4800,29424000
2015-10-28,VGC,6180,5680,5990,6180,6180.0,31500,194670000
2015-10-29,VGC,5870,5750,5750,5870,5870.0,8100,47547000
2015-10-30,VGC,5810,5610,5810,5610,5610.0,5700,31977000
2015-11-02,VGC,5680,5360,5680,5360,5360.0,38700,207432000
2015-11-03,VGC,5550,5550,5550,5550,5550.0,600,3330000
2015-11-04,VGC,5550,5050,5360,5550,5550.0,12000,66600000
2015-11-05,VGC,5610,5430,5430,5610,5610.0,4200,23562000
2015-11-06,VGC,5680,5550,5680,5610,5610.0,30300,169983000
2015-11-09,VGC,5550,5360,5550,5360,5360.0,10600,56816000
2015-11-10,VGC,5500,5430,5500,5430,5430.0,3300,17919000
2015-11-11,VGC,5430,5430,5430,5430,5430.0,2900,15747000
2015-11-12,VGC,5500,5430,5430,5500,5500.0,2700,14850000
2015-11-13,VGC,5680,5550,5680,5680,5680.0,500,2840000
2015-11-16,VGC,5610,5610,5610,5610,5610.0,0,0
2015-11-17,VGC,5680,5550,5680,5550,5550.0,10300,57165000
2015-11-18,VGC,5550,4730,5550,5550,5550.0,5200,28860000
2015-11-19,VGC,5550,5550,5550,5550,5550.0,2000,11100000
2015-11-20,VGC,5550,5550,5550,5550,5550.0,18900,104895000
2015-11-23,VGC,5500,5430,5430,5430,5430.0,11000,59730000
2015-11-24,VGC,5430,5360,5430,5360,5360.0,2100,11256000
2015-11-25,VGC,5230,5180,5180,5180,5180.0,2300,11914000
2015-11-26,VGC,5360,4870,5360,4870,4870.0,6600,32142000
2015-11-27,VGC,5360,4920,5360,4920,4920.0,11000,54120000
2015-11-30,VGC,5430,5430,5430,5430,5430.0,100,543000
2015-12-01,VGC,5180,5180,5180,5180,5180.0,100,518000
2015-12-02,VGC,5120,4800,4800,4920,4920.0,10300,50676000
2015-12-03,VGC,5300,4920,5300,4920,4920.0,15900,78228000
2015-12-04,VGC,5230,4920,4920,4920,4920.0,137900,678468000
2015-12-07,VGC,5610,4920,5180,4920,4920.0,30400,149568000
2015-12-08,VGC,5050,5050,5050,5050,5050.0,100,505000
2015-12-09,VGC,5180,4870,4870,4920,4920.0,11300,55596000
2015-12-10,VGC,4980,4920,4980,4920,4920.0,18200,89544000
2015-12-11,VGC,4920,4870,4920,4920,4920.0,5700,28044000
2015-12-14,VGC,4980,4980,4980,4980,4980.0,2000,9960000
2015-12-15,VGC,5050,4800,4800,5050,5050.0,2500,12625000
2015-12-16,VGC,5180,4800,5050,4800,4800.0,7700,36960000
2015-12-17,VGC,5180,5180,5180,5180,5180.0,100,518000
