Date,code,high,low,open,close,adjust,volume_match,value_match
2012-03-20,VHC,5060,5060,5060,5060,5060.0,0,0
2012-03-21,VHC,5060,4950,4950,5060,7402.62548828125,1400,7084000
2012-03-22,VHC,5280,5280,5280,5280,7694.83447265625,100,528000
2012-03-23,VHC,5060,5030,5060,5050,7383.14501953125,3850,19442500
2012-03-26,VHC,4970,4970,4970,4970,7246.78076171875,270,1341900
2012-03-27,VHC,4970,4970,4970,4970,7246.78076171875,0,0
2012-03-28,VHC,4970,4970,4970,4970,7246.78076171875,1000,4970000
2012-03-29,VHC,4970,4730,4730,4970,7246.78076171875,15580,77432600
2012-03-30,VHC,4950,4950,4950,4950,7207.81982421875,80,396000
2012-04-03,VHC,4950,4870,4950,4870,7110.4169921875,550,2678500
2012-04-04,VHC,4800,4800,4800,4800,7013.013671875,1190,5712000
2012-04-05,VHC,4800,4800,4800,4800,7013.013671875,0,0
2012-04-06,VHC,4800,4730,4730,4800,7013.013671875,2510,12048000
2012-04-09,VHC,4890,4670,4670,4890,7129.89697265625,2830,13838700
2012-04-10,VHC,4950,4800,4800,4800,7013.013671875,2190,10512000
2012-04-11,VHC,5030,4750,4870,5030,7363.6640625,5910,29727300
2012-04-12,VHC,5210,4870,4870,5210,7597.43115234375,12440,64812400
2012-04-13,VHC,5170,4960,4960,5170,7558.47021484375,1010,5221700
2012-04-16,VHC,5170,5130,5170,5130,7500.02880859375,1040,5335200
2012-04-17,VHC,5110,4910,4910,5110,7461.0673828125,2000,10220000
2012-04-18,VHC,4950,4950,4950,4950,7207.81982421875,200,990000
2012-04-19,VHC,4950,4950,4950,4950,7207.81982421875,0,0
2012-04-20,VHC,4800,4800,4800,4800,7013.013671875,170,816000
2012-04-23,VHC,4800,4670,4800,4670,6818.20751953125,3580,16718600
2012-04-24,VHC,4680,4490,4670,4680,6837.68896484375,1710,8002800
2012-04-25,VHC,4680,4680,4680,4680,6837.68896484375,0,0
2012-04-26,VHC,4870,4680,4680,4870,7110.4169921875,960,4675200
2012-04-27,VHC,4870,4800,4870,4800,7013.013671875,280,1344000
2012-05-02,VHC,4870,4800,4870,4800,7013.013671875,3010,14448000
2012-05-03,VHC,4800,4800,4800,4800,7013.013671875,0,0
2012-05-04,VHC,4840,4800,4840,4800,7013.013671875,3850,18480000
2012-05-07,VHC,4950,4930,4950,4950,7207.81982421875,5010,24799500
2012-05-08,VHC,4950,4950,4950,4950,7207.81982421875,0,0
2012-05-09,VHC,5010,4770,4770,5010,7305.22265625,1690,8466900
2012-05-10,VHC,5010,4980,4980,4980,7266.26123046875,34230,170465400
2012-05-11,VHC,5130,4980,4980,5130,7500.02880859375,15100,77463000
2012-05-14,VHC,4960,4960,4960,4960,7227.30029296875,30,148800
2012-05-15,VHC,4960,4960,4960,4960,7227.30029296875,60,297600
2012-05-16,VHC,5060,4960,5060,4960,7227.30029296875,10300,51088000
2012-05-17,VHC,5060,4950,4950,5060,7402.62548828125,1650,8349000
2012-05-18,VHC,5010,5010,5010,5010,7305.22265625,2750,13777500
2012-05-21,VHC,5010,5010,5010,5010,7305.22265625,0,0
2012-05-22,VHC,5010,4950,5010,5010,7305.22265625,14830,74298300
2012-05-23,VHC,5010,5010,5010,5010,7305.22265625,1000,5010000
2012-05-24,VHC,4950,4750,4750,4950,7207.81982421875,120,594000
2012-05-25,VHC,5060,5060,5060,5060,7402.62548828125,2330,11789800
2012-05-28,VHC,5010,5010,5010,5010,7305.22265625,660,3306600
