Date,code,high,low,open,close,adjust,volume_match,value_match
2021-01-04,VIB,9320,9180,9220,9270,9270,946800,8776836000
2021-01-05,VIB,9900,9270,9270,9900,9900,2145100,21236490000
2021-01-06,VIB,10320,9900,10100,9910,9910,711000,7046010000
2021-01-07,VIB,9900,9710,9900,9840,9840,1036700,10201128000
2021-01-08,VIB,9960,9750,9840,9750,9750,1291700,12594075000
2021-01-11,VIB,9840,9650,9840,9670,9670,1011300,9779271000
2021-01-12,VIB,9810,9590,9590,9670,9670,605200,5852284000
2021-01-13,VIB,9880,9730,9810,9750,9750,1052400,10260900000
2021-01-14,VIB,9960,9750,9750,9880,9880,818400,8085792000
2021-01-15,VIB,10090,9960,9960,10020,10020,824200,8258484000
2021-01-18,VIB,10060,9900,10000,9900,9900,661800,6551820000
2021-01-19,VIB,9900,9220,9840,9270,9270,1032900,9574983000
2021-01-20,VIB,9400,8630,9270,9250,9250,850500,7867125000
2021-01-21,VIB,9590,9270,9400,9590,9590,606100,5812499000
2021-01-22,VIB,9620,9550,9620,9600,9600,646900,6210240000
2021-01-25,VIB,9610,9490,9610,9600,9600,411700,3952320000
2021-01-26,VIB,9600,9270,9600,9300,9300,500000,4650000000
2021-01-27,VIB,9520,9200,9270,9390,9390,842600,7912014000
2021-01-28,VIB,9270,8750,8750,8750,8750,1079800,9448250000
2021-01-29,VIB,8980,8189,8189,8870,8870,457900,4061573000
2021-02-01,VIB,8980,8620,8980,8720,8720,284300,2479096000
2021-02-02,VIB,8980,8700,8700,8960,8960,387700,3473792000
2021-02-03,VIB,9520,8980,9120,9520,9520,541300,5153176000
2021-02-04,VIB,9550,9360,9550,9490,9490,314600,2985554000
2021-02-05,VIB,9960,9490,9520,9940,9940,1534500,15252930000
2021-02-08,VIB,10230,9590,9960,9780,9780,1354400,13246032000
2021-02-09,VIB,10100,9650,9650,10100,10100,1091900,11028190000
2021-02-17,VIB,10610,10080,10100,10600,10600,1141900,12104140000
2021-02-18,VIB,10580,10320,10580,10520,10520,787100,8280292000
2021-02-19,VIB,10670,10320,10320,10560,10560,531800,5615808000
2021-02-22,VIB,10640,10510,10610,10580,10580,1128900,11943762000
2021-02-23,VIB,10640,9840,10540,10450,10450,1401200,14642540000
2021-02-24,VIB,10630,10460,10460,10510,10510,903200,9492632000
2021-02-25,VIB,10810,10510,10510,10800,10800,975600,10536480000
2021-02-26,VIB,11180,10670,10670,11150,11150,1099700,12261655000
2021-03-01,VIB,11920,11490,11520,11920,11920,991400,11817488000
2021-03-02,VIB,12520,11960,12500,12250,12250,1116000,13671000000
2021-03-03,VIB,12180,12080,12090,12130,12130,687500,8339375000
2021-03-04,VIB,12130,11710,12130,11790,11790,1035500,12208545000
2021-03-05,VIB,12230,11460,11790,12160,12160,509000,6189440000
2021-03-08,VIB,12320,12060,12320,12110,12110,486000,5885460000
2021-03-09,VIB,12160,12000,12060,12060,12060,321700,3879702000
2021-03-10,VIB,12080,12030,12040,12050,12050,319900,3854795000
2021-03-11,VIB,12280,12130,12280,12130,12130,338700,4108431000
2021-03-12,VIB,12350,12180,12180,12200,12200,445400,5433880000
2021-03-15,VIB,12350,12250,12320,12270,12270,496100,6087147000
2021-03-16,VIB,12350,12180,12320,12230,12230,323100,3951513000
2021-03-17,VIB,13040,12230,12230,12920,12920,1321300,17071196000
2021-03-18,VIB,13040,12670,12920,12840,12840,547600,7031184000
2021-03-19,VIB,12860,12800,12840,12830,12830,657700,8438291000
2021-03-22,VIB,12950,12670,12920,12680,12680,712000,9028160000
2021-03-23,VIB,12700,12060,12680,12500,12500,609600,7620000000
2021-03-24,VIB,12500,12250,12380,12280,12280,743900,9135092000
2021-03-25,VIB,12320,12060,12280,12090,12090,949400,11478246000
2021-03-26,VIB,12280,11790,12090,12130,12130,629900,7640687000
2021-03-29,VIB,12330,12130,12160,12330,12330,249800,3080034000
2021-03-30,VIB,13040,12350,12350,13020,13020,1177200,15327144000
2021-03-31,VIB,13830,13180,13180,13600,13600,1462600,19891360000
2021-04-01,VIB,14040,13600,13740,14000,14000,992400,13893600000
2021-04-02,VIB,14380,13900,14000,14240,14240,641300,9132112000
