Date,code,high,low,open,close,adjust,volume_match,value_match
2012-03-20,VNM,13560,13420,13510,13510,13510.0,48840,659828400
2012-03-21,VNM,13560,13510,13560,13510,13510.0,74890,1011763900
2012-03-22,VNM,13560,13510,13510,13510,13510.0,65490,884769900
2012-03-23,VNM,14170,13510,13510,14170,14170.0,268540,3805211800
2012-03-26,VNM,14320,13860,14170,13940,13940.0,112890,1573686600
2012-03-27,VNM,13940,13640,13940,13640,13640.0,124680,1700635200
2012-03-28,VNM,13860,13640,13640,13790,13790.0,75600,1042524000
2012-03-29,VNM,13790,13640,13790,13640,13640.0,120740,1646893600
2012-03-30,VNM,13720,13560,13720,13560,13560.0,65720,891163200
2012-04-03,VNM,13720,13510,13560,13720,13461.052734375,53400,732648000
2012-04-04,VNM,13720,13640,13720,13720,13461.052734375,25930,355759600
2012-04-05,VNM,13790,13640,13640,13720,13461.052734375,69230,949835600
2012-04-06,VNM,14020,13870,13940,13940,13682.93359375,68510,955029400
2012-04-09,VNM,13940,13870,13870,13870,13608.9736328125,37260,516796200
2012-04-10,VNM,13940,13800,13870,13800,13535.01171875,56370,777906000
2012-04-11,VNM,13870,13720,13800,13800,13535.01171875,106860,1474668000
2012-04-12,VNM,13870,13720,13870,13800,13535.01171875,112730,1555674000
2012-04-13,VNM,13870,13720,13800,13720,13461.05078125,57860,793839200
2012-04-16,VNM,13870,13720,13800,13720,13461.05078125,76040,1043268800
2012-04-17,VNM,13720,13630,13720,13720,13461.05078125,55700,764204000
2012-04-18,VNM,13800,13630,13720,13720,13461.05078125,63330,868887600
2012-04-19,VNM,13720,13560,13720,13560,13313.125,46850,635286000
2012-04-20,VNM,13630,13560,13560,13560,13313.125,35510,481515600
2012-04-23,VNM,13630,13560,13560,13560,13313.125,38710,524907600
2012-04-24,VNM,13560,13500,13560,13560,13313.125,37120,503347200
2012-04-25,VNM,13630,13500,13560,13560,13313.125,63730,864178800
2012-04-26,VNM,14020,13560,13560,13720,13461.05078125,101530,1392991600
2012-04-27,VNM,13720,13630,13720,13630,13387.08984375,54240,739291200
2012-05-02,VNM,13630,13560,13630,13630,13387.08984375,41370,563873100
2012-05-03,VNM,13630,13500,13630,13560,13313.125,64330,872314800
2012-05-04,VNM,13630,13500,13560,13560,13313.125,59720,809803200
2012-05-07,VNM,13720,13560,13560,13560,13313.125,69910,947979600
