Date,code,high,low,open,close,adjust,volume_match,value_match
2021-01-04,VRE,32450,31400,31500,31650,31650,9299700,294335505000
2021-01-05,VRE,33500,31500,31650,33300,33300,11968500,398551050000
2021-01-06,VRE,33900,33050,33850,33200,33200,9706700,322262440000
2021-01-07,VRE,33900,33000,33200,33900,33900,8942200,303140580000
2021-01-08,VRE,36250,34300,34300,35500,35500,11122400,394845200000
2021-01-11,VRE,37300,35400,35500,37150,37150,8820500,327681575000
2021-01-12,VRE,37300,36200,37300,36700,36700,8633100,316834770000
2021-01-13,VRE,37150,35000,36700,36200,36200,7540500,272966100000
2021-01-14,VRE,37000,35300,36200,36600,36600,7599400,278138040000
2021-01-15,VRE,37000,36400,36700,36700,36700,3366600,123554220000
2021-01-18,VRE,37950,36900,37000,37350,37350,5151900,192423465000
2021-01-19,VRE,37300,34750,37050,37300,37300,7316800,272916640000
2021-01-20,VRE,37350,35000,36900,36800,36800,6873100,252930080000
2021-01-21,VRE,37000,35900,36800,36600,36600,6989100,255801060000
2021-01-22,VRE,37750,36350,36600,36900,36900,7256800,267775920000
2021-01-25,VRE,38300,36600,36900,37800,37800,6559800,247960440000
2021-01-26,VRE,37900,35800,37800,37000,37000,3655500,135253500000
2021-01-27,VRE,36500,34450,36000,34450,34450,6401900,220545455000
2021-01-28,VRE,32200,32049,32049,32049,32049,3181000,101947869000
2021-01-29,VRE,33600,29850,29850,32049,32049,13579200,435199780800
2021-02-01,VRE,32049,30000,32000,30000,30000,7498800,224964000000
2021-02-02,VRE,32000,28700,29800,31950,31950,8546600,273063870000
2021-02-03,VRE,33850,31950,32100,33100,33100,5472800,181149680000
2021-02-04,VRE,33800,32500,33100,32600,32600,4110300,133995780000
2021-02-05,VRE,33000,32450,32600,32700,32700,3746700,122517090000
2021-02-08,VRE,32700,30450,32700,30900,30900,10110300,312408270000
2021-02-09,VRE,32000,30100,31200,31550,31550,6417300,202465815000
2021-02-17,VRE,33750,31650,31900,33750,33750,5097100,172027125000
2021-02-18,VRE,34850,33000,33900,34850,34850,7076500,246616025000
2021-02-19,VRE,35100,34100,34400,34500,34500,4599200,158672400000
2021-02-22,VRE,34900,34000,34500,34150,34150,4038700,137921605000
2021-02-23,VRE,34600,34100,34200,34400,34400,4783700,164559280000
2021-02-24,VRE,34800,33000,34500,33700,33700,5262900,177359730000
2021-02-25,VRE,34150,33350,34100,33750,33750,4225800,142620750000
2021-02-26,VRE,33600,33000,33200,33200,33200,5168300,171587560000
2021-03-01,VRE,34400,33400,33700,34250,34250,5383600,184388300000
2021-03-02,VRE,35200,34300,35000,34700,34700,6292000,218332400000
2021-03-03,VRE,36000,34100,34600,35500,35500,6916300,245528650000
2021-03-04,VRE,35900,34000,35900,34550,34550,3774600,130412430000
2021-03-05,VRE,34950,33100,34200,34550,34550,4886800,168838940000
2021-03-08,VRE,35200,34200,35000,34450,34450,4501400,155073230000
2021-03-09,VRE,34500,33600,34100,34100,34100,3258000,111097800000
2021-03-10,VRE,34500,34000,34100,34150,34150,3109000,106172350000
2021-03-11,VRE,34700,34250,34500,34350,34350,2683500,92178225000
2021-03-12,VRE,34800,34350,34350,34650,34650,3713000,128655450000
2021-03-15,VRE,34650,34300,34350,34450,34450,3034700,104545415000
2021-03-16,VRE,35150,34500,34600,34800,34800,5860500,203945400000
2021-03-17,VRE,35400,34800,34900,34850,34850,5558500,193713725000
2021-03-18,VRE,35400,34800,35300,35000,35000,3154200,110397000000
2021-03-19,VRE,35450,34000,34900,34000,34000,9786500,332741000000
2021-03-22,VRE,35000,34500,34700,34600,34600,4091000,141548600000
2021-03-23,VRE,34600,34000,34600,34150,34150,4290000,146503500000
2021-03-24,VRE,34000,33000,33600,33400,33400,5717400,190961160000
2021-03-25,VRE,33700,32700,33400,32850,32850,5291700,173832345000
2021-03-26,VRE,32750,31200,32500,32200,32200,6718200,216326040000
2021-03-29,VRE,33250,32200,32500,33050,33050,4460500,147419525000
2021-03-30,VRE,33150,32500,33050,32600,32600,5262800,171567280000
2021-03-31,VRE,33000,32600,32600,32700,32700,4520600,147823620000
2021-04-01,VRE,33900,32700,32700,33850,33850,5486600,185721410000
2021-04-02,VRE,34500,33750,34200,33850,33850,4192100,141902585000
2021-04-05,VRE,35500,34000,35500,34500,34500,6891100,237742950000
2021-04-06,VRE,35450,34400,34500,35000,35000,8548000,299180000000
2021-04-07,VRE,35500,34800,35100,35400,35400,6779600,239997840000
2021-04-08,VRE,35700,35100,35700,35300,35300,5971100,210779830000
2021-04-09,VRE,35400,35000,35200,35000,35000,5329800,186543000000
2021-04-12,VRE,35400,34900,35000,35300,35300,5452100,192459130000
2021-04-13,VRE,36800,35300,35800,35300,35300,11697800,412932340000
2021-04-14,VRE,35250,34650,35100,35000,35000,5803300,203115500000
2021-04-15,VRE,35300,34000,35300,34000,34000,6016800,204571200000
2021-04-16,VRE,34450,32800,33800,33950,33950,6772000,229909400000
2021-04-19,VRE,34200,33000,33800,33950,33950,4122400,139955480000
2021-04-20,VRE,36100,34150,34200,34600,34600,13595800,470414680000
2021-04-22,VRE,35200,32200,34600,32200,32200,7978600,256910920000
2021-04-23,VRE,33000,32200,32500,32800,32800,8772400,287734720000
2021-04-26,VRE,33000,31150,33000,31150,31150,11318300,352565045000
2021-04-27,VRE,31350,30550,31150,30600,30600,6825200,208851120000
2021-04-28,VRE,31750,30800,31000,31500,31500,7556200,238020300000
2021-04-29,VRE,32450,31550,31900,32000,32000,5847200,187110400000
2021-05-04,VRE,31650,30500,31500,31300,31300,7193500,225156550000
2021-05-05,VRE,32000,31300,31300,31600,31600,9862900,311667640000
2021-05-06,VRE,32350,31200,31950,31200,31200,5084700,158642640000
2021-05-07,VRE,31600,30800,31300,31000,31000,5678000,176018000000
2021-05-10,VRE,31950,30400,30500,31750,31750,8658400,274904200000
2021-05-11,VRE,31900,31000,31900,31000,31000,5114700,158555700000
2021-05-12,VRE,31500,30800,31000,31200,31200,3752800,117087360000
2021-05-13,VRE,31300,30900,31200,30900,30900,4782600,147782340000
2021-05-14,VRE,31200,30650,31100,30650,30650,4716600,144563790000
2021-05-17,VRE,31700,30700,30700,30700,30700,5595900,171794130000
2021-05-18,VRE,31100,30000,30800,30000,30000,6236900,187107000000
2021-05-19,VRE,30400,29000,30000,29350,29350,12028000,353021800000
2021-05-20,VRE,29550,28800,29500,29500,29500,7526000,222017000000
2021-05-21,VRE,30500,29000,29500,30350,30350,6579600,199690860000
2021-05-24,VRE,31150,30400,30450,30850,30850,5061400,156144190000
2021-05-25,VRE,31450,30600,30950,31200,31200,7140900,222796080000
2021-05-26,VRE,31450,30700,31000,31250,31250,5261200,164412500000
2021-05-27,VRE,31250,30450,31200,30750,30750,4995200,153602400000
2021-05-28,VRE,30700,30000,30700,30550,30550,6456400,197243020000
2021-05-31,VRE,30100,29300,30000,29400,29400,8050500,236684700000
