stocks,target_mode,target_column,window_size,feature_pool,min_combo_size,max_combo_size,min_rel_score,tested_combinations,good_combinations,best_val_rel_score,best_test_rel_score,best_features
VHM,return,target_next_return,20,"['volume_match', 'volume_ma_5', 'volume_ma_20', 'volume_change', 'volume_ratio_5', 'volume_ratio_20', 'volume_zscore_20', 'close_return', 'adjust_return', 'intraday_return', 'overnight_return', 'gap_open', 'range_pct', 'body_pct', 'high_close_gap', 'close_low_gap', 'close_position', 'upper_shadow', 'lower_shadow', 'return_3', 'momentum_5', 'return_10', 'momentum_20', 'price_acceleration', 'true_range', 'atr_14', 'atr_gap', 'volatility_5', 'volatility_10', 'volatility_20', 'volatility_ratio', 'ma_5_gap', 'ma_10_gap', 'ma_20_gap', 'ma_50_gap', 'ma_cross_5_20', 'rolling_max_20_gap', 'rolling_min_20_gap', 'vwap_gap', 'signed_volume', 'obv_change']",1,2,0.03,861,50,0.06100008885993913,0.0569287003504374,"close_position,price_acceleration"
KOS,return,target_next_return,20,"['volume_match', 'volume_ma_5', 'volume_ma_20', 'volume_change', 'volume_ratio_5', 'volume_ratio_20', 'volume_zscore_20', 'close_return', 'adjust_return', 'intraday_return', 'overnight_return', 'gap_open', 'range_pct', 'body_pct', 'high_close_gap', 'close_low_gap', 'close_position', 'upper_shadow', 'lower_shadow', 'return_3', 'momentum_5', 'return_10', 'momentum_20', 'price_acceleration', 'true_range', 'atr_14', 'atr_gap', 'volatility_5', 'volatility_10', 'volatility_20', 'volatility_ratio', 'ma_5_gap', 'ma_10_gap', 'ma_20_gap', 'ma_50_gap', 'ma_cross_5_20', 'rolling_max_20_gap', 'rolling_min_20_gap', 'vwap_gap', 'signed_volume', 'obv_change']",1,2,0.03,861,3,0.10026664397593188,0.05623287197863247,vwap_gap
TPB,return,target_next_return,20,"['volume_match', 'volume_ma_5', 'volume_ma_20', 'volume_change', 'volume_ratio_5', 'volume_ratio_20', 'volume_zscore_20', 'close_return', 'adjust_return', 'intraday_return', 'overnight_return', 'gap_open', 'range_pct', 'body_pct', 'high_close_gap', 'close_low_gap', 'close_position', 'upper_shadow', 'lower_shadow', 'return_3', 'momentum_5', 'return_10', 'momentum_20', 'price_acceleration', 'true_range', 'atr_14', 'atr_gap', 'volatility_5', 'volatility_10', 'volatility_20', 'volatility_ratio', 'ma_5_gap', 'ma_10_gap', 'ma_20_gap', 'ma_50_gap', 'ma_cross_5_20', 'rolling_max_20_gap', 'rolling_min_20_gap', 'vwap_gap', 'signed_volume', 'obv_change']",1,2,0.03,861,31,0.05541629778889379,0.05574535911913059,"volatility_20,vwap_gap"
TLG,return,target_next_return,20,"['volume_match', 'volume_ma_5', 'volume_ma_20', 'volume_change', 'volume_ratio_5', 'volume_ratio_20', 'volume_zscore_20', 'close_return', 'adjust_return', 'intraday_return', 'overnight_return', 'gap_open', 'range_pct', 'body_pct', 'high_close_gap', 'close_low_gap', 'close_position', 'upper_shadow', 'lower_shadow', 'return_3', 'momentum_5', 'return_10', 'momentum_20', 'price_acceleration', 'true_range', 'atr_14', 'atr_gap', 'volatility_5', 'volatility_10', 'volatility_20', 'volatility_ratio', 'ma_5_gap', 'ma_10_gap', 'ma_20_gap', 'ma_50_gap', 'ma_cross_5_20', 'rolling_max_20_gap', 'rolling_min_20_gap', 'vwap_gap', 'signed_volume', 'obv_change']",1,2,0.03,861,29,0.05541832166301297,0.053646386933207446,"intraday_return,vwap_gap"
SCS,return,target_next_return,20,"['volume_match', 'volume_ma_5', 'volume_ma_20', 'volume_change', 'volume_ratio_5', 'volume_ratio_20', 'volume_zscore_20', 'close_return', 'adjust_return', 'intraday_return', 'overnight_return', 'gap_open', 'range_pct', 'body_pct', 'high_close_gap', 'close_low_gap', 'close_position', 'upper_shadow', 'lower_shadow', 'return_3', 'momentum_5', 'return_10', 'momentum_20', 'price_acceleration', 'true_range', 'atr_14', 'atr_gap', 'volatility_5', 'volatility_10', 'volatility_20', 'volatility_ratio', 'ma_5_gap', 'ma_10_gap', 'ma_20_gap', 'ma_50_gap', 'ma_cross_5_20', 'rolling_max_20_gap', 'rolling_min_20_gap', 'vwap_gap', 'signed_volume', 'obv_change']",1,2,0.03,861,0,-0.005275792036553595,0.046093727591865474,"volume_change,ma_cross_5_20"
BCM,return,target_next_return,20,"['volume_match', 'volume_ma_5', 'volume_ma_20', 'volume_change', 'volume_ratio_5', 'volume_ratio_20', 'volume_zscore_20', 'close_return', 'adjust_return', 'intraday_return', 'overnight_return', 'gap_open', 'range_pct', 'body_pct', 'high_close_gap', 'close_low_gap', 'close_position', 'upper_shadow', 'lower_shadow', 'return_3', 'momentum_5', 'return_10', 'momentum_20', 'price_acceleration', 'true_range', 'atr_14', 'atr_gap', 'volatility_5', 'volatility_10', 'volatility_20', 'volatility_ratio', 'ma_5_gap', 'ma_10_gap', 'ma_20_gap', 'ma_50_gap', 'ma_cross_5_20', 'rolling_max_20_gap', 'rolling_min_20_gap', 'vwap_gap', 'signed_volume', 'obv_change']",1,2,0.03,861,20,0.048761173128359925,0.03887197724434244,"volume_ratio_20,volatility_ratio"
VNM,return,target_next_return,20,"['volume_match', 'volume_ma_5', 'volume_ma_20', 'volume_change', 'volume_ratio_5', 'volume_ratio_20', 'volume_zscore_20', 'close_return', 'adjust_return', 'intraday_return', 'overnight_return', 'gap_open', 'range_pct', 'body_pct', 'high_close_gap', 'close_low_gap', 'close_position', 'upper_shadow', 'lower_shadow', 'return_3', 'momentum_5', 'return_10', 'momentum_20', 'price_acceleration', 'true_range', 'atr_14', 'atr_gap', 'volatility_5', 'volatility_10', 'volatility_20', 'volatility_ratio', 'ma_5_gap', 'ma_10_gap', 'ma_20_gap', 'ma_50_gap', 'ma_cross_5_20', 'rolling_max_20_gap', 'rolling_min_20_gap', 'vwap_gap', 'signed_volume', 'obv_change']",1,2,0.03,861,2,0.035894419544113876,0.034586034730493265,"lower_shadow,price_acceleration"
PVD,return,target_next_return,20,"['volume_match', 'volume_ma_5', 'volume_ma_20', 'volume_change', 'volume_ratio_5', 'volume_ratio_20', 'volume_zscore_20', 'close_return', 'adjust_return', 'intraday_return', 'overnight_return', 'gap_open', 'range_pct', 'body_pct', 'high_close_gap', 'close_low_gap', 'close_position', 'upper_shadow', 'lower_shadow', 'return_3', 'momentum_5', 'return_10', 'momentum_20', 'price_acceleration', 'true_range', 'atr_14', 'atr_gap', 'volatility_5', 'volatility_10', 'volatility_20', 'volatility_ratio', 'ma_5_gap', 'ma_10_gap', 'ma_20_gap', 'ma_50_gap', 'ma_cross_5_20', 'rolling_max_20_gap', 'rolling_min_20_gap', 'vwap_gap', 'signed_volume', 'obv_change']",1,2,0.03,861,8,0.05262498231154067,0.03452116201785993,"volume_ma_20,obv_change"
KBC,return,target_next_return,20,"['volume_match', 'volume_ma_5', 'volume_ma_20', 'volume_change', 'volume_ratio_5', 'volume_ratio_20', 'volume_zscore_20', 'close_return', 'adjust_return', 'intraday_return', 'overnight_return', 'gap_open', 'range_pct', 'body_pct', 'high_close_gap', 'close_low_gap', 'close_position', 'upper_shadow', 'lower_shadow', 'return_3', 'momentum_5', 'return_10', 'momentum_20', 'price_acceleration', 'true_range', 'atr_14', 'atr_gap', 'volatility_5', 'volatility_10', 'volatility_20', 'volatility_ratio', 'ma_5_gap', 'ma_10_gap', 'ma_20_gap', 'ma_50_gap', 'ma_cross_5_20', 'rolling_max_20_gap', 'rolling_min_20_gap', 'vwap_gap', 'signed_volume', 'obv_change']",1,2,0.03,861,4,0.03916182336539664,0.028991625155627254,"volatility_20,obv_change"
DIG,return,target_next_return,20,"['volume_match', 'volume_ma_5', 'volume_ma_20', 'volume_change', 'volume_ratio_5', 'volume_ratio_20', 'volume_zscore_20', 'close_return', 'adjust_return', 'intraday_return', 'overnight_return', 'gap_open', 'range_pct', 'body_pct', 'high_close_gap', 'close_low_gap', 'close_position', 'upper_shadow', 'lower_shadow', 'return_3', 'momentum_5', 'return_10', 'momentum_20', 'price_acceleration', 'true_range', 'atr_14', 'atr_gap', 'volatility_5', 'volatility_10', 'volatility_20', 'volatility_ratio', 'ma_5_gap', 'ma_10_gap', 'ma_20_gap', 'ma_50_gap', 'ma_cross_5_20', 'rolling_max_20_gap', 'rolling_min_20_gap', 'vwap_gap', 'signed_volume', 'obv_change']",1,2,0.03,861,25,0.06395383424741197,0.027907681383050775,"close_position,momentum_20"
