code,stock_days,latest_date,hard_issue_rows,imputed_rows,event_rows,coverage_pct,days_since_latest,quality_score
1925.T,1523,2026-03-31,0,0,0,1.0,0,100.0
2502.T,1523,2026-03-31,0,0,0,1.0,0,100.0
4503.T,1523,2026-03-31,0,0,0,1.0,0,100.0
4661.T,1523,2026-03-31,0,0,0,1.0,0,100.0
6367.T,1523,2026-03-31,0,0,0,1.0,0,100.0
7751.T,1523,2026-03-31,0,0,0,1.0,0,100.0
8058.T,1523,2026-03-31,0,0,0,1.0,0,100.0
9983.T,1523,2026-03-31,0,0,0,1.0,0,100.0
2914.T,1523,2026-03-31,0,0,1,1.0,0,98.0
4543.T,1523,2026-03-31,0,0,1,1.0,0,98.0
6861.T,1523,2026-03-31,0,0,1,1.0,0,98.0
6902.T,1523,2026-03-31,0,0,1,1.0,0,98.0
7741.T,1523,2026-03-31,0,0,1,1.0,0,98.0
7974.T,1523,2026-03-31,0,0,1,1.0,0,98.0
4519.T,1523,2026-03-31,0,0,2,1.0,0,96.0
4911.T,1523,2026-03-31,0,0,2,1.0,0,96.0
6594.T,1523,2026-03-31,0,0,2,1.0,0,96.0
8591.T,1523,2026-03-31,0,0,2,1.0,0,96.0
6723.T,1523,2026-03-31,0,0,3,1.0,0,94.0
8766.T,1523,2026-03-31,0,0,3,1.0,0,94.0
6857.T,1523,2026-03-31,0,0,4,1.0,0,92.0
4063.T,1281,2026-03-31,0,0,0,0.8411030860144452,0,90.46618516086671
4568.T,1281,2026-03-31,0,0,0,0.8411030860144452,0,90.46618516086671
5108.T,1281,2026-03-31,0,0,0,0.8411030860144452,0,90.46618516086671
6273.T,1281,2026-03-31,0,0,0,0.8411030860144452,0,90.46618516086671
6702.T,1281,2026-03-31,0,0,0,0.8411030860144452,0,90.46618516086671
6758.T,1281,2026-03-31,0,0,0,0.8411030860144452,0,90.46618516086671
6971.T,1281,2026-03-31,0,0,0,0.8411030860144452,0,90.46618516086671
6981.T,1281,2026-03-31,0,0,0,0.8411030860144452,0,90.46618516086671
7203.T,1281,2026-03-31,0,0,0,0.8411030860144452,0,90.46618516086671
8001.T,1281,2026-03-31,0,0,0,0.8411030860144452,0,90.46618516086671
9433.T,1281,2026-03-31,0,0,0,0.8411030860144452,0,90.46618516086671
4452.T,1523,2026-03-31,1,0,0,1.0,0,90.0
6301.T,1523,2026-03-31,1,0,0,1.0,0,90.0
3382.T,1281,2026-03-31,0,0,1,0.8411030860144452,0,88.46618516086671
6326.T,1281,2026-03-31,0,0,1,0.8411030860144452,0,88.46618516086671
6501.T,1281,2026-03-31,0,0,1,0.8411030860144452,0,88.46618516086671
6503.T,1281,2026-03-31,0,0,1,0.8411030860144452,0,88.46618516086671
7201.T,1281,2026-03-31,0,0,1,0.8411030860144452,0,88.46618516086671
8031.T,1281,2026-03-31,0,0,1,0.8411030860144452,0,88.46618516086671
9984.T,1281,2026-03-31,0,0,1,0.8411030860144452,0,88.46618516086671
8316.T,1523,2026-03-31,1,0,1,1.0,0,88.0
7269.T,1281,2026-03-31,0,0,2,0.8411030860144452,0,86.46618516086671
7270.T,1523,2026-03-31,1,0,2,1.0,0,86.0
4502.T,1281,2026-03-31,1,0,0,0.8411030860144452,0,80.46618516086671
6752.T,1281,2026-03-31,1,0,0,0.8411030860144452,0,80.46618516086671
8411.T,1281,2026-03-31,1,0,1,0.8411030860144452,0,78.46618516086671
8306.T,1523,2026-03-31,2,0,1,1.0,0,78.0
8035.T,1281,2026-03-31,1,0,3,0.8411030860144452,0,74.46618516086671
7267.T,1281,2026-03-31,2,0,1,0.8411030860144452,0,68.46618516086671
