feature,direction,score,train_mean_ic,val_mean_ic,min_market_val_ic,positive_val_markets,val_ic_t_stat,val_positive_days,val_days
sector_return,1,0.032962837827420655,0.01189058183821209,0.02148275553500114,0.015068070620744702,3,3.9460469820471644,0.543555781966378,1963
ma_5_gap,-1,0.023543427314071,0.027442966279464603,0.01569137981359492,0.010466211218469117,3,2.6189418912415197,0.5318390219052471,1963
volume_delta_1,1,0.01847372012509493,0.016442824036041456,0.014127519996932123,0.0013161891798937641,3,3.6881055382159222,0.5415180845644422,1963
momentum_5,-1,0.016248648095653455,0.01927608631868168,0.01052135469133036,0.00798104909439764,3,1.7367688571242774,0.5196128374936322,1963
macd_hist,-1,0.00813125230381616,0.014127882183905097,0.0053120458158162735,0.003573707643324233,3,1.0323526663377707,0.5165562913907285,1963
volume_level_20,1,0.014757477624865754,0.017838176917802758,0.012642410162124936,-0.0021965548176801253,2,3.2133448715808792,0.5374426897605705,1963
volume_ratio_20,1,0.014757477624865754,0.01746924959396681,0.012642410162124936,-0.0021965548176801253,2,3.2133448715808792,0.5374426897605705,1963
sector_ad_ratio,1,0.013937926882870164,0.009660239230802857,0.015979432162658323,-0.009554478958175272,2,2.7357341992994777,0.5260303687635575,922
close_position,-1,0.011282399775235303,0.0405033282143229,0.011732959434365984,-0.005707095365172732,2,2.4029880234556855,0.5252165053489557,1963
open_delta_1,-1,0.008347486082869506,0.011480575673155254,0.011735366422059381,-0.011072450913503252,2,2.1483451175617505,0.5282730514518594,1963
alpha_sector,-1,0.008007025467238336,0.01618320612935852,0.010402361395525405,-0.008601807016924085,2,1.9055675801749727,0.5134997452878247,1963
volatility_20,-1,0.006369944817706388,0.006657646010251746,0.006514081588185683,-0.0023348870672469696,2,1.0233067631441894,0.5043301069791136,1963
close_level_20,-1,0.0044751850785887635,0.014321756211540389,0.005504304761831055,-0.0038514664313147933,2,0.8966135324151054,0.500254712175242,1963
ma_20_gap,-1,0.003815795207524227,0.014073206290033528,0.0052558813035690115,-0.0045914592212516585,2,0.8556435145810445,0.5007641365257259,1963
intraday_return,-1,0.0014180406703738731,0.017019523992963085,0.007520356800738893,-0.014953633159117356,2,1.3745004491936577,0.521650534895568,1963
relative_sector_momentum_20,-1,0.0005784622124037848,0.010357807169309967,0.002227191935958667,-0.004084858022337676,2,0.3936992876139562,0.4926133469179827,1963
open_level_20,-1,8.369639759976997e-05,0.0055719905279316235,0.0017570502382942869,-0.003924710548913691,2,0.2890014337623286,0.49414161996943456,1963
high_delta_1,-1,-0.0019189106049543785,0.0025139209584539267,0.004157488716891366,-0.013621249814286468,2,0.7342255852974898,0.5033112582781457,1963
high_level_20,-1,-0.002350220683692435,0.004672207255665222,0.001205140539441763,-0.007503341423514289,2,0.1963094886229466,0.49414161996943456,1963
gap_open,1,-0.002748103906519631,0.0004915723132068138,0.0034720569160264004,-0.013745436928066719,2,0.6525576414873276,0.5028018339276618,1963
bb_width,-1,-0.0027861445159825665,0.007573545245164072,0.0016318266616483184,-0.0094102782314078,2,0.28716793807301516,0.4956698930208864,1963
low_level_20,-1,-0.003688667529592593,0.0035517499643702684,0.0007792363982837871,-0.009190835375705423,2,0.12751375997633166,0.49617931737137033,1963
momentum_20,-1,-0.004676561448014882,0.008676155235285796,0.00025721159633133113,-0.009952948169057646,2,0.042701040182609507,0.4859908303616913,1963
adjust_return,-1,-0.00818463203862124,0.015549513954330069,0.00435998193939821,-0.026600579205661085,2,0.7556756248110907,0.5053489556800815,1963
alpha_market,-1,-0.00818463203862124,0.015549513954330069,0.00435998193939821,-0.026600579205661085,2,0.7556756248110907,0.5053489556800815,1963
market_return,1,-0.00818463203862124,0.015549513954330069,0.00435998193939821,-0.026600579205661085,2,0.7556756248110907,0.5053489556800815,1963
close_delta_1,-1,-0.00925553720707206,0.015625326940734204,0.0039577779039682084,-0.027798646764916158,2,0.6860082714178108,0.5033112582781457,1963
close_return,-1,-0.00925553720707206,0.015625326940734204,0.0039577779039682084,-0.027798646764916158,2,0.6860082714178108,0.5033112582781457,1963
sector_positive_ratio,1,0.028369309951868562,0.008715629881552861,0.0169895610337749,0.0169895610337749,1,2.884968401206211,0.549079754601227,652
sector_momentum_20,1,0.023053742331614963,0.009849077335438189,0.014186694357217231,0.014186694357217231,1,1.7737007957891155,0.5295902883156297,659
sector_momentum_rank,-1,0.023053742331614963,0.009849077335438189,0.014186694357217231,0.014186694357217231,1,1.7737007957891155,0.5295902883156297,659
sector_momentum_rank_pct,-1,0.023053742331614963,0.009849077335438189,0.014186694357217231,0.014186694357217231,1,1.7737007957891155,0.5295902883156297,659
low_delta_1,-1,0.00912032728750223,0.0032937334271167513,0.008911511372727136,-0.002781030005516515,1,1.5993309175333503,0.5134997452878247,1963
