features,feature_count,train_rel_score,val_rel_score,test_rel_score,train_mse,val_mse,test_mse,train_mae,val_mae,test_mae,train_abs_loss,val_abs_loss,test_abs_loss
"volume_ratio_20,lower_shadow,atr_gap,vwap_gap",4,-0.02582402614880297,0.10193561571701582,0.007357787634087121,0.0003357438836246729,0.0004674829833675176,0.00034063050406984985,0.012415374629199505,0.014619581401348114,0.012118324637413025,0.023597779107512908,0.023294743962469524,0.021587904542684555
"volume_zscore_20,lower_shadow,atr_gap,vwap_gap",4,-0.03087675050940719,0.09280490086963411,0.008177753694304957,0.0003350514452904463,0.0004675055097322911,0.00034278418752364814,0.012457780539989471,0.01467776671051979,0.012250411324203014,0.023714010615367445,0.023531584069132805,0.021570071985479444
"volume_zscore_20,close_position,momentum_20,ma_20_gap",4,-0.04648190928651963,0.0886507373840667,-0.010671217615879414,0.0003372377250343561,0.000470578990643844,0.00031612763996236026,0.012560169212520123,0.01450909860432148,0.011683089658617973,0.024175846297293895,0.023639338230714207,0.021313879056833684
"volume_zscore_20,close_position,ma_20_gap,obv_change",4,-0.03881551514858228,0.08600140241074206,0.007030349570365302,0.0003374730877112597,0.0004675216041505337,0.00031573596061207354,0.01251975167542696,0.01442289724946022,0.011637762188911438,0.02399108884856105,0.02370805889368058,0.02094057361828163
"volume_zscore_20,close_position,momentum_5,atr_gap",4,-0.05159155889457501,0.08461097975366338,-0.029086339725657107,0.0003374525986146182,0.0004666149034164846,0.00031250136089511216,0.012621809728443623,0.014478514902293682,0.011645139195024967,0.024286147207021713,0.02374412483768539,0.021702232537791133
"volume_zscore_20,close_position,ma_20_gap",3,-0.03476442371671573,0.0838057523517639,-0.002008929337360854,0.0003392149810679257,0.0004674034717027098,0.0003149764961563051,0.012571834027767181,0.01442708633840084,0.0116331297904253,0.02389753027819097,0.02376501149847173,0.021131201484240594
"volume_zscore_20,close_position,ma_20_gap,vwap_gap",4,-0.034764272493013504,0.08380565978530885,-0.0013355262594714201,0.0003392149810679257,0.0004674034134950489,0.00032437749905511737,0.012571834027767181,0.014427084475755692,0.011748557910323143,0.023897526785731316,0.023765013899537744,0.02131974684307352
"volume_ratio_20,close_position,momentum_5,atr_gap",4,-0.04660704420167994,0.08249532887900579,-0.034493380094784865,0.00033854745561257005,0.00046636798651888967,0.00031120062340050936,0.012593044899404049,0.014369073323905468,0.011582559905946255,0.024171031545847654,0.023799002356827262,0.021816260722698644
"volume_zscore_20,close_position,momentum_5,momentum_20",4,-0.055334073049876364,0.08190826535225892,-0.03331307304148856,0.00033824765705503523,0.0004679339472204447,0.00031724260770715773,0.012572145089507103,0.014363820664584637,0.011722822673618793,0.024380349164130167,0.023814230100833826,0.02179136942140758
"volume_zscore_20,gap_open,close_position,lower_shadow",4,-0.04722081080100171,0.08188379762584719,-0.04479197248306921,0.00033436832018196583,0.0004619938845280558,0.00032562846899963915,0.012589672580361366,0.01446155272424221,0.011943508870899677,0.024185206275433302,0.023814864765154202,0.022033446043496954
"volume_zscore_20,lower_shadow,atr_gap,ma_20_gap",4,-0.05722217787000616,0.08170605993395974,-0.014111424680610885,0.0003308751911390573,0.00048012787010520697,0.0003377433749847114,0.012409793213009834,0.014782184734940529,0.012196776457130909,0.024438392906449728,0.023819475073833023,0.021562425605952736
"volume_ratio_20,volume_zscore_20,lower_shadow,ma_20_gap",4,-0.048033017327319794,0.08011096734684164,-0.026880286010132926,0.00033236289164051414,0.0004600838874466717,0.000331423943862319,0.01244259811937809,0.014376428909599781,0.012015106156468391,0.024225979356560852,0.02386084991740063,0.02183392202714458
"volume_ratio_20,volume_zscore_20,atr_gap,rolling_max_20_gap",4,-0.0535551331250399,0.0795045640508899,-0.03997335723868822,0.00033182482002303004,0.0004654812510125339,0.0003288280568085611,0.012489994056522846,0.01461280882358551,0.012007434852421284,0.02435362673131749,0.02387657931249124,0.02211231192341074
"volume_zscore_20,close_position,lower_shadow,momentum_20",4,-0.05157644932947325,0.07947202946647358,-0.034034645001897124,0.00033487778273411095,0.0004641479754354805,0.0003253468603361398,0.012565197423100471,0.014440142549574375,0.011910081841051579,0.02429354046471417,0.02387742322171108,0.021806586533784866
"volume_ratio_20,gap_open,lower_shadow,atr_gap",4,-0.036682513451564036,0.07918346852173763,0.02316825253358379,0.00033341560629196465,0.00047440617345273495,0.0003337129601277411,0.012399952858686447,0.014827391132712364,0.012144709005951881,0.023963604919845238,0.02388490815646947,0.020769770827610043
"volume_zscore_20,upper_shadow,lower_shadow,volatility_20",4,-0.03369722556909194,0.07897303703113112,-0.031020333276245315,0.0003340536495670676,0.0004815179272554815,0.00033485787571407855,0.01252450980246067,0.015005144290626049,0.012164076790213585,0.023903972352854908,0.023890366504201666,0.02192194929812103
"volume_zscore_20,gap_open,lower_shadow,atr_gap",4,-0.042653157821038734,0.07896786105156894,-0.0038516401003751977,0.0003328992461320013,0.00047412855201400816,0.00033688373514451087,0.012449631467461586,0.014883850701153278,0.012291553430259228,0.024101620330475266,0.02389050076308195,0.021344278135802593
"volume_zscore_20,lower_shadow,volatility_20,vwap_gap",4,-0.027138413067657075,0.07857548980082152,0.010123148672240623,0.0003361456037964672,0.0004777419089805335,0.00034339859848842025,0.012487064115703106,0.014745250344276428,0.012212461791932583,0.023632360156625516,0.023900678416248423,0.02152776368893683
"volume_ratio_20,intraday_return,lower_shadow,atr_gap",4,-0.0651258293856003,0.07800144942058806,0.014156306079505798,0.0003322599222883582,0.00047730005462653935,0.0003335764922667295,0.012364796362817287,0.014662843197584152,0.011994914151728153,0.024621091061271725,0.023915568355005246,0.020961386285489422
"volume_ratio_20,close_position,momentum_5,ma_20_gap",4,-0.028188753392451638,0.0772394127412106,-0.005366936139941547,0.0003390990605112165,0.0004684138693846762,0.00031777212279848754,0.012555014342069626,0.014261297881603241,0.011662519536912441,0.02374566742219031,0.02393533469876275,0.021202017937321217
"volume_zscore_20,intraday_return,lower_shadow,atr_gap",4,-0.06181602713557921,0.07698374755836845,-0.02609106161939967,0.00033164373598992825,0.00047647423343732953,0.00033631379483267665,0.012411982752382755,0.014714876189827919,0.012175772339105606,0.02454458278371021,0.023941966355778277,0.021817141235806047
"volume_zscore_20,gap_open,close_position,ma_20_gap",4,-0.05128912157175858,0.07650518717640009,0.008856489031711323,0.00033728673588484526,0.0004635000368580222,0.00031571605359204113,0.012572111561894417,0.014370734803378582,0.011665529571473598,0.02427916252054274,0.023954379654605885,0.020902062463574112
"volume_zscore_20,close_position,momentum_5,ma_20_gap",4,-0.037870457744064945,0.07619697263412617,-0.007924490140191365,0.00033779643126763403,0.0004699110286310315,0.0003187741676811129,0.012592921033501625,0.014432454481720924,0.01167432963848114,0.02396926307119429,0.0239623743807897,0.021255953772924843
"volume_ratio_20,lower_shadow,volatility_20,vwap_gap",4,-0.019714353227423542,0.07585720706809596,0.023618687157150875,0.0003369249461684376,0.0004764104960486293,0.00034250185126438737,0.01244494691491127,0.014616229571402073,0.012129601091146469,0.023461547680199146,0.023971187503775596,0.021234263782389462
"volume_zscore_20,close_position,momentum_20,vwap_gap",4,-0.05033258342185065,0.0749227731641785,-0.025058711726962724,0.00033939757850021124,0.0004648392496164888,0.00032669564825482666,0.012575953267514706,0.014417442493140697,0.011827941983938217,0.024264804649283177,0.0239954256307101,0.021824844580260107
"volume_zscore_20,close_position,momentum_20",3,-0.0503320344027971,0.07492249400619044,-0.024798316899866446,0.00033939757850021124,0.0004648391914088279,0.00031720654806122184,0.012575953267514706,0.014417441561818123,0.011709148995578289,0.024264791965833865,0.023995432871743116,0.02161180312978104
"volume_zscore_20,close_position,momentum_20,obv_change",4,-0.05208856392192751,0.07469133234212288,-0.017579636793904285,0.0003377147077117115,0.00046492365072481334,0.00031749793561175466,0.012522077187895775,0.014418397098779678,0.011714805848896503,0.024305371346417814,0.024001428936026067,0.021459569572471082
"volume_zscore_20,intraday_return,gap_open,close_position",4,-0.049257017787940116,0.0743152413428877,-0.005211852321956423,0.00033732489100657403,0.00046075452701188624,0.00031568840495310724,0.012574204243719578,0.01427302323281765,0.011678124777972698,0.024232231779024005,0.024011184298433373,0.02119874740019441
"volume_zscore_20,momentum_20,volatility_20,macd_signal",4,-0.04369242950451002,0.07406280712203339,-0.05783577183139421,0.000335558142978698,0.0005279111792333424,0.00035089722950942814,0.012544642202556133,0.015035072341561317,0.012478057295084,0.024135108775226403,0.02401773214805872,0.022492109425365923
"volume_zscore_20,lower_shadow,momentum_5,atr_gap",4,-0.04943791976678091,0.0736999457205566,-0.021237314013694997,0.00033153771073557436,0.0004759970761369914,0.00034148924169130623,0.01242094486951828,0.01467706449329853,0.012247166596353054,0.02425845460966229,0.02402714435011149,0.021713938994798808
"volume_zscore_20,close_position,atr_gap,macd_signal",4,-0.053105136766716354,0.07366363790302777,-0.09565182505341019,0.00033460496342740953,0.0004915762692689896,0.00031172725721262395,0.012611115351319313,0.014672206714749336,0.011582130566239357,0.0243211027700454,0.02402808613260278,0.023106021108105786
"lower_shadow,atr_gap",2,-0.016372042116284513,0.0735581929295217,0.0352366278644487,0.00034193822648376226,0.00045916723320260644,0.00033230811823159456,0.012454541400074959,0.014289136976003647,0.011949495412409306,0.0234476150944829,0.02403082125238143,0.020513168408069757
"volume_ratio_20,upper_shadow,lower_shadow,volatility_20",4,-0.026374102280253275,0.07349755124228508,-0.01237994633011974,0.00033467134926468134,0.000480299029732123,0.0003340728289913386,0.012484915554523468,0.014860495924949646,0.012077861465513706,0.023734627082012596,0.024032394227106128,0.021525610249955203
"volume_zscore_20,intraday_return,lower_shadow,rolling_max_20_gap",4,-0.048019197969174865,0.07346706961353933,0.0022324839215936976,0.00033184720086865127,0.0004752354579977691,0.0003314344503451139,0.012445568107068539,0.014424827881157398,0.012088414281606674,0.02422565991291776,0.02403318488504738,0.02121491516008973
"volume_zscore_20,intraday_return,atr_gap,vwap_gap",4,-0.052210918428189146,0.07313863261078501,-0.026074434132659308,0.0003361301787663251,0.00046988550457172096,0.0003354880609549582,0.012475015595555305,0.014618846587836742,0.01215929165482521,0.024204776057740674,0.024041704158298677,0.022314985864795744
"volume_ratio_20,lower_shadow,atr_gap,obv_change",4,-0.03788087012238894,0.07273614401480155,0.01061289137116439,0.0003343216667417437,0.0004677499528042972,0.0003323240962345153,0.012360377237200737,0.014651888981461525,0.012060347013175488,0.023991305730305612,0.024052144243614758,0.021036727726459495
"lower_shadow,atr_gap,obv_change",3,-0.015564683441381844,0.0722547098090599,0.034683102748057304,0.00034061461337842047,0.0004593258199747652,0.0003319269744679332,0.012411079369485378,0.014289750717580318,0.01194531936198473,0.02342898939969018,0.024064632086083292,0.02052493767114356
"volume_ratio_20,volume_zscore_20,ma_20_gap,vwap_gap",4,-0.0395980243527434,0.07176076779950546,-0.017742692406886418,0.00033657060703262687,0.0004594411875586957,0.00033052603248506784,0.012456730008125305,0.014345617033541203,0.011993980966508389,0.02391463244566695,0.02407744436641224,0.022133787802886218
"volume_zscore_20,atr_gap,rolling_max_20_gap,vwap_gap",4,-0.050488925896525094,0.07151813440271171,-0.01568368127266373,0.0003340848779771477,0.0004734668764285743,0.0003354752843733877,0.012459433637559414,0.014634744264185429,0.012060781009495258,0.02416516380617395,0.024083737994078556,0.022089008591137826
"volume_ratio_20,lower_shadow,atr_gap",3,-0.031558840495215845,0.07145682780782348,0.013995884199557884,0.00033583655022084713,0.0004674202064052224,0.0003325391444377601,0.012408757582306862,0.014650039374828339,0.012055523693561554,0.023845167816034515,0.024085328215733177,0.02096479723695665
"volume_ratio_20,volatility_20,rolling_max_20_gap,macd_signal",4,-0.03298334900859534,0.07132071730688072,-0.10780001508958925,0.00033387713483534753,0.0005142426816746593,0.0003302393015474081,0.012482794001698494,0.014860737137496471,0.011961434967815876,0.02388746414799244,0.0240888587635709,0.023554468306247144
"volume_ratio_20,volume_zscore_20,close_position,momentum_5",4,-0.05041621173536259,0.0709526689300688,-0.052157976613079304,0.00033763382816687226,0.00045743989176116884,0.0003180145868100226,0.012626530602574348,0.014325318858027458,0.011730163358151913,0.024259002966573462,0.02409840550972149,0.022188786492915828
