model,threshold,selected_rows,coverage,directional_accuracy,avg_actual_return,avg_strategy_return,cumulative_strategy_return
linear_regression,0.0,304,1.0,0.4934210526315789,0.0024096082634868427,0.001076535500328947,0.3272667920999999
linear_regression,0.0025,196,0.6447368421052632,0.47959183673469385,0.0031194931158163262,0.0007171073423469382,0.1405530390999999
linear_regression,0.005,81,0.26644736842105265,0.4444444444444444,0.006916219128395061,-0.0026049138641975307,-0.210998023
linear_regression,0.01,11,0.03618421052631579,0.6363636363636364,0.03413406161818182,0.011581131890909086,0.12739245079999995
linear_regression,0.015,0,0.0,,,,0.0
linear_regression,0.02,0,0.0,,,,0.0
lstm,0.0,304,1.0,0.5263157894736842,0.0024096082634868427,0.0019000442338815789,0.5776134471
lstm,0.0025,269,0.8848684210526315,0.5092936802973977,0.0019537582657992566,0.0013262108524163569,0.3567507193
lstm,0.005,220,0.7236842105263158,0.5,0.0009619204027272727,0.0013404041736363632,0.2948889181999999
lstm,0.01,110,0.3618421052631579,0.45454545454545453,-0.0015153466000000005,-0.0012446256400000001,-0.13690882040000002
lstm,0.015,53,0.17434210526315788,0.5283018867924528,0.002810435709433961,0.003440146822641508,0.18232778159999993
lstm,0.02,19,0.0625,0.5263157894736842,0.009809251089473683,0.009809251089473683,0.18637577069999997
