model,threshold,holding_period,trade_count,coverage,directional_accuracy,avg_actual_return,avg_strategy_return,cumulative_strategy_return,final_equity,sampled_buy_hold_equity
linear_regression,0.0,1,306,1.0,0.49673202614379086,0.0037964307333333332,0.002535816293856209,0.7759597859199999,1.8728894662934974,2.7549999231994273
linear_regression,0.0025,1,204,0.6666666666666666,0.5049019607843137,0.0038687420150000005,0.002792550093431373,0.5696802190600001,1.5760506468808029,1.9635492695586312
linear_regression,0.005,1,127,0.4150326797385621,0.5669291338582677,0.005953979851968504,0.00711195835905512,0.9032187116000002,2.2717571241853007,1.9603936381180518
linear_regression,0.01,1,32,0.10457516339869281,0.625,0.008674854328124999,0.011687768890625,0.3740086045,1.4190589862764167,1.2885205803934134
linear_regression,0.015,1,14,0.0457516339869281,0.6428571428571429,0.006497048849999999,0.016180765707142854,0.22653071989999995,1.2334852462395278,1.0770033149270466
linear_regression,0.02,1,3,0.00980392156862745,0.3333333333333333,0.024313725500000005,-0.022352941166666668,-0.0670588235,0.932735294145,1.073147058855
lstm,0.0,1,306,1.0,0.5,0.0037964307333333332,0.00489633792261438,1.49827940432,3.8601222360834084,2.7549999231994273
lstm,0.0025,1,205,0.6699346405228758,0.5024390243902439,0.0035674602014634147,0.005105326125951219,1.04659185582,2.5402854988304213,1.8523561458876696
lstm,0.005,1,139,0.4542483660130719,0.5467625899280576,0.008351162322733812,0.009456203719856116,1.31441231706,3.428612858730699,2.9395265596462967
lstm,0.01,1,71,0.23202614379084968,0.5352112676056338,0.006663565398028169,0.009006693299436623,0.6394752242600003,1.8106954671839395,1.5327279981653812
lstm,0.015,1,28,0.0915032679738562,0.4642857142857143,-0.0014158826142857133,0.0001417353142857151,0.003968588800000023,0.9844632572534131,0.9423467371435963
lstm,0.02,1,13,0.042483660130718956,0.3076923076923077,-0.0018975349307692288,-0.0028929449307692288,-0.03760828409999997,0.953147623727751,0.9655619915255261
