features,feature_count,train_rel_score,val_rel_score,test_rel_score,train_mse,val_mse,test_mse,train_mae,val_mae,test_mae,train_abs_loss,val_abs_loss,test_abs_loss
"above_ma_200,bb_width,bb_position",3,0.000124001423228548,0.005031621032720257,0.011848254259879676,0.0021548806689679623,0.0011621216544881463,0.006797250360250473,0.03330325335264206,0.024917002767324448,0.06128614395856857,0.06252833642065525,0.04571360060945154,0.11371480082161725
"above_ma_200,bb_width,bb_zscore",3,0.000124001423228548,0.005031621032720257,0.011848254259879676,0.0021548806689679623,0.0011621216544881463,0.006797250360250473,0.03330325335264206,0.024917002767324448,0.06128614395856857,0.06252833642065525,0.04571360060945154,0.11371480082161725
above_ma_200,1,0.002244512253371078,-0.0003024678936414116,-0.002911103229235934,0.0022431809920817614,0.0011635500704869628,0.007163215894252062,0.03397776558995247,0.024854904040694237,0.06407172232866287,0.06234028885373844,0.045958674137364146,0.11541328225866894
"ma_200_gap,above_ma_200",2,-0.0001004957439716403,-0.0019300246292384138,-0.14657958296900375,0.0021192929707467556,0.0011908900924026966,0.009002423845231533,0.033704593777656555,0.025572648271918297,0.07302794605493546,0.06250281499815175,0.04603345186915249,0.13194640344008807
"above_ma_200,bb_width",2,0.009046301753758201,-0.014966647260387322,0.0029057982509060887,0.002176632173359394,0.0011695148423314095,0.006855902262032032,0.03340630233287811,0.024644581601023674,0.06212428957223892,0.061970370635390286,0.04663241659291089,0.11474388325586915
"bb_width,bb_position",2,0.00046902707331242244,-0.015493736876006192,0.013145118353771523,0.00217651529237628,0.0011685062199831009,0.006892821751534939,0.03357156738638878,0.025213971734046936,0.06200631335377693,0.06250675986520947,0.04665663360792678,0.11356555993552322
"bb_width,bb_zscore",2,0.00046902707331242244,-0.015493736876006192,0.013145118353771523,0.00217651529237628,0.0011685062199831009,0.006892821751534939,0.03357156738638878,0.025213971734046936,0.06200631335377693,0.06250675986520947,0.04665663360792678,0.11356555993552322
"bb_width,bb_position,bb_zscore",3,0.0004686923629948492,-0.01549410573535126,0.01314499842639083,0.00217651529237628,0.001168506103567779,0.006892821751534939,0.03357156738638878,0.025213969871401787,0.06200631707906723,0.06250678079668434,0.046656650555087255,0.11356557373655962
"upper_shadow,above_ma_200",2,-0.02094596072887911,-0.01583407217534627,-0.00447678012123176,0.00212964229285717,0.001162382890470326,0.006878286134451628,0.03373824432492256,0.02539936825633049,0.06290499866008759,0.06378924183081836,0.0466722702374682,0.11559345765854233
"above_ma_200,bb_position",2,-0.0013019814356356463,-0.017710365723198285,0.008890119619087922,0.002236275002360344,0.0011618497082963586,0.007087435107678175,0.034035757184028625,0.02509639412164688,0.06337154656648636,0.06261751181446015,0.04675847612670623,0.11405521786073224
