model,threshold,holding_period,trade_count,coverage,directional_accuracy,avg_actual_return,avg_strategy_return,cumulative_strategy_return,final_equity,sampled_buy_hold_equity
linear_regression,0.0,5,61,0.20198675496688742,0.4918032786885246,0.01875944975081967,-0.0015802109639344258,-0.09639286879999998,0.7313296644873122,2.5750000127813983
linear_regression,0.0025,5,59,0.19536423841059603,0.576271186440678,0.01812204753559322,0.01017504713559322,0.600327781,1.5071408028601805,2.4219382232502134
linear_regression,0.005,5,56,0.18543046357615894,0.5178571428571429,0.01704340821785714,0.006308037532142859,0.3532501018000001,1.1939140479772519,2.1905009613520634
linear_regression,0.01,5,43,0.1423841059602649,0.5348837209302325,0.014380873825581397,0.006879597662790699,0.29582269950000006,1.1771163269496785,1.6286739783582527
linear_regression,0.015,5,35,0.11589403973509933,0.4857142857142857,0.013746686594285715,0.004668516194285718,0.16339806680000013,1.067708074896801,1.4678767996330966
linear_regression,0.02,5,27,0.08940397350993377,0.6666666666666666,0.020226986548148147,0.012127217659259261,0.32743487680000005,1.2711879948139495,1.5858808691997648
lstm,0.0,5,61,0.20198675496688742,0.5245901639344263,0.01875944975081967,0.014662605291803276,0.8944189227999999,2.007197807308783,2.5750000127813983
lstm,0.0025,5,58,0.19205298013245034,0.5517241379310345,0.019992797413793104,0.015549875931034482,0.9018928039999999,1.9837991943646576,2.5671679468460815
lstm,0.005,5,55,0.18211920529801323,0.4909090909090909,0.017720699236363643,0.007141112618181818,0.392761194,1.1846536479315704,2.1368416986006973
lstm,0.01,5,48,0.15894039735099338,0.5416666666666666,0.019297735687499998,0.021458055687500005,1.0299866730000002,2.369855408417949,2.13575992414263
lstm,0.015,5,39,0.1291390728476821,0.6666666666666666,0.0036755128461538455,0.022968163410256415,0.8957583730000002,2.2426270822426124,1.0543585740397245
lstm,0.02,5,37,0.12251655629139073,0.7027027027027027,0.009572497929729728,0.03202707057837838,1.1850016114,2.980236547306353,1.2959802319877223
