model,threshold,holding_period,trade_count,coverage,directional_accuracy,avg_actual_return,avg_strategy_return,cumulative_strategy_return,final_equity,sampled_buy_hold_equity
linear_regression,0.0,1,306,1.0,0.49673202614379086,0.0037964307333333332,0.002352587386013071,0.7198917401199998,1.7707757679224336,2.7549999231994273
linear_regression,0.0025,1,213,0.696078431372549,0.49765258215962443,0.003830878466478873,0.0023632285566197184,0.50336768256,1.475931676847601,2.017873256003864
linear_regression,0.005,1,140,0.45751633986928103,0.55,0.007013290647857141,0.006468920907857142,0.9056489270999999,2.2750976166410886,2.454817522702008
linear_regression,0.01,1,38,0.12418300653594772,0.5526315789473685,0.005798270586842104,0.005537683460526316,0.21043197149999998,1.2055769230697908,1.2175013399466819
linear_regression,0.015,1,15,0.049019607843137254,0.5333333333333333,0.0019091620266666655,0.010199634226666665,0.15299451339999998,1.148549029772935,1.0141524947136895
linear_regression,0.02,1,4,0.013071895424836602,0.25,0.018235294125000003,-0.016764705875,-0.0670588235,0.932735294145,1.073147058855
lstm,0.0,1,306,1.0,0.5196078431372549,0.0037964307333333332,0.004417096971241831,1.3516316732000002,3.3330030983926333,2.7549999231994273
lstm,0.0025,1,144,0.47058823529411764,0.5625,-0.00025344057222222274,0.007151422155555556,1.0298047904,2.5789454135011733,0.8866871228176978
lstm,0.005,1,71,0.23202614379084968,0.5070422535211268,-0.002797454046478874,0.006083685260563382,0.4319416535000001,1.467450291000216,0.7803593859938278
lstm,0.01,1,24,0.0784313725490196,0.5,0.0004506881874999996,0.008337598229166668,0.20010235750000002,1.2022713297511056,0.9946553014720805
lstm,0.015,1,15,0.049019607843137254,0.5333333333333333,0.005758728733333333,0.008302529533333335,0.12453794300000004,1.118185847292586,1.0761878979356152
lstm,0.02,1,8,0.026143790849673203,0.5,0.008651771125,0.008651771125,0.069214169,1.0656495723482813,1.0656495723482813
