model,threshold,holding_period,trade_count,coverage,directional_accuracy,avg_actual_return,avg_strategy_return,cumulative_strategy_return,final_equity,sampled_buy_hold_equity
arima,0.0,1,704,0.5789473684210527,0.6335227272727273,0.002355765971590909,0.002355765971590909,1.6584592439999999,4.636303664113502,4.636303664113502
arima,0.0025,1,113,0.09292763157894737,0.6194690265486725,0.0022049987380530975,0.0022049987380530975,0.24916485740000002,1.2492212012160087,1.2492212012160087
arima,0.005,1,14,0.011513157894736841,0.7857142857142857,0.007278359621428571,0.007278359621428571,0.10189703469999999,1.1032550903564622,1.1032550903564622
arima,0.01,1,2,0.001644736842105263,1.0,0.02600802475,0.02600802475,0.0520160495,1.0525174743733277,1.0525174743733277
arima,0.015,1,0,0.0,,,,0.0,1.0,1.0
arima,0.02,1,0,0.0,,,,0.0,1.0,1.0
linear_regression,0.0,1,636,0.5230263157894737,0.6210691823899371,0.002244372909591195,0.002244372909591195,1.4274211705000002,3.72726765428925,3.72726765428925
linear_regression,0.0025,1,258,0.21217105263157895,0.6395348837209303,0.004414325181782946,0.004414325181782946,1.1388958969,2.946697905444236,2.946697905444236
linear_regression,0.005,1,85,0.06990131578947369,0.6352941176470588,0.005508161370588235,0.005508161370588235,0.46819371649999997,1.560944322560977,1.560944322560977
linear_regression,0.01,1,10,0.008223684210526315,0.8,0.014537563990000002,0.014537563990000002,0.14537563990000002,1.1510555047798259,1.1510555047798259
linear_regression,0.015,1,4,0.003289473684210526,1.0,0.020853417000000003,0.020853417000000003,0.08341366800000001,1.0853110690629664,1.0853110690629664
linear_regression,0.02,1,2,0.001644736842105263,1.0,0.005102027,0.005102027,0.010204054,1.010204054,1.010204054
lstm,0.0,1,594,0.48848684210526316,0.622895622895623,0.0012493158026936027,0.0012493158026936027,0.7420935868,1.8649648537459518,1.8649648537459518
lstm,0.0025,1,62,0.05098684210526316,0.5967741935483871,0.0064844197693548385,0.0064844197693548385,0.40203402569999996,1.4637699383906526,1.4637699383906526
lstm,0.005,1,1,0.0008223684210526315,1.0,0.023762424,0.023762424,0.023762424,1.023762424,1.023762424
lstm,0.01,1,0,0.0,,,,0.0,1.0,1.0
lstm,0.015,1,0,0.0,,,,0.0,1.0,1.0
lstm,0.02,1,0,0.0,,,,0.0,1.0,1.0
lstm_best_by_val,0.0,1,594,0.48848684210526316,0.622895622895623,0.0012493158026936027,0.0012493158026936027,0.7420935868,1.8649648537459518,1.8649648537459518
lstm_best_by_val,0.0025,1,62,0.05098684210526316,0.5967741935483871,0.0064844197693548385,0.0064844197693548385,0.40203402569999996,1.4637699383906526,1.4637699383906526
lstm_best_by_val,0.005,1,1,0.0008223684210526315,1.0,0.023762424,0.023762424,0.023762424,1.023762424,1.023762424
lstm_best_by_val,0.01,1,0,0.0,,,,0.0,1.0,1.0
lstm_best_by_val,0.015,1,0,0.0,,,,0.0,1.0,1.0
lstm_best_by_val,0.02,1,0,0.0,,,,0.0,1.0,1.0
lstm_ensemble,0.0,1,209,0.171875,0.6267942583732058,0.003963478428229666,0.003963478428229666,0.8283669915,2.1614526962182166,2.1614526962182166
lstm_ensemble,0.0025,1,3,0.0024671052631578946,0.3333333333333333,-0.013910674833333333,-0.013910674833333333,-0.0417320245,0.9583165122563607,0.9583165122563607
lstm_ensemble,0.005,1,0,0.0,,,,0.0,1.0,1.0
lstm_ensemble,0.01,1,0,0.0,,,,0.0,1.0,1.0
lstm_ensemble,0.015,1,0,0.0,,,,0.0,1.0,1.0
lstm_ensemble,0.02,1,0,0.0,,,,0.0,1.0,1.0
lstm_seed_42,0.0,1,594,0.48848684210526316,0.622895622895623,0.0012493158026936027,0.0012493158026936027,0.7420935868,1.8649648537459518,1.8649648537459518
lstm_seed_42,0.0025,1,62,0.05098684210526316,0.5967741935483871,0.0064844197693548385,0.0064844197693548385,0.40203402569999996,1.4637699383906526,1.4637699383906526
lstm_seed_42,0.005,1,1,0.0008223684210526315,1.0,0.023762424,0.023762424,0.023762424,1.023762424,1.023762424
lstm_seed_42,0.01,1,0,0.0,,,,0.0,1.0,1.0
lstm_seed_42,0.015,1,0,0.0,,,,0.0,1.0,1.0
lstm_seed_42,0.02,1,0,0.0,,,,0.0,1.0,1.0
lstm_seed_52,0.0,1,147,0.12088815789473684,0.5850340136054422,0.0023658066258503405,0.0023658066258503405,0.34777357400000003,1.35625054222619,1.35625054222619
lstm_seed_52,0.0025,1,11,0.009046052631578948,1.0,0.02917467336363637,0.02917467336363637,0.32092140700000005,1.368701508348339,1.368701508348339
lstm_seed_52,0.005,1,1,0.0008223684210526315,1.0,0.05078809,0.05078809,0.05078809,1.05078809,1.05078809
lstm_seed_52,0.01,1,0,0.0,,,,0.0,1.0,1.0
lstm_seed_52,0.015,1,0,0.0,,,,0.0,1.0,1.0
lstm_seed_52,0.02,1,0,0.0,,,,0.0,1.0,1.0
lstm_seed_62,0.0,1,573,0.4712171052631579,0.6003490401396161,0.0015647318801047122,0.0015647318801047122,0.8965913673000001,2.18763658243018,2.18763658243018
lstm_seed_62,0.0025,1,97,0.07976973684210527,0.5154639175257731,-0.00014177745876288648,-0.00014177745876288648,-0.013752413499999989,0.9633889687822011,0.9633889687822011
lstm_seed_62,0.005,1,25,0.02055921052631579,0.44,-0.006433269475999998,-0.006433269475999998,-0.16083173689999997,0.8466849875922499,0.8466849875922499
lstm_seed_62,0.01,1,0,0.0,,,,0.0,1.0,1.0
lstm_seed_62,0.015,1,0,0.0,,,,0.0,1.0,1.0
lstm_seed_62,0.02,1,0,0.0,,,,0.0,1.0,1.0
lstm_signmag,0.0,1,412,0.33881578947368424,0.6140776699029126,0.0009607722376213595,0.0009607722376213595,0.3958381619000001,1.3444507331036397,1.3444507331036397
lstm_signmag,0.0025,1,54,0.044407894736842105,0.6296296296296297,0.0060208006314814815,0.0060208006314814815,0.3251232341,1.3649768607516108,1.3649768607516108
lstm_signmag,0.005,1,0,0.0,,,,0.0,1.0,1.0
lstm_signmag,0.01,1,0,0.0,,,,0.0,1.0,1.0
lstm_signmag,0.015,1,0,0.0,,,,0.0,1.0,1.0
lstm_signmag,0.02,1,0,0.0,,,,0.0,1.0,1.0
lstm_signmag_best_by_val,0.0,1,534,0.43914473684210525,0.602996254681648,0.0011203891007490639,0.0011203891007490639,0.5982877798000001,1.668127289503968,1.668127289503968
lstm_signmag_best_by_val,0.0025,1,60,0.049342105263157895,0.5333333333333333,0.0005323008383333332,0.0005323008383333332,0.03193805029999999,1.0161140612118267,1.0161140612118267
lstm_signmag_best_by_val,0.005,1,7,0.005756578947368421,0.7142857142857143,0.001081265857142857,0.001081265857142857,0.007568861,1.0072829655123847,1.0072829655123847
lstm_signmag_best_by_val,0.01,1,0,0.0,,,,0.0,1.0,1.0
lstm_signmag_best_by_val,0.015,1,0,0.0,,,,0.0,1.0,1.0
lstm_signmag_best_by_val,0.02,1,0,0.0,,,,0.0,1.0,1.0
lstm_signmag_ensemble,0.0,1,302,0.24835526315789475,0.6324503311258278,0.003021488507615894,0.003021488507615894,0.9124895292999999,2.3227664810173962,2.3227664810173962
lstm_signmag_ensemble,0.0025,1,11,0.009046052631578948,0.8181818181818182,0.006229222036363636,0.006229222036363636,0.0685214424,1.0694730068356015,1.0694730068356015
lstm_signmag_ensemble,0.005,1,0,0.0,,,,0.0,1.0,1.0
lstm_signmag_ensemble,0.01,1,0,0.0,,,,0.0,1.0,1.0
lstm_signmag_ensemble,0.015,1,0,0.0,,,,0.0,1.0,1.0
lstm_signmag_ensemble,0.02,1,0,0.0,,,,0.0,1.0,1.0
lstm_signmag_seed_42,0.0,1,412,0.33881578947368424,0.6140776699029126,0.0009607722376213595,0.0009607722376213595,0.3958381619000001,1.3444507331036397,1.3444507331036397
lstm_signmag_seed_42,0.0025,1,54,0.044407894736842105,0.6296296296296297,0.0060208006314814815,0.0060208006314814815,0.3251232341,1.3649768607516108,1.3649768607516108
lstm_signmag_seed_42,0.005,1,0,0.0,,,,0.0,1.0,1.0
lstm_signmag_seed_42,0.01,1,0,0.0,,,,0.0,1.0,1.0
lstm_signmag_seed_42,0.015,1,0,0.0,,,,0.0,1.0,1.0
lstm_signmag_seed_42,0.02,1,0,0.0,,,,0.0,1.0,1.0
lstm_signmag_seed_52,0.0,1,129,0.10608552631578948,0.6511627906976745,0.004547169998449612,0.004547169998449612,0.5865849298,1.7317098304230476,1.7317098304230476
lstm_signmag_seed_52,0.0025,1,6,0.004934210526315789,0.8333333333333334,0.010984905916666668,0.010984905916666668,0.0659094355,1.0671256453454303,1.0671256453454303
lstm_signmag_seed_52,0.005,1,0,0.0,,,,0.0,1.0,1.0
lstm_signmag_seed_52,0.01,1,0,0.0,,,,0.0,1.0,1.0
lstm_signmag_seed_52,0.015,1,0,0.0,,,,0.0,1.0,1.0
lstm_signmag_seed_52,0.02,1,0,0.0,,,,0.0,1.0,1.0
lstm_signmag_seed_62,0.0,1,534,0.43914473684210525,0.602996254681648,0.0011203891007490639,0.0011203891007490639,0.5982877798000001,1.668127289503968,1.668127289503968
lstm_signmag_seed_62,0.0025,1,60,0.049342105263157895,0.5333333333333333,0.0005323008383333332,0.0005323008383333332,0.03193805029999999,1.0161140612118267,1.0161140612118267
lstm_signmag_seed_62,0.005,1,7,0.005756578947368421,0.7142857142857143,0.001081265857142857,0.001081265857142857,0.007568861,1.0072829655123847,1.0072829655123847
lstm_signmag_seed_62,0.01,1,0,0.0,,,,0.0,1.0,1.0
lstm_signmag_seed_62,0.015,1,0,0.0,,,,0.0,1.0,1.0
lstm_signmag_seed_62,0.02,1,0,0.0,,,,0.0,1.0,1.0
lstm_signmag_top2_by_val,0.0,1,264,0.21710526315789475,0.6401515151515151,0.0027858714375000003,0.0027858714375000003,0.7354700595000001,1.967161616921324,1.967161616921324
lstm_signmag_top2_by_val,0.0025,1,12,0.009868421052631578,0.75,0.0029051851583333337,0.0029051851583333337,0.034862221900000004,1.0342162854460561,1.0342162854460561
lstm_signmag_top2_by_val,0.005,1,0,0.0,,,,0.0,1.0,1.0
lstm_signmag_top2_by_val,0.01,1,0,0.0,,,,0.0,1.0,1.0
lstm_signmag_top2_by_val,0.015,1,0,0.0,,,,0.0,1.0,1.0
lstm_signmag_top2_by_val,0.02,1,0,0.0,,,,0.0,1.0,1.0
lstm_top2_by_val,0.0,1,173,0.14226973684210525,0.5838150289017341,0.003102638370520231,0.003102638370520231,0.5367564381,1.6113233657597594,1.6113233657597594
lstm_top2_by_val,0.0025,1,5,0.004111842105263158,1.0,0.0251775723,0.0251775723,0.1258878615,1.1316412418764124,1.1316412418764124
lstm_top2_by_val,0.005,1,0,0.0,,,,0.0,1.0,1.0
lstm_top2_by_val,0.01,1,0,0.0,,,,0.0,1.0,1.0
lstm_top2_by_val,0.015,1,0,0.0,,,,0.0,1.0,1.0
lstm_top2_by_val,0.02,1,0,0.0,,,,0.0,1.0,1.0
