error,base
-0.06462903140000001,-0.071428604
-0.0532086792,-0.054421786
-0.01187947,-0.007092143
-0.0031649490000000002,0.006993044
0.05710074369999999,0.06474817
0.039092366,0.057142783
0.028799533000000002,0.048611093
0.007906838,0.027027082
-0.019660335,0.0
-0.058662154,-0.033112586
-0.054039608999999995,-0.03947372
-0.0584921185,-0.047297284
-0.0008808279,0.0
0.008861036899999999,0.0068493513
0.0600148985,0.06382985
-0.0005221779999999999,0.013698613
0.044213323,0.054421786
0.03389842,0.039999947
-0.0162202813,-0.013513497
-0.09524835579999999,-0.09677419
-0.094709265,-0.10256406
-0.085957936,-0.10273973
-0.06088605899999999,-0.071428575
-0.046846906,-0.057142876
0.00858846863,0.0076336283
-0.032666883,-0.023076944
-0.0445996339,-0.045454588
-0.045788209,-0.03787879
-0.01174239,-0.007874058
-0.0037752110000000005,0.015872996
0.038505495,0.047244035
0.02040446,0.031746097
-0.007485689,0.0
0.008869499399999998,0.015037674
0.0723233006,0.07692308
0.056826039,0.054687586
-0.0267947727,-0.022222241
-0.029747339999999997,-0.035714287
0.0045675796,-0.0074074464
-0.004076358,-0.007575798
-0.0187951523,-0.022222241
-0.0383929598,-0.037313435
-0.0317837787,-0.030534312
-0.0394845286,-0.045454588
-0.0212014115,-0.023255836
0.0015020925999999993,0.007873953
0.008358606000000001,0.015872996
-0.024164376,-0.015872996
-0.0341641054,-0.039062504
-0.0492953414,-0.04687494
-0.0442292004,-0.040322583
0.007748588680000001,0.008130125
-0.0034677204,-0.008196765
0.056597963,0.050420213
-0.02433502765,-0.02419357
-0.033703383499999996,-0.041322317
-0.07813724699999999,-0.088000044
-0.041067443499999995,-0.049586713
-0.021946167999999995,-0.034482714
-0.0149065308,-0.017543837
-0.04391276252,-0.043478318
-0.038762226999999996,-0.0357143
0.001121704,0.0
0.0259804942,0.027272694
0.007389994,0.018518494
-0.012163676,0.0
0.044582304999999996,0.053097397
0.08501029099999999,0.0818182
0.0609886522,0.062499978
0.054738418,0.050420213
0.0350498395,0.033613402
0.0629597254,0.05882351
-0.0174587459,-0.016000085
0.0102961545,0.008130125
0.009962700000000001,0.00793655
0.0282161016,0.03252039
0.0188542576,0.02419357
-0.0073053422,0.0
-0.010369003299999999,-0.015748011
-0.0008846469999999988,-0.015748011
-0.000381803,-0.015748011
0.041000806,0.023999916
0.043734136,0.04
0.0498416199,0.047999937
0.050524853999999994,0.046875045
0.0344256262,0.03076919
0.028314078,0.015267156
-0.059747081216999995,-0.059701513
-0.0372087278,-0.04477616
-0.031025304000000004,-0.037593987
0.019046596,0.015872996
-0.020248616599999998,-0.01562498
-0.023470035615,-0.02343742
-0.0380026203,-0.039062504
-0.03174631849724,-0.031745993
-0.028989127,-0.02400002
-0.0303493794,-0.024390161
-0.033399484,-0.024590187
-0.014247293799999998,-0.016393421
