model,threshold,holding_period,trade_count,coverage,directional_accuracy,avg_actual_return,avg_strategy_return,cumulative_strategy_return,final_equity,sampled_buy_hold_equity
arima,0.0,3,518,0.28399122807017546,0.5598455598455598,0.0027400790835907336,0.0027400790835907336,1.4193609653,2.3974986144930455,2.3974986144930455
arima,0.0025,3,338,0.18530701754385964,0.591715976331361,0.0038090006647929,0.0038090006647929,1.2874422247000001,2.538946113733474,2.538946113733474
arima,0.005,3,128,0.07017543859649122,0.5859375,0.005414114152343751,0.005414114152343751,0.6930066115000001,1.696406503018331,1.696406503018331
arima,0.01,3,12,0.006578947368421052,0.6666666666666666,0.020423408458333334,0.020423408458333334,0.2450809015,1.2630141932204273,1.2630141932204273
arima,0.015,3,2,0.0010964912280701754,1.0,0.054841895,0.054841895,0.10968379,1.112595445471174,1.112595445471174
arima,0.02,3,0,0.0,,,,0.0,1.0,1.0
linear_regression,0.0,3,488,0.2675438596491228,0.5245901639344263,0.003417594322336065,0.003417594322336065,1.6677860292999998,3.0060204247963345,3.0060204247963345
linear_regression,0.0025,3,440,0.2412280701754386,0.509090909090909,0.0028435875031818185,0.0028435875031818185,1.2511785014,2.04442771652172,2.04442771652172
linear_regression,0.005,3,370,0.20285087719298245,0.527027027027027,0.0024783204789189193,0.0024783204789189193,0.9169785772000001,1.7530697857931852,1.7530697857931852
linear_regression,0.01,3,223,0.12225877192982457,0.5560538116591929,0.007594870065022421,0.007594870065022421,1.6936560244999999,4.174906175605412,4.174906175605412
linear_regression,0.015,3,114,0.0625,0.5350877192982456,0.006541973775438597,0.006541973775438597,0.7457850104000001,1.7965801943851654,1.7965801943851654
linear_regression,0.02,3,55,0.030153508771929825,0.6545454545454545,0.015369867905454547,0.015369867905454547,0.8453427348000001,2.1508960690763015,2.1508960690763015
lstm,0.0,3,471,0.2582236842105263,0.5307855626326964,0.00369532738046709,0.00369532738046709,1.7404991961999994,2.9366792072702976,2.9366792072702976
lstm,0.0025,3,363,0.19901315789473684,0.5316804407713499,0.002463014940495868,0.002463014940495868,0.8940744234000001,1.5068581887886687,1.5068581887886687
lstm,0.005,3,251,0.13760964912280702,0.5936254980079682,0.008344508542629482,0.008344508542629482,2.0944716442,5.773310274190194,5.773310274190194
lstm,0.01,3,94,0.051535087719298246,0.5957446808510638,0.016133381282978723,0.016133381282978723,1.5165378405999999,3.8299285998284303,3.8299285998284303
lstm,0.015,3,28,0.015350877192982455,0.6428571428571429,0.025901542499999996,0.025901542499999996,0.7252431899999999,1.8979834090079881,1.8979834090079881
lstm,0.02,3,13,0.00712719298245614,0.38461538461538464,-0.0038276233076923022,-0.0038276233076923022,-0.04975910299999993,0.921519437746918,0.921519437746918
