model,threshold,holding_period,trade_count,coverage,directional_accuracy,avg_actual_return,avg_strategy_return,cumulative_strategy_return,final_equity,sampled_buy_hold_equity
arima,0.0,3,92,0.3026315789473684,0.532608695652174,0.0011419729282608703,0.0011419729282608703,0.10506150940000006,0.992561506585981,0.992561506585981
arima,0.0025,3,61,0.20065789473684212,0.5737704918032787,0.008740555232786886,0.008740555232786886,0.5331738692,1.600300887967516,1.600300887967516
arima,0.005,3,59,0.19407894736842105,0.559322033898305,0.006353177206779661,0.006353177206779661,0.3748374552,1.3749831917710695,1.3749831917710695
arima,0.01,3,0,0.0,,,,0.0,1.0,1.0
arima,0.015,3,0,0.0,,,,0.0,1.0,1.0
arima,0.02,3,0,0.0,,,,0.0,1.0,1.0
linear_regression,0.0,3,89,0.29276315789473684,0.550561797752809,0.0012831274393258429,0.0012831274393258429,0.11419834210000002,1.0351766552557957,1.0351766552557957
linear_regression,0.0025,3,72,0.23684210526315788,0.5,0.0033606574958333327,0.0033606574958333327,0.24196733969999995,1.1592923174616734,1.1592923174616734
linear_regression,0.005,3,59,0.19407894736842105,0.5423728813559322,0.008610232011864408,0.008610232011864408,0.5080036887,1.5659290438026936,1.5659290438026936
linear_regression,0.01,3,29,0.09539473684210527,0.4827586206896552,0.012931037179310345,0.012931037179310345,0.37500007820000003,1.419718754850126,1.419718754850126
linear_regression,0.015,3,10,0.03289473684210526,0.6,0.027813700900000005,0.027813700900000005,0.27813700900000005,1.298561109354247,1.298561109354247
linear_regression,0.02,3,3,0.009868421052631578,0.3333333333333333,-0.0004458893333333334,-0.0004458893333333334,-0.0013376680000000002,0.9956615661622504,0.9956615661622504
lstm,0.0,3,72,0.23684210526315788,0.4444444444444444,0.00010491173333333283,0.00010491173333333283,0.007553644799999964,0.9508171550644433,0.9508171550644433
lstm,0.0025,3,48,0.15789473684210525,0.5416666666666666,0.0032854623166666663,0.0032854623166666663,0.15770219119999998,1.1187298367854615,1.1187298367854615
lstm,0.005,3,35,0.11513157894736842,0.6285714285714286,0.005859829934285713,0.005859829934285713,0.20509404769999995,1.1970669590901628,1.1970669590901628
lstm,0.01,3,10,0.03289473684210526,0.4,-0.0038195276799999995,-0.0038195276799999995,-0.0381952768,0.9590504893154602,0.9590504893154602
lstm,0.015,3,5,0.01644736842105263,0.6,0.0095780686,0.0095780686,0.047890343,1.047346688879704,1.047346688879704
lstm,0.02,3,0,0.0,,,,0.0,1.0,1.0
