model,threshold,holding_period,trade_count,coverage,directional_accuracy,avg_actual_return,avg_strategy_return,cumulative_strategy_return,final_equity,sampled_buy_hold_equity
arima,0.0,3,69,0.22697368421052633,0.6521739130434783,0.015103195205797103,0.015103195205797103,1.0421204692000001,2.520371964916697,2.520371964916697
arima,0.0025,3,20,0.06578947368421052,0.65,0.015439769424999996,0.015439769424999996,0.30879538849999993,1.3012841269502562,1.3012841269502562
arima,0.005,3,3,0.009868421052631578,0.6666666666666666,0.048712495833333334,0.048712495833333334,0.1461374875,1.1497939770422625,1.1497939770422625
arima,0.01,3,1,0.003289473684210526,1.0,0.11003861,0.11003861,0.11003861,1.11003861,1.11003861
arima,0.015,3,0,0.0,,,,0.0,1.0,1.0
arima,0.02,3,0,0.0,,,,0.0,1.0,1.0
linear_regression,0.0,3,68,0.2236842105263158,0.5735294117647058,0.008028844436764705,0.008028844436764705,0.5459614217,1.5296017226710974,1.5296017226710974
linear_regression,0.0025,3,51,0.16776315789473684,0.5294117647058824,0.010279379643137255,0.010279379643137255,0.5242483618,1.5158932200556696,1.5158932200556696
linear_regression,0.005,3,39,0.12828947368421054,0.48717948717948717,0.009169036610256408,0.009169036610256408,0.35759242779999995,1.302493647071251,1.302493647071251
linear_regression,0.01,3,27,0.08881578947368421,0.5185185185185185,0.005811166777777778,0.005811166777777778,0.15690150300000003,1.1011731280515444,1.1011731280515444
linear_regression,0.015,3,16,0.05263157894736842,0.5,0.008241119031249997,0.008241119031249997,0.13185790449999996,1.0964090764368941,1.0964090764368941
linear_regression,0.02,3,5,0.01644736842105263,0.8,0.028353123799999998,0.028353123799999998,0.14176561899999998,1.1408155726866414,1.1408155726866414
lstm,0.0,3,48,0.15789473684210525,0.5833333333333334,0.01504605765,0.01504605765,0.7222107672,1.8116938830934317,1.8116938830934317
lstm,0.0025,3,30,0.09868421052631579,0.7,0.021100421793333334,0.021100421793333334,0.6330126538,1.7141705973759453,1.7141705973759453
lstm,0.005,3,13,0.04276315789473684,0.38461538461538464,-0.0028449740153846177,-0.0028449740153846177,-0.03698466220000003,0.9348857457536552,0.9348857457536552
lstm,0.01,3,1,0.003289473684210526,0.0,-0.019354839,-0.019354839,-0.019354839,0.980645161,0.980645161
lstm,0.015,3,0,0.0,,,,0.0,1.0,1.0
lstm,0.02,3,0,0.0,,,,0.0,1.0,1.0
