n,rel_score,absE_robust,base_robust,absE_median,absE_q90,DA,pred_actual_q90_ratio,model,Date
90,0.0,0.06244785487651825,0.06244785487651825,0.028179313987493515,0.06853708177804947,0.044444444444444446,0.0,zero,2020-04-01
89,0.0,0.09466421082615853,0.09466421082615853,0.059819385409355164,0.06968965083360672,0.056179775280898875,0.0,zero,2020-04-03
84,0.0,0.04399561481550336,0.04399561481550336,0.014222601894289255,0.05954602584242822,0.15476190476190477,0.0,zero,2020-04-06
86,0.0,0.036788162775337696,0.036788162775337696,0.01374089252203703,0.046094540506601334,0.16279069767441862,0.0,zero,2020-04-07
91,0.0,0.04282609559595585,0.04282609559595585,0.014492781832814217,0.056666627526283264,0.12087912087912088,0.0,zero,2020-04-08
89,0.0,0.028856131620705137,0.028856131620705137,0.01123595517128706,0.035240352898836154,0.12359550561797752,0.0,zero,2020-04-09
91,0.0,0.0341687286272645,0.0341687286272645,0.010948914103209972,0.046439629048109055,0.0989010989010989,0.0,zero,2020-04-10
91,0.0,0.0370689956471324,0.0370689956471324,0.012068969197571278,0.05000005289912224,0.07692307692307693,0.0,zero,2020-04-13
91,0.0,0.051393818110227585,0.051393818110227585,0.021917834877967834,0.0589519664645195,0.03296703296703297,0.0,zero,2020-04-14
89,0.0,0.035482585430145264,0.035482585430145264,0.012012038379907608,0.04694109410047531,0.11235955056179775,0.0,zero,2020-04-15
89,0.0,0.042828666232526305,0.042828666232526305,0.01486839447170496,0.0559205435216427,0.07865168539325842,0.0,zero,2020-04-16
89,0.0,0.046549621224403384,0.046549621224403384,0.013487357646226883,0.066124527156353,0.0898876404494382,0.0,zero,2020-04-17
87,0.0,0.08481124341487885,0.08481124341487885,0.05024302005767822,0.06913644671440125,0.011494252873563218,0.0,zero,2020-04-20
89,0.0,0.03950111269950867,0.03950111269950867,0.01607721671462059,0.04684779196977616,0.12359550561797752,0.0,zero,2020-04-21
89,0.0,0.02665591295808554,0.02665591295808554,0.010714284144341946,0.031883257627487185,0.14606741573033707,0.0,zero,2020-04-22
90,0.0,0.02611415036953986,0.02611415036953986,0.00742135033942759,0.03738560006022454,0.23333333333333334,0.0,zero,2020-04-23
92,0.0,0.05011509470641614,0.05011509470641614,0.016941742971539497,0.06634670346975328,0.06521739130434782,0.0,zero,2020-04-24
90,0.0,0.027509970311075473,0.027509970311075473,0.01023417478427291,0.03455159105360513,0.12222222222222222,0.0,zero,2020-04-27
91,0.0,0.02347093727439642,0.02347093727439642,0.010192081332206726,0.026557711884379387,0.07692307692307693,0.0,zero,2020-04-28
92,0.0,0.039657502714544546,0.039657502714544546,0.015297755133360624,0.048719495162367836,0.07608695652173914,0.0,zero,2020-04-29
92,0.0,0.023855550121515995,0.023855550121515995,0.008219153620302677,0.031272793002426635,0.13043478260869565,0.0,zero,2020-05-04
92,0.0,0.046047168411314496,0.046047168411314496,0.01819535531103611,0.05570362620055677,0.08695652173913043,0.0,zero,2020-05-05
92,0.0,0.030945222266018403,0.030945222266018403,0.009884731844067574,0.04212098084390166,0.07608695652173914,0.0,zero,2020-05-06
92,0.0,0.03346974700689316,0.03346974700689316,0.012743555940687656,0.041452382132411016,0.08695652173913043,0.0,zero,2020-05-07
92,0.0,0.04404487423598767,0.04404487423598767,0.016780267469584942,0.05452921353280546,0.06521739130434782,0.0,zero,2020-05-08
92,0.0,0.04042164059355856,0.04042164059355856,0.015695626381784678,0.04945202842354777,0.05434782608695652,0.0,zero,2020-05-11
92,0.0,0.03274538526311517,0.03274538526311517,0.014469205867499113,0.036552358791232115,0.08695652173913043,0.0,zero,2020-05-12
92,0.0,0.027874467894434932,0.027874467894434932,0.01178055303171277,0.032187829725444324,0.03260869565217391,0.0,zero,2020-05-13
92,0.0,0.02762305568903685,0.02762305568903685,0.012854327447712421,0.02953745648264885,0.15217391304347827,0.0,zero,2020-05-14
90,0.0,0.03299578800797463,0.03299578800797463,0.013252795673906803,0.03948598466813566,0.06666666666666667,0.0,zero,2020-05-15
90,0.0,0.026234200596809386,0.026234200596809386,0.010105176828801632,0.03225804753601551,0.13333333333333333,0.0,zero,2020-05-18
91,0.0,0.029794277623295784,0.029794277623295784,0.009868420660495758,0.03985171392560005,0.10989010989010989,0.0,zero,2020-05-19
90,0.0,0.023537593428045518,0.023537593428045518,0.008861794602125883,0.029351597651839274,0.14444444444444443,0.0,zero,2020-05-20
91,0.0,0.0270477756857872,0.0270477756857872,0.011950027197599411,0.03019549697637558,0.07692307692307693,0.0,zero,2020-05-21
91,0.0,0.035619478672742844,0.035619478672742844,0.010498706251382828,0.05024154484272003,0.06593406593406594,0.0,zero,2020-05-22
