expert_run,expert_model,market_run,market_model,method,code_count,overlap_codes,best_weight_expert,best_val_rel_score,best_test_rel_score,stable_weight_tolerance,stable_weight_min,stable_weight_max,stable_weight_count,stable_weight_center,stable_test_rel_score_mean,stable_test_rel_score_median,stable_test_rel_score_min,stable_test_rel_score_max
mini_ngan_hang_g02_return_w20_pruned_v2,lstm_signmag_best_by_val,confirm_vn100_fnb_committee_20260408_235445_r01,lstm_best_by_val,avg,6,"ACB,BID,CTG,MBB,TCB,VCB",0.85,0.023833877598001485,0.009133561732764695,0.001,0.85,0.85,1,0.85,0.009133561732764695,0.009133561732764695,0.009133561732764695,0.009133561732764695
mini_ngan_hang_g02_return_w20_pruned_v2,lstm_signmag_best_by_val,confirm_vn100_fnb_committee_20260408_235445_r01,lstm_best_by_val,agree_only,6,"ACB,BID,CTG,MBB,TCB,VCB",0.25,0.020092834255332148,0.01380564399900397,0.001,0.25,0.95,6,0.625,0.00970374872625022,0.00884714699027872,0.006808793338732966,0.01380564399900397
mini_ngan_hang_g02_return_w20_pruned_v2,lstm_signmag_best_by_val,confirm_vn100_fnb_committee_20260408_235445_r01,lstm_ensemble,avg,6,"ACB,BID,CTG,MBB,TCB,VCB",0.8,0.020065298925863173,0.009144411647424744,0.001,0.8,0.95,3,0.8833333333333333,0.007830388133943175,0.007810787167772948,0.006535965586631831,0.009144411647424744
mini_ngan_hang_g02_return_w20_pruned_v2,lstm_signmag_best_by_val,confirm_vn100_fnb_committee_20260408_235445_r01,lstm_ensemble,agree_only,6,"ACB,BID,CTG,MBB,TCB,VCB",1.0,0.018851012706166292,0.0024695198029990317,0.001,0.65,1.0,4,0.8500000000000001,0.0058807413263914365,0.006629400557223497,0.0024695198029990317,0.00779464438811972
mini_ngan_hang_g02_return_w20_pruned_v2,lstm_signmag_best_by_val,confirm_vn100_fnb_committee_20260408_235445_r01,lstm_signmag_best_by_val,avg,6,"ACB,BID,CTG,MBB,TCB,VCB",1.0,0.018851012706166292,0.0024695198029990317,0.001,1.0,1.0,1,1.0,0.0024695198029990317,0.0024695198029990317,0.0024695198029990317,0.0024695198029990317
mini_ngan_hang_g02_return_w20_pruned_v2,lstm_signmag_best_by_val,confirm_vn100_fnb_committee_20260408_235445_r01,lstm_signmag_best_by_val,agree_only,6,"ACB,BID,CTG,MBB,TCB,VCB",1.0,0.018851012706166292,0.0024695198029990317,0.001,1.0,1.0,1,1.0,0.0024695198029990317,0.0024695198029990317,0.0024695198029990317,0.0024695198029990317
mini_ngan_hang_g02_return_w20_pruned_v2,lstm_best_by_val,confirm_vn100_fnb_committee_20260408_235445_r01,lstm_signmag_best_by_val,avg,6,"ACB,BID,CTG,MBB,TCB,VCB",0.6,0.016953007506988582,0.0017932382431258276,0.001,0.6,0.65,2,0.625,0.002696602697354944,0.002696602697354944,0.0017932382431258276,0.0035999671515840603
mini_ngan_hang_g02_return_w20_pruned_v2,lstm_ensemble,confirm_vn100_fnb_committee_20260408_235445_r01,lstm_best_by_val,avg,6,"ACB,BID,CTG,MBB,TCB,VCB",0.75,0.012729662909637285,0.008144901251032621,0.001,0.65,0.8,4,0.725,0.008229813106630818,0.008015296279604012,0.0076023770202607865,0.009286282847054461
mini_ngan_hang_g02_return_w20_pruned_v2,lstm_best_by_val,confirm_vn100_fnb_committee_20260408_235445_r01,lstm_signmag_best_by_val,agree_only,6,"ACB,BID,CTG,MBB,TCB,VCB",0.35,0.012638697987958913,0.022445981488193212,0.001,0.3,0.35,2,0.32499999999999996,0.021834491743488005,0.021834491743488005,0.021223001998782798,0.022445981488193212
mini_ngan_hang_g02_return_w20_pruned_v2,lstm_ensemble,confirm_vn100_fnb_committee_20260408_235445_r01,lstm_ensemble,avg,6,"ACB,BID,CTG,MBB,TCB,VCB",0.65,0.011173859631323224,0.0037605318588784797,0.001,0.65,0.75,2,0.7,0.005029674452765143,0.005029674452765143,0.0037605318588784797,0.006298817046651806
mini_ngan_hang_g02_return_w20_pruned_v2,lstm_best_by_val,confirm_vn100_fnb_committee_20260408_235445_r01,lstm_ensemble,avg,6,"ACB,BID,CTG,MBB,TCB,VCB",0.75,0.010579613163189228,0.009068108408199493,0.001,0.75,0.75,1,0.75,0.009068108408199493,0.009068108408199493,0.009068108408199493,0.009068108408199493
mini_ngan_hang_g02_return_w20_pruned_v2,lstm_best_by_val,confirm_vn100_fnb_committee_20260408_235445_r01,lstm_ensemble,agree_only,6,"ACB,BID,CTG,MBB,TCB,VCB",0.25,0.010461364827528463,0.00476963697841537,0.001,0.25,0.35,3,0.3,0.006268781468212821,0.00582626219933724,0.00476963697841537,0.008210445226885854
mini_ngan_hang_g02_return_w20_pruned_v2,lstm_ensemble,confirm_vn100_fnb_committee_20260408_235445_r01,lstm_signmag_best_by_val,avg,6,"ACB,BID,CTG,MBB,TCB,VCB",0.6,0.009953547155809761,0.007137601291350659,0.001,0.6,0.6,1,0.6,0.007137601291350659,0.007137601291350659,0.007137601291350659,0.007137601291350659
